job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Spark,https://www.lagou.com/jobs/7071586.html,海淀区,18k-36k,昆仑智汇数据科技（北京）有限公司,3-5年,不限,新基建 工业4.0 核心岗位,"职位诱惑：风口行业,大牛带路,扁平化,环境好   职位描述：工作职责：     本岗位将参与昆仑数据全新产品体系的研发工作，以客户价值为导向，为客户构建高效、强大的工业大数据分析产品。你将参与发掘和分析业务需求，系统方案设计和代码编写，确保性能、质量和安全。你将接触到最新的数据分析大师、资深工业领域专家的工业数据分析方法与实践，学到最严谨规范的开发技术与流程，发展你个人的技术能力，领导力和有效的项目管理能力。在这个大家庭里，我们不仅鼓励大家开发出有价值、有影响力的产品给用户，我们同样鼓励大家多学习，多分享，多创新，在工作中找到最大的乐趣！任职资格－计算机相关专业本科及以上，2年以上的系统或应用软件的开发经验。－熟练掌握Java语言和面向对象思想，能写出整洁、高质量的代码。－精通常用关系数据库（PG、MySQL等）和各种NoSQL数据库。－熟悉并实践过Hadoop、Spark、Flink、Kakfa等任意一种大数据分析框架，并理解一定的底层原理。－精通RESTfulAPI开发，具备良好的API设计风格。－熟练使用Linux，理解并熟练使用Docker容器部署方式。－具备良好的软件工程和质量意识，认同并实践过敏捷开发和DevOps方法。优先任职资格－具备在快节奏，敏捷模式下开发新产品的激情。－曾经Lead团队开发复杂的软件产品，并成功地交付给用户。－具备全栈工程能力，掌握多种语言开发，如js，python，golang等。－曾经参与分布式系统开发，熟悉多个大数据产品生态和相关技术。－Linux高手，熟练掌握shell编程。－有指导年轻工程师提高技术能力和开发效率的经验。",数据服务,150-500人,spark,北京
Spark SQL 开源大数据系统架构师/负责人,https://www.lagou.com/jobs/7168899.html,海淀区,40k-80k,北京字节跳动科技有限公司,不限,本科,"六险一金,股票期权,弹性工作,免费三餐",,文娱丨内容,2000人以上,spark,北京
spark开发工程师,https://www.lagou.com/jobs/6889060.html,海淀区,15k-30k,中科天玑数据科技股份有限公司,3-5年,本科,科学院孵化，福利待遇好，技术牛人多,"岗位职责：1. 负责公司机器学习平台算法组件设计、开发；2. 基于Spark框架的数据平台的设计，开发，维护。任职要求：1. 熟悉hadoop,Spark相关技术，至少有2年的Spark开发经验,熟悉Spark源码者优先；2. 熟悉Scala语言,熟悉Spark mllib和Spark SQL 模块；3. 有过海量数据系统开发经验者优先；4.良好的自我驱动与学习能力，具有优秀的分析问题和解决问题的能力；5.具备较强的学习能力，主动性、责任感强，具有团队合作精神。","移动互联网,数据服务",150-500人,spark,北京
搜狗金融—大数据开发工程师（spark方向）,https://www.lagou.com/jobs/4931677.html,海淀区,25k-40k,北京搜狗科技发展有限公司,5-10年,本科,"平台大,人脉广,技术牛,氛围好",项目介绍：搜狗金融，这是一款定位于服务平台互联网用户的金融产品，由搜狗公司内部孵化，深度挖掘搜狗在互联网端的用户规模优势以及多年的大数据能力积累。在当下大热的互联网金融领域，搜狗将发挥用户服务和智能算法优势，并结合平台的综合运营实力。如果你认同互联网金融、智能风控，大数据模型等概念，欢迎加入我们共同创造事业。岗位职责：1、负责数据平台开发及维护；2、 以flink为主建设实时数据仓库；3、 负责Hive相关离线数据仓库的ETL设计、开发、维护与优化；4、 对接并支撑相关的数据需求；5、 参与公司大数据处理理方向的技术拓展。任职条件：1、 统招本科及以上学历， 5年年以上工作经验；2、 熟悉python、 Java，熟练使用shell编写数据处理脚本；3、 熟练使用Hadoop、 Kafka、 Hive、 Flink、 Hbase、 ES、 Kylin等，熟悉hive、 mysql的SQL编写及优化；4、 熟悉数据仓库建模理理论，具备大中型数据仓库架构设计、模型设计、 ETL设计的相关经验；5、性格积极乐观、诚信、有较强的语言表达能力，具备强烈的进取心、求知欲及团队合作精神；6、 具备海量数据处理、有性能调优经验、金融、电商、电信、互联网行业数据模型经验者优先。,工具,2000人以上,spark,北京
大数据spark算法工程师,https://www.lagou.com/jobs/3972437.html,朝阳区,18k-35k,北京豆果信息技术有限公司,不限,本科,"专业培训,大咖云集,良好氛围,职业发展",岗位职责：1、负责公司广告、菜谱等业务个性化推荐系统的研发；2、分析APP用户行为数据，设计合理的推荐算法模型及策略，并优化推荐排序；3、通过用户行为数据的挖掘，能对用户进行建模并精确刻画用户各种属性。 任职要求：1. 熟练掌握各类个性化推荐算法，并有开发个性化推荐系统的实际项目经验；熟练掌握各类回归及排序算法，能够利用相关算法进行推荐排序的优化；2. 熟练掌握分类、聚类、回归、降维等经典机器学习算法和技术，能够根据实际问题选择合适的模型和算法并进行相应的开发；3. 熟悉Linux操作系统及常用Shell命令；有较强的工程架构和开发能力，能够实现支撑千万级用户和TB级用户行为数据的推荐系统或算法；4.熟悉SparkStreaming和SparkSQL，有Spark平台&hadoop平台开发经验；5. 精通Scala语言，对Scala原理底层技术有深入研究者优先；6. 熟悉hadoop、hive、Hbase等开源系统；熟悉各类数据挖掘工具（如weka、Mahout），能够快速建立模型并进行验证；7. 能快速理解业务场景，从具体问题中抽象出通用的解决方案；8. 对数据敏感，善于发现数据中的潜在规律，善于分析问题，了解业界的最新动态；9.有一线互联网公司推荐系统开发经验者优先；,"移动互联网,社交",50-150人,spark,北京
Spark专家工程师(J200223002),https://www.lagou.com/jobs/6830996.html,海淀区,40k-60k,北京嘀嘀无限科技发展有限公司,5-10年,本科,广阔平台；急速成长；诱人福利,,汽车丨出行,2000人以上,spark,北京
大数据开发工程师（spark）(J10392),https://www.lagou.com/jobs/7179929.html,东城区,20k-30k,北京腾云天下科技有限公司,3-5年,本科,"大数据,行业领先,领导靠谱,学习氛围",任职资格:,移动互联网,500-2000人,spark,北京
spark算法实习生,https://www.lagou.com/jobs/3693520.html,朝阳区,4k-5k,北京豆果信息技术有限公司,应届毕业生,本科,"spark,scala,数据,大咖云集","职位诱惑：实习生,可转正,大咖云集职位描述：职位描述：岗位职责：1、负责公司广告、菜谱等业务个性化推荐系统的研发；2、分析APP用户行为数据，设计合理的推荐算法模型及策略，并优化推荐排序；3、通过用户行为数据的挖掘，能对用户进行建模并精确刻画用户各种属性。 任职要求：1、熟练掌握各类个性化推荐算法，并有开发个性化推荐系统的实际项目经验；熟练掌握各类回归及排序算法，能够利用相关算法进行推荐排序的优化；。2、熟练掌握分类、聚类、回归、降维等经典机器学习算法和技术，能够根据实际问题选择合适的模型和算法并进行相应的开发；3、熟悉Linux操作系统及常用Shell命令；有较强的工程架构和开发能力，能够实现支撑千万级用户和TB级用户行为数据的推荐系统或算法；4、熟悉SparkStreaming和SparkSQL，有Spark平台&hadoop平台开发经验；5、精通Scala语言，对Scala原理底层技术有深入研究者优先；6、熟悉hadoop、hive、Hbase等开源系统；熟悉各类数据挖掘工具（如weka、Mahout），能够快速建立模型并进行验证7、能快速理解业务场景，从具体问题中抽象出通用的解决方案；8、对数据敏感，善于发现数据中的潜在规律，善于分析问题，了解业界的最新动态；9、有一线互联网公司推荐系统开发经验者优先。","移动互联网,社交",50-150人,spark,北京
Spark开发工程师,https://www.lagou.com/jobs/6865152.html,通州区,10k-20k,阳光人寿保险股份有限公司,1-3年,本科,"弹性办公,补充医疗,过节费,带薪假期",岗位职责：1、依据业务需求文档，完成软件模块的分析、设计、开发、测试，以保证能够按期交付，并稳定运行；2、分析数据及效率问题，并给出解决方案，及时修复；3、参与相关项目的设计、评审、开发，保障系统能够按照需求达到预期效果；4、跟踪了解业界发展、互联网相关最新技术，参与重点项目新技术研发工作；5、对低阶岗位人员进行技能培训、指导低阶岗位的技术开发工作；6、领导交代的其他任务。 任职资格：1、统招本科及以上学历，计算机相关专业，2年以上开发经验；2、熟练掌握Hadoop框架及技术，如Spark Core、Hbase、Hive、HDFS、Kudu、Impala、Yarn等3、熟悉大数据ETL工具及技术，如Sqoop、Spark Streaming、Kafka、Flink等；4、熟悉大数据常用开发语言，如Java、Scala、Python等；4、良好的团队合作精神、独立解决问题和沟通能力；5、正直诚实、有责任心，能够承受一定压力；6、对Hadoop性能调优有深入了解者优先；7、有大型Hadoop项目开发、实施经验者优先；8、有数据中台经验者优先；,其他,500-2000人,spark,北京
spark专家工程师,https://www.lagou.com/jobs/7190672.html,海淀区,50k-80k,青岛有住信息技术有限公司,5-10年,本科,大平台背景平台,"工作职责:1、管理、优化并维护集群Spark引擎,深入Spark源码研究和二次开发，解决各种线上问题，参与到开源社区建设和代码贡献;2、打造业界领先的大数据计算平台，为海量数据及其上的大规模数据挖掘、数据分析、机器学习业务系统提供可靠、高效的支持；3、研究业界最新的大数据技术，参与滴滴大数据平台的设计与开发，提供有前瞻性的大数据基础架构解决方案；4、乐于挑战没有明显答案的问题，快速理解业务场景，从具体问题中抽象出通用的解决方案。任职资格:1、计算机或相关专业本科以上，5年以上工作经验，不少于2年大数据架构经验；2、具备扎实的Scala语言编程基础，具备良好的编程习惯，较强独立解决问题的能力；3、精通Spark源码，对社区有贡献者加分4、参与过大型复杂分布式系统的设计、架构者优先；5、做事严谨踏实，责任心强，具有良好的沟通能力和团队意识；","房产家居,电商",50-150人,spark,北京
