job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
BI高级研发工程师,https://www.lagou.com/jobs/5707942.html,雨花台区,18k-25k,众能联合数字技术有限公司,5-10年,本科,独角兽企业、发展平台、竞争力薪酬,"岗位职责：1、负责数据仓库设计、模型设计，对数据进行多维度的分析、汇总，支撑公司日常业务运营;2、负责数据仓库的日常管理与维护及监管体系建设;3、基于hadoop平台使用hive进行数据建模、研发,使用spark进行脚本工程化;4、BI 需求调研与模型体系设计，参与数据产品设计和评审，保障整个数据平台架构稳定;5、根据业务需要,进行数据建模,创建OLAP多维分析框架,设计、开发、优化和维护ETL工具和流程;6、配合产品与各部门沟通协调需求，参与需求分析，数据仓库建模，功能设计及评审;7、满足各相关业务部门的日常数据需求，高效率完成数据整理工作，支持面向业务的数据服务;8、深刻理解业务需求,完善提高产品品质,不断提升用户体验，具有对产品有做精做细的精神。任职资格：1、本科及以上学历,计算机等相关专业;2、熟练掌握ETL的开发和数据建模，有整体ETL/DW/BI的思想，具有完整的数据仓库项目实施经验;3、熟练使用Hadoop相关组件Hive/hbase/sqoop等;4、熟练使用linux，熟悉Linux常用命令，了解python、shell编程;5、了解spark,熟练使用scala编程;6、有强烈的责任心，良好的沟通能力，良好的团队合作精神，能在较大压力下工作。","移动互联网,企业服务",500-2000人,spark,南京
数据智能副总监,https://www.lagou.com/jobs/6565668.html,雨花台区,26k-35k,众能联合数字技术有限公司,5-10年,本科,独角兽公司,岗位职责：1、 负责大数据和AI平台相关课题预研、架构设计；2、 领导技术团队完成产品和项目开发；3、 制定和优化研发交付流程，确保交付质量、进度和效率；4、 了解客户需求，协助产品团队制定大数据和AI产品的战略和目标；5、 培养和激励团队成员；任职要求：1、 对大数据相关技术有深刻的理解，4年以上技术开发相关工作经验；2、 有大型分布式数据系统的技术架构经验，精通数据仓库、Hadoop、NoSQL等相关技术；3、 熟悉（至少精通一种）AI相关技术框架、算法和应用，例如Spark MLLib，TensorFlow， MXNet，Caffe等；4、 熟悉国内外流行的大数据和AI产品或服务；5、 具备优秀的沟通能力，有3年以上的团队管理经验；6、 有新一代应用设计、开发和交付经验的优先，例如容器、DevOps、Kubernetes、CD/CI、Cloud Native Apps等；7、 了解物联网硬件技术的优先；,"移动互联网,企业服务",500-2000人,spark,南京
软件开发工程师,https://www.lagou.com/jobs/6830501.html,雨花台区,13k-25k,华为技术有限公司,不限,本科,待遇和发展前景好,【软件开发工程师】一、专业知识要求：1、理解面向对象思想，1年以上软件开发经验，掌握Java/C++/python中至少一种；熟悉常用数据库(Oracle/MySQL 等)的原理和使用；2、掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识。3、对目前前沿的大数据分析和处理、机器学习等开源软件熟悉者优先；4、良好的沟通、协调、学习、创新能力，对解决具有挑战性问题充满激情；5、熟悉网络安全相关知识，有网络安全设计编码经验优先。二、业务技能：（一）软件开发方向：1、具有云计算/大数据产品（计算/网络/数据库）的功能开发经验；能独立承担软件模块设计和开发工作；2、熟练掌握Java、C++、python等主流开发语言的一种；熟练掌握常用的软件架构模式，具有疑难问题定位、核心代码开发相关工作经验；（二）工程构建&运维方向：1、熟练使用linux，有运维工作经验优先；2、熟悉主流数据库，对数据库安全、优化、数据安全、灾难恢复等有一定经验；3、熟练使用构建工具和自动化部署工具（ansible、puppet或者saltstack任一款）;4、精通Shell/python脚本，能够快速编写各类服务器维护脚本；5、有vmware vcloud（vsan、nsx等）、KVM等相关维护经验优先；6、良好的沟通能力、细心、负责任、上进心、分享、协作。【高级软件设计/开发工程师】一、专业知识要求：1、通信、电子工程、数学、计算机等相关专业，具备良好的计算机、软件工程领域知识基础 ；2、熟练掌握一种主流开发语言（Java、Python、GoLang、python等）；3、了解分布式一致性、分布式事务、高可用等相关概念，对CAP理论、BASE理论有一定的理解；4、熟悉常见的机器学习算法如KNN、KMeans、SVM等优先考虑；二、业务技能：1、3年及以上Java、Python或GoLang开发经验；2、有Hadoop、Spark、Kafka等相关开发经验值优先考虑；其他要求：1、强烈的责任心，做事认真细致，具备良好的团队合作精神，沟通能力佳；2、对新技术敏感，求知欲强，能快速学习并具备较强的技术领悟能力；【软件测试工程师】一、专业知识要求：1、安全测试方向：有软件安全攻防、渗透测试（如DDOS攻防、提权等）、安全漏洞、防范方法和审计方法等工作经验者优先；2、测试开发方向：熟练掌握web开发的常用框架（如NodeJS、AngularJS等），具备一定的自动化测试经验，掌握业界通用的自动化测试技术；二、业务技能：1、能够熟练应用测试设计方法独立完成方案及用例设计；能够应用JAVA或者TCL等语言书写测试脚本。2、具备1年及以上软件开发或测试经验，有web开发/测试经验、自动化开发/测试经验者优先。3、熟练掌握系统测试、专项测试等方法，有相关测试语言/脚本的编写和实践经验优先。4、要求有较强的学习能力、责任心，自我驱动，有较好的沟通交流及协调能力，开放进取，有探索精神。,通讯电子,2000人以上,spark,南京
大数据架构高级工程师,https://www.lagou.com/jobs/6224947.html,建邺区,35k-70k,北京字节跳动科技有限公司,3-5年,本科,六险一金，弹性工作，免费三餐，租房补贴,"职位职责：1、打造业界领先的存储、计算等分布式系统；2、为海量数据和大规模业务系统提供可靠的基础设施。职位要求：1、掌握分布式系统原理，对存储、计算、消息队列、集群管理中的一项或多项有深入的理解和认识；2、乐于挑战没有明显答案的问题，能快速理解业务场景，从具体问题中抽象出通用的解决方案；3、存储方向：对 HDFS, RocksDB, redis, MySQL, HBase, Kafka 的一项或多项有经验者优先；4、计算方向：对 Spark, MapReduce, Flink, Hive, ClickHouse 的一项或多项有经验者优先；5、Developer Infrastructure方向：对 OpenTSDB, InfluxDB, Mesos, Kubernetes 的一项或多项有经验者优先；6、向开源社区贡献过 patch 者优先，请在简历上说明。",文娱丨内容,2000人以上,spark,南京
基础架构高级开发工程师,https://www.lagou.com/jobs/6224948.html,建邺区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,六险一金，弹性工作，免费三餐，租房补贴,"职位职责：1、掌握分布式系统原理，对存储、计算、消息队列、集群管理中的一项或多项有深入的理解和认识； 2、强悍的 system 设计&编码能力，追求优雅的设计和优秀的代码质量，高标准，快速行动； 3、思路清晰，具备生产系统快速 trouble-shooting 的经验和能力，擅长分析更深层次的原因；职位要求：1、掌握分布式系统原理，对存储、计算、消息队列、集群管理中的一项或多项有深入的理解和认识； 2、强悍的 system 设计&编码能力，追求优雅的设计和优秀的代码质量，高标准，快速行动； 3、思路清晰，具备生产系统快速 trouble-shooting 的经验和能力，擅长分析更深层次的原因； 4、存储方向：对 HDFS, RocksDB, LevelDB, memcache, redis, MySQL, HBase, Kafka 的一项或多项有经验者优先； 5、计算方向：对 Spark, MapReduce, Storm, OLAP 的一项或多项有经验者优先； 5、集群管理方向：对 YARN, Mesos 的一项或多项有经验者优先； 6、向开源社区贡献过 patch 者优先，请在简历上说明。",文娱丨内容,2000人以上,spark,南京
算法工程师,https://www.lagou.com/jobs/6376754.html,江宁区,20k-30k,孩子王儿童用品股份有限公司,3-5年,本科,母婴行业独角兽、互联网氛围、晋升灵活,岗位职责：1.通过深度挖掘用户的行为数据，从数据分析中发掘市场新动向、潜在客户分布、已有客户需求等信息；2.参与基于大数据平台的创新业务场景、数据产品的设计，负责数据产品的研发交付；3.配合团队完成大数据平台的日常运营工作，为数据分析和展现提供支援；岗位要求：1.本科及以上学历，计算机、数学相关专业，4年以上互联网/IT相关经验；2.精通大数据Hadoop体系的相关技术，熟悉BI工具，具有大数据平台的架构经验。具有Hive/Spark/Storm/Alluxio/Presto/Superset/Kylin等工具的实际开发经验者优先；3.熟悉常用数据挖掘算法，如逻辑回归、决策树、关联规则、序列模式、时间序列等； 强大的数学和统计背景（建模，统计，分析，数学）,消费生活,2000人以上,spark,南京
大数据平台研发工程师,https://www.lagou.com/jobs/6656798.html,江宁区,15k-30k,孩子王儿童用品股份有限公司,3-5年,本科,餐补，五险一金，免费班车，节日福利,"工作职责：1、负责大数据平台组件开发运维。2、负责大数据平台系统的封装与完善。3、负责参与数据中台技术架构设计，系统开发。职位要求：1、计算机相关专业本科及以上学历，硕士优先；2、熟悉HDP/CDH等大数据平台开源产品。3、熟悉kafka/ambari/zookeeper/hdfs/hbase/yarn/Alluxio/hive/MR/spark/flink/kudu/presto/impala等大数据组件的一种或多种，具有Contributor优先。4、熟悉Doris/kylin/Clickhouse/druid/GreenPlum/CitusDB/Tidb等开源组件的一种或多种优先。5、三年以上大数据项目或java项目开发经验；6、精通java/python/shell。7、熟悉主流JavaWeb应用开发技术，熟悉分布式、缓存、消息、负载均衡等机制和实现原理；8、熟练掌握Tomcat、Jetty等应用服务器；9、熟练使用mysql,redis等数据库和缓存技术；10、较强的主动解决问题的能力，较强的沟通协调能力。11、较强的压力承受能力，项目管理有组织有计划，条理清晰。",消费生活,2000人以上,spark,南京
大数据架构师,https://www.lagou.com/jobs/6999385.html,江宁区,18k-36k,合肥优尔电子科技有限公司,5-10年,本科,"双休、旅游,五险一金,健康体检,年终奖","职位信息：1. 负责系统架构规划和设计，制定开发规范等；2. 负责带领开发团队持续改进产品的整体设计，跟踪需求迭代，提高用户体验；3. 负责主导重要或高风险模块的详细设计，且亲自实现部分核心模块，控制产出质量；4. 负责项目研发过程中的技术输出与评审工作（包含撰写文档，开展code review等）；5. 负责指导、培养项目组其他开发人员；6. 负责前沿技术研究与落地。任职要求：1. 计算机相关专业本科及以上学历；2. 8年以上开发经验，其中至少3年以上的架构设计经验； 能主持大规模系统的总体设计，具备较强的分析、判断和概括能力，逻辑思维能力，可带领小团队具体开发实现；能够深度挖掘业务需求，为软件开发提供相应的架构设计；具有良好的设计通用框架及模块的能力；3. 熟悉主流开发框架和组件如SpringMVC，SpringBoot, Mybatis, Redis等； 精通MYSQL、Oracle、Greenplum等主流关系型数据库；熟悉sql调优；能够对数据库整体调优为佳； 熟悉并发处理、分布式系统架构；熟悉大数据相关技术为佳（如Hadoop,HBase,Hive,Flink，Spark，Kafka，Flume等相关开发使用经验）； 熟悉Nginx，负载均衡等技术；熟悉前端框架如Vue或React优先；4. 有熟悉阿里、华为数据中台技术组件、架构及数据服务相关开发经验者优先；5. 熟悉git，linux系统的相关命令及基础shell编程；6. 有电力、电信运营商等行业数据采集或大数据相关开发经验者优先；有系统架构师证书优先。","企业服务,信息安全",50-150人,spark,南京
高级java开发工程师,https://www.lagou.com/jobs/6891114.html,鼓楼区,13k-25k,苏州精正信息科技有限公司,5-10年,本科,薪资可谈,"1、4年及以上JAVA开发经验；熟悉Java、Java网络、多线程以及常见开源产品；2、熟悉JVM基本原理，能对JVM进行调优；精通SSM3、有OOP设计能力；4、熟练使用常见中间件，如tomcat, netty,熟悉redis,Kafka，ActiveMQ或RabbitMQ；5、熟悉JS,html、html5；6、熟悉主流关系型数据库，如mysql；NoSql数据库，如Mongodb，HBase等； 7、有大数据hadoop,spark等产品架构经验优先；8、具有良好的沟通能力和协调能力","企业服务,金融",少于15人,spark,南京
JAVA开发工程师,https://www.lagou.com/jobs/5294536.html,栖霞区,15k-25k,上海朗绿建筑科技股份有限公司,5-10年,本科,公司平台好 薪酬福利佳,"岗位职责：1、 扎实的java基础；熟悉linux命令2、精通cp/ip，http等常见协议编程，对通讯协议进行封装并优化；3、 精通JSP、Servlet、JavaScript等WEB开发技术4、 熟悉各种开源的框架如SpringMVC、MyBatis、Spring Cloud、Dubbo/DubboX、Kafka、Storm/Spark、Kubernetes和Docker 等有深入的了解，对框架本身有过开发或重构者可优先考虑5、 熟悉数据库设计、掌握oracle、mysql等主流数据库,具有存储过程开发、SQL性能调优的能力任职资格：1、本科以上学历，计算机软件相关专业优先；2、4年以上软件开发工作经验，有架构设计工作经验优先。","消费生活,企业服务",150-500人,spark,南京
