job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
中高级Spark工程师,https://www.lagou.com/jobs/6927468.html,福田区,15k-25k,深圳市懿华软件有限公司,3-5年,大专,职位高大上，行业老大,岗位职责：1.基于Spark框架大数据架构的设计、开发；2.基于Spark技术的海量数据的自动化分析处理和统计工作；3.根据相关需求使用Spark Streaming、SQL进行数据处理、查询和统计等工作。职位要求：1.专科及以上学历要求，计算机或相关专业背景优先；2.三年以上数据领域技术开发经验，其中两年以上Spark开发经验；3.熟悉Scala、JAVA、HiveSQL；4.熟悉Spark Streaming和Spark SQL，对Spark原理及底层技术有深入了解；5.良好的团队合作意识、沟通能力；6.有过千万数据系统开发经验；7.财产保险从业经验者优先。温馨提示：1、外包岗位，请认准投递2、学历学信网可查，本科16年毕业，专科15年毕业,"移动互联网,消费生活",少于15人,spark,广东
spark,https://www.lagou.com/jobs/6755362.html,荔湾区,18k-25k,绿瘦健康产业集团有限公司,3-5年,本科,spark计算平台，晋升空间大,职责：1.负责跟进业务要求，对公司数据进行实时计算，满足业务需求2.能够组织研究大数据相关技术并在业务中使用，满足业务需求3.带领团队，完善公司实时计算平台要求：1.有3年大数据相关技术经验，对hadoop，spark，hbase等大数据组件有深入了解并有实战经验2.对实时计算原理，技术架构有深入理解3.本科以上学历，英语水平较好，能够无障碍阅读科技文章,医疗丨健康,2000人以上,spark,广东
大数据开发工程师,https://www.lagou.com/jobs/7209593.html,福田区,11k-20k,深圳市博悦科创科技有限公司,1-3年,大专,五险一金年终奖金 定期体检年度旅游,工作职责： 1、负责数据接入、数据提取、数据清洗、底层重构、业务主题模型开发等工作； 2、参与投资数据仓库开发，投资集市开发； 3、负责接口平台、投资分析平台等系统的建设和维护； 4、针对具体大数据应用场景，提供有效解决方案，并针对具体模型落地实施； 应聘要求： 1、大专及以上学历、计算机相关专业优先，2年以上开发经验； 2、精通SQL，至少熟悉Oracle/Mysql/Posgresql中的一种。 3、掌握Sqoop、Hive、Hbase、Spark/Spark streaming、Kafka组件的架构及实现原理，能对其进行故障分析、性能调优；4、热爱技术，有很强的钻研能力，乐于接受有挑战性的任务。 5、大型互联网工作经验者，处理高性能、高并发实践经验者、精通Scala、Python者优先考虑。 6、具备良好的学习能力、分析和解决问题能力； 7、具有高度的责任心和团队合作精神,移动互联网,500-2000人,spark,广东
高级 Java 开发工程师,https://www.lagou.com/jobs/6835316.html,南山区,25k-35k,爱客科技（深圳）有限公司,5-10年,本科,出海产品 技术大牛 扁平化管理,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) { switch(your_stacks) {  case 'Java':  case 'Go':  case 'Kubernetes':  case 'Serverless':   console.log('Join AfterShip'):   break; }}岗位职责1、负责开发公司各平台系统的开发和维护工作；2、负责系统的 SLA 代码维护、迭代更新，保证任务质量和交付及时性；3、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招全日制本科及以上学历，具备英语读写能力；2、五年及以上研发经验，精通 Java，熟悉 Spring, MyBatis 等主流开源组件和框架；2、熟悉高并发、多线程开发、分布式系统，异步消息和微服务框架；3、对数据库有较强的设计能力，熟悉 Hadoop, Spark 等大数据处理框架和平台；加分项1、有更好的产品 Sense，能更多站在产品层面思考问题；2、有写 Blog 的习惯，活跃技术社区，参与开源项目等；3、有代码洁癖，对代码精益求精，对技术有极客热情;4、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,spark,广东
数据仓库工程师,https://www.lagou.com/jobs/6566585.html,南山区,23k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责数据建模，业务、报表相关数据仓库的设计和开发；2、负责数据仓库ETL流程的设计、优化及解决ETL相关的开发；3、数据仓库和业务数据集市的构建；4、业务模型抽象、数据模型设计开发；5、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、五年及以上大数据开发、分析相关项目经验，有实际模型设计及 ETL 开发经验；3、有使用主流数据库技术，Python或 R 语言开发经验。熟悉 SQL 开发与复杂 SQL 优化；4、熟悉数据仓库和数据模型建设的相关技术细节，负责公司数据仓库的设计、优化、建模以及ETL开发；5、深入了解大数据计算平台架构和产品组件原理和应用场景，如消息队列， Spark, Hadoop, Hive, Flink，HBase, AWS,GCP,阿里云等。 加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情;6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,spark,广东
大数据开发工程师,https://www.lagou.com/jobs/2976934.html,天河区,8k-15k,广州市讯飞樽鸿信息技术有限公司,1-3年,本科,"有发展前途,福利好,团队氛围好",工作职责：1: 负责Hadoop平台MapReduce、Hive、spark、sparkstreaming、HBase等应用的维护和开发。2: 负责大数据平台日志收集，数据抽取、清洗、转换和建模的开发。3: 负责离线/实时数据平台建设4: 基于现有业务或第三方数据作数据分析、挖掘。输出用户标签、用户画像报告等。5: 负责项目/模块文档编写，输出项目/模块交付物。任职要求：1: 本科及以上学历，计算机或相关专业；2: 了解数据仓库开发流程，熟悉数据仓库(DW)/商业智能(BI)的数据框架；3: 必须熟悉SQL语言，熟悉Mysql/Oracle等至少一种关系型数据库，有实际数据库开发经验优先；4: 1-3年大数据工作经验，熟练掌握Python/Java/spark至少两种种编程语言，掌握java者优先；5: 熟悉HDFS、HBase、Hive、MapReduce、Impala、Oozie、Sqoop、flume、kafka、Kettle等相关技术/工具，具备大数据分析项目经验；6: 对机器学习算法有一定的了解，有朝数据挖掘、算法分析方向反正意向。7: 具备一定的文档编写能力。8: 熟悉Linux系统，能实际编写Shell脚本；9: 了解传统机器学习算法，深度学习算法，有数据挖掘项目经验优先；,"移动互联网,信息安全",50-150人,spark,广东
大数据主管（偏数据仓库经验）,https://www.lagou.com/jobs/7114600.html,南山区,18k-30k,深圳深蓝保信息技术有限公司,5-10年,本科,行业引领者，大牛团队，互联网氛围,工作内容：1、建设公司级数据仓库，并根据业务变化持续迭代和优化；2、对业务数据进行梳理和抽象，建设数据仓库的数据模型；3、对业务数据进行采集、清洗、转换和存储；4、支撑BI、用户数据、用户运营、用户画像、推荐系统等核心数据平台产品；5、研究大数据前沿技术，不断持续优化大数据平台，为业务提供价值。岗位要求：1、本科及以上计算机、统计学、数据库、机器学习等相关专业，5年以上数据相关工作；2、对业务数据有敏锐的理解能力，并能快速梳理和分析业务数据；3、熟练掌握SQL语言、熟悉MySQL，对Shell、Java（主要开发语言）、Python编程非常熟悉；4、熟悉常用的ETL技术和原则；精通数据仓库数据库设计规范和实操；5、熟悉Hadoop、Hive、HBase、Spark、Storm等开源平台者优先；6、具有较强的分析和解决问题的能力，良好的学习能力和团队合作精神，追求价值实现，认同目标管理和敏捷。7、有大数据处理、数据平台、数据仓库经验者或数据挖掘算法优先；8、具有大数据团队管理和技术管理经验优先。,"金融,移动互联网",150-500人,spark,广东
数据挖掘,https://www.lagou.com/jobs/7049823.html,南山区,13k-25k,广州市梦享网络技术有限公司,3-5年,本科,福利待遇，弹性工作，下午茶，五险一金,岗位职责 ：1、 负责产品海量数据的提取及分析挖掘，为相关部门提供数据支持。2、 深入理解业务，协助实现数据驱动的运营及决策指导。3、 挖掘数据特征及数据价值，探索数据商业化，提出产品优化方案，协助提升数据产品用户体验。4、 设计和开发底层数据分析模型，并不断优化，结合业务需求研究用户画像，构建用户标签体系。5、 监测日常数据，优化数据埋点，对数据异常波动进行分析，并协助解决数据问题。岗 位要求：1、 本科以上学历，数学、统计学、计算机等相关专业优先考虑。2、 2年以上数据分析经验，有移动互联网、电商等相关行业经验优先考虑。3、 具有数据思维，熟悉数据分析与挖掘的流程及方法，擅于从数据中发现问题，并提出解决方案。4、 熟悉 SQL 数据查询及分析，有 MySQL 等关系型数据库使用经验。5、 熟悉 Elasticsearch 原理及使用技术，有海量数据提取及分析处理经验优先。6、 熟悉 python 编程，熟练使用 numpy、pandas、matplotlib、sklearn 等进行数据处理、可视化及建模。7、 掌握常用机器学习算法（分类、聚类、回归、关联等）原理、应用场景及代码实现。8、 了解 Hadoop 生态相关技术及 Linux 常用命令，有 hivesql、spark、Hbase 等使用经验者优先。,"移动互联网,消费生活",150-500人,spark,广东
腾讯音乐--中央信息库数据挖掘,https://www.lagou.com/jobs/6736572.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,弹性工作，补充医疗保险、企业年假,岗位职责：负责从海量用户产生的海量数据中深入统计分析，挖掘用户行为；负责日常曲库与平台业务运营数据挖掘分析，多维度/多模型地全面刻画业务的数据状态。岗位要求：1、本科及以上学历。扎实可靠的编程能力，精通C/C++/Go/JAVA至少一门编程语言；具备良好的数据结构、算法与数据库基础。具备良好的数据分析技能及经验，能够利用数据展现深入分析实际业务问题，为业务做出可靠引导。2、具备3年及以上大规模分布式数据存储与计算开发经验，熟悉Spark/Flink生态相关技术；具备扎实丰富的实际大规模数据分析建模工作经验。,社交,2000人以上,spark,广东
安全技术-后台开发高级工程师,https://www.lagou.com/jobs/6114870.html,南山区,20k-40k,腾讯科技（深圳）有限公司,不限,大专,免费班车；员工食堂；健身房；鹅厂福利,"负责业务安全后台开发，负责高并发服务开发、监控系统开发、海量数据处理集群建设1、具备3年以上开发经验，本科以上学历；2、精通C/C++开发；3、熟悉TCP/IP协议，熟悉Linux开发环境及系统及常见应用层协议；4、有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先；5、有海量数据处理相关开发经验者优先，如 Hadoop、Storm、Spark等；6、具有良好的学习能力、沟通能力、团队合作意识；7、强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。安全技术-运营开发高级工程师岗位职责：负责内容业务安全运营平台及管理平台等项目的前端开发岗位要求：1、3年及以上Web前端开发经验, 熟悉 html5, css, js, node 等开发和维护技术； 2、熟悉常见的前端开发框架, 至少熟悉Vue、React、angular 中的一种框架; 3、有一定的 linux 系统使用经验; 能独立完成web应用的部署, 维护工作; 4、有较强的主动学习能力, 沟通主动，强烈的责任心与主动性。  5、具备大数据平台开发方面相关工作经验、熟悉常用大数据平台和工具，如hadoop/spark/Hbase/Flink/ES等优先考虑。安全技术-计算机视觉方向岗位职责：负责图像审核、模型设计，研发适合在内容安全中使用的安全模型、算法和工具 岗位要求：1.图像处理、计算机视觉、模式识别、机器学习等相关专业。 2.3年以上图像识别/计算机视觉领域相关工作经验，熟悉图像识别/计算机视觉领域的主流模型和算法，关注领域内的最新进展。 3. 较强的算法实现能力，熟练掌握C/C++，Python，Java等至少一门语言；熟悉OpenCV等常用库，熟练使用一种或几种深度学习框架（caffe，tensorflow， MXNet）。 4. 有图目检测、特征提取，图像分类、图像识别等实际应用经验者优先。 5. 有较强的研究能力者优先，如在领域**会议如CVPR，ICCV，ECCV，NIPS等发表过高质量论文。自然语言工程师：岗位职责：负责文本审核、舆情分析的文本识别模型设计，研发适合在内容安全中使用的安全模型、算法和工具 岗位要求：1、自然语言处理、模式识别、机器学习等相关专业硕士及以上。，3年以上相关工作经验；2、有较强的算法基础和编码能力，熟练掌握C/C++，Python，Java等至少一门语言。熟悉Linux环境开发；熟练使用一种或几种深度学习框架（caffe，tensorflow， Pytorch）；3、熟悉常用的自然语言算法，如word2vec、LDA、HMM、CRF等；熟悉深度学习在自然语言处理中的应用；4、有文本内容审核、文本分析、舆情分析等实际应用经验者优先；5、有较强的研究能力者优先，如在领域**会议如ACL、EMNLP、NAACL等发表过高质量论文；6、有良好的团队合作和沟通能力。",社交,2000人以上,spark,广东
java开发工程师,https://www.lagou.com/jobs/6569468.html,天河区,12k-24k,中国移动通信集团设计院有限公司黑龙江分公司,5-10年,本科,发展,岗位职责1. 针对存量产品进行适配改造集成；2. 针对新需求进行新产品架构设计、产品开发；任职资格1、 本科学历，5年以上Java实际项目开发经验，具备独立负责大型Web应用开发工作的经验，能够根据需求给出IT整体解决方案及并进行整体架构设计2、 能够打磨IT团队进行独立产品模块的开发，针对遇到的棘手或新技术问题给出指导解决方案，对于产品开发过程中可能遇到的问题能够进行风险预警3、 具备通信领域系统平台开发经验者优先4、 精通Java语言和Java Web开发，熟练使用如多线程、异常处理、泛型、JDBC、Servlet等Java基础技术，精通熟练掌握SSM等JAVA主流Web框架5、 熟悉设计模式，具有面向对象的分析和设计的能力6、 熟悉HTML、CSS、JavaScript/Ajax等WEB页面设计与编程；熟悉XML、JSON、jQuery等开发技术7、 精通SQL语言，熟练掌握Oracle、MYSQL、PostgreSQL中至少一种数据库，PostgreSQL优先8、 熟悉Unix/Linux操作系统，精通weblogic/tomcat等应用服务器在Linux/Windows等系统上的安装部署和配置方法9、 熟练掌握容器化 微服务等技术者优先10、 熟悉Hadoop/Hive/Spark/HBase等大数据存储和计算系统，具有Hbase/Hive/Spark/Storm/Kafka等应用和开发经验者优先,通讯电子,2000人以上,spark,广东
技术中台负责人,https://www.lagou.com/jobs/7051509.html,南山区,20k-40k,深圳数位传媒科技有限公司,5-10年,本科,大牛团队 办公环境好,"工作职责:1、负责公司大数据平台建设，包括团队组建、架构设计、技术选型、管理、监控和性能调优，保证集群高效稳定运行；2、打造有行业竞争力的系统，支撑公司各类业务对数据的需求；3、系统核心代码编写、指导和培训团队成员、不断进行系统优化；4、跨团队/部门协作，系统分析并解决各类大数据平台相关的运行或数据问题；岗位要求:1、本科及以上学历，5以上的大数据从业经验；2、有大型分布式系统设计经验，负责过海量数据平台上高可用、高性能分布式系统的架构设计；3、对大数据基础架构和平台底层原理有深度理解和丰富开发经验, 对复杂系统的性能优化和稳定性提升有一线实战经验，具备大数据相关技术（Hadoop、Hive、HBase、Kafka、Spark等）项目应用研发经验；4、熟悉分布式存储和NoSQL数据库技术（如MonogoDB、Redis、Cassandra等），有实际生产项目应用经验；5、具有一定的项目规划和决策能力，善于捕捉业务需求、架构设计存在的问题，并给出有效的解决措施和方法；6、有Java业务系统研发经验，架构设计经验者优先考虑。",企业服务,150-500人,spark,广东
