job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Spark高级开发,https://www.lagou.com/jobs/6868931.html,高新区,20k-30k,多点新鲜（北京）电子商务有限公司,3-5年,本科,新兴行业 大牛云集 年轻有活力 福利多多,岗位描述1、负责多点大数据平台的Spark技术研发、问题诊断和性能优化等；2、基于Spark构建数据中台；3、乐于挑战没有明显答案的问题，快速理解业务场景，从具体问题中抽象出通用的解决方案；4、研究业界最新的大数据技术并能快速提出基于公司现状的针对性解决方案；岗位要求1、计算机或相关专业本科以上，3年以上大数据工作经验；2、熟悉Spark、Spark SQL和Spark Streaming内核原理，有社区贡献者优先；3、做事严谨踏实，责任心强，具有良好的沟通能力和团队意识；,移动互联网,500-2000人,spark,成都
核心Java开发工程师,https://www.lagou.com/jobs/6851178.html,高新区,12k-20k,四川众鹏科技有限公司,5-10年,本科,"六险一金,年底双薪,节日福利,年度体检",岗位职责：1.     负责/参与产品或者项目的架构设计、重构、优化及产品间的接口设计。2.     负责项目关键模块的详细设计，并开发实现。3.     负责/参与项目原型设计。4.     完成软件产品在测试、运行过程中出现问题的分析、修正。5.     组织小组成员完成开发工作。 任职要求：1.     本科及以上，计算机相关专业，3年以上java开发经验。2.     熟悉主流开源框架spring boot、spring cloud；storm/spark/ELK；且至少在一个项目中深入应用。3.     具备良好的数据结构基础，有扎实的Java程序设计与编码功底，对面向对象思想有深入理解。4.     熟悉JVM原理及运行机制，能根据实际情况对JVM进行定制优化。5.     深入掌握JAVA软件开发技术，具备中小型项目的分解能力，并能指导初级工程师完成技术工作。6.     能熟练使用vue前端框架7.     熟悉软件设计与开发流程，熟悉Axure、PowerDesigner等设计管理工具。8.     熟悉Memcached、Redis、MongoDB等常用NoSQL解决方案、了解各自的优缺点以及使用场景者优先；,"移动互联网,消费生活",15-50人,spark,成都
技术总监,https://www.lagou.com/jobs/7046657.html,高新区,20k-25k,成都律军风险管理股份有限公司,5-10年,本科,律师互联网行业领跑者、六险一金、扁平管理,岗位名称：技术总监一、岗位职责1、根据公司业务需求和规划，全面负责制定和实现公司的技术框架，负责产品技术方案的规划开发、相应应用架构/技术架构的设计、持续优化和管理；2、负责主导技术管理、技术开发等相关制度规范体系的建立和实施，并不断持续优化，完成技术方案的撰写与审核；3、带领并参与团队开发，为项目制定可靠的执行计划，完成公司既定目标；负责整个项目的系统规划、项目细分，并制定项目任务和项目进度表； 4、能独立完成整个项目核心框架的设计，及核心代码的编写；5、负责公司B端平台、C端产品的技术架构方案的规划，以及对同行业技术产品进行调研以提高产品技术竞争力；6、对公司技术团队的梯队建设及管理，包括专业培训、职业化培养、业绩评估及激励，全面提升团队的技术水平。二、任职要求1、统招本科学历，8年以上Java研发和软件设计经验，具有3年以上管理经验，管理过10人以上研发团队经验优先，有金融行业背景者优先；2、具有丰富的项目管理、架构设计、产品研发、运维管理及项目开发团队管理经验；3、精通springcloud、devops、hadoop，spark/Flink、jvm性能调优，熟练掌握分布式缓存redis，ELK，能熟练使用sql语言，并能进行性能优化；能对分布式常用技术进行合理应用并解决问题；4、擅长大型分布式微服务架构与分布式事务的解决方案、IM 架构、Java 技术栈、golang技术栈等；5、有强烈的创业精神、有较强的团队协作能力以及快速解决问题的能力；6、有较强的沟通交流能力，能领会公司战略意图，并快速准确转化为IT实施落实；7、了解信息安全，并落实公司信息安全管理措施落地。工作地点：成都市高新区天府软件园Ｅ2-1-12层,"金融,其他",50-150人,spark,成都
【WMPS】广告算法工程师-成都,https://www.lagou.com/jobs/6904741.html,高新区,20k-40k,北京三快在线科技有限公司,3-5年,本科,五险一金、免费班车,,消费生活,2000人以上,spark,成都
【WMPS】数据开发工程师,https://www.lagou.com/jobs/6806062.html,高新区,18k-35k,北京三快在线科技有限公司,3-5年,本科,五险一金、免费班车,,消费生活,2000人以上,spark,成都
智慧零售高级后台研发工程师（成都）,https://www.lagou.com/jobs/6427314.html,高新区,20k-40k,腾讯科技（深圳）有限公司,5-10年,不限,业务高增大、大牛多、发挥空间大、福利津贴,工作要求：1、计算机相关专业本科以上学历；3年以上研发类工作经验； 2、熟悉Linux网络编程，精通Java或者Go语言，精通Mysql数据库优化；3、深刻理解面向对象开发，具有较好的系统分析设计能力、文档撰写能力； 4、具备大型分布式系统后台研发或有电商交易平台开发经验者优先；5、具备Hadoop&Spark进行海量数据分析经验者优先；6、积极进取、诚实正直、责任心强，有较好的沟通能力。工作职责：1、负责腾讯云面向智慧零售行业的产品与服务的系统研发工作； 2、负责腾讯云面向智慧零售行业的技术解决方案的研发落地工作； 3、负责腾讯云面向智慧零售行业的系统稳定性保障以及性能调优等工作。,社交,2000人以上,spark,成都
政务大数据交付架构师（成都）,https://www.lagou.com/jobs/6957817.html,高新区,25k-50k,腾讯科技（深圳）有限公司,5-10年,本科,大牛团队,职责：政务大数据处理平台的架构设计和技术选型； 大数据处理平台实施方案的设计和规划； 技术难点攻坚； 项目整体进度的把控和风险控制； 培训及知识转移。岗位要求：计算机、数学等专业本科或以上学历，5年及以上大数据相关工作经验； 对hadoop生态、实时计算框架非常熟悉，具备集群搭建、维护、监控能力； 熟悉Flume、Kafka、Storm、Spark、impala、Hive、Elasticsearch、Hbase等大数据技术至少精通其中三项以上； 具备大数据平台性能分析、debug、排障能力； 有大数据平台的数据流处理、监控经验优先； 至少实践过1个大数据平台建设项目，平台数据量不小于20T； 具有百台以上大数据集群架构经验者优先，具有集群与集群之间数据交换经验者优先，具有政务行业大数据项目经验者优先。,社交,2000人以上,spark,成都
新媒体内容运营专员,https://www.lagou.com/jobs/6806564.html,高新区,4k-7k,BNEING INTERACTIVE PTY LTD,1年以下,大专,海龟、国际范、扁平、发展空间、双休！,"Chinese Content Specialist   A passionate, high-energy social media producer to write, design and create branded content. You will be helping to build exciting content for Australian brands and their audiences on their social media (namely Weibo and WeChat). The successful candidate will have a core skill-set in writing and developing story ideas, with additional capabilities in content planning and strategies (how to make awesome content plans).OUTLINE OF THE ROLE 1、Working together with project owner and AM to develop monthly content plans.2、Develop creative ideas relevant for both brands and social media audiences.3、Content ideas will be a mix of text (stories), images (photos & infographics) and videos .4、You will also play a lead role in writing, editing and producing the content (stories).5、Successfully launch content (stories/images) on social media such as Weibo & WeChat.YOUR SKILLS1、Great Chinese writing skills.2、The ability to both write great original stories and edit, refine and sometimes translate.3、Have strong feel for what stories, topics and themes spark interest with audiences on social media.4、Multi-media design & creative skills (eg. graphic design etc).5、Understanding for how social contents/creatives work and are consumed.6、Strong eye for creative/design (especially in how the creative relates to a specific brand).7、A good understanding for the Chinese social media landscape.新媒体内容运营专员精通写作、视觉排版，擅长生产品牌内容的新媒体制作人。帮助澳洲品牌客户在微信和微博上制作高质量的新媒体内容。期望你的核心技能包括优秀的写作和故事叙述技巧，优秀的内容策划能力。岗位职责1、与策略和AM一起制定月度内容计划。2、能生产创意点子，满足品牌和受众的需要。3、内容构思可以结合文字（故事），图片（照片和信息图）与视频。4、主导内容的写作、编辑和制作。5、内容的按时分发。要求技能1、优秀的写作技能。2、能撰写原创故事，也能编辑润色。一定的英中翻译能力。3、对什么样的故事、话题能引爆读者的兴趣有强烈的认知。4、优秀的视觉和排版技能。5、了解新媒体内容和创意的分发、运营和消费机制。6、具备良好的审美，能识别品牌的调性。7、了解中文新媒体的发展趋势。","社交,广告营销",15-50人,spark,成都
1121WN-应用架构专家,https://www.lagou.com/jobs/6683679.html,锦江区,15k-30k,平安科技（深圳）有限公司,5-10年,本科,"五险一金,节日福利,带薪年假",,金融,2000人以上,spark,成都
大数据测试工程师,https://www.lagou.com/jobs/6679673.html,高新区,8k-15k,杭州初灵信息技术股份有限公司,3-5年,本科,"周末双休,年终奖金,五险一金,弹性工作",岗位职责：1，设计和编写测试用例，组织测试用例评审；2，基于Linux的测试环境，执行测试用例，并定位bug和对修复结果负责；3，负责大数据hadoop，spark，hive，flink等相关大数据产品的测试工作； 3，负责大数据项目及产品上线测试，挖掘并跟进实施性能测试，稳定性等专项测试，保障和提升产品质量；4，根据测试需要，开发测试脚本，进行自动化测试；5，完成测试项目归纳及总结文档。岗位要求：1，本科以上学历，计算机等相关专业；2，2年以上测试相关经验；3，熟悉大数据相关组件，包括spark hive hbase等，有spark，hive等调优经验者优先；3，熟悉软件测试理论和流程；4，熟悉Linux系统安装操作，能独立进行相关大数据组件部署；5，有python，java编写及自动化测试工具开发经验者优先； 6，有通信领域测试经验者优先；7，具备良好的团队合作精神，善于协调沟通。,"移动互联网,数据服务",500-2000人,spark,成都
