job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
中高级Spark工程师,https://www.lagou.com/jobs/6927468.html,福田区,15k-25k,深圳市懿华软件有限公司,3-5年,大专,职位高大上，行业老大,岗位职责：1.基于Spark框架大数据架构的设计、开发；2.基于Spark技术的海量数据的自动化分析处理和统计工作；3.根据相关需求使用Spark Streaming、SQL进行数据处理、查询和统计等工作。职位要求：1.专科及以上学历要求，计算机或相关专业背景优先；2.三年以上数据领域技术开发经验，其中两年以上Spark开发经验；3.熟悉Scala、JAVA、HiveSQL；4.熟悉Spark Streaming和Spark SQL，对Spark原理及底层技术有深入了解；5.良好的团队合作意识、沟通能力；6.有过千万数据系统开发经验；7.财产保险从业经验者优先。温馨提示：1、外包岗位，请认准投递2、学历学信网可查，本科16年毕业，专科15年毕业,"移动互联网,消费生活",少于15人,spark,深圳
大数据主管（偏数据仓库经验）,https://www.lagou.com/jobs/7114600.html,南山区,18k-30k,深圳深蓝保信息技术有限公司,5-10年,本科,行业引领者，大牛团队，互联网氛围,工作内容：1、建设公司级数据仓库，并根据业务变化持续迭代和优化；2、对业务数据进行梳理和抽象，建设数据仓库的数据模型；3、对业务数据进行采集、清洗、转换和存储；4、支撑BI、用户数据、用户运营、用户画像、推荐系统等核心数据平台产品；5、研究大数据前沿技术，不断持续优化大数据平台，为业务提供价值。岗位要求：1、本科及以上计算机、统计学、数据库、机器学习等相关专业，5年以上数据相关工作；2、对业务数据有敏锐的理解能力，并能快速梳理和分析业务数据；3、熟练掌握SQL语言、熟悉MySQL，对Shell、Java（主要开发语言）、Python编程非常熟悉；4、熟悉常用的ETL技术和原则；精通数据仓库数据库设计规范和实操；5、熟悉Hadoop、Hive、HBase、Spark、Storm等开源平台者优先；6、具有较强的分析和解决问题的能力，良好的学习能力和团队合作精神，追求价值实现，认同目标管理和敏捷。7、有大数据处理、数据平台、数据仓库经验者或数据挖掘算法优先；8、具有大数据团队管理和技术管理经验优先。,"金融,移动互联网",150-500人,spark,深圳
腾讯音乐BI数据产品经理,https://www.lagou.com/jobs/6866840.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,平台大,岗位职责 1、负责集团BI系统建设，满足公司各个团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑，反向指导业务方向；2、快速充分理解各个业务方需求，制定和迭代数据产品方案，包括但不限于数据可视化、数据订阅、查询工具； 3、深入理解其业务需数据需求和分析体系，抽象出对数据基础设施和中间库表的优化方案，提高数据服务效率，完善数据中台能力；4、结合集团数据发展，制定并实施数据治理与数据管理策略；5、基于对互联网文娱业务的较深理解，进行战略和岗位要求 1、计算机、统计学、数学、经济学等相关专业；2、5年以上数据产品工作经验，有完整的数据产品需求、开发、管理的上线全链条项目经验；3、 逻辑思维严密，有独立分析调研能力，对数据加工和数据产品都较深理解.4、熟悉运用SQL，对前端BI、底层DB有深入的了解，能够独立完成基础数据的探查工作，掌握Hive，spark等大数据工具者优先；3、 逻辑思维严密，有独立分析调研能力，对数据加工和数据产品都较深理解.4、熟悉运用SQL，对前端BI、底层DB有深入的了解，能够独立完成基础数据的探查工作，掌握Hive，spark等大数据工具者优先；5、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的项目；,社交,2000人以上,spark,深圳
腾讯音乐资深数据产品经理,https://www.lagou.com/jobs/6970029.html,南山区,30k-60k,腾讯科技（深圳）有限公司,5-10年,本科,平台大,岗位职责 1、负责集团BI系统建设，满足公司各个团队的核心业务数据分析需求，同时抽象出更高层次的数据逻辑，反向指导业务方向；2、快速充分理解各个业务方需求，制定和迭代数据产品方案，包括但不限于数据可视化、数据订阅、查询工具； 3、深入理解其业务需数据需求和分析体系，抽象出对数据基础设施和中间库表的优化方案，提高数据服务效率，完善数据中台能力；4、结合集团数据发展，制定并实施数据治理与数据管理策略；5、基于对互联网文娱业务的较深理解，进行战略和岗位要求 1、计算机、统计学、数学、经济学等相关专业；2、5年以上数据产品工作经验，有完整的数据产品需求、开发、管理的上线全链条项目经验；3、 逻辑思维严密，有独立分析调研能力，对数据加工和数据产品都较深理解.4、熟悉运用SQL，对前端BI、底层DB有深入的了解，能够独立完成基础数据的探查工作，掌握Hive，spark等大数据工具者优先；3、 逻辑思维严密，有独立分析调研能力，对数据加工和数据产品都较深理解.4、熟悉运用SQL，对前端BI、底层DB有深入的了解，能够独立完成基础数据的探查工作，掌握Hive，spark等大数据工具者优先；5、良好的逻辑思维能力、业务解读能力和快速学习能力，能够独立领导完整的项目；,社交,2000人以上,spark,深圳
大数据开发工程师,https://www.lagou.com/jobs/6390055.html,南山区,25k-40k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) { switch(your_stacks) {  case 'Node.js':  case 'Python':  case 'Kubernetes':  case 'Serverless':   console.log('Join AfterShip');   break; }}岗位职责1、负责数据进行清洗、处理、分析（每月超过 10 亿条实时数据反馈）；2、负责大数据处理分析平台搭建，数据产品构建；3、负责生成 BI 报告以及实时生成不同纬度的报告；4、负责系统的 SLA 代码维护、秩代更新，保证任务质量和交付及时性；5、负责编写相关的技术文档、单元测试，对产品质量负责；6、负责基于Hadoop/Spark/Hive/Kafka/Flink等分布式计算平台实现离线分析、实时流分析的计算框架的开发。岗位要求1、统招本科及以上学历，英语读写熟练；2、熟悉 Git/GitHub，通信协议 TCP/HTTP 及 RESTful 标准；3、五年及以上数据平台构建，Java, Scala 或 Python 开发工作经验；4、深入了解大数据计算平台架构和产品组件原理和应用场景，如 Spark, Hadoop, Hive, HBase, AWS Redshift, AWS Kinesis, GCP BigQuery, GCP Cloud Dataflow 等。加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes、AWS 或 GCP 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情；6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,spark,深圳
数据架构师,https://www.lagou.com/jobs/6929683.html,南山区,28k-45k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) { switch(your_stacks) {  case 'Node.js':  case 'Python':  case 'Kubernetes':  case 'Serverless':   console.log('Join AfterShip');   break; }}职位描述：1. 负责公司业务数据需求以及数据产品的架构设计、技术规划、技术选型，满足业务需求以及驱动业务发展；2. 负责数据平台技术架构和建设规划，支持海量数据的离线和实时分析，不断优化平台架构及性能；3. 负责大数据项目的开发组织工作，指导研发团队进行系统开发。任职要求：1. 本科及以上学历，热爱互联网，乐于学习，乐于尝试新事物；2. 有大数据平台或者大数据应用架构设计，5年以上系统架构设计经验，有5年以上数据研发；3. 精通Hadoop的大数据生态系统组件Hadoop /Hbase /Spark /Hive /Kafka；4. 有用户画像、大数据处理、数据仓库经验者优先；5. 熟悉GCP或者AWS云平台使用并在其上有搭建过数据平台者优先；6. 熟练掌握Java、Scala、Python等编程语言，Shell、Perl等脚本语言；7. 有解决项目中关键问题和技术问题的能力，责任心强，具备良好的团队合作精神，良好的沟通及协作能力，领导力强。加分项1、有 CI/CD 自动化测试经验；2、有使用 Docker、Kubernetes、AWS 或 GCP 云计算经验；3、有写 Blog 的习惯，活跃技术社区，参与开源项目等；4、有代码洁癖，对代码精益求精，对技术有极客热情；5、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,spark,深圳
大数据开发工程师,https://www.lagou.com/jobs/7209593.html,福田区,11k-20k,深圳市博悦科创科技有限公司,1-3年,大专,五险一金年终奖金 定期体检年度旅游,工作职责： 1、负责数据接入、数据提取、数据清洗、底层重构、业务主题模型开发等工作； 2、参与投资数据仓库开发，投资集市开发； 3、负责接口平台、投资分析平台等系统的建设和维护； 4、针对具体大数据应用场景，提供有效解决方案，并针对具体模型落地实施； 应聘要求： 1、大专及以上学历、计算机相关专业优先，2年以上开发经验； 2、精通SQL，至少熟悉Oracle/Mysql/Posgresql中的一种。 3、掌握Sqoop、Hive、Hbase、Spark/Spark streaming、Kafka组件的架构及实现原理，能对其进行故障分析、性能调优；4、热爱技术，有很强的钻研能力，乐于接受有挑战性的任务。 5、大型互联网工作经验者，处理高性能、高并发实践经验者、精通Scala、Python者优先考虑。 6、具备良好的学习能力、分析和解决问题能力； 7、具有高度的责任心和团队合作精神,移动互联网,500-2000人,spark,深圳
数据挖掘,https://www.lagou.com/jobs/7049823.html,南山区,13k-25k,广州市梦享网络技术有限公司,3-5年,本科,福利待遇，弹性工作，下午茶，五险一金,岗位职责 ：1、 负责产品海量数据的提取及分析挖掘，为相关部门提供数据支持。2、 深入理解业务，协助实现数据驱动的运营及决策指导。3、 挖掘数据特征及数据价值，探索数据商业化，提出产品优化方案，协助提升数据产品用户体验。4、 设计和开发底层数据分析模型，并不断优化，结合业务需求研究用户画像，构建用户标签体系。5、 监测日常数据，优化数据埋点，对数据异常波动进行分析，并协助解决数据问题。岗 位要求：1、 本科以上学历，数学、统计学、计算机等相关专业优先考虑。2、 2年以上数据分析经验，有移动互联网、电商等相关行业经验优先考虑。3、 具有数据思维，熟悉数据分析与挖掘的流程及方法，擅于从数据中发现问题，并提出解决方案。4、 熟悉 SQL 数据查询及分析，有 MySQL 等关系型数据库使用经验。5、 熟悉 Elasticsearch 原理及使用技术，有海量数据提取及分析处理经验优先。6、 熟悉 python 编程，熟练使用 numpy、pandas、matplotlib、sklearn 等进行数据处理、可视化及建模。7、 掌握常用机器学习算法（分类、聚类、回归、关联等）原理、应用场景及代码实现。8、 了解 Hadoop 生态相关技术及 Linux 常用命令，有 hivesql、spark、Hbase 等使用经验者优先。,"移动互联网,消费生活",150-500人,spark,深圳
技术中台负责人,https://www.lagou.com/jobs/7051509.html,南山区,20k-40k,深圳数位传媒科技有限公司,5-10年,本科,大牛团队 办公环境好,"工作职责:1、负责公司大数据平台建设，包括团队组建、架构设计、技术选型、管理、监控和性能调优，保证集群高效稳定运行；2、打造有行业竞争力的系统，支撑公司各类业务对数据的需求；3、系统核心代码编写、指导和培训团队成员、不断进行系统优化；4、跨团队/部门协作，系统分析并解决各类大数据平台相关的运行或数据问题；岗位要求:1、本科及以上学历，5以上的大数据从业经验；2、有大型分布式系统设计经验，负责过海量数据平台上高可用、高性能分布式系统的架构设计；3、对大数据基础架构和平台底层原理有深度理解和丰富开发经验, 对复杂系统的性能优化和稳定性提升有一线实战经验，具备大数据相关技术（Hadoop、Hive、HBase、Kafka、Spark等）项目应用研发经验；4、熟悉分布式存储和NoSQL数据库技术（如MonogoDB、Redis、Cassandra等），有实际生产项目应用经验；5、具有一定的项目规划和决策能力，善于捕捉业务需求、架构设计存在的问题，并给出有效的解决措施和方法；6、有Java业务系统研发经验，架构设计经验者优先考虑。",企业服务,150-500人,spark,深圳
大数据开发工程师,https://www.lagou.com/jobs/7025067.html,南山区,18k-30k,深圳数位传媒科技有限公司,3-5年,本科,大数据 发展前景好 有竞争力薪酬体系好,"岗位职责：1. 参与大数据平台产品的架构和规划，用户基础数据及用户画像的体系建设；2. 负责大数据平台和基础产品的开发和维护，3. 建设日均增量100T数据基础平台建设；4. 基于用户行为数据，构建高性能，低延迟的处理流程；5. 业务数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；岗位要求：1. 3年以上的大型数据仓库/数据调度/数据报表分析平台建设经验；2. 精通Java/Scala，C++，Python等开发语言至少一个以上，具备良好的面向对象和函数编程思想，了解常用设计模式；3. 熟悉Hadoop、Flume、Spark、Hbase、Lucene、ES、MR等数据组件，有源代码阅读和剖析经验，Contributor或者Committer优先；4. 熟悉Mysql/Postgresql，有复杂sql优化经验;5. 熟悉分布式系统的基础理论, 有高并发系统的架构设计、开发和调试经验6. 熟悉数据可视化的基本方法，有数据可视化的开发经验优先；7. 良好的学习和沟通能力，责任心强，强烈的技术敏锐度，良备的逻辑分析能力，独立解决问题",企业服务,150-500人,spark,深圳
