job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据研发工程师（中高级）,https://www.lagou.com/jobs/7203174.html,雁塔区,16k-24k,杭州评师教育科技有限公司,3-5年,本科,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,spark,西安
大数据研发工程师（初中级,https://www.lagou.com/jobs/7203147.html,雁塔区,12k-16k,杭州评师教育科技有限公司,1-3年,不限,国产芯片、基础设施、行业应用、飞速扩展,1、计算机/通信/数学相关专业，具备软件编码经验，掌握Java/C/C++/Python/GO等编程语言的一种或多种；2、掌握大数据Spark/Hadoop/flink/hbase等开源大数据技术的一种或多种；3、熟悉Linux内核，了解内存管理、网络协议、文件系统、多线程调度等核心功能模块原理；4、有分布式存储技术、网络加速、资源调度等经验优先。5、211/985统招本科、硕士优先,移动互联网,50-150人,spark,西安
存储后台开发工程师(腾讯云全资子公司)（西安）,https://www.lagou.com/jobs/6945333.html,雁塔区,12k-20k,腾讯科技（深圳）有限公司,1-3年,本科,大平台，好前景,"工作职责：负责腾讯云对象存储COS/云hdfs CHDFS/存储网关CSG的后台、运营管理等系统的开发、优化和维护；岗位要求：1. 精通C/C++、Java、Python、PHP、Golang中的一种或几种；2. 熟悉常用数据结构和算法，精通网络编程，多线程编程；3. 熟悉计算机网络，TCP/IP协议， HTTP协议，有性能优化经验优先；4. 拥有较强的逻辑思维能力，能够快速的分析问题，解决问题5. 较强的沟通能力和团队合作精神，高度的责任心, 工作主动积极，能承受较大的工作压力6. 有分布式对象存储，键值存储，结构化数据库开发经验者，包括Hadoop，HDFS，Mongodb，s3，GFS，BigTable等优先。7. 有大数据场景经验者，包括对海量日志的处理、分析，精通hadoop，hive，spark等大数据处理经验者优先",社交,2000人以上,spark,西安
22989-腾讯云运营开发工程师（腾讯云全资子公司,https://www.lagou.com/jobs/6932736.html,浐灞生态区,12k-20k,腾讯科技（深圳）有限公司,3-5年,不限,平台大，发展快，待遇好，福利棒,岗位要求：    具备2年以上开发经验，本科以上学历；至少精通1门开发语言：Python、C/C++、Go；熟悉Linux开发环境，熟悉MYSQL或其他大型数据库，熟悉Web开发框架优先；有运维自动化、监控系统、发布系统、运营支撑系统等开发经验者优先；有海量数据处理、机器学习相关开发经验者优先，如 Hadoop、Spark等；具有良好的学习能力、沟通能力、团队合作意识；强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长。 通过腾讯云技术认证或同等资格认证的优先录取。注:此岗位为腾讯集团旗下全资子公司编制岗位   岗位职责：    负责腾讯云IAAS基础设施运营平台系统的架构设计和开发，包括监控告警、自动化平台、运营分析、大数据处理集群等系统的开发与维护；通过运维自动化、智能化的建设，提升腾讯云运维效率与质量；通过机器学习、海量数据处理等相关技术，支持腾讯云智能化运维及精细化运营。,社交,2000人以上,spark,西安
大数据工程师,https://www.lagou.com/jobs/5477951.html,雁塔区,13k-25k,华为技术有限公司,5-10年,本科,福利待遇好,业务技能要求：1、熟练掌握Java、C++、python等主流开发语言的一种；2、熟悉Linux配置和Shell使用；3、熟练掌握常用的软件架构模式，并能熟练使用基本的编程编译工具；4、3年及以上项目开发经验，熟练掌握Java/Web/JS/C++等主流开发语言，独立承担过20K以上模块开发、维护工作，并能独立承担4K规模子系统和模块开发设计工作，有以下相关经验、技能者优先考虑：1）熟悉分布式架构、有分布式软件开发经验者；2）熟悉Openstack、WMWare等云操作系统软件者；3）有云计算及大数据/SDN/NFV领域开发经验者；5、具有良好的沟通能力，刻苦、敬业、有上进心，有良好的团队合作精神。对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力。专业知识要求：1、精通Java/Scala/Python/C/C++/JavaScript/JSP中的一种或多种；2、有完整的项目开发经验，系统核心模块看护经验者优先；3、有大数据Hadoop/HBase/Flume/Kafka/Flink /Hive/Spark等开源大数据技术相关经验者优先。4、有GIS、LBS等数据挖掘算法优先；5、有Angular、Jquery、Spring、Tomcat、Restful经验者优先,通讯电子,2000人以上,spark,西安
大数据开发工程师,https://www.lagou.com/jobs/7070536.html,雁塔区,15k-30k,西安点告网络科技有限公司,3-5年,本科,薪资福利、晋升空间,"岗位职责：1. 负责大数据平台类产品的设计开发，性能优化等2. DMP系统设计开发，不断优化改善现有服务3. 公司业务系统数据需求开发，新技术调研落地等基本要求：1. 本科以上学历，2年以上大数据开发经验2. 扎实的java编程基础，熟悉scala,python开发语言3. 有hadoop,spark,flink,presto等大数据常用组件开发经验      4. 掌握mongodb,mysql等数据库，熟悉clickhouse,aerospike,tablestore等数据库者优先                      5. 较强的学习能力和独立解决问题的能力，责任心强优先条件：1. 熟悉阿里云相关服务者优先2. 有数据中台类产品开发经验者有优先",移动互联网,150-500人,spark,西安
大数据开发工程师,https://www.lagou.com/jobs/7176942.html,高新技术产业开发区,15k-25k,北京中合利成电子商务有限公司,5-10年,本科,央企 五险一金,"岗位职责:1. 负责公司大数据平台及大数据应用产品设计、研发2. 负责大数据项目的架构设计、技术管理任职要求:1. 计算机或数学相关专业、本科及以上学历;2. 熟练掌握Java/Python/Scala等任意一种或多种编程语言,至少5年以上软件开发经验及2年以上技术管理经验,熟悉C++者优先;3. 熟悉Hadoop生态系统,熟练掌握Hadoop、Spark、Flink框架。4. 具有数据仓库、数据治理工作经验者优先",电商,150-500人,spark,西安
软件架构师,https://www.lagou.com/jobs/6760078.html,雁塔区,10k-20k,北京源清慧虹信息科技有限公司,不限,本科,年终绩效 二次医疗 健身房,技能要求：Hadoop，MongoDB，大型分布式架构，云平台架构、分布式、微服务架构，数据架构，解决方案岗位职责：  1. 负责物联网大数据系统的架构设计和核心开发2. 负责完成核心代码技术攻坚3. 根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。任职资格  1. 3年以上开发经验熟练掌握Java、Scala、Python中的至少一种开发语言2. 参与过完整的大数据项目，有相关的大数据系统架构经验3. 熟练掌握Hadoop、Kafka、Spark、Storm等分布式框架原理有相关的调优、运维、开发经验4. 掌握至少一种时序数据库的原理和相关的使用5. 具有Postgresql、MySql、MongoDB等其中一种数据库应用开发经验6. 对技术有激情喜欢钻研能快速接受和掌握新技术有较强的独立、主动的学习能力良好的沟通表达能7. 有物联网相关系统、可视化相关系统、微服务相关系统的设计和研发经验的优先考虑。,"信息安全,数据服务",50-150人,spark,西安
大数据架构师,https://www.lagou.com/jobs/7049315.html,高新技术产业开发区,10k-20k,北京源清慧虹信息科技有限公司,不限,本科,二次医疗 健身房 体检 通讯补助,职位诱惑：        二次医疗 绩效奖金 健身房职位描述：技能要求：数据架构，解决方案、分布式、微服务架构，大型分布式架构，Hadoop岗位职责：1. 负责物联网大数据平台系统的设计与实现，包括实时流和离线数据等相关功能的开发与实现。2. 负责完成核心代码技术攻坚。3. 根据开发规范与流程独立完成模块的设计、编码、测试以及相关文档。4. 负责物联网监测行业的算法工程化实现。任职资格1. 计算机相关专业本科及以上学历。2. 3年以上开发经验熟练掌握Python 、Go 、C++中的至少一种开发语言。3. 有相关的大数据系统架构经验，具有扎实的计算机科学功底，扎实的编程基础和数据结构算法基础，良好的工程素养，极强的问题解决能力。4. 熟练掌握Hadoop、Kafka、Spark、Storm等分布式框架原理，有相关的调优、运维、开发经验。5. 具有Postgresql、MySql、MongoDB，ClickHouse等其中一种数据库应用开发经验。6. 有物联网相关系统、可视化相关系统、微服务相关系统的设计和研发经验的优先考虑。7. 对技术有激情，有较强的独立、主动的学习能力，良好的沟通表达能力。8. 善于交流，有良好的团队合作精神和积极的工作态度，个人素养过硬。,"信息安全,数据服务",50-150人,spark,西安
大数据开发工程师,https://www.lagou.com/jobs/4164946.html,雁塔区,15k-25k,深圳市易流科技股份有限公司,1-3年,本科,"友好团队,前沿技术,发展平台",岗位职责：1、数据仓库和大数据处理模块的设计、开发和优化；2、数据预处理、数据分析及挖掘工作；3、大数据前沿技术的研究及应用。任职要求：1、本科及以上学历，1年以上大数据工作经验。心态端正，认真负责，学习能力优秀；2、熟悉mysql、SQLserver等主流数据库系统，精通SQL及调优；3、熟练使用Hadoop、Hive、HBase、Spark等基本大数据组件，必须有可靠的实际编程能力和项目经验；4、精通java、熟悉scala、python语言；5、有物流行业或时空数据处理工作经验优先考虑。,移动互联网,500-2000人,spark,西安
