job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发工程师,https://www.lagou.com/jobs/7034445.html,东莞市市辖区,10k-20k,易宝软件科技（南京）有限公司,不限,本科,五险一金+周末双休+ 重点项目+节日福利,技能要求：vue.js，echarts技能要求：vue.js，html，Javascript，echarts，Css【我们需要你来完成】负责公司技术支持网站的前端开发工作和维护工作【我们期待这样的你】1、精通HTML、JavaScript、css等web开发技术；2、熟悉一种现代前端框架：vue；3、严格遵守团队的代码格式、结构的规定、编写易读、易维护、高质量的代码；4、良好的团队合作精神、较好的沟通能力、高度的责任感；,移动互联网,150-500人,web,东莞
web前端,https://www.lagou.com/jobs/7156280.html,东莞市市辖区,10k-16k,东莞市易智通智能科技有限公司,3-5年,大专,五险一金，年终奖，带薪假,"1、大专及以上学历，3年以上相关工作经验2、熟悉HTML5、CSS、Javascript、AJAX、JSON、等Web页面技术3、熟悉Vue、React、Angular、Element-UI等框架，熟悉ES6标准4、熟练使用前端调试工具、性能分析工具5、有H5,公众号，小程序项目开发经验","汽车丨出行,软件开发",15-50人,web,东莞
web前端,https://www.lagou.com/jobs/6765174.html,东莞市市辖区,12k-23k,拓维信息系统股份有限公司,3-5年,本科,项目奖金,职位描述：1、负责项目前端的模块设计工作，完成 模块 的前端界面及核心交互逻辑设计；2、指导开发成员完成模块内前端界面和交互逻辑开发工作，负责模块的开发交付；3、拉通前后端，进行项目功能端到端调测；4、参与部分前端技术预研，输出相关预研结果；任职要求： 1、本科或以上学历，计算机相关专业；2、2年以上Web前端开发经验，有独立的前端模块开发经验；3、熟练掌握HTML/CSS/JavaScript/jQuery，有中大型项目前端应用开发经验者优先；4、熟练掌握 AngularJS/ReactJS/Vue.JS 中至少一种框架，熟悉前端模块化开发方法；,"移动互联网,教育",2000人以上,web,东莞
Web前端工程师,https://www.lagou.com/jobs/7202525.html,东莞市市辖区,6k-10k,东莞热爱云居科技有限公司,1-3年,本科,年终奖金 办公环境好 扁平化管理,工作职责：1.负责云平台应用后台开发；2.负责前端小程序端/H5端开发；3.负责3d场景开发；工作要求：1.本科以上学历，计算机相关专业，211/985院校毕业生优先；2.熟悉微信开发体系，包括公众号、小程序、微信支付等；3.理解Web标准并熟练运用HTML/CSS/JavaScript构建高性能web应用；4.了解主流前端构建工具，并能根据项目实际情况定制构建工具；5.熟练运用jQuery/Zepto，掌握React或Vue并有相关实战经验，有node.js/php开发经验者优先；6.熟悉WebGL，threeJs优先；,软件开发,15-50人,web,东莞
web前端开发工程师,https://www.lagou.com/jobs/4555470.html,东莞市市辖区,6k-9k,东莞市星凯网络技术开发有限公司,3-5年,不限,"双薪,社保,餐补,下午茶,旅游,不加班,",职位描述：岗位职责：1、负责公司前端方案制作及项目开发、维护；2、负责公司技术攻关及项目优化；3、负责公司基础框架建设及业务实现；4、参与需求讨论、前端架构建设，技术贡献等；任职要求:1、计算机相关专业大专及以上学历，2年及以上互联网前端开发工作经验；基础扎实，有大型项目开发经验；2、精通原生js、HTML5、CSS3，对ES5/ES6有较深的理解和实际开发应用；3、熟练掌握 AngularJS/ReactJS/Vue.JS 中至少一种框架，熟悉前端模块化开发方法；4、良好的应用交互设计能力；5、熟练掌握Web性能优化手段及Web安全方面的知识；6、至少了解一种服务器端语言 .NET/PHP等，能高效配合后端开发应用；7、有独立解决问题的能力，逻辑思维清晰、罗谨，对代码和设计质量有严格要求，有良好的编码习惯和严格的编码规范；8、有小程序/uniapp开发app相关工作和实践经验者优先。9、www.starkay.com 里面有一些我们的作品及案例。,移动互联网,15-50人,web,东莞
web前端开发工程师,https://www.lagou.com/jobs/6711516.html,东莞市市辖区,8k-10k,广东盘古信息科技股份有限公司,1-3年,大专,五险一金；绩效奖金；年终奖；购房购车补贴,岗位职责:1.参与项目方案中前端相关的讨论、设计以及文档编写；2.负责前端HTML/js/CSS代码的编写，实现界面效果、交互和功能；3.按产品设计需求完成项目开发迭代，主动实现优化和提升用户体验；4.深入分析和解决前端遇到的各种技术、性能、跨终端、浏览器兼容问题，保证页面响应性能和执行效率；5.完成前端核心业务代码及JS组件的封装；6.能不断完善和优化前端技术开发规范和流程；任职资格:1.二年以上前端开发经验；2.精通Javascript、HTML/XML、CSS3、html5、Ajax等前端开发技术，熟悉W3C标准；3.熟悉bootstrap，font awesome等CSS框架；4.熟悉JQuery、zepto、bootstrap等Javascript框架；5.掌握WEB所需图片设计及编辑等基本美工能力；6.有nodeJS开发经验者优先；7.熟悉全栈开发，有创新能力，有JAVA WEB经验优先；8.对业界最新的前端技术和实现有浓厚的兴趣及深入的见解；9.具备良好的团队合作精神、较强的沟通能力、高度的责任感、有一定的抗压能力。,其他,150-500人,web,东莞
web前端开发工程师,https://www.lagou.com/jobs/6675953.html,东莞市市辖区,8k-9k,东莞市聚湘合网络科技有限公司,3-5年,不限,年底分红等等,1.熟悉移动端vue项目相关结构代码以及代码编写风格2.优化首页热门新房列表布局，底部在线咨询icon 以及对照设计稿修改图文样式3.优化新房布局和文字样式，解决移动设备的及兼容性问题。4.优化团购定制布局并添加一站式服务部分结构和样式5.优化团购报名样式，对比设计稿进行样式修改。6.整理项目多余的代码和图片,电商、软件开发,15-50人,web,东莞
web前端,https://www.lagou.com/jobs/2698830.html,东莞市市辖区,5k-8k,天网商数科技有限公司,不限,大专,老板nice，前景好，周末双休，弹性上班,一、工作职责： 1、主持产品UI和交互方面的开发需求；2、负责网页产品的前端展示效果开发，配合后台开发人员实现网站动态功能；4、负责前端效果调优，前端体验优化；5、和服务器端开发人员进行应用及系统整合。二、任职要求：1、大专以上学历，计算机或软件工程相关专业毕业     2、熟悉前端常用库及框架：bootstrap、H+、vue、jquery等3、熟悉微信小程序开发    4、精通html，xml，css，javascript，ajax，json等前端开发技术    5、熟练掌握H5，熟练掌握响应式布局，开发兼容手机微信默认浏览器页面、实现移动端页面布局 6、应届可,"移动互联网,电商",少于15人,web,东莞
web前端工程师,https://www.lagou.com/jobs/1802492.html,东莞市市辖区,6k-10k,东莞市鼎点网络科技有限公司,1-3年,大专,成熟团队、全新项目。长袖善舞、空间无限。,"岗位职责：1.负责项目的页面制作、实现人机交互的效果；2.对UI设计的结果进行页面制作（CSS/css3+xhtml/html5+JS）；3.从视觉和用户体验角度，提供改进建议，为网站/移动端的页面提供持续优化方案；4.配合程序进行代码的调试、bug修复、浏览器兼容性调优。岗位要求：1. vue实际项目开发经验（建议至少半年）或者 对主流前端框架（ React Angular等）至少一种有实际应用（必须）2. 熟悉MVVM模式，熟悉前端模块化开发3. 有一定的跨平台开发适配思路；4. 了解web app开发流程以及实际开发过相关app者优先考虑5. 注重代码质量，开发效率高，注重团队协作代码风格统一6. 能够协助实现复杂的页面结构，基本功较扎实7. 精通html5/css3/Javascript(ES5,ES6)Ajax等前端开发技术，能够处理多浏览器兼容性，对跨域解决方案有了解8. 熟练使用gulp、webpack等构件工具，能够掌握nodejs基本的开发技能（必须）9. 有uniapp或者原生小程序开发经验者优先考虑","移动互联网,电商",15-50人,web,东莞
web前端,https://www.lagou.com/jobs/5950445.html,东莞市市辖区,8k-15k,广东升云信息科技有限公司,1-3年,大专,公司提供五险一金,前端开发工程师招聘要求：1.计算机或相关专业本科及以上学历，具有较强的逻辑思维能力；2.三年或以上 JS 开发工作经验，熟悉HTML5、CSS3、JSON、XML等开发技术，有响应式页面开发经验；3.熟练掌握一门或多门web开发框架，如vue、angular、react等；4.做过可视化相关项目，对图表绘制框架（d3、echarts）或地图框架（openlayers、mapbox）有一定实际工作经验，有webgl开发经验优先；5.对用户体验、交互设计、数据可视化有深刻的认识。,"移动互联网,电商",15-50人,web,东莞
