job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发工程师,https://www.lagou.com/jobs/7080214.html,海曙区,4k-8k,宁波云数信息科技有限公司,1-3年,大专,"工作环境好,晋升空间大",职位描述：岗位职责: 1. 根据UI设计，熟练运用 HTML CSS JavaScript 产出兼容于目前主流浏览器的前端页面；  2. 实现Web前端用户界面编码，能够和UI设计师、后端工程师紧密沟通协作，负责将UI提供的设计图转化成静态页面。 任职要求： 1. 大专及以上学历，至少2年Web前端开发经验；  2. 精通HTML、CSS、JavaScript、Ajax等Web前端开发技术，能轻松写出符合W3C标准、兼容多种浏览器的前端页面代码，对于页面效果实现有足够的经验；  3. 能熟练使用Vue.js开发；(这条很重要哦) 4. 对用户体验，交互设计等有深入的理解，对前端页面代码结构及前端交互性能有深入的理解； 有UI设计能力者优先，薪资可再面议； 6. 具备良好的敬业精神、团队协作能力、沟通能力和学习能力。,"移动互联网,教育",15-50人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6240605.html,鄞州区,15k-25k,宁波逸享电子商务有限公司,5-10年,大专,发展前景优,职位描述1、负责移动端HTML5页面产品的研发； 2、根据产品需求完成相关产品功能开发； 3、持续优化系统在各平台下的兼容性，提高执行效率； 4、配合后台工程师一起研讨技术实现方案，进行应用及系统整合。任职资格 1、拥有3年以上Web前端开发经验； 2、精通ES6/7/8 HTML5 CSS3 等，深刻理解web标准，对主流浏览器兼容性问题有一定研究； 3、熟练掌握至少一种主流前端开发框架（Vue/React/Angular），我们用的的是vue； 4、熟悉移动端前端开发，以及混合模式开发，熟悉移动端的调试； 5、熟悉移动端开发、熟悉java、nodejs等开发语言优先。,"电商,社交",15-50人,web,宁波
高级WEB前端开发工程师,https://www.lagou.com/jobs/6513788.html,北仑区,13k-20k,上海旺链信息科技有限公司,5-10年,本科,绩效：13-16薪,工作内容：1. 负责区块链业务前端开发，应用前沿技术，迎接大受众规模、复杂场景、高质量要求的挑战;2. 沉淀组件、抽象框架、建造工具，持续发展技术体系，享受幸福的工程师生活;3. 探索技术极限，拓展能力边界，给世界带来微小而美好的改变;岗位要求:1. 本科及以上学历，计算机相关专业，熟练掌握 HTML/CSS/JavaScript;2. 5年及以上前端相关工作经验，参与过比较复杂的前端交互场景;3. 对流行的 MV*框架有深入了解，熟悉 Vue 或 React 优先;4. 具备优秀程序员的基本素养，对代码有洁癖，善于使用搜索引擎，遇到问题可以一查到底，善于使用工具提高效率;5. 快速学习能力，不断突破技术瓶颈，乐于探索未知领域，随时准备好去面对新挑战;,"企业服务,数据服务",15-50人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6901269.html,鄞州区,6k-12k,宁波菊风系统软件有限公司,1-3年,本科,"奖金丰厚,福利多,弹性上班,团队轻松",岗位职责：负责菊风视频BU的前端开发。岗位要求：本科以上学历，1年以上工作经验；能够接受出差1. 精通HTML5/CSS3/JS/ES6等前端技能，理解web标准和兼容性，了解Webpack；2. 熟练使用主流的JavaScript框架（React/Vue/RN等），并精通其中的一种以上；3. 熟练掌握Git4. 熟悉一门后端语言优先，熟悉linux系统优先；5. 了解WebRTC等音视频技术的优先6. 熟悉小程序，并至少有一个参与的小程序项目7. 思路清晰，具备良好的沟通能力和团队协作精神，能够独立思考和解决问题，有上进心，对新技术有浓厚的兴趣。,移动互联网,50-150人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6423653.html,海曙区,15k-30k,浙江蓝卓工业互联网信息技术有限公司,5-10年,本科,"扁平化管理,氛围活跃",岗位职责：1. 与UI设计师、后端开发人员等配合，负责前端架构设计、开发、测试和持续性能优化；2. 参与开发各种前端页面组件或页面模版；3. 参与制定JS、CSS、Html开发规范并推进执行；4. 负责Web前沿技术研究和新技术调研。任职要求：1. 大学本科计算机或相关专业，3年以上工作经验；2. 精通html5、javascript、canvas、css，熟悉ES2015/ES6，了解相关的前端框架，如angularjs、reactjs、vue等；3. 对前端开发基础架构、技术应用、团队高效协作有自己的见解；4. 热爱前端和开源项目，喜欢用平台化和工程化的手段解决问题；5. 尝试各种前沿可视化技术与思想，推动团队技术继续前进；6. 工作富有激情，有良好的团队协作精神，富有责任心，能承受一定强度的工作压力。,"移动互联网,信息安全",150-500人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6533374.html,镇海区,10k-15k,宁波西北梦电子商务有限公司,1-3年,大专,团队融洽，发展空间大，环境好,"岗位职责：1、依据公司需求完成web和app高质量的前端开发和维护；2、优化前端应用，改善用户体验；3、参与前端开发规范的制定及开发流程的优化；4、参与、配合并完成公司管理中的各项任务及临时工作；5、参与小程序开发，后台服务器开发，PHP开发；6、负责完成上级领导交办的其他任务。任职要求：1、计算机相关专业大专以上学历，1年以上Web前端工作经验；2、熟悉Mobile Web的开发，熟悉其它类似框架，并且能实现各种交互效果；3、熟悉HTML5+CSS3+JS编程，熟悉各种前端调试工具； 熟悉JS性能优化；4、熟悉jQuery等主流的JS库，了解其运行机制；5、熟悉新的HTML5表现形式的制作及开发, 有响应式页面开发经验优先。",电商,15-50人,web,宁波
web全栈,https://www.lagou.com/jobs/6790694.html,北仑区,10k-15k,宁波欣珵贸易有限公司,3-5年,本科,愉快的桌游环境，良好的发展前景,"Web开发人员在我们的桌游业务实现过程中将扮演重要角色，需要将我们的一些设计和概念转化为可行的网站页面。出于这一点考虑，我们在寻找一位具有创造力和优秀沟通能力的人，能够帮助我们面向所有客户提供最好的解决方案。你的挑战和目标:了解我们的需求，并提供相关的资料。具备独立完成web开发项目的能力。具备较好的英文水平，可以与我们的海外团队进行交流沟通。可以有效管理项目，合理安排开发周期。日常工作:与国内外的团队保持良好的沟通，提供所需的web相关服务，主要是后台服务支持。和团队组其他成员一起，为不同的项目开发不同的web页面。编写和维护跨浏览器、跨平台和高质量的代码。你的能力:前端:JavaScript/JQuery/Vue、HTML/HTML5、CSS/CSS3等编程技能，跨浏览器兼容性、Web用户界面设计(UI)后端:熟练掌握Python 、Web服务(REST/SOAP)、Django CMS设计，网站安全，能熟练运用常用的异步IO,负载均衡,异步队列celery/rabbitmq,进程通信,乐观/悲观锁,以及其他常用的高并发技术．加分项:熟悉国内电子商务框架与Gamification、多媒体内容开发Photoshop、Indesign、Illustrator等，具备优秀的沟通和团队协作能力。较好的英文水平，可以有效地和国外团队交流。工作积极主动，有团队精神。至少具有2年的web开发相关工作经验，具有大型网站开发经验者从优。 关于我们我们欣珵贸易有限公司（今年会成立一家新的合资公司-原石创造进出口有限公司）是在国内致力于桌面游戏销售的公司，我们的目标是建立中国最大的桌游用户群。目前我们和很多国外桌游出版社均有业务合作：高质量模型的主题类桌游卡牌、版图等策略性桌游Kickstarter桌游web开发人员需要按照我们的需求来开发我们所需的web。我们提供一个轻松、充满活力和创造性的工作环境，每个人都可以充分利用自己的技能和喜好，通过协作和团队合作来提高自己的能力。我们提供：一个充满活力、有趣、快节奏的环境位于浙江宁波的办公室有机会在我们意大利的办公室进行海外培训有竞争力的薪资和晋升空间",不限,少于15人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6826087.html,鄞州区,12k-16k,宁波博登智能科技有限责任公司,1-3年,本科,技术氛围浓厚；上升空间大；团队气氛融洽,1、精通JavaScript，熟悉ES6，HTML5，CSS3。2、熟悉Vue.js，Vuex，VueRouter，熟悉ElementUI，有模块化开发和编写单元测试能力;3、对主流浏览器做兼容调试与修改;4、协同后端和UI设计师完成兼容性良好的前端页面制作;5、对Web前端开发有浓厚的兴趣，喜欢钻研技术，善于思考;5、较强的领悟能力和沟通能力，有很好的团队合作精。有以下经验者佳：1、熟练掌握three.js/webgl技术，有前端开发经验，会使用WebGL及其框架three.js等前端技术开发3D页面;2、了解三维图形图像的理论基础，如三维成像原理、着色器等；,"数据服务,人工智能",15-50人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6788084.html,江东区,11k-20k,宁波康铭泰克信息科技股份有限公司,3-5年,不限,绩效奖金，员工旅游，周末双休,"岗位职责 :1.按给定的UI和需求构建实现功能,并符合团队的编码规范,解决Bug,优化;2.分析并给出一个项目的前端设计,实现相应的功能模块,抽象出可复用的组件;3.根据需要选择框架和工具搭建开发环境;4.优化开发流程,实现开发中需要的实用工具;5.对界面和交互设计给出自己的意见,参与讨论改善岗位要求1.三年以上工作经验，掌握HTML、JS、CSS语言知识;2.深入理解W3C标准,掌握盒模型、常用布局以及浏览器兼容性,熟练运用ES6新特性;3.具备Angular/React /Vue三者之一的实战经验,熟练使用jQuery,能自行编写jQuery插件;4.对工程化和模块化开发有了解,了解webpack或gulp等工具,能够选择相应技术进行开发 并能够自行根据要求定制开发环境;5.能开发webpack/gulp插件,能开发提升开发效率的小工具6.具有良好的沟通能力和团队合作精神","移动互联网,消费生活",50-150人,web,宁波
web前端开发工程师,https://www.lagou.com/jobs/6558383.html,鄞州区,5k-10k,浙江博曼科技有限公司,1-3年,本科,政策风口、员工持股、发展快、机会多,岗位职责：1. 使用Element+VUE+Echarts，进行系统前端页面的开发；任职要求：1精通JavaScript、Html5、CSS、Ajax等技术。2. 精通常用的JS开发框架（VUE、Echarts、ElementUI 等）。3. 有独立完成项目的能力。,物联网,15-50人,web,宁波
