job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Web前端开发工程师(平台方向),https://www.lagou.com/jobs/6957073.html,高新区,6k-10k,北京卡拉卡尔科技股份有限公司,1-3年,本科,社保公积金，节日福利，弹性工作,岗位职责：1. 负责企业级内容平台的前端开发工作；2. 参与现有平台的重构(重构意味着系统的长期维护、以及系统的重要性和业务量，更能锻炼能力)；3. 学习新技术，和团队一起成长；任职要求：1. 掌握JavaScript/HTML/CSS等基础知识，熟练运用html5/css3新特性，能快速实现页面布局；2. 掌握ES5/6等常用语法及API；3. 熟悉前端开发框架（至少一种），有react项目经验优先；4. 了解前端构建工具，如webpack等；5. 热爱前端，具有良好的编码风格，较强的学习能力以及良好的团队协作和沟通能力；6. 对自己要求严格，工作态度端正，认真负责，积极配合其他同事完成开发工作；7. 计算机相关专业，“统招本科 + 一年以上前端开发工作经验”；加分项目：1. 拥有Github个人开源项目，或为知名开源项目做出过有意义的贡献；2. StackOverflow活跃用户；3. 坚持长期原创的个人技术博客；4. 热爱技术，相信 “代码是写给人看，顺便给机器跑的” 代码洁癖者(需佐证)；5. 会一种后台开发语言并有一定经验者(更加适应前后端的协同配合)；如有加分，任职要求可放宽至 “应届本科” 或 “专科+一年以上工作经验”,"数据服务,文娱丨内容",150-500人,web,成都
web前端开发工程师,https://www.lagou.com/jobs/7124397.html,青羊区,10k-15k,成都节节高教育科技有限公司,3-5年,本科,双休 晋升渠道 工作氛围好,"职位描述：1、  负责前端页面开发与性能优化；2、  参与前端与后台服务数据交互设计与开发；3、  负责软件产品的前端设计及美化工作；4、  解决不同浏览器及不同版本的兼容性问题 。任职要求：1、  要求本科以上学历，3年以上前端开发经验，计算机相关专业优先；2、  精通html5，css3，ajax等前端技术，熟悉页面架构和布局，熟悉前端mvc开发模式；3、  熟练掌握react，具备两年以上实战项目经验；4、  熟练掌握antd, antd pro等前端框架；5、  熟练使用原生JS实现，熟练使用面向对象的思想开发前端JS程序；6、  良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力；7、  对用户体验、交互操作流程、及用户需求有深入理解，对用户体验优化有浓厚兴趣。（工作时间9：30-17:30，周末双休，入职购买五险一金）",教育,150-500人,web,成都
闪购-Web 前端高级工程师-成都,https://www.lagou.com/jobs/7204358.html,高新区,20k-40k,北京三快在线科技有限公司,3-5年,本科,发展空间,,消费生活,2000人以上,web,成都
11313J-资深web前端开发（成都）,https://www.lagou.com/jobs/6917831.html,锦江区,10k-15k,平安科技（深圳）有限公司,3-5年,本科,"五险一金,绩效奖金,带薪年假,定期体检",,金融,2000人以上,web,成都
web前端开发工程师,https://www.lagou.com/jobs/7076168.html,高新区,10k-15k,上海中软华腾软件系统有限公司,3-5年,本科,五险一金，节假日福利，弹性工作，周末双休,"岗位职责：1、参与项目中的Web前端功能实现；研究新的前端解决方案，并进行相关技术的预研以及攻关，引入合适的工具和方案系统开发中； 2、产品Web界面技术优化； 3、与后端开发人员配合，高质量完成前端开发工作。岗位要求：1、JavaScript基础扎实，对浏览器机制，JavaScript运行机制等有较深刻的理解； 2、对css有较好的理解，包括页面的渲染优化等，并有实际经验； 3、熟练掌握ES6语法，了解ES7新特性、熟悉各种浏览器的兼容性调试； 4、了解WEB标准化、可用性、可访问性和安全性； 5、对主流框架有相关开发经验，独立负责过模块开发，熟悉掌握Vue、React中至少一种前端主流框架； 6、有较深前端工程化、性能优化能力，熟练使用Grunt/webpack,对模块化开发有深刻认识，并有实际组件化、优化开发经验； 7、具备优秀的团队协作精神和沟通能力，能利用自身的技术优势提升团队整体的研发效率。","企业服务,金融",2000人以上,web,成都
Web前端开发工程师-成都,https://www.lagou.com/jobs/6808259.html,高新区,10k-13k,北京搜狗科技发展有限公司,1-3年,不限,平台大，氛围好,【职责描述】 1、主要负责搜狗运营平台部相关业务的Web前端研发； 2、根据产品运营需求，设计前端需要的数据接口，并完成和后端的对接； 3、负责产品前端交互逻辑的实现； 4、参与团队前端技术架构的优化。 【岗位要求】 1、计算机相关专业二年以上工作经验，熟练掌握Web前端相关技术和常见框架； 2、掌握Javascript的模块化开发模式，熟悉面向对象编程； 3、熟悉NodeJs编程，并具有相关的前端工程化研发的实践经验； 3、熟悉Web标准，能熟练处理兼容性问题，具有较强的自主意识和开拓精神； 4、能够熟练使用至少一门后端编程语言，如Java、PHP等，熟悉前后端模板技术； 5、思路清晰，具备良好的沟通能力和团队协作意识。,工具,2000人以上,web,成都
Web前端开发工程师,https://www.lagou.com/jobs/7205153.html,高新区,15k-25k,成都创人所爱科技股份有限公司,1-3年,本科,五险一金 带薪年假,岗位职责：1、负责前端界面的前端构建，各类交互设计与实现；2、前端样式和脚本的模块设计及优化；3、配合后台开发人员完成项目；4、项目环境构建与维护；代码优化，代码review；职位要求：1、本科及以上学历，2年以上前端重构与脚本开发经验，计算机或相关专业者优先；2、精通HTML5/CSS3，熟悉页面架构和布局，Web语义化等有深刻理解，熟练使用less或sass进行前端开发、熟练掌握nodejs技术；3、熟练JavaScript，基础扎实，对react及其生态组件有丰富的使用经验，有antd开发经验者优先；4、对用户体验、交互操作流程、及用户需求有深入理解；5、有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力；6、有产品意识和客户意识，对产品有高要求。,游戏,500-2000人,web,成都
web前端开发工程师,https://www.lagou.com/jobs/7050079.html,高新区,10k-15k,杭州初灵信息技术股份有限公司,3-5年,本科,"周末双休,年终奖金,五险一金,弹性工作","岗位职责：1. 参与优化前端团队的开发方式和流程、规范，提高团队效率；2. 用打造产品的思维，从业务、设计、架构层面思考如何拆解，更高的复用，更有效的实现；3. 具备产品工程师思维，注重积累与技术创新，与团队一起打造技术产品，提升行业技术影响力；任职资格：1. 精通各种前端技术，包括 HTML/CSS/JavaScript 等，有Vue.js 开发经验；2. 丰富的React、Vue等主流前端框架开发经验，对页面渲染及样式库的开发有深刻理解；3. 精通 W3C 标准，对规范具体细节有较深入的理解；熟悉浏览器运行时细节，精通 HTTP 协议；4. 熟练使用grunt、gulp、webpack等构建工具，精通各种性能优化手段，对多人合作开发有深刻的理解；5. 掌握集成测试、线上部署、性能监控及调优等技术方案；6. 有Web前端性能优化经验，对用户体验、交互操作流程有深刻理解；在可用性、可访问性、浏览器兼容性等方面有实践经验；7. 对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力；8、有一定全栈能力，熟悉JAVA, PYTHON后端技术者优先。","移动互联网,数据服务",500-2000人,web,成都
python研发工程师（web端）,https://www.lagou.com/jobs/7105149.html,高新区,10k-15k,成都路行通信息技术有限公司,3-5年,本科,车联网 新零售 高速发展平台,"硬性要求：详见人员要求岗位职责：1.结合公司devops规划，完成迭代需求开发；2.负责devops相关工具链调研及适配分析,逐步完善公司devops产品能力；3.负责前后端业务框架设计；4.支撑产品线突发问题；5.领导安排的其他的工作；人员要求：1.本科及以上学历，计算机类相关专业；  2.3年以上python岗位经验；3.2年以上web项目经验、1年以上css+js等相关项目使用经验；4.熟练使用django/flask等工具，能搭建web框架；5.熟悉mysql/postgresql等关系型数据库，能设计和优化表结构、实现表数据增删改查的功能；6.能独立完成业务需求并有业务框架设计能力；7.学习能力、沟通表达能力良好，逻辑思维清晰，基础抗压能力；加分项：1.devops平台研发经验优先；2.能使用vue设计基本组件；3.会go语言、docker & kubernetes相关容器技术优先。","移动互联网,消费生活",500-2000人,web,成都
移动web变现经理,https://www.lagou.com/jobs/7207054.html,高新区,10k-15k,成都中云天下科技有限公司,1-3年,本科,五险一金 年度体检 节日福利,【岗位职责】1. 负责移动web流量变现策略和实施方案；2. 调研海内外流量市场趋势，及时抓住流量机会；3. 协助公司产品及运营团队，提升广告变现效率，提升流量规模； 【岗位要求】1. 一年以上web广告流量变现经验2. 熟悉海外web推广/变现等关键环节，有相关渠道和合作资源者优先；3. 具备Adsense、Affiliate Network变现经验优先4. 良好的英语听说读写能力；,"移动互联网,企业服务",150-500人,web,成都
