job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
UIUX设计师 (WEB端）,https://www.lagou.com/jobs/5616842.html,滨江区,8k-16k,浙江天垂科技有限公司,1-3年,本科,"硅谷模式,MAC电脑,五险一金,氛围轻松","我们欢迎您参加 Teletraan Take Home Project。即使您没有通过简历筛选，若您take home 完成的较好，即将获得进一步面试的机会。
 获取题目：您可以通过http://nextcloud.teletraan.io/index.php/s/HADbTyfWEyiSNTX  获取题目。
 提交成果：本项Project没有时间限制，但请争取不要超过1周时间。完成后请根据PDF说明告知、发送成果给我们。
请本着“彼此尊重、自己负责“的态度独立完成所有题目。当然，我们**允许您科学上网、自行调研。谢谢您的配合。职位介绍：
 负责web端和移动端页面UIUX（交互）设计
 关注全球设计行业动态与发展方向，准确把握web端和移动端的设计风格和质量
 配合前端软件工程师完成人机交互界面设计工作
要求：
 本科及以上学历（不限于艺术类科班出身），平面功底深厚
 熟练使用Sketch、PS、AI等设计软件
 能对立思考和完成产品的设计
 积极理解产品的需求，同时快速的生成新的设计方案
 注重细节，善于沟通
 加分选项：
 具有web端和手机端页面及app的UIUX设计经验
 英文阅读无障碍或具有海外留学经历
 多项目，多线程工作能力
 有一定前端开发经验
麻烦您将简历和作品集一并发送至公司招聘邮箱（job.cn），并通过拉勾网告知我们，不胜感激！请注意： 
 作品集请多展示web端产品/设计； 
 邮件标题请写明“应聘岗位+姓名”； 
 请发送PDF格式，大小请控制在25M之内；不要发超大附件或百度云盘链接。 
我们的面试流程为：
 简历筛选 - Take home project - 现场面试1-2轮","数据服务,企业服务",15-50人,web,杭州
web前端开发工程师,https://www.lagou.com/jobs/7163886.html,余杭区,10k-15k,杭州互次方科技有限公司,1-3年,本科,潜力大，弹性工作，有期权，资深阿里创业人,"岗位描述:1、负责公司核心产品的前端开发工作，包括APP端混合式开发, 微信小程序, Web管理后台开发等；2、负责前端架构设计和性能调优，持续优化已有产品的用户体验；3、Web前沿技术研究和新技术调研；任职要求：1.一年以上前端开发经验，精通HTML/CSS/Javascript等前端相关技术熟悉ES6, Vue, Element-UI有大型应用的前端架构部署和实践经验；3.熟悉css3动画, canvas, WebGL, three.js，有 小程序、 Web管理后台开发经验, 熟悉mui, uni-app者优先考虑；4.把握前端技术发展潮流，积极主动研究前端新技术，能合理利用新技术推动业务发展；5.抗压能力强，有出色的团队合作精神",企业服务,15-50人,web,杭州
web前端,https://www.lagou.com/jobs/7106809.html,余杭区,15k-20k,浙江云程信息科技有限公司,不限,本科,五险，带薪休假,"岗位职责：1、依据项目需求高质量地完成复杂SPA应用以及移动端网页应用，微信小程序的开发、维护；2、具有前端工程化的思维，使用或独立开发工具，以提高开发效率或提升项目质量；3、在理解项目业务的基础上，结合前端技术，给出合理的实现方式，具有可扩展性，高可维护性，并充分考虑安全性、性能方面的风险；4、业务组件和框架的设计与开发。岗位要求：1、本科及以上学历；2、掌握各种前端技术，可以熟练运用包括HTML/CSS/JavaScript 等技术；3、熟练运用vue.js前端开发框架；4、熟练使用vuex，vue-router以及vue相关的工具链的使用；5、熟悉css预编译、后编译等工具， 如less/sass/postcss等；6、熟悉webpack等打包工具的运作原理，能根据项目要求进行配置；7、能独立负责一个正常SPA项目的开发，可以跟后端沟通实现项目需求；8、具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力；9、有良好的编码习惯, 能够编写清晰, 易于维护的代码；10、能和设计师沟通交互设计，和后端开发研讨技术实现方案，制定服务接口，崇尚团队合作；11、较强的自我管理能力，抱有积极的学习心态，乐于分享知识，喜欢沟通，乐观开朗，并且具有较强的逻辑思维。工作地址杭州 - 余杭区 - 德信数字产业大厦1402",软件开发、数据服务,少于15人,web,杭州
web前端开发工程师,https://www.lagou.com/jobs/6649440.html,余杭区,8k-12k,令克软件（杭州）有限公司,3-5年,本科,年终奖 公司氛围佳,职位描述：1.参与产品需求、研发设计的相关讨论，从前端设计角度提升产品使用性和美观度的要求2.根据公司的要求负责项目前端开发工作，实现产品所需的前后端交互3.与后台技术开发保持良好的沟通，完成具体的开发工作任职要求：1.计算机相关专业，本科及以上2.具有3年及以上前端开发实际工作经验，自我要求高，执行力强3.精通JavaScript、Html、CSS等WEB前端技术，并具备良好的编程风格，代码可维护性好4.熟练使用Web开发框架（jQuery、bootstrap、iview、vue、vux、vant等常用框架） 5.熟悉软件设计模式，具备软件开发架构思想，熟悉浏览器兼容性、缓存、安全等机制6.有中后台管理系统开发经验7.良好的沟通能力和团队合作精神，工作认真负责，有一定的逻辑思考能力,软件开发,50-150人,web,杭州
web前端开发工程师,https://www.lagou.com/jobs/6028573.html,滨江区,12k-20k,浙江聚智软件技术有限公司,3-5年,大专,五险一金，全勤奖，带薪年假，员工旅游,1、计算机相关专业本科及以上学历；五年以上相关岗位工作经验，有项目统筹管理经验者优先。2、熟练使用前端开发所需的技术，包括HTML5、CSS3、JavaScript，并积极跟进前端技术发展；3、熟练掌握Ajax调用及json格式数据，能够使用常见的前端构建工具（如gulp/grunt/webpack）者优先；4、能够处理浏览器常见兼容性问题，对性能优化有一定的了解，精通 PC 和 移动端H5前端开发；5、有一定的WEB开发经验，了解各种网络协议，能使用各种开放API，有数据可视化经验优先；6、熟练使用常用的工具，包括视觉设计软件、文本编辑软件、协作工具（git、svn）和常用开发环境配置（nodejs、path），会使用浏览器开发调试工具。7、熟练avalonjs框架的优先考虑。,移动互联网,15-50人,web,杭州
web前端开发工程师（vue方向）,https://www.lagou.com/jobs/7105741.html,余杭区,12k-17k,杭州互次方科技有限公司,3-5年,本科,潜力大，弹性工作，有期权，资深阿里创业人,"岗位描述:1、负责公司核心产品的前端开发工作，包括APP端混合式开发, 微信小程序, Web管理后台开发等；2、负责前端架构设计和性能调优，持续优化已有产品的用户体验；3、Web前沿技术研究和新技术调研；任职要求：1.三年以上前端开发经验，精通HTML/CSS/Javascript等前端相关技术熟悉ES6, Vue, Element-UI有大型应用的前端架构部署和实践经验；3.熟悉css3动画, canvas, WebGL, three.js，有 小程序、 Web管理后台开发经验, 熟悉mui, uni-app者优先考虑；4.把握前端技术发展潮流，积极主动研究前端新技术，能合理利用新技术推动业务发展；5.抗压能力强，有出色的团队合作精神",企业服务,15-50人,web,杭州
web全栈,https://www.lagou.com/jobs/6968797.html,滨江区,18k-30k,杭州希格斯投资管理有限公司,不限,本科,研究氛围 自由开放 成长迅速 回报丰厚,工作职责1、负责公司内部交易风控、客户关系管理、工作效率提升工具等等相关产品网页前端和后端的研究设计、开发和优化；2、负责相关产品的日常运维，参与产品规划，持续优化产品体验及性能；3、参与制定标准规范，流程改进及工具建设，为技术选型及技术改进提供解决方案。技能要求1、扎实的计算机基础知识（如操作系统、计算机网络、数据结构、算法），熟悉HTML、Javascript和Web开发框架，具备全栈开发能力；2、对MVC/MVVM等模式有一定的理解，熟悉常见前端技术框架（如React、vue、angularJS）；3、对前端工程化有一定理解，熟练掌握Webpack/Grunt/Gulp等构建工具的使用和配置；4、熟悉一门后端编程语言及常见Web框架，如Java Spring，Python Tornado等；5、熟悉常见数据库技术；6、熟悉常用的项目管理工具git，熟悉Linux系统及常见命令，具备较好的项目管理经验；7、具有良好的学习能力，对用户体验和产品研发有经验者优先。,"金融,数据服务",15-50人,web,杭州
web前端开发工程师,https://www.lagou.com/jobs/6904266.html,下城区,12k-16k,杭州浮云网络科技有限公司,1-3年,本科,五险一金、员工旅游、年底双薪、年度体检,岗位职责：1、负责大数据实时数据应用平台、数据标准管理平台、风控平台、用户体验分析平台等的前端架构设计和实现；2、负责用户行为路径可视化、路径图谱可视化、精细化运营数据可视化等数据可视化工作，并基于开源可视化框架进行二次开发；3、参与可视化埋点和全埋点方案的开发4、配合其他开发人员实现产品界面和功能，同时注重程序的安全、质量和性能；5、参与公司项目需求、开发方案设计等的相关讨论，从前端角度提出建议。岗位要求：1、计算机及相关专业，专科及以上学历，2年以上前端开发经验；2、熟练使用HTML5、CSS3、 ES6，熟悉AngularJS/React/vue等前端框架中的一种或多种，并有相应开发经验；3、了解前端工程化，模块化，具有webpack打包的经验，有前端优化经验；4、有数据可视化开发经验，使用过superset、highcharts、grafana等工具；5、有较强的逻辑分析、问题排查能力；6、有责任心，良好的沟通表达能力和团队协作能力，勤奋好学，能够承受一定的压力；7、向开源社区贡献过源码者优先。,"游戏,移动互联网",150-500人,web,杭州
Web渗透测试工程师（网关事业群）,https://www.lagou.com/jobs/7082747.html,滨江区,18k-35k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,"岗位职责：1、防火墙产品的测试用例设计和开发；2、防火墙产品中规则防御模块的优化和维护；3、分析现网漏洞的成因和验证利用方式, 并实现防御方案；4、和安全研究人员合作, 设计和实现新型攻击的防御方案；5、实现自动化渗透测试工具；任职要求：1、3年以上相关领域工作经验；2、精通OWASP Top 10中Web攻击和渗透的各种技术；3、 熟悉Java, JavaScript, PHP, ASP等语言及特性；4、能够熟练使用正则表达式实现文本提取和检测；5、能够熟练使用Burp Suite/WRK/TCP Dump 等工具进行攻击报文重放；6、能够熟练使用Python/Bash进行编程；7、 能够独立搭建各种Web应用环境的靶机/TestBed；8、优秀的学习能力和英文读写能力；9、良好的⼯作态度和责任⼼。","信息安全,数据服务",500-2000人,web,杭州
Web安全研究,https://www.lagou.com/jobs/7082877.html,滨江区,20k-35k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,职责职责：1、负责 Web 安全漏洞研究，跟踪国内外安全领域的安全动态并落地;  2、参与攻击队项目，主要负责 Web 方向打点;3、定期团队技术分享，提升团队整体作战能力。任职要求：1、至少掌握 JAVA/.NET/PHP/C 等两种语言，可完成相关Exp编写；2、精通 Web 漏洞形成原理，具备代码审计能力；3、良好的逻辑思维能力和团队合作精神，善于交流和表达。加分项：1、具备良好的英语文档阅读能力；2、曾参加过技术沙龙担任嘉宾进行技术分享；3、具有CISSP、CISA、CSSLP、ISO27001、ITIL、PMP、COBIT、Security+、CISP、OSCP等安全相关资质者；4、具有大型SRC漏洞提交经验、获得年度表彰、大型CTF夺得名次者；5、开发过安全相关的开源项目；6、具备良好的人际沟通、协调能力、分析和解决问题的能力者优先；7、个人技术博客；8、在优质社区投稿过文章。,"信息安全,数据服务",500-2000人,web,杭州
