job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
智慧教育web前端开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6706403.html,江夏区,15k-30k,腾讯科技（深圳）有限公司,不限,本科,福利待遇好、发展前景好,工作职责负责智慧教育相关项目H5/小程序/web开发、架构设计和优化工作；和产品经理、设计师、后台开发等讨论产品设计，共同制定出最优解决方案；优化研发流程，确保产品的交付质量和效率，保障产品和服务的稳定性。工作要求本科及以上学历，3年以上Web前端相关工作经验，有扎实的计算机学科和网络知识基础；熟练掌握 HTTP/HTML/CSS/JS 等前端基础专业知识和常见的Web安全方案；熟悉主流开发框架，熟练掌握 Vue，对前端工程化、组件化、模块化有一定理解和思考；对JS新特性、前端性能等有深刻理解和使用经验者优先；熟悉 Node.js，有后台业务开发经验者优先；热爱前端技术，注重代码质量；有框架设计能力者优先；有团队精神、善于沟通、有责任心、执行能力强。注：此岗位为腾讯集团旗下全资子公司编制岗位。,社交,2000人以上,web,武汉
web,https://www.lagou.com/jobs/7128214.html,洪山区,8k-12k,睿佳（武汉）软件科技有限公司,1-3年,本科,项目骨干、发展空间大、弹性工作、扁平管理,RayPlus是一款智能影像的SaaS产品，用户完全基于网页来获得我们的服务，前端工作是我们产品开发最核心的工作之一。作为前端工程师，你将成为我们的项目骨干，参与到产品需求分析、交互设计、通讯协议设计等开发的各个环节。睿佳产品核心团队来自于华中科技大学，在医学影像处理领域有着丰富的技术积累。我们鼓励开放自由、理性平等的工程师文化，追求用户至上的产品精神，寻求阳光积极、志同道合的小伙伴。岗位职责1 参与产品需求分析和整体技术路线讨论，协同项目产品解决方案；2 独立完成RayPlus应用前端功能设计、开发及实现；3 持续关注新技术，不断优化产品功能及实现效率。岗位要求：1 本科及以上学历，2年以上前端相关工作经验；2 了解 W3C 标准，ECMAScript 标准，HTTP 协议，JavaScript 基本功扎实，熟悉原型继承、闭包和异步模型；3 精通主流JS框架 Angular/React/Vue 至少一种的使用以及相应的构建流程；4 丰富的项目经验、有前端代码组织、代码发布整合的相关经验，熟悉当前成熟的前端构建工具（webpack、gulp等）；有以下经验者优先：熟悉canvas使用，开发过以canvas二维/三维交互为主体的web应用；精通D3，eCharts，webGL等有Single-page Application开发经验,"医疗丨健康,企业服务",少于15人,web,武汉
web前端开发工程师,https://www.lagou.com/jobs/7218769.html,洪山区,6k-10k,武汉毕格邦科技有限公司,应届毕业生,本科,大牛指导、全额公积金、年度旅游、双休,岗位职责：1、负责公司移动端产品对应的网页端开发工作；2、参与前端整体发展计划与基础建设；3、与团队配合完成整体项目规划、设计与开发。任职要求：1、统招本科及以上学历，985/211优先，计算机相关专业；2、具备前端开发经验，并参与过一个线上系统的技术选型规划与开发，精通 HTML/JS/CSS 等前端相关技术；3、对主流前端框架（ React\Vue\Angular 等）有一定了解，并至少对其中一种有深入了解；4、对后端技术有一定了解者优先，能主动了解整体逻辑，从前端出发排查问题；5、拥有良好的推动力与主动性，能主动发现问题并推进问题改进；6、有良好的团队精神，乐于为团队成员进行经验分享，帮助团队成长。PS：非统招本科学历，请勿投递。,移动互联网,15-50人,web,武汉
web前端开发工程师,https://www.lagou.com/jobs/5385105.html,洪山区,15k-25k,武汉朗蕴科技有限公司,5-10年,本科,做五休二,1.前端开发5年相关工作经验，JS原生基础知识扎实；2.熟练掌握HTML、HTML5、CSS、CSS3、javascript；3.熟练使用VUE框架，有VUE项目经验； 4.熟练使用jQuery；对主流的JavaScript库或框架有一定的了解； 5.熟练掌握各浏览器（IE、chrome、firefox）特性，书写的代码具有良好的兼容性； 6.有良好的代码书写、注释和单元测试习惯。,移动互联网,50-150人,web,武汉
web前端开发工程师,https://www.lagou.com/jobs/5479206.html,洪山区,9k-12k,武汉朗蕴科技有限公司,3-5年,本科,做五休二,"1.2年以上前端开发相关工作经验2.有良好的编码习惯，沟通能力和快速学习能力3.至少参与过一个以上的大型项目的设计与开发工作，具备构建复杂应用的能力；4.熟练掌握HTML / CSS / JS(包括AJAX和JS面向对象原理等)5.理解Web标准, 熟练解决主流浏览器的兼容性问题（IE、Chrome、Firefox，移动端)至少熟练掌握一个主流前端框架，如：React\Vue\Angular\Backbone等，对其有深刻理解。",移动互联网,50-150人,web,武汉
后端研发工程师（武汉）-web方向,https://www.lagou.com/jobs/5820100.html,洪山区,10k-20k,神策网络科技（北京）有限公司,1-3年,本科,"技术大牛,行业前景好",工作职责:1、负责神策大数据产品 Web 后端的架构设计和开发工作；2、维护和升级现有技术框架，保证系统的稳定性和性能；3、理解大数据分析产品业务需求，负责新功能的技术开发；4、团队合作，参与大数据导入、存储与查询方向的技术调研和技术攻关。  岗位要求:1、计算机或相关专业毕业，本科及以上学历，1 年以上 Web 开发经验；2、精通 Java 语言，具有扎实的计算机技术基础和良好的编程习惯；3、熟悉 Spring/MyBatis/Netty/Nginx 等 Web 开源技术和框架；4、精通数据库设计（MySQL优先），优秀的SQL编写及调优能力，熟悉常见NoSQL存储，如Hbase/Kudu/Redis/Mongodb等；5、了解 Hadoop/Hive/Spark/Impala 等开源大数据技术优先；6、善于学习新知识，主动性强；7、良好的团队合作精神，较强的沟通能力。,数据服务,150-500人,web,武汉
Web前端开发工程师,https://www.lagou.com/jobs/7044872.html,武昌区,6k-12k,杭州半云科技有限公司,1-3年,本科,五险一金 带薪年假 定期体检 节日福利,"岗位职责：1、根据工作安排高效、高质地完成代码编写，确保符合规范的前端代码规范；2、负责公司现有项目和新项目的前端修改调试和开发工作；3、与设计团队紧密配合，能够完全实现设计师的设计想法；4、与后端开发团队紧密配合，确保代码有效对接，优化系统前端性能；5、页面通过标准校验，兼容各主流浏览器。资格要求:1、熟练掌握html5、css3、JavaScript基础，熟练掌握es6标准；2、熟练掌握react、react-dom、dva/mobx/redux、react-router、antd等react全家桶；3、熟练使用webpack构建工具，并可以熟练进行定制化配置；4、熟练使用git进行代码管理；5、有以下经验的优先考虑：有丰富的地图开发、GIS开发经验优先考虑；有丰富的可视化开发经验，g6,d3,webgl,three.js,echarts；能接受经常出差的优先考虑。",移动互联网,150-500人,web,武汉
web前端开发工程师,https://www.lagou.com/jobs/4039640.html,洪山区,7k-14k,深圳羚羊极速科技有限公司,3-5年,大专,"五险一金,年终奖,期权,带薪年假",岗位职责：1、负责HTML页面以及javascript程序制作；2、根据产品需求开发相关的Web组件；3、验证和修正测试中发现的问题；4、学习和研究新技术以满足产品的需求；5、配合产品应用开发等其他部门，提供相关技术支持。技能要求：1、精通HTML，CSS，JavaScript等Web前端开发技术；2、熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML5特性构建移动端WebApp及PC端单页面应用，了解Html5的离线存储机制；3、了解WEB2.0标准，了解DOM，XML，JSON等相关技术；4、了解常见JS开发框架，如React/Angular/Vue、D3、Jquery等5、两年以上开发相关工作经验，精通HTML5、CSS3、JS等Web前端开发技术，能手写符合W3C标准、兼容多种浏览器的前端页面代码；6、熟悉移动端主流浏览器的适配，对Android与iOS等不同平台的html5页面适配充分了解；7、对Web技术有浓厚兴趣，有不断提升自己的学习意识，逻辑思维能力强。,移动互联网,150-500人,web,武汉
Web前端开发工程师（武汉）,https://www.lagou.com/jobs/6176402.html,武汉经济技术开发区,13k-18k,上海派拉软件股份有限公司,5-10年,本科,年终奖高，晋升空间大，扁平化管理,职责范围1、负责公司产品研发2、负责产品前端代码CodeReview3、负责公司公共组件的开发与维护4、准确定位线上和疑难技术问题，并快速推动和解决问题5、能与后端工程师配合，协助项目提供优化技术解决方案岗位要求1、全日制统招本科及以上学历，5年及以上从事web前端开发经历2、熟练掌握Vue与React(ts)两款框架3、熟练掌握一种(less、sass)预编译css；熟练掌握一款(rollup、gulp、webpack等)打包工具4、具备良好的代码编写风格，能书写和维护代码、文档规范；思路清晰，优秀的分析问题与解决问题的能力5、有nodejs相关开发经验者优先，有相关可展示作品者优先【关于我们】1、丰厚的年终奖金+各种补贴+弹性工作+五险一金+法定假期+商业保险+员工体检2、员工集体旅游/团建+优秀员工个人/家庭出国游+优秀达人出游+各种有的没的你想到的想不到的福利3、每年1-2次调薪+代码大神专业技能手把手培训+优秀人才股权激励+宽广的晋升空间4、读书会+马拉松+达人旅行团是我们的日常传统，CEO带着你一起冲刺马拉松。。。5、生日会+周年庆+丰富多彩的部门团建。 PS：1、对，我们不打卡！不打卡！！不打卡！！！2、有且不仅有以上福利，而且是真的真的真的有~~~3、加入我们，每天与码农大神面对面，我们的团队都是大神，真的真的真的，都是都是都是~~~【了解我们】1、官网：http://www.paraview.cn/2、公众号：派拉软件,数据服务,150-500人,web,武汉
移动Web前端高级开发工程师,https://www.lagou.com/jobs/3438623.html,东西湖区,6k-12k,武汉皆能时空关联科技有限公司,1-3年,本科,"午餐补助,薪酬提升,股票期权","学历要求：本科及以上学历求职者请注意：1.请各位精英务必仔细查看招聘要求；2.请勿泛投，否则简历会被直接忽略；3.请浏览公司网站www.geonoon.com， 以了解公司所涉领域与发展方向。岗位职责： 1. 设计开发移动Web前端的API/SDK；2. 与UI设计师合作进行需求分析和设计实现移动Web的UI应用模板。  职位要求： 1. 计算机相关专业毕业，本科及以上学历。 2. 具备2年以上的移动Web开发经验，具备Android平台上的开发经验。了解后台开发，对Web开发有整体认识。 3. 精通JavaScript，熟悉Java/NodeJS语言之一。熟悉HTML，CSS，DIV。 4. 熟悉某种/某些移动Web开发框架， 例如JQuery Mobile, Titanium Mobile, Bootstrap, AngularJS, PhoneGap, Kendo UI, Ionic, Sencha Touch，jQTouch等等。 5. 熟悉Android平台的Java与WebView中的JavaScript交互的机制。精通EventBus等事件处理机制。有丰富的开发Hybrid App的经验。 6. 具有设计可重用的Java类库和JavaScript代码库的经验。具备API设计的思维和技能。能够按照良好的编程风格设计开发高质量的Java或JavaScript代码API/SDK。 7. 熟悉移动Web中UI设计开发工作，能够设计面向不同应用的UI模板。熟练掌握Axure设计软件；有html5工作经验优先；熟练掌握DIV+CSS页面架构和布局方式。 8. 熟悉开发工具Android Studio和Eclipse, 熟悉版本控制工具Git的使用。  9. 创新的思维，有强烈的上进心和求知欲，快速的自学能力，善于学习和运用新技术。 10. 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识。较好的英语能力。工作积极高效。",移动互联网,15-50人,web,武汉
