job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
19332-企点Web后台开发工程师(腾讯云全资子,https://www.lagou.com/jobs/6759323.html,高新技术产业开发区,12k-20k,腾讯科技（深圳）有限公司,不限,本科,大厂福利,"岗位职责:负责企点与企业QQ及其开放平台等产品需求评审、系统设计、CGI及Web后台服务程序研发；负责企点与企业QQ运营支持系统的建设和研发工作，确保相关系统稳定可靠运行；负责企点产品与合作伙伴产品的集成和交付工作。负责企点与企业QQ的运营问题、业务运维。负责新项目开发中技术难点的攻关和预研工作。岗位要求：本科以上学历，计算机或相关专业，2年及以上相关工作经验；软件知识结构全面，基础扎实，精通常用数据结构与算法；精通Web后台开发语言至少一种（PHP、Java、Go等）,有一定的架构能力和良好代码规范；熟悉linux/unix系统与开发环境，熟悉TCP/IP协议，socket编程，熟悉Mysql以及SQL语言，熟悉Kafka等MQ，熟悉Redis等分布式KV存储系统；高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业；有高可用、高性能、大容量服务系统设计开发经验者、有toB行业经验者优先。【注：此岗位为腾讯集团旗下全资子公司编制岗位】",社交,2000人以上,web,西安
19332-企点Web前端开发工程师(腾讯云全资子,https://www.lagou.com/jobs/6759336.html,高新技术产业开发区,12k-20k,腾讯科技（深圳）有限公司,不限,本科,大厂福利,岗位职责：负责腾讯ToB产品腾讯企点账户中心、融合工作台、工单系统、营销自动化系统等平台或系统的前端开发和维护工作；负责前端团队内部框架或组件的研发和维护工作；负责重点项目的前端技术方案和架构的研发和维护工作；岗位要求：本科以上学历，计算机或相关专业，2年及以上相关工作经验；精通前端各项技术如JavaScript、TypeScript、CSS、HTML等，并至少熟悉一种后台语言，例如PHP、JAVA等，熟悉前后端协作迭代开发流程，可以熟悉使用Git版本管理工具；精通前端常见开发框架，例如Vue、React、Backone等，乐于研究和贡献，有开源框架开发经验优先，最好在Github上已有比较受欢迎的开源组件；具备优秀的沟通和协作能力，能够承受比较大的工作压力，自我驱动力强；需要有ToB业务或者大型前端工程开发经验，对前端技术架构安全、性能、稳定性等方面有研究者优先。【注：此岗位为腾讯集团旗下全资子公司编制岗位】,社交,2000人以上,web,西安
web前端开发工程师,https://www.lagou.com/jobs/7212613.html,高新技术产业开发区,13k-18k,北京中合利成电子商务有限公司,3-5年,本科,央企 五险一金,岗位职责：1、完成前端代码编写，确保符合前端代码规范；2、与后端开发团队紧密配合，确保代码有效对接，优化系统前端性能；3、研究前沿的前端技术并参与维护前端框架和规范。任职要求：1、要求本科及以上学历；2、要求有react\vue\angularJs等前端框架的实战经验；3、善于沟通，具有团队意识，技术攻克能力强。,电商,150-500人,web,西安
web前端开发工程师,https://www.lagou.com/jobs/6888855.html,雁塔区,4k-7k,西安点通软件信息技术有限公司,1年以下,本科,五险一金、周末双休、年终奖金、绩效奖金,岗位职责： 1. 根据需求设计方案 2. 参与移动端和 PC 端页面设计 3. 使用 Angular、 Js、 CSS 等前端技术完成前端页面开发 4. 撰写软件需求、设计等文档岗位要求： 1. 计算机相关专业 2. 熟练 web 前端开发基础 3. 了解 Angular、 JS、 CSS、 html 等前端开发技术 4. 熟悉 Linux 开发环境 5. 学习能力强，有团队合作精神 6. 英语书面及口头表达流利者优先福利待遇：1. 薪酬福利：季度奖，年终奖，社保，带薪年假2. 员工关怀：弹性工作，团建活动，日常福利，年度旅游3. 职业发展：技能培训，职业发展辅导，晋升机会4. 点通文化：机会与挑战并存，困难和希望同在我们坚信：唯有真诚，才能感动客户唯有努力，才能实现梦想唯有坚持，才能创造奇迹,移动互联网,15-50人,web,西安
Java Web前端开发工程师,https://www.lagou.com/jobs/6892295.html,雁塔区,6k-11k,西安点通软件信息技术有限公司,1-3年,本科,五险一金、周末双休、年终奖金、绩效奖金,岗位职责： 1. 根据需求设计方案 2. 参与移动端和 PC 端页面设计 3. 使用 Angular、 Js、 CSS 等前端技术完成前端页面开发 4. 撰写软件需求、设计等文档岗位要求： 1. 计算机相关专业 2. 熟练 web 前端开发基础 3. 了解 Angular、 JS、 CSS、 html 等前端开发技术 4. 熟悉 Linux 开发环境 5. 学习能力强，有团队合作精神 6. 英语书面及口头表达流利者优先福利待遇：1. 薪酬福利：季度奖，年终奖，社保，带薪年假2. 员工关怀：弹性工作，团建活动，日常福利，年度旅游3. 职业发展：技能培训，职业发展辅导，晋升机会4. 点通文化：机会与挑战并存，困难和希望同在我们坚信：唯有真诚，才能感动客户唯有努力，才能实现梦想唯有坚持，才能创造奇迹,移动互联网,15-50人,web,西安
web前端开发工程师,https://www.lagou.com/jobs/7217352.html,高新技术产业开发区,12k-18k,西安小青蛙影视文化传播有限公司,5-10年,大专,团队氛围好，待遇高,"前端SE岗位
 熟悉VUE
 能带领团队
 五年以上开发经验
 专科以上学历，可以快速到岗","移动互联网,广告营销",15-50人,web,西安
WEB前端开发工程师,https://www.lagou.com/jobs/3955350.html,雁塔区,8k-15k,深圳市易流科技股份有限公司,3-5年,本科,"友好团队,前沿技术",岗位职责：1、负责公司产品和项目的前端开发工作；2、与后端开发团队紧密配合，优化网站前端性能。任职要求：1、大专及以上学历，2年及以上Web前端开发经验；2、精通JavaScript、HTML、css等前端技术，熟悉HTML5、css3；3、熟悉Vue.js、webpack，对前端工程化与模块化开发有足够理解和实战经验；4、熟悉ES6语法，熟悉element-ui等前端框架；5、对前端技术有持续的热情，有良好的沟通和团队协作能力、思维分析能力及创新意识。,移动互联网,500-2000人,web,西安
web前端工程师-西安,https://www.lagou.com/jobs/6855091.html,高新技术产业开发区,10k-15k,北京中科物安科技有限公司,3-5年,本科,办公环境好，晋升机会大,岗位职责：1、快速了解需求并编写高质量的代码，快速迭代产品和功能；2、参与到产品构思、架构、和执行的所有开发阶段；3、主要负责Web页面及移动端H5页面开发；任职资格：1、3年以上开发经验，计算机相关专业大专及以上学历，良好的编程习惯；2、精通前端基本技术，包括HTML /CSS /Javascript /jQuery /Bootstrap 等；3、熟练掌握至少一种常用前端框架，如React、AngularJs、Vue等；4、具备较强解决问题的能力，有良好的沟通能力和团队精神,信息安全,50-150人,web,西安
web全栈工程师,https://www.lagou.com/jobs/7203225.html,新城区,9k-14k,星融元数据技术（苏州）有限公司,1-3年,本科,节日福利、零食水果、年度体检、弹性工作,职责描述：1、负责公司产品或项目Web研发；2、深入了解公司产品业务，web设计应使用户在业务操作上更灵活；3、跟踪最新前端技术和标准，持续优化前端，以提高前端的用户体验以及性能；4、其他新增开发工作。任职要求：1、1年以上工作经验；2、熟练掌握Web前端技术CSS/HTML/Javascript，有html5/css3开发经验，熟悉Bootstrap等UI框架；至少掌握一种后端语言，c/c++ or Python；3、具有Angular、React、Vue等开发经验，熟悉Webpack、Gulp等构建工具；4、对CSS/JS性能优化，浏览器兼容性问题有一定经验；5、具备良好的沟通能力和团队精神，解决问题能力和规范化开发能力；6、熟悉网络编程和TCP/IP协议相关原理者优先；7、熟悉数据结构和linux开发环境，有C语言或者Python开发经验者优先；,"数据服务,硬件",15-50人,web,西安
web前端开发工程师,https://www.lagou.com/jobs/5700259.html,高新技术产业开发区,10k-15k,武汉佰钧成技术有限责任公司,3-5年,本科,五险一金 周末双休,岗位需求：1、本科及以上学历，计算机或相关专业，能快速学习应用新技术，具备良好的沟通理解能力；2、计算机专业知识扎实，掌握linux系统知识；3、掌握web开发技术，熟悉js，能熟练使用vue.js；4、有完整系统实践经验优先，有小程序开发经验者优先。,移动互联网,2000人以上,web,西安
