job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端开发/H5工程师助理/实习,https://www.lagou.com/jobs/6585680.html,经开区,4k-6k,河南招财猫电子科技有限公司,1年以下,大专,双休、五险、晋升空间大,一、岗位职责：1、负责公司PC端、移动端产品的网站的后端开发、维护；2、负责前端功能开发，设计、优化和维护产品页面，缩减页面体积、加快加载速度及优化用户体验；3、负责通过HTML5相关技术开发移动平台、PC终端的前端页面，完成页面制作，微网站开发等；4、根据开发进度，实施方案，完成相应模块的开发任务，参与技术架构设计和项目管理；5、根据研发规范和项目流程编写相关技术文档，创新类产品从构想到原型技术调研及快速开发；6、配合后台开发人员实现界面和功能，完成部门主管交代的其他事宜。二、任职要求：1、男女不限，18—28岁；2、17/18/19界应往届毕业生优先；3、大专及以上学历，计算机专业及理工生优先；4、热爱IT互联网行业，有志于长期从事本行业工作；5、学习能力强，工作积极，热情，沟通能力强，有团队合作精神；6、思路清楚，有基本的编程素质，有良好的表达与沟通能力，有一定的逻辑思维能力；7、有吃苦耐劳精神，热爱生活热爱工作，具有良好工作态度，听从公司管理及安排。三、薪资待遇：1、试用期（实训期）：3个月，优秀者可提前转正，带薪实训：底薪2700+提供住宿+饭补+其他福利待遇，公司提供岗前带薪实训，无经验的你不必担忧；2、转正后月薪可享有5500-8000元/月，两年内平均年薪十万以上，签订正式劳动合同，享受五险一金，年终奖金，并每年两次调薪，享有国家规定的法定假期、带薪年休假等福利待遇；3、每月举行员工生日会，可享受公司组织的：国内外旅游、部门聚餐、公司聚餐、年底分红、国外年会等；4、舒适的办公坏境；优越的福利保障；富有竞争力的薪酬；完善的员工内训制度，高效的工作环境和氛围；定期组织员工参与旅游、体育比赛等业余活动，丰富员工的工作生活。其他：有意者请直接投递简历，我们会及时回复您！以电话形式联系您面试或邮件（发到你预留邮箱中）形式通知您面试！谢谢您的关注，祝您工作顺利！珍惜今天的拥有，明天才会富有！,"人工智能,软件开发",150-500人,web,郑州
web前端讲师,https://www.lagou.com/jobs/4965404.html,高新区,10k-15k,河南八六三软件股份有限公司,3-5年,本科,"高薪,双休,五险一金",岗位职责：1、负责H5方向教研体系，设计、规划课程和任务体系；2、通过面授方式进行学员答疑、任务讲解；3、按照规范和课程体系规划制作专业的Web前端相关教学课程；4、研究最新的Web前端技术、人才市场发展趋势，确保教研体系的专业性和时效性。任职要求：1、3年或以上前端开发经验，本科以上学历。2、有责任心、良好的沟通与表达能力，具备创新思维、业务逻辑理解与分析能力强。3、精通H5、CSS3、JavaScript、Ajax、Bootstrap、Vue等Web开发技术。4、熟练一种JSMVC框架，如AngularJS、ReactJS、KnockoutJS等。5、从事Web前端项目开发、在培训行业有教学经验者优先。6、掌握至少一门非前端开发语言（如Java/.Netde.js等）者优先。,移动互联网,500-2000人,web,郑州
web前端讲师,https://www.lagou.com/jobs/5449072.html,高新区,10k-15k,河南八六三软件股份有限公司,3-5年,不限,"双休,五险一金 带薪年假",岗位职责：1、负责H5方向教研体系，设计、规划课程和任务体系；2、通过面授方式进行学员答疑、任务讲解；3、按照规范和课程体系规划制作专业的Web前端相关教学课程；4、研究最新的Web前端技术、人才市场发展趋势，确保教研体系的专业性和时效性。任职要求：1、3年或以上前端开发经验，本科以上学历。2、有责任心、良好的沟通与表达能力，具备创新思维、业务逻辑理解与分析能力强。3、精通H5、CSS3、JavaScript、Ajax、Bootstrap、Vue等Web开发技术。4、熟练一种JSMVC框架，如AngularJS、ReactJS、KnockoutJS等。5、从事Web前端项目开发、在培训行业有教学经验者优先。6、掌握至少一门非前端开发语言（如Java/.Netde.js等）者优先。,移动互联网,500-2000人,web,郑州
Web前端开发,https://www.lagou.com/jobs/4594945.html,金水区,10k-15k,郑州时空隧道信息技术有限公司,3-5年,本科,"五险一金,带薪年假,节日福利,员工旅游",我们希望你：充满好奇心，享受coding，学习能力强技术全面，对技术有热情，关注技术最新发展方向极强的责任心，追求完美的习惯，刨根问底的精神技术上：熟练掌握HTML5、CSS3、JavaScript开发熟悉W3C标准与ES规范，熟悉Web语义化熟练掌握盒模型、常用布局以及浏览器和移动设备兼容性熟练使用至少一种JS框架，熟悉Vue、React等，掌握其原理，能独立开发常用组件熟练使用各种调试、抓包工具，能独立分析、解决和归纳问题具有性能优化经验熟悉各种常用设计模式和常用MV*框架熟练使用Git加分项：熟悉前端自动化和工程化，熟悉webpack、fis3有小程序开发经验熟悉NodeJS，有NodeJS开发经验或者有至少一门服务器端编程的实战经验,"移动互联网,消费生活",150-500人,web,郑州
web前端（PC端）,https://www.lagou.com/jobs/4981236.html,金水区,6k-10k,郑州时空隧道信息技术有限公司,1-3年,本科,"五险一金,带薪年假,节日福利,员工旅游",岗位职责：1.配送后台系统的构建以及维护；2.对于页面的**性能优化；3.高性能，高稳定性，高兼容性的PC端开发； NW.js，Electron开发经验（+分）；4.具有高可用行，高可维护性，高可扩展性以及高性能的Node服务的开发经验（+分）；5.在理解产品的前提下，提升产品的用户体验，勇于创新，善于学习； 渴望迎接未来各种各样的新挑战和新问题。任职要求：1. 熟练并精通多种主流前端技术及框架（jQuery/Vue/React）2.对前端工程化有一定理解，熟悉Gulp，Webpack等工作流管理以及打包工具3.熟悉常见的安全策略，可以发现并解决网站安全问题4.熟悉HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局5.有一定的后端开发能力，可以阅读理解并修改后端代码，并了解各类常见的后端协议6.有着良好的debugger能力，能够迅速查找并定位问题7.乐于分享，易于沟通，思维灵活，热爱Coding8.对于前端标准了解深入者优先9.计算机基础优秀者优先，我们希望你有着良好的基础，让我们的工作可以出现更多的可能性，基础的范围包括但不限于高等数学，数据结构及算法，图像识别，机器学习10.github上项目star超过50者优先；长期坚持写博客者优先；有某一方向有深入研究者优先；有作品提供者优先。,"移动互联网,消费生活",150-500人,web,郑州
中高级web前端,https://www.lagou.com/jobs/6860100.html,高新区,12k-24k,中移在线服务有限公司,3-5年,本科,"平台大,产品牛,扁平化，年终N薪","职位诱惑：平台大,产品牛,扁平化，年终N薪岗位职责：1、负责微门户产品（用户1.4亿，月活2000万）重要业务模块的前端开发工作；2、参与前端整体发展计划与基础建设等；3、参与推动与优化已有前端项目的基础架构与组件抽象； 4、针对新人、开发人员进行有效辅导，帮助其快速成长；任职资格1、精通前端开发技术（html/css/ES6/TypeScript/NodeJs），具备跨终端（Mobile+PC ）的前端开发能力和移动端原生开发，熟悉网络协议（ HTTP/SSL ）；2、具有前端工程化与模块化的开发技术和工具，并有实践经验（如 gulp/webpack等）；3、具有vue，react开发经验，并了解框架运行原理以及性能优化；4、熟悉各种浏览器平台的特性，能够很好地解决兼容问题和疑难问题；5、有后端语言(Python,Java等)开发经验优先，熟悉 Node.js 异步编程 以及 V8 的性能和稳定性优化，对 koa/express 等模块原理机制了解透彻，有大型 Node.js 项目的架构开发经验；6、具有一定专研精神，敢于挑战自我，解决各种未知问题，有独立的思考和观点；7、全日制统招本科及以上学历",移动互联网,2000人以上,web,郑州
web前端开发,https://www.lagou.com/jobs/6748086.html,高新区,15k-25k,中移在线服务有限公司,3-5年,本科,大平台 高起点 大牛同事,"岗位职责：1、负责产品的前端开发工作，包含Web公众号小程序的前端开发工作；2、参与功能设计、开发进度计划的讨论，配合后端工程师按时完成项目； 3、持续优化应用开发流程，提高开发效率和软件质量。任职要求：1、全日制本科及以上学历，3-5年相关工作经验；2、HTML、CSS、JavaScript基础扎实，精通各种前端开发技术；  3、对React、Vue、jQuery等框架有较深入研究，了解框架运行原理以及性能优化；4、熟悉各种浏览器平台的特性，能够很好地解决兼容问题和疑难问题；5、有后端语言(PYTHON,JAVA等)开发经验者优先，熟悉webpack配置，有nginx使用经验；6、具有较强的逻辑思维和沟通能力，遇到问题能够快速定位并提供合理解决方案。",移动互联网,2000人以上,web,郑州
web前端开发工程师,https://www.lagou.com/jobs/6827459.html,郑东新区,8k-14k,河南中原消费金融股份有限公司,3-5年,本科,福利待遇、发展前景,工作职责：1、负责公司常规业务小程序、H5的日常需求迭代开发2、负责积分商城、充值中心、秒杀商城等相关需求迭代开发3、负责的相关项目的代码优化，优化项目交互体验岗位要求：1、熟练掌握各种前端技术，包括 HTML/CSS/JavaScript、AJAX、HTTP 等； 2、深入了解 JavaScript 语言，熟练掌握ES6、ES7 标准的语法；3、熟练掌握 React 或 Vue.js 等主流开发框架； 4、熟悉 HTTP 协议相关知识，掌握常见的移动端 Web 调试方法和工具； 5、有移动端 Web、Hybrid App 或小程序等开发经验者优先；6、有较强的责任心，善于学习，良好的团队精神；,"移动互联网,金融",150-500人,web,郑州
web前端,https://www.lagou.com/jobs/5611207.html,二七区,4k-8k,河南捷之捷网络技术有限公司,3-5年,大专,五险一金，法定节假日，周末双休,岗位职责：1、负责公司APP、微信小程序及公众号的开发2、参与项目的技术开发，参与讨论用户体验和细化需求3、公司产品上线后的优化与更新4、能独立完成设计编码及审查 任职要求：1、熟悉APP和微信小程序开发原理、开发流程，能独立开发2、精通JavaScript、HTML5、CSS、JQuery等前端开发技术3、责任感强，对产品质量和体验有执着的追求，能主动优化产品4、在用户体验方面有自己的见解，能主动根据根据业务需求和使用反馈，提出合理的优化修改方案5、有成熟app、微信小程序及公众号开发经验者优先,移动互联网,15-50人,web,郑州
Web前端开发工程师-2020YF07,https://www.lagou.com/jobs/6798668.html,金水区,10k-15k,郑州信大捷安信息技术股份有限公司,3-5年,本科,公司平台好 发展空间大,岗位职责:负责后台管理界面开发，PC和手机端H5应用开发。任职要求：1、计算机、网络、信息安全相关专业本科以上学历；2、3年以上web开发经验；3、熟悉HTML、js、CSS等网页制作技术；4、熟练使用jquery、bootstrap等主流js库，熟悉响应式布局开发；5、精通IE系列、firefox、chrome等浏览器兼容性调优；6、精通ajax，熟悉前后端分离架构设计，能与后端工程师联调接口；7、精通手机端页面开发，有混合开发相关经验；8、熟悉MVVM模型，有angularjs或Vue.js相关经验；9、熟悉前端工程化，能使用webpack类似的工具搭建开发环境；10、了解node、react项目，熟悉其中任一种开发模式并有相关经验。,"移动互联网,信息安全",500-2000人,web,郑州
web前端,https://www.lagou.com/jobs/6544455.html,高新区,7k-12k,易宝软件科技（南京）有限公司,1-3年,本科,"双休,五险一金,年终奖,季度奖","岗位要求：统招本科，学信网 可查，双证齐全；技能要求：公司主要是PC端，js/jq  对浏览器兼容有要求1、ML、CSS，能够快速手写CSS代码，熟悉页面架构和布局、Grunt/Gulp/webpack等前端框架，能够根据产品特性迅速了解业务流程；2、熟悉bootstrap,angularjs,reactjs,vue等任一框架，熟练开发前后台交互（restful），熟悉require.js者优先；3、 熟悉Web网站以及Web应用的可用性及用户分析方法，深入理解产品流程、用户体验和用户需求，对提升用户体验有一定经验；4、熟悉W3C标准，对MCV，WEB语义化，模块化有较深刻理解，能轻松写出符合W3C标准、兼容主流浏览器的代码",移动互联网,150-500人,web,郑州
