job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端,https://www.lagou.com/jobs/6601785.html,开福区,11k-20k,深圳市掌娱炫动信息技术有限公司,5-10年,本科,后端技术负责人 项目奖金,岗位职责：1、负责公司小程序设计及开发工作; 2、搭建高效集成的前端开发环境; 3、参与开发核心组件，参与部分项目的技术选型; 4、持续的优化前端体验和页面响应速度，并保证兼容性和执行效率; 5、配合后台工程师一起研讨技术实现方案，进行应用及系统整合; 6、完成与工作相关的技术文档编写工作; 任职要求： 1、计算机相关专业本科及以上学历，3年以上互联网Web前端相关开发经验; 2、熟悉HTML5特性，了解HTML5最新规范，能熟练运用HTML5、CSS3、进行合理的PC端网页制作和构建移动端的WebApp； 4、熟悉掌握HTML CSS Javascript ES6 JSON AJAX等前端开发技术、理解前端组件化的开发思想； 5、熟悉Uni-app多端框架、Vue.js开发架构和框架；6、熟悉交互设计，对可用性、可访问性等用户体验知识有相当的了解和实践经验； 7、从技术和业务角度主动挖掘产品特性，并利用自身设计能力主动提出解决方案； 8、强烈的责任心和团队合作能力，良好的学习能力，逻辑思维能力并且敢于创新和接受挑战。,"移动互联网,游戏",50-150人,web,长沙
web前端开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6814294.html,岳麓区,10k-20k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯全资子公司编制岗位，工作地点在长沙,岗位要求：        1、本科及以上学历，3年以上Web前端相关工作经验，有扎实的计算机学科和网络知识基础；2、熟练掌握 HTTP/HTML/CSS/JS 等前端基础专业知识和常见的Web安全方案；3、熟悉主流开发框架，熟练掌握 Vue，对前端工程化、组件化、模块化有一定理解和思考；4、对JS新特性、前端性能等有深刻理解和使用经验者优先；5、熟悉 Node.js，有后台业务开发经验者优先；6、热爱前端技术，注重代码质量；有框架设计能力者优先；7、有团队精神、善于沟通、有责任心、执行能力强。注：此岗位为腾讯集团旗下全资子公司编制岗位。岗位职责：        1、负责智慧教育相关项目H5/小程序/web开发、架构设计和优化工作；2、和产品经理、设计师、后台开发等讨论产品设计，共同制定出最优解决方案；3、优化研发流程，确保产品的交付质量和效率，保障产品和服务的稳定性。,社交,2000人以上,web,长沙
智慧教育web前端开发工程师,https://www.lagou.com/jobs/6940527.html,岳麓区,10k-20k,腾讯科技（深圳）有限公司,不限,本科,大厂,岗位要求：    本科及以上学历，3年以上Web前端相关工作经验，有扎实的计算机学科和网络知识基础；熟练掌握 HTTP/HTML/CSS/JS 等前端基础专业知识和常见的Web安全方案；熟悉主流开发框架，熟练掌握 Vue，对前端工程化、组件化、模块化有一定理解和思考；对JS新特性、前端性能等有深刻理解和使用经验者优先；熟悉 Node.js，有后台业务开发经验者优先；热爱前端技术，注重代码质量；有框架设计能力者优先；有团队精神、善于沟通、有责任心、执行能力强。注：此岗位为腾讯集团旗下全资子公司编制岗位。   岗位职责：    负责智慧教育相关项目H5/小程序/web开发、架构设计和优化工作；和产品经理、设计师、后台开发等讨论产品设计，共同制定出最优解决方案；优化研发流程，确保产品的交付质量和效率，保障产品和服务的稳定性。,社交,2000人以上,web,长沙
Web前端开发,https://www.lagou.com/jobs/6288282.html,岳麓区,15k-20k,亚信科技（中国）有限公司,5-10年,本科,"五险一金,年底双薪,项目奖,年度绩效奖",职位描述：【团队介绍】我们是亚信科技长沙Ux研发中心，负责亚信研发产品的用户体验、设计语言体系、前端开发框架、数据可视化和3D可视化引擎等产品，团队成员整体年轻、做事有激情、气氛轻松活跃，我们也为每个团队成员提供无天花板的发展路径和规划。【岗位职责】负责产品研发中心前端UI框架、前端工程化工具的研发、数据可视化等产品的维护与演进、组件库研发；在理解前端开发流程的基础上，结合业务实际建立或优化提升工作效率的工具；  在理解产品业务的基础上，主动提升产品的用户体验，技术驱动业务的发展，在交互方式以及页面性能方面不断创新；  关注前端前沿技术研究，通过新技术服务团队和业务。【任职要求】关注WEB标准化进程，熟悉W3C标准；对前端新技术及趋势有较强的敏感度，如HTML5、CSS3、JS模板引擎、前端MVC、MVVM、Web Component等；对前端工程化与模块化开发有一定了解，并有实践经验（如Vue/React/webpack/commonjs等）至少熟悉一门非前端的语言（如NodeJS/Java/PHP/C/C++/Python/Ruby），并有实践经验具备良好的团队协作精神，能利用自身技术能力提升团队整体研发效率，提高团队影响力；对前端技术有持续的热情，个性乐观开朗，逻辑性强，善于和各种背景的人合作。【加分项】精通Vue原理；搞过Vue组件开发；拥有JS全栈开发经验；做过大型企业WEB应用项目开发；,"企业服务,移动互联网",2000人以上,web,长沙
高级WEB前端工程师,https://www.lagou.com/jobs/6769557.html,雨花区,16k-25k,湖南易智寄网络科技有限公司,5-10年,本科,双休、五险一金、年终奖、出国交流机会,"岗位职责：1、负责前端的架构和业务数据结构设计；2、负责制定和维护前端的代码标准和开发规范；3、解决自己和团队在开发中出现的技术问题；4、根据业务需求和技术实现方式，给出产品前端页面展现的建议。任职要求：1、从事WEB前端开发5年以上工作经历；2、精通VUE 和 至少一种基于它的UI框架 （如 element-ui)；3、熟练掌握es6-promise. es7 的 常用语法规范。有过一定的编码经验，能够遵循团队的编码/设计规范；4、熟练掌握CSS ,SASS 样式布局，特效等。精确还原设计图；5、具备技术问题的解决和分析能力，具备一定的架构能力，可以主动改进开发效率和开发流程；6、具备良好的代码规范意识、文档意识、产品意识，逻辑分析能力强，善于沟通，有良好的沟通能力和团队合作能力。福利待遇：1、五险一金；2、薪资待遇：16000-25000元/月,13薪；3、舒适的工作环境，融洽的工作氛围，和谐的人际关系及人性化的管理模式；4、工作时间：9:00-18:00（双休，节假日全休）。",移动互联网,15-50人,web,长沙
web前端开发工程师,https://www.lagou.com/jobs/7161383.html,岳麓区,10k-15k,北京久幺幺科技有限公司,3-5年,本科,五险一金、周末双休,1. 负责项目前端的设计开发工作，进行前端性能测试，维护Web界面，优化性能；2. 能够完成核心产品代码的研发工作，解决项目中关键问题和技术问题；3. 与后端开发团队紧密配合，确保代码有效对接；任职要求：1. 本科及以上学历，计算机相关专业，3年以上相关工作经验；2. 熟练掌握javascript、HTML/HTML5、CSS/CSS3等前端开发技术，熟悉W3C、ES5标准，了解ES6标准；3. 熟悉vue、bootstrap、jquery等框架，了解webpack、npm、yarn等工具；4. 熟悉前端开发流程和调试工具，熟练使用ajax、json等与后台联调；5. 了解Web性能优化、有移动应用、微信应用的开发经验；6. 有良好的沟通能力和团队协作能力，思维清晰，善于学习，自主驱动，关注用户体验。,"移动互联网,文娱丨内容",15-50人,web,长沙
高级web前端,https://www.lagou.com/jobs/7183730.html,开福区,12k-20k,长沙宽睿互联网科技有限公司,3-5年,大专,表现优秀者保底14薪，期权，巨额奖励,"职位描述：1.熟练掌握html5,css3,javaScript等技术，有良好的编码习惯和代码风格，熟知浏览器兼容特性2.熟练掌握前端主流库，如jQuery,vue,React,Angular有基于vue开发经验者优先(公司项目或个人作品均可)3.熟悉主流编译工具，如webpack,gulp,熟悉前端性能优化4. 熟悉ES6的语法及特性，对组件化、模块化有自己的见解。5.要求熟悉css、动画，能够快速的完成页面和用css写动画6.功底扎实，能够带领前端团队，良好的团队合作习惯和沟通能力有责任心，有学习能力，能够不断学习提升自己。7. 熟练使用git，能对整个项目进行整体规划，团队分工，管理整个前端项目的版本和进度8、 负责大型系统的产品Web前端功能设计，开发和实现， 改善软件的易用性，能够实现公司自己的常用组件库搭建；9、 根据产品需求完成架构和模块设计、编码、测试工作；10、 能按照项目计划，按时提交高质量的代码，完成开发任务；职位要求：1、 大专及以上学历，计算机、信息工程等相关专业，有带领过前端团队者优先；2、 5年以上Web开发经验，熟练掌握HTML5、CSS、JavaScript、JSON、JQuery等Web前端技术；3、 精通DIV+CSS布局的HTML代码编写，良好的前端体验和页面响应速度，并保证兼容性和执行效率；4、 熟悉组件化开发和前端框架（angularjs、vuejs、react等）；5、熟练使用electron开发跨平台桌面应用6、熟练使用包管理器（webpack，gulp等）一种或多种并能自己搭建环境 处理构建过程中的各种错误6、 有数据可视化大屏项目经验优先；7、 有移动端或微信小程序开发经验优先；8、有用过appcan或者apicloud等类似工具开发app者优先","企业服务,软件开发",50-150人,web,长沙
web前端开发工程师,https://www.lagou.com/jobs/6243267.html,天心区,6k-10k,长沙聪衡电子商务有限公司,3-5年,大专,"发展前景好,医疗健康的互联网公司，大牛多",技能要求：CSS，HTML5岗位职责：web产品的前端功能设计、开发和优化；前端基础模块的开发和维护；配合产品人员完成网页页面的交互/效果/用户体验的实现。岗位要求：2年开发经验，熟悉HTML5标准，精通Javascript前端开发，能快速高效实现各种交互效果；有移动前台开发经验的优先。工作时间：周一至周五（8小时工作制），周末双休。福利待遇：1、入职当月购买意外险；2、转正后购买五险一金；3、生日津贴、节庆物资、慰问金；4、工龄补贴；5、旅游；6、带薪年假等福利。查看更多内容,"电商,医疗丨健康",50-150人,web,长沙
web前端工程师（长沙）,https://www.lagou.com/jobs/7164182.html,岳麓区,8k-16k,深圳市中兴新云服务有限公司,1-3年,本科,发展前景好、有竞争力薪资、团队氛围好,【岗位职责】1、负责公司已有产品H5、web端和移动端VUE.JS开发和维护；2、负责公司移动端新产品H5前端开发或小程序开发；3、负责与后端工程师联调及解决前端疑难问题；4、负责常用前端组件及工具库封装与优化；5、负责前端技术规范的完善与实施；6、完成项目快速迭代。【任职条件】1、全日制统招本科及以上学历，计算机相关专业，1年及以上开发经验；2、精通HTML5、CSS3及SASS，熟悉页面架构和布局，保证对主流浏览器的兼容；3、精通原生JavaScript原理，熟悉ES5/ES6特性，理解函数式与面向对象编程思想，有TypeScript使用经验优先；4、有使用过vue.js、angular.js、react经验，并能熟练使用相应框架；5、熟悉前后端数据交互过程，了解REST api；6、有SVG、canvas使用经验者优先；7、熟练使用GIT代码管理工具；8、优秀的代码编写能力。,"移动互联网,企业服务",50-150人,web,长沙
WEB前端研发工程师,https://www.lagou.com/jobs/6893607.html,芙蓉区,8k-16k,中通服创发科技有限责任公司,3-5年,本科,双休，项目绩效奖金，一年两次调薪机会。,1、本科以上学历，3年及以上Web应用开发经验，对前后端联合开发的技术原理有全面认识2、精通Javascript，Ajax Request，Restful Api的设计开发3、有Java后端编码以及多浏览器兼容开发经验4、熟悉Html5，CSS3的开发5、 有互联网产品开发经验者优先考虑,"移动互联网,电商",150-500人,web,长沙
web前端,https://www.lagou.com/jobs/7202150.html,岳麓区,7k-13k,长沙咸蛋小海网络科技有限公司,3-5年,大专,双休 13薪,1.负责公司产品前端页面的开发，维护和优化工作；2.负责公司产品前端框架的搭建，公共组件的开发和维护工作；3.攻克在研发平台产品过程中的技术难点我们需要这样的人：1.大专以上学历，有1- 3 年以上的 JavaScript 实际开发经验，具备良好的面向对象编程基础；2。精通 JavaScript、HTML、CSS 等技术；3.精通且熟悉以下一种（ react、vue ）前沿框架，熟悉并使用过 ES6 标准，有实际项目经验者优先；4.熟悉一种或者多种前端打包工具：webpack、gulp 等；5.熟悉 nodejs，了解 nginx 等 web 服务器配置，了解 linux 命令；6.具备一种后端开发语言更佳，较强的沟通交流和团队合作能力；7.热爱前端开发，对业界的发展动态有比较密切的关注，有技术攻坚能力,"移动互联网,数据服务",少于15人,web,长沙
