job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
web前端/H5工程师/小程序开发,https://www.lagou.com/jobs/6732876.html,崂山区,8k-16k,湖北笑联科技有限公司,3-5年,本科,五险一金，有食堂，双休，节假日，带薪年假,职位诱惑：五险一金，有食堂，双休，节假日，带薪年假职位描述：非统招本科以上学历，请不要投简历。1.承接公司需求项目的前端开发及交付工作，开发语言vue；2.参与公司项目和产品的HTML5页面及移动互联网方面开发；3.负责完成HTML5前端静态视觉和动态交互行为设计和开发；4.根据产品设计，开发出适配于各个平台如网站、手机、平板的页面;5.代码版本维护，开发配置管理，搭建测试环境并能进行白盒测试。任职要求：1、计算机相关专业本科以上学历， 2年以上基于HTML5技术的webapp、微信H5的开发经验；2、熟练掌握HTML5、CSS3、JS 、JQuery、React、Vue、Angular、AmazeUI、bootstrap等技术或框架;3、精通Javascript语言的各特性，可用原生JS开发通用组件；4、熟悉主流浏览器的渲染及兼容性方案，熟练使用多种Web调试工具；4、熟悉与后端API交互开发，理解Json、Ajax等；5、良好的团队合作能力，快速分析和解决问题的能力，工作积极主动、责任心强、抗压力好；6、熟悉利用PowerPoint工具编写方案、Axure RP/PS/AI/Visio等工具的优先录用。,"移动互联网,企业服务",50-150人,web,青岛
WEB前端工程师,https://www.lagou.com/jobs/3395351.html,市北区,9k-18k,山东海博科技信息系统股份有限公司,5-10年,本科,"五险一金,员工旅游,专业培训,带薪年假",岗位职责：1、负责项目前端开发工作，配合团队进行页面优化，完成前端架构；2、配合开发工程师，实现项目UI和交互方面的开发需求，确保产品具有优质的用户体验；3、研究新的前端技术并应用到产品中；4、参与讨论制订Web前端框架。岗位要求：1、理解Web标准、浏览器端原理以及性能优化等方面的知识；2、有至少两年以上使用(X)HTML、CSS和Javascript开发经验；3、熟练使用ps，能够独立完成网页切图，并使用DIV+CSS进行网页框架搭建以及静态页面制作等工作；4、熟悉不同浏览器下的兼容性调整（IE6、7、8、9、FF、Chrome）；5、熟悉常用的JavaScript框架、类库，至少熟练掌握JQuery和Extjs；6、有基于Ajax应用开发经验，有JSP开发经验或熟悉JSP者优先；7、有互联网产品开发经验者优先。,"移动互联网,信息安全",50-150人,web,青岛
Web前端开发工程师,https://www.lagou.com/jobs/3953464.html,市北区,6k-10k,青岛东凯软科信息技术有限公司,1-3年,大专,团队氛围好,职位名称：初中级web前端开发工程师职位描述：负责业务系统的前端实现、优化。任职资格：1. 熟悉html5、css3，熟悉页面架构和布局，对表现与数据分离、Web语义化等有深刻理解。2. 理解原生javascript。熟悉jQuery，jQuery UI，常用jQuery插件，有相关实际项目经验。3. 熟悉Vue.js ，能在指导下利用vuejs完成前端页面构建。4. 英语水平良好。5. 良好的沟通能力，有团队合作精神和责任感，能够勇于承担重任。,"移动互联网,数据服务",15-50人,web,青岛
web前端开发工程师,https://www.lagou.com/jobs/7145433.html,崂山区,8k-13k,天孚（北京）科技有限公司青岛分公司,1-3年,本科,五险一金，弹性工作,1）计算机或软件相关专业，本科以上学历，1-3年 Web 前端工作经验，1年以上VUE开发工作经验；（2）从事过企业级办公系统或应用开发工作者优先；（3）熟练使用VUE开发相关工具和框架（webpack / vue-cli等）；（4）熟练使用CSS3进行界面样式调整；（5）有页面静态化经验者优先；（6）有数据库sql使用经验者优先；（7）熟悉一门后台语言优先；（8）思维活跃，有良好的解决问题的思路，可快速解决移动端web兼容性问题；编码规范、逻辑缜密、有较强的学习能力和强烈的进取心。,软件开发,少于15人,web,青岛
web前端开发工程师,https://www.lagou.com/jobs/7124037.html,城阳区,5k-10k,青岛东度网联智能科技有限公司,3-5年,大专,五险一金,1. 2年以上开发经验2. 优秀的逻辑思维3. 能够很好的融入团队,软件开发、电商,15-50人,web,青岛
web前端高级开发工程师,https://www.lagou.com/jobs/7074971.html,市南区,9k-12k,森云（天津）科技有限公司,不限,大专,产品前景好，新技术，团队扁平,"工作职责1、 负责完成Tita软件的设计与开发工作；2、 保障项目开发进度，能够高质量的完成Web 前端开发工作；3、 以用户为中心，不断创新，为用户提供卓越的交互体验；4、 探索前端开发领域的新技术，追求高效高质高性能；任职资格1、热爱前端开发工作，具有良好的团队合作精神和高度的责任心。2、有良好的编码习惯，沟通能力和快速学习能力3、 至少参与过一个以上的大型项目的设计与开发工作，具备构建复杂应用的能力；4、熟练掌握 HTML / CSS / JS，(包括AJAX和JS面向对象原理等)5、熟练使用ES6进行开发6、理解 Web 标准, 熟练解决主流浏览器的兼容性问题（IE、Chrome、Firefox，移动端)7、 至少熟练掌握一个主流前端框架，如：React\Vue\Angular\Backbone等，对其有深刻理解8、能够根据业务需求，封装高复用、可维护性好的前端组件",企业服务,15-50人,web,青岛
web前端开发工程师,https://www.lagou.com/jobs/7165770.html,黄岛区,6k-12k,北京以萨数据科技有限公司,3-5年,大专,发展空间大,技能要求：react，Javascript，Node.js，vue.js岗位职责：1、与产品、设计师保持良好沟通，快速理解、消化各方需求，并落实为具体的开发工作；2、与后端工程师协作，高效完成产品的数据对接、交互、动态信息展示等工作；3、使用Echarts、D3、js等实现数据可视化需求；4、负责前端页面的维护工作，参与组件库建设。任职要求：1、本科及以上学历， 2年以上前端开发经验；2、熟练掌握JavaScript/CSS3/HTML/jQuery/Ajax等web前端技术，熟悉W3C标准与ES规范；3、熟练使用React/Vue、js等MVVM框架，并对底层核心原理有一定了解；4、熟悉node、js开发，熟悉Webpack、Gulp等开源库和工具；5、熟练使用svn，git版本管理工具；6、拥有较强的代码设计能力，能掌控大型项目，有参与改进开发、构建、发布等前端工程化体系和组件化框架的开发经验；7、良好的编程习惯、较强的学习能力及良好的沟通理解能力。,"移动互联网,数据服务",150-500人,web,青岛
web前端,https://www.lagou.com/jobs/7165507.html,崂山区,9k-14k,海尔集团,3-5年,大专,五险一金、生日福利、节日福利、全新年假,1、根据产品需求、视觉设计完成符合web标准的前端页面制作；2、维护及优化产品前端页面性能，不断的实现更好的交互体验；3、根据项目需求和设计完成兼容性良好的前端页面制作，与后台工程师协作，完成数据交互、动态信息展现等功能；4、主要负责PC端、H5开发，解决主流浏览器的兼容性问题； 任职要求1、计算机软件或互联网行业，3年以上相关工作经验，电商网站开发经验；2、精通javaScript、HTML、CSS等前端技术，熟悉前端架构和页面布局，熟悉zepto、layUI等前端框架；3、熟练使用JQuery、Angular.js、vue.js、react.js、ES6、bootstrap等主流框架4、有Web前端性能优化经验，对用户体验、交互操作流程有深刻理解，5、对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力者优先,"物联网,电商",2000人以上,web,青岛
中级WEB前端开发工程师,https://www.lagou.com/jobs/4085410.html,李沧区,8k-16k,青岛聚数堂信息科技有限公司,5-10年,本科,五险一金，法定节假日，绩效奖，人性化管理,岗位职责：1、针对UI设计图能够独立完成Web页面及动画效果制作，精通跨浏览器的Web前端开发，熟悉响应式网页开发；负责Web前端系统功能开发、调试和维护；2、负责前端技术框架和JS等互动效果实现；3、负责与设计人员和后端开发人员的沟通，协助完成开发任务；4、研究和探索创新的开发思路和最新的前端技术。5、能提供完善的WebApp和混合App（JS方向）技术方案，了解服务端（node/java或其他语言）或native移动应用开发，有类react native开发经验者优先；6、理解并能够运用ES6 完成相关项目，了解WebPack、Gulp等框架，7、熟悉微信小程序相关内容的开发，熟悉微信小程序的生命周期，并能通过微信小程序生命周期完成相关的操纵。8、熟悉并了解React，并能根据项目提出的项目需求完成项目架构的搭建以及开发规则的定制，带领团队中其他组员完成项目。9、熟悉Node.JS服务器开发10、有面向对象开发模式思想以及组件化开发经验者优先。任职要求：1、5年以上前端页面与脚本开发经验；2、有独立完成复杂前端模块的设计与实现的经验，有一个以上复杂的前端开发案例优先；3、精通DIV+CSS布局的HTML代码编写，熟练手写标准CSS样式表，对JS的各种特性以及浏容性有丰富实战经验；4、精通各种Web前端技术，HTML5、CSS3、XHTML、XML、JSON、Ajax等Web开发技术，熟悉JavaScript，深入理解DOM、面向对象，熟悉jQuery框架。5、熟悉页面优化，代码编写规范，能快速解决浏览器的相关兼容问题。,"移动互联网,电商",50-150人,web,青岛
前端开发工程师/web前端/H5工程师/小程序开发,https://www.lagou.com/jobs/6785911.html,崂山区,8k-16k,青岛极客互联信息技术有限公司,3-5年,本科,五险一金，双休，带薪年假，节日礼物，团建,职位诱惑：五险一金，双休，节假日，带薪年假，定期团建，节日礼物职位描述：非统招本科以上学历，请不要投简历。承接公司需求项目的前端开发及交付工作，pc端开发语言vue，移动端为微信小程序和支付宝小程序；小程序开发，根据业务需求承接小程序端的功能开发，对微信小程序，支付宝小程序开发流程和功能实现非常熟悉；参与公司产品的HTML5页面及移动端方面开发；负责完成HTML5前端静态视觉和动态交互行为设计和开发；根据产品设计，开发出适配于各个平台如网站、手机、平板的页面;代码版本维护，开发配置管理，搭建测试环境并能进行白盒测试。任职要求：1、计算机相关专业本科以上学历， 2年以上基于HTML5技术的webapp、微信小程序、支付宝小程序的开发经验，熟练使用各种IDE工具，熟练使用MAC电脑；2、熟练掌握HTML5、CSS3、JS 、JQuery、React、Vue、Angular、AmazeUI、bootstrap等技术或框架;3、精通Javascript语言的各特性，可用原生JS开发通用组件；4、熟悉主流浏览器的渲染及兼容性方案，熟练使用多种Web调试工具；4、熟悉与后端API交互开发，理解Json、Ajax等；5、良好的团队合作能力，快速分析和解决问题的能力，工作积极主动、责任心强、抗压力好；6、熟悉利用PowerPoint工具编写方案、Axure RP/PS/AI/Visio等工具的优先录用。,"企业服务,金融",15-50人,web,青岛
