job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/3786893.html,东莞市市辖区,15k-25k,东莞市糖酒集团美宜佳便利店有限公司,5-10年,本科,"产品,市场,技术",职责描述：1、业务调研、业务场景分析、需求分析、需求管理；2、根据业务发展制定需求规划，输出需求，推进需求开发和项目实施上线；3、深入理解市场及行业发展趋势，主动进行信息化创新，为业务赋能。 任职要求：1、四年以上需求分析/管理/产品经理工作经验，熟悉零售连锁行业为佳；2、熟练掌握IT产品研发流程和方法论，具备互联网思维更佳；3、善于项目推进及统筹协调、善于沟通，善于数据分析为佳。,其他,500-2000人,产品,东莞
公共安全产品经理,https://www.lagou.com/jobs/4876962.html,东莞市市辖区,10k-20k,深圳云天励飞技术有限公司,1-3年,本科,"独角兽,人工智能,团队融洽,高成长",岗位职责：1、工作领域为人工智能、公共安全方向；2、负责产品交互设计，输出高质量的PRD；3、协调各部门完成需求评审、技术评估，并推动产品开发全流程。4、能够对交付型项目的需求进行分析，提取共性，分析趋势，从具体需求中抽象出平台级通用化功能5、收集用户反馈，跟踪产品迭代，对产品持续优化和改进6、关注竞情产品，把握行业趋势，深度思考业务发展问题，不断改进和提升产品体验； 任职要求：1、严密的逻辑性及产品思维，能够深刻理解市场和客户需求，理解业务与数据逻辑关系；2、3年以上相关产品工作经验，本科及以上学历；3、具备系统化思考和设计能力，有产品设计和分析经验，具有产品模块从0到1的规划设计工作；4、自我驱动性强，有责任心和工作热情、良好的人际沟通协同能力、团队合作精神。,人工智能,500-2000人,产品,东莞
产品经理,https://www.lagou.com/jobs/7062546.html,东莞市市辖区,10k-15k,东莞市七宝树教育科技有限公司,3-5年,本科,弹性工作,岗位职责：1、负责部门产品体系（销售、投放、辅导）等B端产品的产品规划和团队管理；2.深刻理解内外部客户对相应产品的需求，制定短期及长期产品目标、策略和计划，通过新产品设计和已有产品的优化满足业务需求3.确定技术实施方案及合理的执行计划，在产品的设计、开发、发布、运营、培训、推广等不同阶段把握产品的方向和质量，有节奏的完成产品化和落地工作，监控项目进展，解决项目推进中遇到的问题，保证按时上线；4、持续跟踪分析上线后效果、反馈、数据情况，根据分析结论，不断打磨完善产品；任职要求：1、熟悉知识付费、教育培训类（K12）产品模式2. 逻辑思维能力强，对数据敏感，有数据分析能力，可根据数据变化进行深入分析3. 善于表达，有良好的跨部门沟通和项目协调能力；4. 有较强的责任心和团队合作精神，抗压能力强，对通过技术改变教育充满热情；,"教育,数据服务",15-50人,产品,东莞
产品经理,https://www.lagou.com/jobs/1474690.html,东莞市市辖区,10k-15k,东莞证券股份有限公司,不限,本科,程序员鼓励岗、早饭午饭任你吃、五天八小时,职责：负责公司各类互联网产品的质量控制，以提高产品的客户体验为目标。负责为产品进行优质的模型设计和流程设计，强化产品平台用户粘性。负责互联网技术前瞻性研究，以及分析用户行为分析，提出前瞻性和可行性实施方案，为公司业务发展提供依据。负责对产品性能提升、新功能开发、用户体验提升、新技术新平台的创新应用等创新工作。需求分析，根据产品发展战略的需要，提出相关产品的项目规划，并根据业务部门的相关需求，结合产品的技术需求后，整合出产品的最终需求文档。负责项目实施与管理控制，包括开发进度管理，测试，产品验收、上线工作。要求：国内知名高校信息技术类相关专业本科及以上学历，硕士优先；专业扎实，思维活跃，对互联网及相关前沿技术具有敏锐的嗅觉；具有较好的业务学习能力、逻辑思维能力、团队合作精神以及沟通协调能力；具有一年以上互联网产品设计经验优先考虑；在互联网公司从事产品经理相关工作两年以上优先考虑。,金融,2000人以上,产品,东莞
高级产品经理,https://www.lagou.com/jobs/6667260.html,东莞市市辖区,16k-30k,深圳苏格社交网络有限公司,3-5年,本科,扁平化管理、绩效奖金、餐费补贴、弹性考勤,岗位职责：1、负责APP【SUGAR苏格】的产品策划工作，收集需求并输出需求文档；2、关注并分析APP数据变化，每次版本迭代后输出结论。任职要求：1、3年以上APP产品经理经验，参与过百万DAU量级社交平台的产品工作；2、热爱创造，以产品工作为乐，而非把产品工作当成负担；3、良好的逻辑思维，能够清晰分析问题；4、熟悉基本的产品交互与开发逻辑；5、陌生人社交产品使用者，3次以上的见网友经验。福利待遇：1、富有竞争力的薪资，购买五险一金，年度奖金，午餐晚餐宵夜补贴2、周末双休，享受所有法定休假、各种节日福利；3、人性化管理，年度晋升调薪的机会；4、舒适办公环境，有爱+有能力的同事。,"移动互联网,社交",50-150人,产品,东莞
产品设计师,https://www.lagou.com/jobs/7158453.html,东莞市市辖区,8k-9k,东莞丰采科技有限公司,1-3年,本科,双休,1. 根据创意/概念，利用软件实现设计效果，侧重熟悉软件，创意其次；2. 对CMF(颜色，材料，工艺等)有一定经验；3. 在产品开发过程中，不定时拜访工厂，与工程师一起协商解决设计与工艺问题； 岗位要求：1、大专以上学历，工业设计类专业优先；2、熟练应用PROE、CAD等3D产品设计软件，同时熟悉AI、CDR、PS等平面设计软件优先考虑，有手绘基础者更好；3、2年以上产品设计经验，熟悉手机保护壳，平板保护壳等塑胶设计，熟悉产品外观和包装设计；4、 喜欢中式文化，对新中式风格有一定了解，对文化与产品融合有一定见解。,电商,少于15人,产品,东莞
产品经理（私有云方向）5376,https://www.lagou.com/jobs/6722202.html,东莞市市辖区,20k-40k,OPPO广东移动通信有限公司,5-10年,本科,"弹性工作,福利待遇好,奖金丰厚,工作氛围",岗位职责:1、负责分析公司IAAS层相关项目和产品需求、设计与验证技术解决方案、组织及参与相关项目或产品评审会议，编制输出相关文档等职能工作；2、主导IAAS层项目或产品的规划、实施及监控，并不断对项目以及产品进行迭代优化，使公司在IAAS层相关业务达到行业领先水平；3、负责项目管理工作，包括人员、质量、风险、采购、干系人等。任职资格:统招本科及以上学历，计算机或相关专业，2年以上IT项目经理或产品经理经验；1、熟悉服务器、存储，数据库、网络、应用运维等相关技术；2、熟悉vmware、kvm、OpenStack等相关技术，主导过私云项目或产品开发；3、具有PMP证书以及有一定的团队管理经验；4、良好的沟通表达及逻辑思维能力，乐观积极，有一定的抗压能力，富有激情；5、熟悉办公常用的office、Xmind、viso、Axure、Project等相关软件。,硬件,2000人以上,产品,东莞
产品经理,https://www.lagou.com/jobs/398762.html,东莞市市辖区,5k-10k,东莞市微通文化传播有限公司,不限,不限,高薪+期权+创业高管,岗位职责：1.根据业务需求，提出互联网产品规划，完成页面及功能的原型设计，提交产品需求文档；2.负责对开发人员以及测试人员进行产品设计思想、具体功能、实现方法进行培训；3.统筹资源，跟踪和推动项目进度，指导产品开发方向及产品运营方案；4.跟踪产品运营及客户反馈情况，进行产品优化和改进，深度挖掘用户需求。任职资格：1.掌握axure 、mindmanager、Visio等软件知识；2.熟悉互联网领域产品设计、开发、管理和运营流程，对用户需求敏感，创新能力强，有较强的产品设计能力；3.具有相关从业经验者优先。,"移动互联网,电商",50-150人,产品,东莞
产品经理,https://www.lagou.com/jobs/7141190.html,东莞市市辖区,10k-20k,深圳市东宝信息技术有限公司东莞分公司,3-5年,本科,股权激励,岗位职责：1. 产品需求调查、需求收集、需要分析、界面原型、功能和流程设计；2. 协助UI完成效果图，与研发人员、测试人员保持沟通，及时解决开发过程中遇到的问题；3. 根据客户需求，进行功能优化设计，持续优化和升级现有产品。4. 负责产品功能的使用培训。岗位要求：1. 本科及以上学历，三年及以上互联网产品相关工作经验；2. 掌握Visio、Axure RP等专业工具，有ERP、HR、CRM、后台管理系统经验优先考虑；3. 有一定数据分析能力，逻辑性强，有良好的团队协作意识,"移动互联网,信息安全",150-500人,产品,东莞
产品经理,https://www.lagou.com/jobs/3221860.html,东莞市市辖区,8k-12k,广东极速网络科技有限公司,1-3年,本科,"过节福利,项目奖金,社保福利,弹性工作",岗位职责：1、根据公司发展战略，独立开展公司内容社区业务流程的需求分析，产品规划，设计开发和运营维护；2、独立完成产品后端的策划工作，功能白皮书的撰写，以及产品功能需求文档的撰写；3、推动及协调产品的开发进度，把控产品质量；4、新产品上线后，提供用户的培训和业务及技术支持；5、对产品数据进行监控和分析，提供客户支持并对产品现状提出优化策略，以提高整理产品的用户体验；6、推进用户和开发者的需求调研，在平台基础上能够创新出新的业务模式并应用；任职资格：1、热爱（移动）互联网社区型产品，对内容社区化产品的创新发展有强大的兴趣；2、任职过互联网体育行业者，熟悉内容社区平台及业务的经验者优先。3、较强的学习、沟通、数据分析能力；4、大学本科以上学历，1年以上产品设计经验；,"移动互联网,文娱丨内容",15-50人,产品,东莞
