job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6626544.html,建邺区,15k-25k,紫金财产保险股份有限公司,5-10年,硕士,国企，福利，互联网金融转型期,职位描述：1．负责发现、收集、确认潜在用户/渠道保险需求，设计产品方案；2．负责与用户/渠道交流沟通并定制产品规划；3．负责跨部门资源协调及推动产品按计划上线；4．负责产品优化及迭代。任职要求：1．成功的互联网产品设计经验，独立负责过一个产品或业务的完整生命周期；具有5年以上保险产品经理、保险产品策划经验优先；2．有较强的逻辑思维能力和资源协调能力；3．热爱互联网，熟悉并经常使用相关各类产品，对用户行为与心理有深刻洞察；4．敏锐的行业洞察力，熟悉互联网用户行为习惯，具有产品创新思考能力；5．优秀的沟通、协调、组织能力，有较强责任心与抗压性；6．加分项：创业公司经历,金融,2000人以上,产品,南京
产品经理,https://www.lagou.com/jobs/7167401.html,雨花台区,10k-18k,北京擎盾信息科技有限公司,1-3年,本科,周末双休；五险一金,（1）负责项目前期的需求分析工作，搜集行业的动态和相关政策信息；（2）深入挖掘用户需求，根据公司产品战略独立完成产品规划、产品需求文档； 协助市场完成解决方案的设计；编写方案设计报告、实施方案报告；（3）根据客户需求对项目的产品的成本核算进行评估，编写提交评估报告；（4） 对接市场需求，与客户保持良好沟通，实时把控好客户需求，组织协调公司设计、技术资源，对项目前期需求分析、规划负责，确保按时交付项目，为客户提供优质的服务，建立良好的长期合作关系；（5）独立完成输出分析、数据报表的整理、数据占比分析，拓宽市场渠道，督促解决产品实施过程中可能碰到的问题；（6）定期进行竞品分析，吸收行业精品的优点，促进产品的更新迭代；（7）完成领导交办的其它临时性工作。岗位要求：  （1）互联网工作经验（2）计算机、法学相关专业，懂AI或者法律优先（3）沟通能力较强（4）接受阶段性的出,"数据服务,人工智能",150-500人,产品,南京
产品经理,https://www.lagou.com/jobs/6938718.html,玄武区,8k-16k,南京贝湾信息科技有限公司,3-5年,不限,"福利好,团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。岗位职责：1、负责某成人英语业务，制定业务组的长期发展计划，对业务的营收增长负责；2、负责相关产品的迭代和增长，输出产品文档和原型，协调开发团队，共同推动产品迭代；3、时刻关注产品数据和市场动态，领导并参与业务组的市场投放、运营、内容制作等多方面的工作。保证业务组的资源合理分配和合作共赢。岗位要求1、本科及以上学历，3年以上产品经验，有在线教育相关产品经验优先；2、对在线成人英语有着极大的热情，认同其用户价值和商业价值；3、有良好的商业思维，有商业营收增长项目或成功的用户增长项目经历者优先；4、有良好的沟通表达和团队协作能力，能够跨职能、跨部门沟通协调资源，推进项目5、产品思维敏捷，洞察力强；有很强的逻辑思维能力、善于学习和创新，关注用户体验；6、乐于接受挑战，不断突破自我，有很强的抗压能力。,"移动互联网,教育",150-500人,产品,南京
产品经理,https://www.lagou.com/jobs/3408086.html,玄武区,8k-16k,南京贝湾信息科技有限公司,1-3年,不限,"福利好,团队棒,个人成长快",关于扇贝团队：扇贝是国内知名的在线学习平台，已经拥有过亿用户，同时持续盈利。我们在分布式架构，自然语言处理等技术方面也有长期积累，结合精良的内容制作，能够为用户提供独特和优秀的产品服务。- 我们会有各种分享会，产品、设计、技术、运营、英语大家一起交流；- 我们有一个专门的活动室，工作之余可以与小伙伴一起健身、运动；- 我们每天提供下午茶；- 我们提供人体工程学座椅， 办公电脑是Mac。职位描述：1. 收集分析产品需求，设计产品功能和交互，输出产品文档和原型；2. 协调开发团队，推动产品上线；3. 对日常数据和反馈进行研究，迭代和改进产品。岗位要求：1. 对互联网和互联网产品有巨大热情；2. 良好的沟通表达和团队协作能力；3. 优秀的逻辑分析能力；4. 有一定艺术视觉素养和设计动手能力；5. 英语成绩要求：六级 550， 雅思：6，托福：90。,"移动互联网,教育",150-500人,产品,南京
产品经理,https://www.lagou.com/jobs/5434972.html,秦淮区,10k-20k,南京帆软软件有限公司,1-3年,本科,"大牛多,氛围好,美女多","岗位职责：1、负责对公司新产品模块的生命周期进行跟进。 2、从技术支持等前线部门了解反馈，进行用户需求的收集与分析。  3、参与产品前期策划与部分功能设计 。 4、对产品模块进行测试磨合，对提交的bug进行跟踪直致问题解决。   5、编写产品模块相关的用户文档。任职要求：1、本科毕业生，理工科专业背景，3年以内工作经验。2、钻研和创新精神强,团队合作精神强。3、有上进心，良好的自我驱动能力和强烈的责任感。4、良好的沟通能力，团队合作能力。5、对互联网某个领域或者某个软件有深刻的研究。6、带过团队或者有独立研发、优化产品的成功经验优先。",数据服务,500-2000人,产品,南京
产品经理,https://www.lagou.com/jobs/6899583.html,秦淮区,13k-18k,南京帆软软件有限公司,1-3年,本科,大牛多，扁平化,"岗位职责：1、负责对公司新产品模块的生命周期进行跟进。2、从技术支持等前线部门了解反馈，进行用户需求的收集与分析。 3、参与产品前期策划与部分功能设计 。4、对产品模块进行测试磨合，对提交的bug进行跟踪直致问题解决。  5、编写产品模块相关的用户文档。任职要求：1、大学统招本科毕业生，理工科专业背景。(设计类专业除外)2、钻研和创新精神强,团队合作精神强。3、有上进心，良好的自我驱动能力和强烈的责任感。4、良好的沟通能力，团队合作能力。5、对互联网某个领域或者某个软件有深刻的研究。6、带过团队或者有独立研发、优化产品的成功经验优先。",数据服务,500-2000人,产品,南京
产品经理,https://www.lagou.com/jobs/5086640.html,江宁区,5k-10k,北京中电广通技术服务有限公司,1-3年,本科,"五险一金,弹性工时,前沿技术,成长机会","岗位职责：1.  根据公司产品规划的功能需求，对其进行信息模型构建、业务流程设计、原型设计，以及产品相关文档材料制作；2.  负责对已有产品功能、业务流程的优化；3.  负责对研发成果进行验收；任职要求：1. 本科及以上学历，数学、计算机等相关专业优先；2. 有了解云计算、虚拟化、IT基础架构、自动化运维或DevOps等相关领域的知识；3. 做事有条理性，具备发散思维；善于思考、总结；逻辑感出色，较强的逻辑思维与系统分析能力和分析能力；能快速梳理复杂的产品流程并且能清晰地抽象；4. 熟练使用Axure、WORD、EXCEL等工具, 能够撰写详尽的产品策划方案，制定产品功能流程和产品原型；5.快速的学习能力和理解能力，和对新事务、新技术良好的学习意愿，能够快速有效地消化新知识。公司提供：1、各种内部分享活动，定期举办技术分享会2、员工生日会、团建活动，零食福利3、项目奖金、双休、弹性工作、接触前沿技术4、入职缴纳五险一金，定期体检、带薪年休假",移动互联网,50-150人,产品,南京
产品经理,https://www.lagou.com/jobs/5032533.html,栖霞区,10k-20k,上海朗绿建筑科技股份有限公司,3-5年,本科,"发展平台,薪酬福利好,办公环境好",岗位职责：1、收集产品需求，对需求进行分析整合，编写产品需求文档，提出产品方案；2、产品原型设计，产品交互设计；3、产品功能设计和跟进测试；4、收集市场行业信息，编写市场需求文档；5、产品迭代优化；6、对接开发和运营推进产品；岗位要求：1、大学本科及以上学历，具平台管理软件产品经验优先；2、4年软件或互联网产品相关工作经验；3、熟练使用产品原型、脑图、平面设计、文档撰写、项目管理等工具；4、良好的逻辑思维能力、执行力、沟通能力、学习能力；5、加分项：独立完成的产品线or项目经验、特长能力（逻辑分析、产品思维、设计能力等）。,"消费生活,企业服务",150-500人,产品,南京
产品经理,https://www.lagou.com/jobs/7217489.html,玄武区,31k-32k,许昌方建塑料制品有限公司,3-5年,本科,待遇高8000-----15000,1，大专以上文凭2  有相关工作经验3  有相关管理才能,其他,50-150人,产品,南京
产品经理,https://www.lagou.com/jobs/6756097.html,雨花台区,10k-15k,江苏新视云科技股份有限公司,1-3年,本科,周末双休，五险一金，职位晋升,岗位职责：1、负责司法行业产品的市场调研、需求分析、功能设计及已有产品的迭代；2、编写产品需求文档（PRD），协助开发团队完成产品交付；3、迅速响应公司各方向业务对产品的需求，与业务部门保持充分沟通、协作，提供产品规划、接入支持及内部培训；4、研究运营数据和用户反馈，促进产品优化；5、跟进项目需求开发测试进度。岗位要求：1、本科及以上学历；2、2年以上知名互联网企业或IT系统服务商产品经理经验；3、有软硬件结合、系统集成产品设计经验优先；4、精通交互设计和用户体验设计；5、有产品运营的经验或思维。,移动互联网,500-2000人,产品,南京
