job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6899589.html,锡山区,13k-18k,南京帆软软件有限公司,1年以下,本科,大牛多，扁平化,"岗位职责：1、负责对公司新产品模块的生命周期进行跟进。2、从技术支持等前线部门了解反馈，进行用户需求的收集与分析。 3、参与产品前期策划与部分功能设计 。4、对产品模块进行测试磨合，对提交的bug进行跟踪直致问题解决。  5、编写产品模块相关的用户文档。任职要求：1、大学统招本科毕业生，理工科专业背景。(设计类专业除外)2、钻研和创新精神强,团队合作精神强。3、有上进心，良好的自我驱动能力和强烈的责任感。4、良好的沟通能力，团队合作能力。5、对互联网某个领域或者某个软件有深刻的研究。6、带过团队或者有独立研发、优化产品的成功经验优先。",数据服务,500-2000人,产品,无锡
产品经理,https://www.lagou.com/jobs/6891710.html,无锡新区,12k-17k,上海讯联数据服务有限公司,3-5年,本科,全年十四薪，五险一金，期权鼓励；,"岗位职责：1、根据前端市场需求，统筹分析、设计并规划产品，制定产品方案；2、基于用户体验设计理念，结合用户需求和产品技术架构，完成产品功能设计；3、完成交付给研发的产品需求文档，包括业务和技术方案，协同研发完成需求分析、详细设计；4、跟踪产品开发进度，跟进产品的开发、测试、产品上线、验收等相关工作进展；5、跟踪投产后产品的市场效果、用户反馈，收集并主动挖掘问题并提出改进需求，根据业务需要持续改进产品，提升用户体验。岗位要求：1、2年以上产品经理工作经验，优秀的产品规划和设计能力，具备高度的市场敏锐性。2、熟练掌握产品原型设计工具，如Axure、Visio、墨刀、思维导图等软件；3、具备独立撰写产品文档的能力，熟练掌握产品需求分析与设计技巧,对交互设计过程有深入了解，有成功的产品策划案例；4、具备较强的工作责任心、执行力，良好的沟通协调能力，善于学习，能积极主动思考问题；5、较强的抗压能力、自我管理能力，能适应快节奏、压力大的工作方式；6、优秀的英文或日文读写与口语交流能力，能与公司其他部门良好合作，与客户建立良好客户关系；7、计算机相关专业优先，具有新零售、餐饮行业经验，收银、CRM、会员管理系统产品设计经验者优先。",金融,150-500人,产品,无锡
人力资源实习生 - 教育产品,https://www.lagou.com/jobs/6826382.html,新吴区,1k-2k,北京字节跳动科技有限公司,不限,本科,"下午茶,弹性工作,租房补贴",,文娱丨内容,2000人以上,产品,无锡
产品运营,https://www.lagou.com/jobs/6228995.html,锡山区,8k-13k,南京帆软软件有限公司,1-3年,本科,扁平化管理 股份期权 氛围好,职责描述：a. 独立负责用户留存之类具体的某一项产品运营指标的提升及优化b. 分析自己相关的运营数据，找出问题，通过各种途径及方式迭代行动，推动指标的提升c. 同产品团队配合，根据发现问题，提出产品改良建议。d. 配合运营团队其它成员的工作，达成运营团队的整体目标e. 同市场团队配合，提供优质的宣传原始素材，提升产品口碑，扩大产品影响力。任职要求：a. 工作半年-3年内，有相关互联网/软件产品运营/产品经理的工作经验，有过不错成绩，企业类软件产品优先。b. 本科及以上学历c. 做事有激情，有强烈的主动性，强大的逻辑思维及学习能力，能独立自主的达成目标任务d. 沟通能力强，踏实中国大数据行业前50强，数据报表领域**。员工多为90后，工作氛围轻松活跃。 晋升快，按贡献发放年底奖金，更有1、3、6、12个月的年终等着你！,数据服务,500-2000人,产品,无锡
产品经理,https://www.lagou.com/jobs/7107663.html,江阴市,3k-6k,无锡瑞进达商贸有限公司,3-5年,本科,五险 带薪休假,岗位职责：1、负责迩格福管+商城中后台系统与ERP需求，严格把控数据结构和功能逻辑；2、协调业务需求撰写PRD、流程图、设计原型图；3、追踪IT开发，并负责上线UAT验收测试，协调需求方参与确认；4、支持业务QA，跟踪bug修复，监控产品的全程表现；5、协助CTO管理日程表，处理日常事务，协调团队建设。任职要求：1、计算机、电商相关专业本科；2、能进行逻辑算法与数据结构设计，数学、数理逻辑基础扎实；3、优秀的协调能力，具备良好的抗压能力，能够接受项目集中时的高强度工作状态；4、熟悉Axure和墨刀等原型工具，熟练掌握脑图和流程图等辅助沟通工具；5、有商业和UE意识，了解电商，供应链等相关业务者优先考虑。,"电商,消费生活",15-50人,产品,无锡
产品经理(J11135),https://www.lagou.com/jobs/6847088.html,无锡新区,10k-20k,朗新科技股份有限公司,3-5年,本科,智慧城市业务,,"移动互联网,企业服务",2000人以上,产品,无锡
产品运营推广,https://www.lagou.com/jobs/6470961.html,滨湖区,4k-8k,无锡骏聿科技有限公司,不限,本科,五险一金 周末双休,工作内容：1、根据公司产品实际情况制定相应的线上线下活动策划计划及活动方案；2、负责产品活动资源的统筹及活动进度的效果监控，总结效果评估，不断改进活动效果；3、目标客户群体的市场调查及分析，撰写调查报告，并提出自己的专业意见和建议；4、负责搜集竞争对手的活动方案，分析竞争对手活动方案的优劣，并结合本公司的实际情况，提出自己的观点和看法；5、负责产品的测试工作。岗位要求： 1、本科及以上；2、熟悉计算机和互联网，并对互联网有强烈兴趣； 3、对移动APP有个人观点和见解； 4、思维活跃（脑洞大开），充满激情； 5、有明确的推广思路及策略； 6、有较强的执行力者优先考虑。部分产品体验：【智能证件照】、【证件照研究院】应用市场均可下载,人工智能,500-2000人,产品,无锡
产品经理,https://www.lagou.com/jobs/6784456.html,梁溪区,7k-10k,江苏微语科技有限公司,3-5年,本科,股权激励 交通便利 前景广阔,岗位职责：1、确定目标市场、产品定位、发展规划及路线图；2、负责对来自市场、用户等各方面的需求进行收集、汇总、分析、跟踪；3、负责编写产品需求文档，含业务结构及流程、界面原型设计、页面要素描述等内容；4、负责维护产品每个版本的功能列表；5、负责编写操作文档、宣传手册、PPT以及培训推广销售等人员。任职要求：1、计算机、心理学等相关专业，2年及以上工作经验；2、熟练使用axure、visio、xmind、office等工具并高效输出PPT汇报、原型、需求文档等；3、具备敏锐的反应能力，学习能力、及沟通能力；4、具备抗压能力，协调能力，对公司项目和产品具备足够的责任心。,"移动互联网,广告营销",50-150人,产品,无锡
产品外观设计师,https://www.lagou.com/jobs/7201205.html,惠山区,8k-10k,久株电气（无锡）有限公司,3-5年,大专,上五休二，每月团建，弹性工作制,岗位职责：1.负责产品ID设计及需求沟通，确定产品的设计输出及相关产品定义工作，把控产品设计方向、设计风格、设计规范；2.独立完成产品开发设计，与相关各个部门有效沟通，将概念设计转化为好的产品并顺利量产；3.出色的造型能力，三维模型、渲染、快速模型有效地传达设计想法；4.负责ID产品的生产工艺、表面处理工艺、色彩工艺（CMF），输出相应的设计文档；5.控制产品外观效果、质量以及进度等。职位要求：1.专科及以上学历，美术、视觉、工业设计等相关专业；2.三年以上家电及消费电子产品设计经验，有主设上市产品，3.熟悉工业设计相关的行业发展，掌握创意设计的方式方法，具备完整硬件类产品的设计及专业能力；4.注重用户体验，了解用户需求，以用户体验为中心的设计思维，注重团队合作,"消费生活,工具",15-50人,产品,无锡
产品经理,https://www.lagou.com/jobs/6841458.html,梁溪区,7k-11k,平安普惠投资咨询有限公司无锡崇安分公司,3-5年,大专,六险二金；免费培训；带薪年假；实现梦想,一、岗位职责：1⃣️ 了解并掌握产品知识，做好产品知识工作；2⃣️ 通过电话、短信、外展、银行合作等方式寻得需要融资的客户和中小型企业；3⃣️ 了解客户实际需求，根据客户的实际情况引导客户提供相关审核资料，促成交易；4⃣️ 维护老客户，同时开发和发展新客户；5⃣️ 协助主管完成团队目标。二、职位要求：20-35周岁；大专及以上学历；有无经验者均可；无传染病。,"金融,消费生活",2000人以上,产品,无锡
