job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
IT产品经理,https://www.lagou.com/jobs/6640179.html,五华区,10k-15k,云南翡翠王朝网络科技有限公司,3-5年,大专,晋升空间 氛围好,岗位职责1、负责移动互联产品的需求发现和分析，产品功能设计;实施产品的任务流程设计、信息架构设计、页面布局以及原型设计、原有产品功能的客户体验优化；2、持续研究行业，挖掘用户需求进行产品创新，合理规划产品发展与功能规划，推动、控制、协调、跟进产品功能的开发、测试、发布;3、关注运营数据、用户调研与反馈等，持续优化产品;负责与协助产品上线以后的改进，BUG跟踪、收集改进意见、提供改进方案;关注竟争对手的状况，对市场变化反应敏锐;4、负责产品界面和交互全局和细节设计，推动产品交互体验持续提升;对产品运营数据进行分析，并提出功能优化、用户体验升级等方面建议； 任职要求1、5年以上移动互联产品规划岗位工作经验，参与过大型移动互联项目产品规划具备丰富的移动互联客户交互、客户体验设计和优化经验；2、思维敏捷，目标明确，表达清晰、具有亲和力、乐于合作，责任心和上进心强，良好的时间管理能力，抗压能力强;3、熟练运用 axure等设计工具;有开发经历为加分项;4、至少成功规划并推动一个App的上线应用，上线时间在一年以上且目前仍有活跃和用户，更新超过十个版本及以上，下载量10万+及以上。、五年以上互联网产品相关工作经验;2、用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力。,移动互联网,150-500人,产品,昆明
产品经理,https://www.lagou.com/jobs/7096959.html,官渡区,15k-30k,云南小静汽车销售服务有限公司,不限,本科,公司待遇好，晋升空间大。福利好,汽车销售 展厅销售  线上销售  公司提供意向客户,"企业服务,汽车丨出行",150-500人,产品,昆明
产品经理,https://www.lagou.com/jobs/7103732.html,盘龙区,12k-16k,中国平安人寿保险股份有限公司,1-3年,大专,"周末双休
法定节假日延长休 
不加班",工作内容：1.为客户量身定制专属金融产品2.与客户建立长期服务关系3.售后维护及疑问解答福利待遇：1.产品经理特别保障（高额人身保险，养老金）2.实物奖励（日用品—家电—数码产品）3.服务津贴4.区域服务津贴5.综合拓展佣金6.初佣7.训练津贴8.周末双休9.法定节假日延长休假10.公司组织国内外旅游11.平安金融学院进修12.定期户外团建13.单身联谊会14.培育奖晋升空间：1.可晋升为公司讲师（培训授课，额外收入，按课时结算）2.晋升管理岗，主管-科长-处经理-区域负责人-分公司总经理等现特别缺少生活委员，文艺委员，小组财务，等特别成员，有此爱好者，优先考虑。,金融,50-150人,产品,昆明
产品经理,https://www.lagou.com/jobs/6332168.html,五华区,10k-15k,云南翡翠王朝网络科技有限公司,5-10年,大专,五险一金 专业培训 带薪年假,岗位职责1、负责移动互联产品的需求发现和分析，产品功能设计;实施产品的任务流程设计、信息架构设计、页面布局以及原型设计、原有产品功能的客户体验优化；2、持续研究行业，挖掘用户需求进行产品创新，合理规划产品发展与功能规划，推动、控制、协调、跟进产品功能的开发、测试、发布;3、关注运营数据、用户调研与反馈等，持续优化产品;负责与协助产品上线以后的改进，BUG跟踪、收集改进意见、提供改进方案;关注竟争对手的状况，对市场变化反应敏锐;4、负责产品界面和交互全局和细节设计，推动产品交互体验持续提升;对产品运营数据进行分析，并提出功能优化、用户体验升级等方面建议； 任职要求1、5年以上移动互联产品规划岗位工作经验，参与过大型移动互联项目产品规划具备丰富的移动互联客户交互、客户体验设计和优化经验；2、思维敏捷，目标明确，表达清晰、具有亲和力、乐于合作，责任心和上进心强，良好的时间管理能力，抗压能力强;3、熟练运用 axure等设计工具;有开发经历为加分项;4、至少成功规划并推动一个App的上线应用，上线时间在一年以上且目前仍有活跃和用户，更新超过十个版本及以上，下载量10万+及以上。、五年以上互联网产品相关工作经验;2、用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力。,移动互联网,150-500人,产品,昆明
产品经理,https://www.lagou.com/jobs/6909577.html,西山区,8k-12k,北京直真科技股份有限公司,3-5年,本科,"弹性工作,周末双休,五险一金,氛围轻松",岗位职责：1、负责需求调研、产品规划、需求规格编写、DEMO制作、跟进项目进度等；2、负责与用户交流，技术应答；进行市场调研，获取和提炼用户需求。3、负责配合售前制作技术方案、准备投标材料等。4、负责协助公司产品线规划，组织产品跨部门团队，按期完成产品线的规划任务；5、负责产品的全流程管理，并监控及报告计划执行情况；6、负责产品的需求管理、质量管理、风险管理；7、负责竞争性分析；任职要求：1、具有3年以上的电信与IT行业工作经验，其中包括1年以上的产品需求定义、管理和实施（或相关）经验；2、熟悉软件项目的管理流程，了解软件需求的调研方法，具备需求分析能力。3、熟悉移动通信网络基本知识，熟悉网络管理和电信业务知识；4、具备良好的交流、沟通和表达能力，良好的方案演示和介绍技巧；5、能够独立地分析与解决问题，并具有一定的创新能力；6、承受较强的工作压力，强烈的团队合作意识与工作责任心；7、有良好人际交往能力，工作积极主动，自信心强，有较强的学习能力,软件开发,500-2000人,产品,昆明
产品经理,https://www.lagou.com/jobs/6660176.html,五华区,3k-6k,昆明玖层府商贸有限公司,不限,不限,福利待遇好，公司美女多，公司氛围好！,本公司郑重承诺，本次招聘属于公司直招，不收取任何费用 岗位职责： 1.主要负责云南地州县市，产品宣传，客户维护； 2.负责目标区域客户关系的建设，宣传公司品牌及产品知识，拓宽业务渠道，跟进后台市场数据，制定相关活动策划； 3.中期轮岗学习，有部门经理亲自培训。 4.后期独立运营二线市场。 任职要求： 1.学历不限，学习能力要强； 2.适应短期出差者优先，独立能力强，具有良好的环境适应能力； 3.较强的抗压能力与拼搏精神敬业精神强，善于总结经验教训； 4.有团队合作意识，吃苦耐劳，有进取心; 福利待遇： 1.底薪3000+交通补贴200+餐补300+高提成=平均每月4000-7000元)；费用全报，团队协作，集体荣誉 2.绩效奖金，丰厚年终奖； 3.每周都会举行公司集体活动，聚餐，户外活动，快速融入企业； 4.提供住宿，定期团队活动（庆功会，公司旅游，体育活动等）； 5.免费培训，出国旅游学习等机会； 6.公平公正公开晋升平台，为员工提供广阔的发展空间。 如果你对此岗位比较感兴趣 联系人：周经理 公司地址：昆明市五华区昆明市人民中路小花园（公交站）旁天浩大厦九楼901 交通方便：公交2路   4路   54路   59路  61路   69 路   74路  77路 83路   91路    129路   132路    234路   237路   k9路    A2路 （小花园） 地铁：2号线交三桥B出口,"广告营销,消费生活",150-500人,产品,昆明
产品销售代表,https://www.lagou.com/jobs/6590014.html,盘龙区,8k-15k,云南锃亮科技有限公司,应届毕业生,大专,五险一金、年底双薪、孝心基金、团建活动。,工作时间上午9：00-12：00，下午13：30-18：00，单双休，国家法定节假日正常放假。岗位要求1、市场营销、财务类专业优先；2、有财务、进销存类软件使用经验优先；3、有较强的沟通能力；4、有团队合作意识；5、能接受电销、地推等工作内容。工作内容1、专项销售金蝶精斗云系列产品，包括精斗云V3、V5、账无忧、小程序商城、薪人薪事等产品。完成精斗云产品销售任务。2、通过公司现有的新客户来源渠道，挖掘线索并转化为商机，进行新商机的计划跟进。对商机进行分析判断，了解客户的需求，给客户提供相应的管理需求解决方案，协助客户进行软件选型，完成商务谈判。3、协助公司开拓新的客户来源渠道。4、对老客户进行关怀维护，定期了解老客户的软件使用情况，并挖掘老客户新的管理需求，将需求转化为新的商机进行跟进。5、通过微信、朋友圈、电话回访、上门沟通等方式向老客户传递新的管理思路，管理产品。6、配合公司完成客户会议，达到会议目标。7、配合协助技术部同事完成客户软件的实施服务工作，并配合福利待遇1、待遇：基本工资（3K+） + 销售提成 + 全员营销提成2、工资范围：在职满一年不低于6000元/月。3、福利：五险一金、年底双薪、孝心基金、无息购房贷款、季度团建活动、年度旅游。4、三级合伙人：命运合伙人、事业合伙人、项目合伙人（转正即有）。,数据服务,15-50人,产品,昆明
产品经理,https://www.lagou.com/jobs/7165216.html,盘龙区,8k-15k,云南蓬莱机动车驾驶员培训有限公司,3-5年,本科,营销经理，营销主管，业务员,岗位职责：1.负责阿优学科学互联网相关产品（APP平台等）策划工作；2.负责产品市场分析、产品定位、需求调研、功能规划；3.主导产品设计与开发，包括：方案撰写、产品物料、推广规划、成本管理、资源打包及定价等；4.参与产品研发过程，协调组织各方资源，保证产品实现和交付；5.产品营销过程中，对接销售咨询及提供针对品牌的产品策略，同时，负责对内对外的产品推荐及培训。6.对产品规模增长负责；7.关注市场和趋势，对产品方向有前瞻性的设计，寻找新的增长点；岗位要求：1.5年以上相关工作经验，熟悉幼教行业，有互联网产品或研发相关经验；2.执行能力强，有较深厚的产品文档和交互能力，以及产品包装能力；3.良好的品牌策略理解能力，并具有解读品牌策略的理性思维；4.良好的产品策划能力，创意思维活跃，PPT方案撰写能力强；5.出色的沟通和语言表达能力，具有良好的团队合作能力，思维活跃，学习能力、适应能力强；6.工作主动积极，能承受一定工作压力；7.有研发经验的优先考虑。,其他,150-500人,产品,昆明
产品经理,https://www.lagou.com/jobs/7078571.html,盘龙区,7k-8k,云南淘麦科技有限公司,3-5年,大专,早八点半晚六，单双休，生日福利，团建活动,（1）市场调研与竞品分析：通过分析市场环境，调查竞品，访谈用户，寻找和研究潜在需求。（2）需求的管理和筛选：明确用户群体和使用场景，确定需求的优先级。（3）规划产品设计：梳理细化产品需求，设计产品架构和功能，定义产品体验和价值。（4）撰写产品文档：撰写产品从立项到正式上线过程中的各种需求、帮助、说明等文档。（5）推进功能实现：沟通和协调团队里的相关同事，共同完成功能的开发和上线。（6）继续迭代优化：收集用户反馈、挖掘新需求，对产品进行迭代优化和升级。,"移动互联网,社交",15-50人,产品,昆明
产品经理,https://www.lagou.com/jobs/7089389.html,盘龙区,8k-9k,昆明尊园房地产经纪有限公司上海沙龙分公司,3-5年,大专,"底薪3000元，无责任底薪！
 
​",岗位职责:1、从事中高端一手房二手房的销售代理     及租赁，同事兼代办产权过户，办理按揭贷款等;               2、使用公司​ERP系统，浏览公司房源信息与客户资源，进行匹配、约看;               3、陪同客户现场看房，协助买卖双方磋商价格并签订合同;              4、陪同办理后期贷款、产权过户等手续，为客户提供一站式服务;             5、你不会单枪匹马，专业部门帮你完成房屋过户手续办理等服务工作，有助攻，更成功。        任职资格:1、中专(高中)以上学历，专业不限，能力突出者可放宽条件;2、有销售经验者优先;为人亲和，反应敏捷、表达能力强，具有较强的沟通能力及交际技巧;3、具有一定的市场分析及判断能力，良好的客户服务意识;4、责任心强，能承受较大压力，勇于挑战。,房产家居,2000人以上,产品,昆明
