job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品总监,https://www.lagou.com/jobs/5693927.html,西湖区,50k-80k,杭州铠麒网络科技有限公司,10年以上,本科,"团队年轻,扁平化管理,盈利状况好",任职要求: 1、8年以上互联网相关工作经验，至少有一款有百万级别的泛娱乐类产品案例；2、数据敏感度高，能够通过数据指导产品迭代；3、具备丰富的产品过程管理、项目管理能力和团队管理能力4、目标感强，结果导向；5、持续学习者。,"社交,游戏",150-500人,产品,杭州
产品经理,https://www.lagou.com/jobs/5060955.html,滨江区,10k-15k,浙江顺联网络科技有限公司,3-5年,本科,"五险一金,绩效奖金,员工旅游,节日福利",岗位职责1、负责产品规划、需求调研、产品设计、跟踪产品研发、产品推广等产品全生命周期管理；2、能够独立完成对产品的整体设计，规范输出产品流程、产品原型、PRD等，具备优秀的交互设计能力；3、负责项目组跨部门之间的协调沟通，确保项目需求按质按量上线，并协助产品后续的运营、推广工作的进行；4、持续监控和分析产品上线后的用户反馈和使用数据，定期分析运营效果，持续优化产品功能和运营体系。任职资格1、熟悉移动电商领域的商业模式，有搜索或策略类产品工作经验优先；2、两年以上产品设计经验，熟悉产品管理全流程，具备独立需求分析能力和产品策划推广能力；3、了解产品研发，具有一定研发技术功底，注重用户体验和产品全局规划理念；4、优秀的文案功底，清晰的策划思路，良好的沟通能力，能独立撰写产品开发策划方案。,"移动互联网,电商",150-500人,产品,杭州
产品经理,https://www.lagou.com/jobs/3746483.html,滨江区,15k-30k,浙江天垂科技有限公司,1-3年,本科,"扁平管理,弹性工作,优秀团队","负责公司产品系统架构、业务流程设计，并协调、跟踪产品研发的迭代演进
 梳理客户需求，撰写需求文档，完成客户解决方案设计
 负责项目推进过程中的跨部门沟通，推动UI、开发、测试等各部门紧密合作，协调各项资源以确保项目顺利落地
 编订产品手册和产品宣传材料，为售前提供技术支持
 任职要求：
 本科以上学历，计算机、软件工程等相关专业（其他专业具有上述经验者亦可应聘）
 至少2年以上软件类产品经理工作经验，有SaaS产品经验优先
 有敏捷软件开发工具使用的经验
 具备良好的需求分析和产品设计能力，熟练使用Visio、Axure等工具快速输出产品原型，完成BRD、MRD、PRD等标准产品文档撰写
 有较强的学习能力，能够快速学习业务知识及相应领域产品能力，对创新保持积极开放的态度
 具备较强的数据分析能力、逻辑思维能力、沟通能力，能够有效整合团队资源推动业务发展
 注重细节，执行力强，具备严谨的工作态度、强烈的责任心和团队精神
 加分项：
 985、211院校
 具有良好的英文读写能力者优先
除此之外HR想说：截至目前，我们的程序员小伙伴都毕业于211/985学校，还有硅谷的技术大牛带队指导，探寻讨论技术设计、技术框架和技术选型，是一个纯技术、重技术、崇尚技术的小团队；想要转型学习使用其他语言的小伙伴，也请快快砸来简历，我们更看重潜力而非目前的技术水平，HR小姐姐期待你们的加入~~","数据服务,企业服务",15-50人,产品,杭州
产品经理,https://www.lagou.com/jobs/7167244.html,余杭区,12k-18k,令克软件（杭州）有限公司,1-3年,不限,周末双休，五险一金,岗位职责：1．负责互联网金融产品后台业务逻辑、结构、控制及数据；2．分析调研整理用户需求及业务需求，通过需求梳理完成功能提炼；3．独立设计产品，编写PRD文档，操作说明文档等；4．推进后台产品的开发，确保后台产品的数据安全、全局把控、资源调动按计划开发并保质发布;5．收集并分析用户意见反馈，挖掘用户真正需求，不断改进产品。6.参与项目开发流程，推进开发进度，能够协调UI、开发、测试等岗位，确保产品按计划高质高量完成；任职要求：1．本科以上学历，三年左右经验；2．能熟练使用AXURE、XMind、visio、PPT等产品相关软件，辅助清晰业务流程；整理业务逻辑；3．能完成后端产品从业务逻辑到结构控制的方案，根据分析、数据结论进行整合；4．明确后端产品的控制内容，了解具体的系统关联及对接；5．具备出色的逻辑分析能力和判断力，思维严谨；6．有金融证券行业项目经验优先。7．具有良好的团队合作精神，有较强的学习、抗压适应能力；薪资待遇：1、五险一金：享受齐全的社会保险，包括养老、医疗、失业、工伤、生育、以及住房公积金；2、带薪假日：除国家法定的节假日外，还享受带薪年假、婚假、丧假、产假、陪产假、哺乳假等；3、团队福利：每月部门团建活动，公司集体每季度一次大型团建活动，享受轻松快乐的出游活动；4、节日福利：除国家规定的节假日福利外，还有丰富多彩的生日趴，节日聚会，惊喜礼物；5、活动福利：部门设有活动基金，定期组织各类部门活动（短途出游、聚餐、K歌、酒吧）等；6、奖励福利：设有各类岗位奖励，优秀员工奖励，销售**奖励，年终奖励等；7、优秀员工，公司后期都会根据情况给予分红及股权奖励。【工作时间】周一~周五上午：9:00-12：00，下午：1:30-6：00欢迎志同的朋友一起发展！工作地点：未来科技城欧美金融城,软件开发,50-150人,产品,杭州
产品经理,https://www.lagou.com/jobs/6732760.html,西湖区,12k-20k,杭州晓宇科技有限公司,1-3年,不限,氛围轻松，期权鼓励，恋爱社交，大牛聚集,"【职位诱惑】扁平管理；优厚薪资；不打卡；带薪休假，超长年假；提供餐补，休闲下午茶；职业大牛；晋升空间；自由发挥；团队氛围好，团建活动丰富；【岗位职责】
 深入了解社交类产品需求和痛点，提出完善产品体验的方案；
 负责用户获取、注册转化率提升、用户留存、用户召回等核心产品指标的优化；
 初期协助完成一周CP小程序的需求规划、项目管理全部工作；
 转正后独立负责小程序的所有产品及项目管理工作；
【职位要求】
 2年以上产品经验；
 完整负责过新产品的规划、开发、上线、维护，整个生命周期；
 能够对明确的产品需求，产出高质量的需求文档，并跟进开发、测试，最终完成需求上线；
 具备优秀的细节把控力，能够反复打磨追求细节完美；
 具备优秀的逻辑能力，能够清晰有序的阐述产品逻辑；
 具备初步分析能力，能独立通过用户调研、数据分析等手段，解决简单的问题；
APP：红蓝CP小程序：一周CP | 恋爱体验馆公众号：红蓝CP【红蓝cp-企业介绍】简书链接：https://www.jianshu.com/p/2ac36e9f773e 【工作地点】杭州市西湖区文三路华星时代广场B座# Who is 一周CP? 『红蓝 CP』 原名『一周 CP』2019 年 9 月 19 日『一周 CP』正式更名为『红蓝 CP』红蓝CP是当前市场上最走心的陌生人交友 App 之一 ，用户遍及世界各地，主要用户群体为在校大学生及刚工作的年轻人。我们致力于创造一种惊喜感和趣味感十足的全新社交方式，在95后中迅速窜红，截止2017年5月份已完成3200万元A轮融资。已成就 20 亿次陌生人之间的美好相遇；超过一年的 CP 有 30000 余对；已促成 1200 对情侣走向婚姻殿堂；2018 年 “ 最受女性欢迎的社交 App ” 奖项获得者；2018 年BOSS  直 聘“ 社交领域最佳雇主 ” 奖项获得者；2017 年百度 “ 年度创新应用 ” 奖项获得者；2017 年新芽网最具投资潜力产品 TOP 20； # Why 一周CP? 来自BAT的精英团队，核心团员都来自各个互联网领域的技术/产品/研发/大牛。扁平的公司管理，高效的团队氛围，目标明确，成果定论。精英团员拥有期权鼓励，专研并挑战实现最棒的用户体验！ 同时我们将提供给你丰厚的物质回报，以及舒适的办公环境：>高配最新款MacBook Pro；27寸4K显示器；>人体工程学座椅；可升降办公桌；坐累了可以站着，站累了还可以躺着；提供午休床垫；>弹性上下班，上班不打卡；>地点你定的团建旅游，年度、季度、月度都有；>每年一次的超级VIP体检，项目全检查，老板比你更关心你的身体；>年轻帅气的老板、本领高超的技术大牛、颜值爆表的同事；>16 薪 plus，全员持股每年两次分红","移动互联网,社交",15-50人,产品,杭州
产品经理,https://www.lagou.com/jobs/7088751.html,余杭区,15k-25k,杭州观远数据有限公司,1-3年,本科,"行业前景好,成长空间大,期权激励",工作职责1. 负责AI产品在连锁零售、快消鞋服等应用方向的产品规划和产品设计，能不断推动产品向前迭代，在满足客户业务需求的同时进行全局性和前瞻性的设计、布局；2. 在产品预研、开发、发布和迭代的过程中负责和各个团队交流、合作以及项目推动，确保项目高效推进，并交付。3. 参与客户需求讨论，挖掘潜在功能点并跟进实施4. 竞品研究与对比，把握行业动态5．具备较强的分析、管理及解决问题的能力，同时具有良好的逻辑表达能力、沟通能力、团队协同能力和抗压能力;岗位要求1. 本科及以上（985/211优先）2年以上企业级产品工作经验2. 熟悉AI、机器学习的基本概念和思维方式3. 优秀的逻辑思考能力、抽象能力和系统性思考意识重要加分项1. 有平台化、系统化产品设计经验；熟悉业内人工智能平台、机器学习平台2. 具有数据中台、大数据开发平台等数据类产品的产品经理相关工作经验 3. 具有连锁零售、快消鞋服等行业的相关业务知识,"企业服务,数据服务",150-500人,产品,杭州
产品交互设计师,https://www.lagou.com/jobs/5275852.html,滨江区,15k-20k,浙江顺联网络科技有限公司,3-5年,大专,薪资高 团队活跃 升职机会多,1.根据产品需求，设计出适合的交互解决方案；2.配合开发制作，与界面美术、程序合作将交互功能开发上线； 3.能够深入分析评估一套产品的界面设计优缺点，为产品界面开发提供参考或优化方向；4.深入理解交互思想和基本原则，掌握交互设计必要技能； 5.与上下游职位良好配合，把握策划需求，向视觉设计师和程序沟通传递设计思。 任职资格优秀的设计表达能力，热爱做设计学习能力强，观察力敏锐，能不断学习吸收最新流行设计趋势具有良好的需求把握和逻辑分析能力，善于沟通表达两年以上交互设计经验，熟悉手机操作系统（iOS、Andriod）交互特征，有成熟作品,"移动互联网,电商",150-500人,产品,杭州
产品经理,https://www.lagou.com/jobs/6678914.html,江干区,15k-25k,浙江单创品牌管理有限公司,3-5年,本科,发挥空间大,1，负责商城平台售后工具与流程优化；关注售后工具的便捷性与流程合理性，提升用户体验，提升服务能效；2，制定产品策略：针对产品发展路线与从产品整体框架进行设计，根据信息收集与分析，发现业务痛点，主动进行产品优化；3，独立进行业务需求分析，站在业务角度，针对产品提出改进可行性建议，完成产品设计工作（功能，信息结构，内容，流程，交互等）；4，独立协调相关部门人员，推进解决用户以及服务中心痛点问题，推进项目落地；任职要求1，统招本科及以上学历；2，3年以上电商产品相关经验；了解跨境电商业务与熟悉IM/工单系统者优先；；3，拥有极强的抗压能力和主动性；4，拥有良好的沟通能力与协作能力，较强的逻辑思维能力与数据敏感性；能快速和团队达成共识推动项目执行落地；5，具体较高的产品设计能力，针对产品设计有自己的思考；可独立完成产品规划和设计工作；,"移动互联网,电商",500-2000人,产品,杭州
产品经理,https://www.lagou.com/jobs/6688364.html,滨江区,10k-20k,杭州老爸评测科技有限公司,1-3年,本科,"精英团队,工作氛围好,知识分享,发展空间",岗位职责:1、负责电商平台的产品设计，包含但不限于商品、订单、营销、用户等模块，完成所负责产品线的业务规划、功能逻辑设计、竞品分析、体验设计、产品实施、效果分析。2、参与项目计划，能与UI、开发及测试团队进行良好的沟通协作，管理和把控项目进度，保证项目按时顺利上线；3、跨部门协调和沟通，收集、理解、分析、引导和转化业务部门需求，形成产品或解决方案，并推动设计、技术、运营等人员紧密合作达成核心目标。4、收集用户反馈，分析用户行为及需求，跟踪并分析产品运营数据，持续优化产品功能，提升用户体验。5、整理竞品调研的分析工作，定期输出分析报告和经验总结。任职资格:1、全日制本科及以上学历，2年以上互联网产品工作经验，具备电商平台、社区/社群平台项目经验者优先考虑2、有成熟完整的产品设计经验，至少独立负责过一款互联网产品，具备从产品需求分析、设计、研发、上线到运营全过程的产品管理经验3、有较高的数据敏感度，善于用数据驱动产品的优化升级；4、逻辑严谨，表达清晰，结果导向，有很强的自我驱动5、善于沟通，处事灵活，能强力推动项目落地执行,"电商,移动互联网",150-500人,产品,杭州
产品经理,https://www.lagou.com/jobs/7158167.html,余杭区,10k-18k,义乌爱拼网络科技有限公司,3-5年,本科,产品经理，需要有电商经验,"熟悉电商业务逻辑，无相关经验勿扰。谢谢职位描述：一、负责营销体系，用户增长以及导购导流部分 ，通过产品手段提升整体拉新、促活效果以结果为导向，主导用户增长的整体规划，提出切实可行的增长方案， 对平台DAU，新客数及活跃用户数负责；二 、负责类目管理，商品管理，品牌管理，参与订单管理，售后管理三、对用户行为，特征等进行专题分析，了解用户行为规律，指导产品和运营调整；对各类增长类运营活动的用户体验负责，结合需求反馈和数据分析，持续对活动效果改进；四、负责运营工具，营销体系，促活拉新，大促活动整体策略方案落实；工具1.可视化，可视化模板是自定义H5，运营人员可灵活配置H5页面，提高运营人员工作效率；2.用户生命周期，区分不同周期得用户，给不同周期得用户推送不同得营销活动，从而达到唤醒促活的效果；3.活动黑名单，防刷，防止不法分子撸羊毛；4.弹窗系统，按照优先级，区分不同用户，在不同时间段内推送消息；营销：主要由会员体系，红包体系、积分体系、满减、秒杀、优惠券、一元活动，新人专享组成促活拉新：砍价、拼团、拆红包、助力免单、抓娃娃、红包雨、签到、邀请有礼，金币体系大促活动：618大促、年终大促、双11、双12、神灯节、日常大促； 整个营销体系形成多个闭环，例如拉新砍价，助力免单，负责拉新登录，新人专享负责新人转化，生命周期唤醒达成复购，形成闭环； 五、能独立进行数据分析和统计，并据此分析制定清晰的产品功能策略；协调视觉、交互、前端、后端、运营等多个团队按时高质量完成功能开发与系统上线。","电商,社交",少于15人,产品,杭州
