job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/5498771.html,洪山区,15k-25k,北京金山办公软件股份有限公司,3-5年,本科,知名产品,主要职责：1. 负责WPS Office 产品需求，对产品提出改进方案，并独立完成产品设计；2. 根据市场及用研情况，结合产品方向，输出场景化分析数据，提出产品改进方案；3. 推进产品方案落地，分析上线情况，迭代优化产品。 岗位要求：1. 本科及以上学历，计算机、软件、通信相关专业；2. 两年以上互联网产品岗经验，有独立完成整个功能模块的产品设计经验，且具备从产品框架设计到细节交互设计的能力；3. 熟练使用Office办公软件；4. 具备较强的学习能力及逻辑分析能力，且有良好的沟通表达能力；5. 具备产品调研及分析能力，对数据敏感，通过有效的数据分析，理解及解读用户需求，指导产品优化。,移动互联网,2000人以上,产品,武汉
产品经理,https://www.lagou.com/jobs/580322.html,武昌区,6k-10k,小钱（武汉）金融信息服务有限公司,1-3年,大专,双休+五险一金+绩效奖金+年终奖金+员工旅游,"职位描述：1.分析用户需求设计网站产品的功能特性和交互，使产品更加符合用户的需求；2.制订产品需求文档，以供设计、开发、测试人员明确产品需求；3.跟进UI设计，确保产品效果图符合产品需求文档的要求；4.跟进开发人员的开发，确保产品功能特性和交互符合产品需求；5.收集分析用户意见反馈，以便于挖掘用户的真正需求；6.分析用户需求，设计客户端；岗位要求：1.2年以上互联网行业产品经验；2.深入了解产品的研发和运营流程；熟悉用户体验、交互设计理论知识；思维开放,善于进行创新；较强的逻辑分析能力和数据敏感性；3.具有较强的抗压能力强；对工作有责任心、积极主动完成工作；4.有金融、投资、债券等行业工作经验者优先。",金融,50-150人,产品,武汉
产品经理,https://www.lagou.com/jobs/1874198.html,武昌区,10k-20k,武汉多游科技有限公司,3-5年,本科,弹性工作、发展空间大、零食自取、包食宿,✔️精通产品架构，数据分析及项目管理✔️岗位职责：1. 规划公司广告平台产品需求，制定产品发展策略 ，完成需求分析、产品策划、原型设计；并协调/推动研发团队按时完成产品开发、高质量上线；2. 研究用户需求，分析用户行为，跟踪竞争对手情况，不断提高产品的竞争力；通过市场分析、数据分析或商业敏锐观察不断推进产品优化；跟踪分析所负责产品各项数据和用户反馈，跟进产品实施效果以及业务发展状况，持续改善产品；3. 负责产品的各个迭代周期的项目管理、功能测试，确保每个迭代周期的目标达成；4. 负责完成产品需求文档（PRD），功能定义，交互设计等需求设计文档。任职要求：1.计算机及相关专业或管理类专业，有广告平台产品或相关Saas产品设计成功案例者优先；2.较强的逻辑分析和文档书写能力，能够分析规划相关商业产品结构和产品流程；3.具备良好的商业意识和逻辑思维能力、跨部门沟通和问题处理能力、执行能力。福利待遇：1.免费的住宿提供以及中餐晚餐，及各种零食小吃；2.享受国家各法定节假日和带薪年假、婚假、产假等；3.优厚的薪金和奖金及车费/餐费补贴；4.公司不定期的团建聚会和户外活动；,移动互联网,50-150人,产品,武汉
产品经理,https://www.lagou.com/jobs/7129190.html,黄陂区,15k-30k,武汉卓尔数字传媒科技有限公司,5-10年,本科,互联网公司,岗位职责：1、负责公司OA相关产品线；负责对接所负责产品线的业务部门，及时了解业务动向及需求；2、根据部门的要求，对所负责的产品线进行产品规划及设计；3、对所提产品需求负责，并负责和研发团队的沟通及产品研发进度的跟进，并及时解决项目中产品相关问题；4、负责面向业务部门进行产品培训，并及时收集产品使用反馈及优化建议；5、根据公司战略，负责公司新产品的相关产品探索；6、不断深入行业，协助广告业务团队与流量平台更多的业务合作。任职资格：1、统招本科以上学历，5年以上产品经理工作经验；2、熟悉企业内部相关系统（人事、报销、审批、权限等），具备3年以上相关产品设计及实施经验；3、对于产品设计有独立的设计思路及方法4、擅长抽象和归纳，能够从众多业务反馈中抽取核心的业务诉求，并和产品设计相结合；5、擅长沟通和协调，具备一定的项目管理能力；,广告营销,150-500人,产品,武汉
产品经理,https://www.lagou.com/jobs/6968657.html,洪山区,10k-18k,未有（北京）科技有限公司,3-5年,本科,公司文化好 午餐补助 发展空间大,岗位职责1、负责产品规划、功能定义、交互设计、性能优化、产品运营等管理工作；2、根据公司战略，规范产品Roadmap，调研和分析竞品，制定产品管理计划；3、制定产品需求计划，进行可行性分析及设计，撰写PRD，负责需求的跟踪和控制；3、规划管理项目进度，推动项目的技术实现，把控项目实施质量和效率；4、有C端产品设计经验，良好的逻辑和表达能力，善于整合资源推进项目；5、与技术团队紧密配合，快速、高效推动产品设计、研发、运营和推广岗位要求1、具有3年以上互联网企业工作经验或3年以上大型2C平台产品经理相关领域工作经验；2、良好的沟通能力、分析能力、执行能力、团队协作能力，目标明确；3、具有良好的项目管理能力和业务能力；4、有良好的多职能跨团队协同能力，能够在多任务情况下，完成资源整合、项目高效落地；5、自驱力强，有成功产品经验优先；6、对人工智能和数据标注有深刻的理解、独特的分析和洞察力,人工智能,50-150人,产品,武汉
产品经理,https://www.lagou.com/jobs/3622968.html,东湖新技术开发区,15k-30k,武汉微派网络科技有限公司,3-5年,本科,独当一面、待遇丰厚,【岗位职责】1、负责公司游戏&社交产品的用户需求调研和功能迭代；2、根据公司的战略发展，制定产品发展规划，不断提升公司产品竞争力；3、负责公司各个内部项目从需求、设计、开发到最终上线的整个流程；4、负责来自用户和公司的需求调研，完成需求分析，优化产品功能及设计；5、负责产品的用户研究，用户体验提升。 【任职要求】1、对社交或游戏类产品有兴趣和好奇心；2、3年以上移动互联网产品相关经验，具有移动互联网游戏项目管理经验者优先；3、体验过多款移动App，具有较强的逻辑思维及创新意识；4、对休闲或社交产品有整体把控能力。,社交,150-500人,产品,武汉
产品经理,https://www.lagou.com/jobs/4039807.html,洪山区,10k-15k,深圳羚羊极速科技有限公司,3-5年,本科,"五险一金,活动多,福利多,氛围好",岗位职责:1、负责公共安全、人工智能领域物联网网关、工具APP、云平台后台产品的定义；2、参与需求调研，并细化输出为需求规格说明书、产品原型等文档材料，推进产品立项；3、跟进产品生命周期各环节，积极与项目团队协调沟通，确保产品按需实现；4、关注项目及用户对于产品各项功能的反馈，制定迭代计划，不断满足用户需要、增强用户体验；对公司产品进行竞争力分析，输出产品市场材料，为营销体系进行支撑。任职要求：1、计算机及相关专业，全日制本科及以上学历，1年以上工具APP、后台B/S产品工作经验，熟悉产品研发流程；2、熟练使用Sketch、墨刀、OmniGraffle、MindNode等原型设计软件及Office办公软件；3、思维活跃，逻辑清晰，对物联网、云服务、人工智能等新兴领域技术有较强兴趣及理解力；4、具备对产品细节的感知和把控能力，追求**体验。,移动互联网,150-500人,产品,武汉
产品经理,https://www.lagou.com/jobs/6721972.html,东湖新技术开发区,10k-20k,康博嘉云（北京）信息科技有限公司,不限,本科,发展空间大，大牛带,岗位职责：1.负责云诊所平台产品相关工作；2.负责市场及行业分析，客户需求分析，竞争对手分析；3.负责制定产品规划，拆解目标，把握整体节奏，完成产品落地；4.负责梳理产品业务流程，设计产品框架并撰写产品需求文档；5.负责产品设计并撰写产品设计文档，推动产品开发、测试；6.负责审核开发提交产物，包括流程、逻辑和页面效果；7.跟进产品用户使用情况，迭代优化完善产品。任职要求：1.本科及以上学历，具有1年及以上的产品工作经验（优秀可放宽到应届生）；2.具备产品规划、需求分析以及产品详细设计能力和经验；3.基本掌握数据库模型能力；4.熟练掌握产品原型制作和产品流程相关工具（Axure、Visio）；5.具备优秀的逻辑思维，善于思考，学习能力强；6.具备优秀的产品创新能力，项目管理能力，执行推动能力，沟通协作能力和抗压能力；7.一本及以上学历，或医疗行业优先考虑,医疗丨健康,150-500人,产品,武汉
产品经理,https://www.lagou.com/jobs/7168128.html,洪山区,10k-16k,武汉湃领科技有限公司,1-3年,大专,每日鲜果零食供应 下午茶 经常团建,职位诱惑：五险一金，双休，打车福利，季度年度奖金职位描述：岗位职责1.负责参与移动APP工具类等产品方案设计；2.负责针对具体的业务场景及需求，开展用户需求分析、市场和竞品分析、产品功能的设计等工作；3.根据业务发展以及平台能力建设需要，提供完整产品规划和解决方案；4.协同团队内成员按时高质量迭代发布，包括对外平台资源对接，持续推进产品高质量和口碑的落地实施、优化、发展。岗位要求1.本科以上学历，1年以上移动APP产品岗位经历，英文正常工作能力达标;2.工作积极主动，有极强的责任心和敬业精神，能在较高压力工作环境下保持激情并解决各种难题，可接受短期国外派驻出差；3.熟悉移动APP研发流程，深刻理解工具类型APP国内外发展趋势和用户体验，具有出色的产品规划设计能力和规划经验；4.具备出色的表达能力和感染力，沟通协调经验丰富。工作地址武汉，部分东南亚国家首都工作地址武汉 - 洪山区 - 关山 - 光谷智慧园,软件开发,50-150人,产品,武汉
产品经理,https://www.lagou.com/jobs/2414593.html,江夏区,7k-12k,优品财富管理有限公司,1-3年,本科,"晋升空间广,待遇优厚",岗位职责：1. 负责产品的市场调研，数据分析，需求搜集，研究竞品了解市场动态；2. 负责产品需求分析和原型设计，完成产品需求文档，协调内部资源推动产品开发上线；3. 具备中台服务，证券产品等产品的设计经验；4. 关注行业动态，能够快速分析并形成解决方案。任职要求：1. 本科及以上学历，金融学、投资，数学，计算机等相关专业 ；2. 2年以上产品经理工作经验，证券基金行业的产品设计经验优先；3. 具备较强的沟通能力，快速理解客户需求并快速响应；4. 有较强的敬业精神，责任心及良好的沟通能力和团队合作精神。,金融,500-2000人,产品,武汉
