job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6990983.html,高新技术产业开发区,8k-16k,西安逆袭网络科技有限公司,3-5年,本科,"扁平管理,五险一金,健身福利",职责描述：1. 主导海外移动互联网产品的规划、设计、开发跟踪与迭代改进；2. 进行手机产品的用户研究，需求分析；3. 进行市场调查、信息整理，提出新产品的设计思路和方向；4. 负责或配合其他部门制定产品运营计划，持续改进产品。任职要求：1. 本科及以上学历；2. 3年以上产品工作经验。熟悉C端产品，有独立产品设计经验优先；3. 有良好的信息收集能力和学习能力，能够研究和预判海内外社交产品的发展趋势和热点；4. 有良好的规划能力，能够根据用户需求和公司目标，克制的完成产品规划，有计划的推进产品进度；5. 有良好的团队沟通能力，能够在团队协作中准确传达产品目标，带领团队完成产品开发迭代；6. 志存高远，愿意与逆袭一起努力，完成一款改变新一代年轻人生活方式的产品。,"移动互联网,社交",50-150人,产品,西安
产品经理,https://www.lagou.com/jobs/5619624.html,雁塔区,8k-15k,深圳市云积分科技有限公司,3-5年,本科,"五险一金,周末双休,员工旅游,节日福利",岗位职责：1. 负责公司互动营销产品产品设计工作，基于电商运营场景设计互动营销产品方案，对互动营销效果负责。2. 负责产品流程、功能、界面设计，协调并推动开发工作。熟悉产品从业务调研、需求分析、产品发布的整个过程。3. 负责收集效果反馈、市场调研工作，提升产品创意，优化产品和服务，提升用户体验。4. 负责分析用户行为数据，并根据数据做出相应的业务决策，提升产品质量。5. 负责行业分析，竞争对手研究，为互动用户增长，运营方案决策提供支持和参考任职要求：1. 本科以上学历，有营销互动产品经验或者电商行业产品经验。2.  2年以上移动端/H5产品设计经验，对交互设计有较深的理解和大量的实践，能够独立承担产品规划、需求定义、产品设计工作，熟悉产品整体研发流程。3. 精通Visio、Axure、MindManager、Xmind等工具软件的使用。4. 具备良好的团队合作能力和沟通能力，能够快速推进自己的思想并能与周边达成共识；   5. 有严密的逻辑思维能力，关注产品细节，对用数据变化有较强的洞察力；   通过用户研究和数据分析对产品进行评估并提供解决方案，有较为广阔的知识面，具备一定的产品、品牌、市场等相关联知识；,"企业服务,移动互联网",150-500人,产品,西安
产品经理,https://www.lagou.com/jobs/5813525.html,高新技术产业开发区,10k-15k,上海申米信息技术有限公司,3-5年,本科,年假 节假日福利 双休 团建,岗位职责：1.负责移动视频产品规划、设计，以及持续的改进完善等工作；2.撰写高质量的产品需求文档，完成用户界面设计、交互设计、对视觉设计进行把关，确保产品质量、项目进度；3.通过大量的数据分析与竞品分析，完成相关调研分析工作；4.与运营、设计、技术团队密切配合，推动各方改善，实现产品的持续优化；5.跟进用户反馈并与用户交流，深入了解用户的心声。任职要求：1. 本科以上学历，具有1年以上移动端产品经验，优秀的交互设计能力，对产品设计有极高的要求，追求**的用户体验；2. 善于观察与学习，具有宽广的视野、对于移动互联网产品规划有自己的见解和理念；3. 有优秀缜密的逻辑与思维能力，良好的协调能力、分析、计划及管理能力，具备良好的团队精神，沟通能力强；,移动互联网,50-150人,产品,西安
产品经理,https://www.lagou.com/jobs/6777325.html,雁塔区,15k-30k,西安格蒂电力有限公司,5-10年,本科,上市公司，福利待遇优厚，职业发展空间广阔,技能要求：oracle数据库岗位职责：1、负责公司的项目管理，参与制定应用项目架构与数据架构规范，督导团队执行规范落地 ，管理项目进度按照计划顺利完成。2、负责数据基础架构和数据处理体系的升级和优化，不断提升系统的稳定性和产品化程度，为公司的业务提供大数据底层平台化和产品化支持。3、与用户沟通需求，并提出解决方案；与公司其他部门保持良好协作，确保项目良好运转。.4、培养和建立公司的大数据团队产品经理团队，对团队进行培训指导。任职要求：1、熟悉大数据开发、数据中台或边缘计算任一方向，3年以上大数据方向大型项目管理经验。2、3年以上数据治理/大数据/传统数仓/BI类相关工作经验，有数据抽取、数据清洗等相关工作经验。熟悉并有构建BCNF范式经验。3、熟悉目前正在发展的大数据分布式平台前沿技术的应用；包括但不仅仅限于：hadoop、storm、hive、spark、Kafka、Phoenix等。4、有国网电力行业实施工作经验如BI等优先考虑。5、具备较强的数据分析能力和良好的需求理解力，能独立撰写项目解决方案、项目技术文档；6、具有优秀的书面和口头表达能力，良好的客户服务意识，优秀的团队领导和组织协调能力。,企业服务,500-2000人,产品,西安
产品经理,https://www.lagou.com/jobs/6822074.html,未央区,7k-14k,西安蜀山网络科技有限公司,3-5年,本科,"带薪休假,出国游,定期团建",岗位职责：1，负责公司新产品策划，需求分析，原型设计。2，负责公司产品数据分析，新功能规划。3，负责公司产品运营规划等。  任职资格：1，思维活跃，对产品有独特的见解，至少有2款以上APP上线运营经验。2，熟练制作原型图，熟悉原型图制作工具。3，统招本科以上学历，经验丰富者可适当放宽。,"移动互联网,游戏",150-500人,产品,西安
产品经理,https://www.lagou.com/jobs/6750978.html,雁塔区,9k-18k,深圳市威富视界有限公司,3-5年,不限,五险一金、带薪年假、项目奖金、节假日福利,"职责描述：
 负责产品的需求发现和分析，产品功能设计； 
 实施产品的任务流程设计、信息架构设计、页面布局以及原型设计；
 持续挖掘用户需求进行产品创新，合理规划产品发展与功能规划，推动、控制、协调、跟进产品功能的开发、测试、发布；
  关注运营数据、用户调研与反馈等，持续优化产品；负责与协助产品上线以后的改进，BUG跟踪、收集改进意见、提供改进方案；关注竞争对手的状况，对市场变化反应敏锐；
 对产品运营数据进行分析，并提出功能优化、用户体验升级等方面建议；
技能要求：
 熟练使用产品设计的相关工具，包括axure、思维导图工具、sketch、visio等；
 良好的逻辑思维和抽象能力，思路清晰，善于抓住重点
 具备工业互联网、 IOT、工业大数据等产品或项目经验
 熟悉工业互联网、IOT产品的体系架构与技术生态；
 具有较强的沟通能力、协调能力和团队协作精神；",人工智能,500-2000人,产品,西安
产品经理,https://www.lagou.com/jobs/6757552.html,高新技术产业开发区,15k-25k,北京宝兰德软件股份有限公司,3-5年,大专,发展空间大 上市公司 六险一金,"岗位职责：1.做好产品研发方向的调研；2.配合研发经理做好需求的落地；3.需要跟踪相关领域的新技术和新产品；4.和相关合作伙伴、客户以及公司技术支持部门做技术交流来获得产品需求；5.负责产品的需求分析和需求设计；6.跟踪产品实现过程是否偏离原定需求；7.对产品是否符合市场需求负责。资格要求：1.3年以上经验，统招学历；2.需有一定的开发经验，对系统架构有一定的了解。3.有好的团队精神和事业心。有良好的沟通能力和需求抽象能力。对新技术敏感并有自己的独特见解。技能要求：1.熟悉当前APM产品的市场情况，熟悉常见开源的监控软件，了解常见的开源组件，例如Tomcat, Nginx, Redis, kubernetes 等等；2.有云计算环境下的运维经验。3.有电信行业背景优先；4.有统计分析和机器学习等相关实践经验优先；5.有大型互联网应用的运维经验优先。",企业服务,150-500人,产品,西安
产品经理,https://www.lagou.com/jobs/6039097.html,高新技术产业开发区,10k-15k,西安鲸鱼互动信息技术有限公司,3-5年,本科,"带薪年假,节假双休,绩效奖金,五险一金",大家都懂，别忽悠。从来没有如此坦诚的招聘广告！岗位描述：1、收集管理客户/用户需求，进行市场/竞品分析，制定有效的广告产品方案，开创新的广告形态；对接广告主需求，设计定制化需求或者广告产品优化；设计SSP、ADX和DSP广告平台，承担整个投放功能的设计；2、熟悉SDK广告聚合产品；3、挖掘客户需求、进行市场和竞争分析、制定产品规划；4、负责需求分析、撰写需求文档、产品设计、运营和项目实施；5、深入了解和掌握行业竞品的动态，不断丰富和完善产品。我们需要这样的你：1、本科以上学历，计算机相关专业毕业，3年以上互联网产品相关经验，对广告效果评估和优化有相关经验；对互联网流量变现有深刻的认识；2、对程序化广告交易（SSP/ADX/DSP等）产品框架和业务框架熟悉，有相关工作经验者优先。3、有足够热情，并长期关注，工作积极主动，执行力强，有一定的团队领导/协调能力；4、对行业内广告平台的商业模式和业务流程较为熟悉，并具备清晰的个人理解与思考；5、推动能力强，能够与销售、技术部门有效沟通，推动产品进程。,移动互联网,50-150人,产品,西安
数据兼后台产品经理,https://www.lagou.com/jobs/7129302.html,高新技术产业开发区,12k-24k,海尔集团,3-5年,本科,六险一金 员工活动 多种激励 带薪假期,岗位职责：1.负责数据相关的后台系统建设和规划；2.负责数据分析和知识库审核；3.负责语音交互数据的清洗和数据标注；岗位要求：1.有数据后台产品相关经验；2.有数据标注和清洗相关经验；3.善于数据挖掘和分析，驱动体验提升；4.工作经验3年以上；5.善于主动思考，学习能力强；6.热爱语音行业的优先；,"物联网,电商",2000人以上,产品,西安
腾讯云 IDaaS 产品前端开发工程师(西安),https://www.lagou.com/jobs/6826660.html,高新技术产业开发区,10k-20k,腾讯科技（深圳）有限公司,3-5年,本科,发展前景好，待遇好,岗位职责：    1、负责腾讯云 IDaaS 产品的前端架构设计和需求开发工作；2、负责 IDaaS 相关运营工具的建设。岗位要求：    1、本科及以上学历，3 年以上相关工作经验；2、精通 JavaScript、HTML 和 CSS，具备移动 web 开发经验，对前端性能优化和浏览器的行 为机制有一定的理解，有 reactjs/es6 等开发经验者优先考虑；3、熟悉 TCP/HTTP 的基本原理，熟悉 Linux 操作系统，具备 PHP 或 NodeJS 的开发经验；4、有强烈的上进心和责任感，具备较强推动力，善于沟通表达，有良好的团队合作精神；5、对前端开发工作富有激情，能积极学习业界新技术并运用推广。,社交,2000人以上,产品,西安
