job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/7154143.html,航空港区,20k-30k,富泰华工业（深圳）有限公司,10年以上,本科,五险一金、绩效奖金、带薪休假、定期体检,职责描述:1. 负责产品的规划及产品线管理，结合业务发展战略，全面策划及统筹产品线的发展规划，明确定位、目标、策略并落实2. 产品的调研分析，竞品分析、产品需求定义、产品可行性评估、风险控制策略等；3. 制定产品上线和改版计划，协调所有相关人员，把控产品开发周期、质量及进度，推动产品的测试及发布4. 参与项目计划，与UI设计、技术开发及测试团队进行沟通，管理和把控项目进度，保证项目按时顺利上线；5. 负责产品售前/售后支持，为产品售前提供全方位支持服务，处理产品售后咨询投诉的解决6.制定产品运营推广方案，监控并分析产品数据，收集用户需求及反馈，持续优化改进用户体验 任职资格:1.统招本科及以上学历，计算机及软件相关专业2.10年以上产品经理或需求分析经验，5年以上产品团队管理经验3.具备优秀的产品分析能力和设计思路，能够独立从事产品规划和设计4.具备项目管理能力，有良好的组织协调沟通能力，推动跨团队合作、促使项目计划按时按质完成5.有软件开发相关经历者优先,"电商,数据服务",2000人以上,产品,郑州
产品经理,https://www.lagou.com/jobs/4355737.html,金水区,15k-30k,郑州时空隧道信息技术有限公司,3-5年,本科,"五险一金,节日福利,股票期权,国内旅游",岗位职责：1、负责UU跑腿APP（客户端）的产品功能设计和交互设计，并持续优化产品功能，提升产品价值；2、负责撰写高质量的产品需求文档，并与相关研发人员沟通产品需求，包括定义、设计等工作；3、负责相关产品的测试验收，跨部门协调资源、推动研发团队，保证产品按时开发完成、高质量上线；4、通过市场调研、竞品分析、数据分析等手段，挖掘客户需求，完善产品功能，打磨产品用户体验；任职要求：1、3年以上产品工作经验，2年以上App产品工作经验，至少一款产品的完整策划经验；2、熟悉iOS和Android平台产品和技术，具备移动客户端软件产品设计和管理经验；3、具有较强的沟通表达能力、业务分析能力、产品设计能力、文档撰写能力、资源协调能力；4、对视觉和交互细节敏感，对用户体验执着；对新鲜事物有足够的敏感度，思维富有创意。,"移动互联网,消费生活",150-500人,产品,郑州
产品经理,https://www.lagou.com/jobs/6932351.html,高新区,10k-19k,河南国超电子商务有限公司,3-5年,本科,福利好，产品大，晋升,岗位职责：1、负责产品前端（移动端）原型制作，我公司开发的是一款直播短视频APP，有移动端和后台开发，已上线运营，协助开发团队理解和掌握需求，对产品及功能发展方向和易用性负责；2、根据用户反馈和数据分析，挖掘需求核心要素，解决最优解决方案、制定产品推进计划、推动项目整体进度；3、跨部门协调和沟通，推动UI、开发、测试、运营等人员紧密合作达成产品目标；任职要求：1、5年产品经理工作经验，经历过完整的产品生命周期，并参与过互联网APP项目者优先；2、熟悉产品设计理念及方法，了解技术特性和系统架构；3、擅长使用主流原型工具，例如Axure、Balsamiq Mockups、Justinmind；4、具备独立撰写产品文档的能力，熟练掌握产品需求分析、设计技巧，对交互设计过程有深入了解，有成功的产品策划案例；5、具备较强的逻辑思维能力、学习创新能力、数据分析能力和语言表达能力；6、较强的项目管理能力和组织管理能力，善于跨部门组织、沟通和协调资源；7、良好的沟通协调技巧和团队合作意识，能承受较大的工作压力。联系电话：***********，微信：***********,"文娱丨内容,社交",50-150人,产品,郑州
产品经理,https://www.lagou.com/jobs/7124635.html,金水区,4k-8k,河南元启网络科技有限公司,3-5年,大专,五险一金，弹性工作，节日福利,基本岗位职责：1、负责2B产品规划、需求调研及分析、需求评审及管理、PRD编写及产品原型设计；2、协调各业务线资源推动产品的实施，跟进项目开发、测试、发布和运营的整个过程，确保沟通协调的有效性，保障项目整体质量；3、负责产品上线后的运营效果跟踪，通过数据分析提出产品改进建议，推进产品的持续优化；4、不断提升产品的用户体验，提升产品各关键环节的转化率。任职要求：1、有2年以上独立产品设计或数据分析经验，本科及以上学历，计算机、通信工程、财务相关专业2、能够正确全面地理解公司的发展战略及产品规划，对用户的需求有深刻的理解和把握；3、项目推动能力强，逻辑思维能力强、拥有良好的沟通能力和团队协作能力，有积极解决各种难题的能力4、具备较强的数据分析能力，对数据敏感，有良好的产品运营意识；5、具备产品创新意识及商业敏感性；6、良好的文案能力，熟练掌握Visio、Axure等原型设计工具；7、追求卓越、自我驱动能力强、有良好的产品感觉、有好奇心,移动互联网 电子商务,少于15人,产品,郑州
产品经理,https://www.lagou.com/jobs/5202206.html,高新区,15k-30k,河南八六三软件股份有限公司,3-5年,大专,"国企,双休,五险一金,带薪年假",岗位职责：1、负责公司产品规划和设计，包括需求调研、产品规划、产品设计、项目跟进等；2、收集并分析用户需求，撰写高质量的需求文档，推动研发团队完成产品开发、上线；3、分析挖掘行业业务模式、需求和痛点，结合行业趋势，给出产品解决方案；4、组织和推动关键用户、组织开发团体实现产品规划的落地；5、跟踪用户反馈，持续优化产品，提升运营效率和用户体验。岗位要求：1、本科以上学历，有互联网、大数据、教育、智慧城市行业经验者优先；2、具备2-3年产品规划与设计经验，具备优秀的需求分析、方案设计、项目管理能力，熟练应用相关产品设计工具；3、具备体系化产品思维，对于公司产品线的规划和设计有一定的见解；4、能够独立完成需求调研，方案设计，产品设计工作；4、具有较强的沟通表达、项目管理及组织协调能力；5、思维敏锐、责任心强，主动性强。,移动互联网,500-2000人,产品,郑州
产品经理,https://www.lagou.com/jobs/3329775.html,金水区,6k-8k,郑州创恒实业有限公司,3-5年,本科,"产品经理,产品专员",1、独立完成项目的需求调研、资料收集工作；2、负责产品具体功能模块的需求分析、需求说明文档编写、原型及必要流程说明图绘制及部分交互设计工作；3、负责整理和管理产品相关文档；4、跟踪产品研发进度并协助完成产品测试和验收；协助开发、测试团队理解和掌握需求，对产品需求方向和易用性负责；5、跟踪、整理产品的用户反馈，和用户交流，根据用户反馈提出产品改进建议。任职要求：1、专科以上学历，3年以上互联网产品经理工作经验，对互联网产品有深入的理解和很强的敏锐度；2、熟悉产品设计和开发基本流程，熟练编写产品需求文档，熟练使用Axure、Viso、Mindmanager等产品设计软件能产出思路清晰的交互原型、PRD文案及业务流程；有UI/UE/SEO知识基础，了解前端实现原理、能根据实际场景与UI及前端人员／研发人员进行有效沟通；3、有良好的文字及语言表达能力，良好的执行、沟通和驱动能力，较强的学习能力、细致耐心、逻辑清晰，具有高度的责任心和团队合作精神，热爱产品工作，有较强审美能力和创新精神；4、为人正直，诚实守信，责任心强，工作执行力强，能承受一定强度工作压力。工作地址郑州市金水区黄河路124号河南广播电视大学综合楼9楼,移动互联网,150-500人,产品,郑州
产品经理,https://www.lagou.com/jobs/6993144.html,郑东新区,5k-10k,河南夺冠互动网络科技有限公司,3-5年,大专,重点培养,工作职责1、负责公司产品及模块，包括后台及用户端；2、与其它产品线保持密切沟通，能够将相关需求转化为高效产品，并完成产品相关文档的输出工作；3、与UI、开发、测试等人员紧密合作，推动产品的项目进度，确保项目按时保质上线与运营配合，做好产品的推广及宣传工作；4、结合数据分析、用户反馈等，持续改进产品，不断提升用户体验。职位要求1、本科及以上学历，1年以上工作经历；2、能够独立设计产品原型及撰写产品需求文档；3、熟悉使用OA办公软件；如：visio、Axure等， Axure的使用要求熟练；4、对网站架构有基本的框架思维，对数据库等网站技术有一定的了解，有技术背景尤佳；5、有SaaS、教育培训等相关行业及技术背景者优先。,移动互联网,150-500人,产品,郑州
产品经理,https://www.lagou.com/jobs/6950994.html,高新区,12k-24k,中移在线服务有限公司,3-5年,本科,六险两金，大平台、扁平化，大牛同事,岗位职责：1、负责组织制定客服解决方案类产品发展规划和产品管理机制；2、负责新产品需求设计，以客户需求和体验改善为指导持续优化产品体系；3、负责产品设计、开发、测试和维护等组织管理；4、负责产品售前/售后支持，为产品售前提供全方位支持服务，处理产品售后咨询投诉的解决；5、配合产品营销活动策划与执行，负责线上/线下推广方案设计与实施等。任职资格：教育：本科技能：熟练使用Axure、思维导图等工具，能输出流程图经验： 3年以上,移动互联网,2000人以上,产品,郑州
产品经理,https://www.lagou.com/jobs/6704102.html,管城回族区,8k-16k,郑州晟翔电子科技有限公司,不限,大专,是一个适合年轻人创业的平台，提供住宿,【公司提供】1、一经录用公司提供免费的住宿；2、无责底薪3800—5000➕高额提成➕奖金➕补助（综合月薪在8000—15000）公司提供免费公寓住宿（设施齐全，五分钟路程）3、公司提供公平、公开、公正的晋升平台 ，所有管理人员都是从公司内部提拔。4、一经入职公司提供免费的西式化的岗前培训5、一经入职提供节假日福利和不定期的员工全国各地免费旅游【岗位职责】1.听从公司的安排，制定新客户的开发计划，负责新市场的开发及客户的的维护工作；3.负责市场的开拓以及市场信息的获取，负责大客户和行业人脉关系建立积累；4.带领团队完成公司分配的任务，与客户建立良好的合作关系，保持与客户的深层次沟通；【任职要求】1、35岁以下，有无经验均可，可接受应届毕业生；2、有良好的沟通和表达能力、应变能力和独立分析解决问题的能力；3、热爱工作，坦诚自信，乐观进取，能够吃苦耐劳，不怕见陌生人，可以自信大方的跟公司各类客户交流。具备良好的团队合作精神；★本公司郑重承诺：所有岗位入职不收取任何费用，住宿不收取任何费用，公司免费提供岗位技能培训，敬请求职者周知。公司地址：郑州市管城区东大街59号福华大厦A座1703室★乘车路线地铁2号线到东大街站 E口出。（东大街与紫荆山路交叉口往西200米，路北）地铁2号线——东大街站——D 出口——向西路北5分钟,医疗丨健康,150-500人,产品,郑州
产品经理,https://www.lagou.com/jobs/7200326.html,巩义市,3k-6k,河南金丰环保工程有限公司,不限,不限,做六休一 每月团建聚餐 每季外出旅游,公司诚聘相关业务精英 数名有月度奖 季度奖 年度奖公司有工龄奖 此岗位主要负责配合老板完成相关任务事宜完成相关任务后综合月薪可达8000+冬暖夏凉 办公环境优良 不定期举行团建聚餐  季度旅游生日惊喜等相关福利,其他,150-500人,产品,郑州
产品总监,https://www.lagou.com/jobs/6839983.html,中原区,30k-50k,安徽省刀锋网络科技有限公司,10年以上,大专,五险一金+双休+丰厚年终奖+项目奖金,负责刀锋互娱平台旗下产品的规划和策略制定；带领团队进行具体产品的设计、策划、推广、运营等工作；负责团队成员的管理和培养，带领团队进行高效合作。任职要求：1、计算机或计算机相关专业本科及以上学历 ，8年以上互联网产品经验；2、具备开阔的视野，善于发现和探索新领域，具备良好的执行及创新能力；3、具备较强的策略和规划能力，具备出色的分析和解决问题的能力，具备良好的数据敏感性和逻辑思维能力；4、有15人以上的团队管理经验，具备良好的协作意识、沟通能力、组织协调和推动能力；5、乐于接受挑战，能承载较大的压力；6、游戏平台或电商平台产品设计经验丰富；7、有技术背景的优先考虑。,"移动互联网,游戏",500-2000人,产品,郑州
