job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
产品经理,https://www.lagou.com/jobs/6577494.html,黄岛区,15k-30k,广东讯飞启明科技发展有限公司,3-5年,本科,具有竞争力的薪资,岗位职责：1、根据国家教育政策走向和公司战略，进行市场调研、需求分析，结合公司现有的产品、技术体系，设计有效的解决方案、关键产品及产品组合策略，包括内外部产品、方案和资源的整合。2、协助产品线负责人，完成产品业务分析，包括竞品分析、收集需求，撰写产品功能规格说明书；3、负责中文学习类产品的规划设计、需求管理跟进等工作；4、跟进研发实现过程，参与研发过程中的阶段评审，跟进研发过程的答疑，确保研发实现与功能规格要求一致；5、输出标准化产品工作资料，如，产品需求管理文件、产品内部交付资料等。任职要求：1、本科以上学历，教育、信息技术、对外汉语等相关专业；2、2年以上TO C类产品工作经验，熟悉产品生命周期管理流程及方法；3、掌握需求调研和分析、产品策划与设计等技能；掌握功能规格文档、产品方案等专业化文档的撰写知识技能；4、优秀的沟通能力与统筹协调能力、良好的学习能力与客户意识、较强的逻辑分析能力和数据敏感性、敏锐的市场洞察力；5、责任心强，能承受较强的工作压力，具备良好的团队协作精神、创新精神及较强的工作主动性；6、具有海外或学前汉语教学、教研背景优先。,教育,150-500人,产品,青岛
产品总监,https://www.lagou.com/jobs/7161334.html,,20k-30k,海尔集团,5-10年,本科,大平台、工业互联网、牛人团队,"承接COSMOPlat工业互联网战略运营战略，从事青岛区域平台产品的相关工作；1.负责云平台产品设计和规划，提出软件和系统架构的产品设计方案，软件功能模块划分等；2.负责云平台的项目管理工作，包括项目计划、任务分配、时间节点控制、进度跟踪、项目整体把控等；3.负责在项目中承担项目的项目负责人, 确保需求实现的正确性, 同时能够对项目的设计以及规划提供全面型的考虑以及解决方案；4.负责维护和升级现有软件产品和系统的技术发展规划，满足新业务实现要求; 5.完成与用户的技术交流、售前支持、技术方案宣讲、应用系统演示等工作；6.负责项目的整体执行和质量把控，与内外部保持良好的沟通，积极反馈，维护良好的内部外部关系","物联网,电商",2000人以上,产品,青岛
产品经理,https://www.lagou.com/jobs/7209819.html,黄岛区,10k-20k,青岛国信城市信息科技有限公司,3-5年,本科,五险二金，免费三餐,岗位职责：1.基于业务和用户需求，完成产品需求分析、功能设计；2.跟踪开发和测试环节，保障产品按时按质完成开发及上线；3.与业务、研发、设计、测试等部门保持充分有效的沟通，保障产品功能按计划实现，保证业务能更高效有序地完成既定目标。任职资格：学历：本科及以上学历；专业：计算机等相关专业年龄：40岁以下工作技能：1.3年以上互联网行业教育领域产品经理从业经验，具备商业模式分析、产品规划、产品设计能力，熟悉IT产品流程优化，参与过已有成功产品案例；2.有电商支付、订单相关行业经验优先；3.有交通、医疗、教育、征信等相关领域经验者优先。3.熟练使用Axure、Visio、Project、MindManager、Photoshop等软件；4.拥有优秀的创新能力，较强的逻辑思维能力，对前后台新老业务了解清晰；拥有良好的文字表达能力，能够编写文字流畅、逻辑完整清晰的产品文档；深度理解用户需求及市场现状。5.有事业心和责任感，具备优秀的执行力、沟通能力，具备独立解决问题的能力；能承受工作压力。,"人工智能,区块链",2000人以上,产品,青岛
产品运营,https://www.lagou.com/jobs/7034907.html,市南区,8k-12k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,团队氛围好,薪资优厚",,文娱丨内容,2000人以上,产品,青岛
物联网产品经理,https://www.lagou.com/jobs/6381633.html,市北区,15k-30k,山东海博科技信息系统股份有限公司,5-10年,不限,人工智能物联网产品,技能要求：竞品分析，产品设计，用户研究工作职责：1. 负责调研公安领域行业需求，挖掘智能穿戴、智能装备相关的产品价值；2. 负责对产品需求、交互方式提出创新型的想法，能够结合业务场景设计方案；3. 负责规划产品方向与内容，设计产品架构；4. 负责定义产品核心功能，并设计产品原型；5. 负责与设计和研发团队配合，推进产品上线；6. 能够与部门内、外部团队，外部供应商紧密配合，高效推动产品设计、研发及运营推广。任职资格：1. 优先考虑有人工智能、车联网方向产品经验的人选和有从0到1产品经验的人选；2. 具备5年以上产品相关的工作经验；3. 了解AI领域相关知识，对人工智能有强烈的兴趣；4. 具备良好的需求分析、产品设计、用户体验评估能力；5. 有良好的问题解决，沟通协调，和跨团队合作推动能力；6. 思维活跃，有创新思维，能承受工作压力，工作中有强烈责任感；7. 有优秀的执行力，面对挑战，能快速决策分析。,"移动互联网,信息安全",50-150人,产品,青岛
高级产品经理,https://www.lagou.com/jobs/3395084.html,市北区,15k-30k,山东海博科技信息系统股份有限公司,不限,本科,"专业培训,员工旅游,职位晋升,五险一金","岗位职责：1､负责分析市场和用户的需求；2､负责对竞争产品、行业产品、行业相关信息的收集整理和深度分析；3､负责设计满足用户需求的新产品和新功能，优化已有功能或策略以提升用户体验（逻辑修改、用户体验改善、各操作流程优化），持续性优化产品；4､负责项目文档的撰写，与研发团队密切配合，驱动项目的开发进度，保证完成质量；5､负责产品的原型设计与产品规划。任职要求：1、 5年以上相关工作经验，具有从0到1的产品经验,具有技术背景者优先；2、 热爱互联网事业，重视产品用户体验，富有创新精神，对互联网发展具有敏锐的嗅觉；3、 熟悉互联网或软件产品整体实现过程，包括从需求设计到产品发布和持续改进；4、 有较丰富的产品规划方案编写经验，思维敏捷，富有创新精神，对数据变化敏感，具备良好的分析判断能力；5、 有良好的跨团队沟通、项目团队管理、文档沟通能力；6、 熟悉电公安、安防行业者优先。7. 良好的沟通协调能力","移动互联网,信息安全",50-150人,产品,青岛
智慧出行产品经理,https://www.lagou.com/jobs/6854764.html,黄岛区,10k-14k,青岛国信城市信息科技有限公司,3-5年,本科,市直企业、政府授权、智慧城市建设运营,"一、需求量：1二、工作职责1.负责公司的城市交通出行平台系统（含公共交通出行、车主出行等业务）、车辆延伸产品的交互、规划、设计工作，负责将业务需求转化为产品设计文档，包括但不限于原型设计和流程设计，对研发及项目进度和质量进行监控。2.负责向企业提供有助于决策企业战略的市场依据。规划产品战略发展方向，制定产品的长期竞争策略。3. 交通领域ToB的产品的售前咨询和方案编制。4.对所负责的产品进行市场调研并进行分析，提出产品改进计划。对产品品牌和产品成本进行管理，优化产品组合，提升产品价值。5.配合团队完成其它交办任务。三、任职资格学历：大学本科及以上专业：计算机等相关专业年龄：40岁以下工作技能：1.具备软件和硬件产品相关知识，熟悉软件开发流程等相关知识，熟练编写产品需求文档，精通Excel, Axure软件。2. 3年以上工作经验，要求有大型停车场产品经验，能够独立承担大型地标建筑的停车场整体规划设计。3.有很强的责任心和团队合作精神，认真仔细、善于协作、强烈的责任心，能承受一定工作压力。4.有交通、停车场、公交出行领域其中一个领域的互联网支付业务经验者优先。","人工智能,区块链",2000人以上,产品,青岛
项目经理｜产品经理【中国石油大学】,https://www.lagou.com/jobs/6941679.html,,8k-15k,北京智麟科技有限公司,不限,硕士,前景好、机会多、成长快、带薪年假,请详细阅读公司产品、发展历程中的相关内容，更多的了解我们，欢迎与期待志同道合的小伙伴们加入；诚邀希望和公司一起成长，更快提升自身能力者加入工作地点在各985 / 211高校，生活极其便利，环境好~飞速发展期，年轻的团队欢迎更多的8090后，在互联网+教育行业不断创造奇迹！1、团队成员较年轻，沟通顺畅；√2、工作地点在学校，氛围简单，高素质的工作环境 √3、欢迎独当一面！单位时间内比同龄人解锁更多的工作技能 √ 工资8K-15K不设上限，靠实力说话！没有死板的调薪时间机制，老板喜欢给一起努力的小伙伴任性涨工资~~~职位职责：1、负责整个项目的全流程需求管理，协助具体产品进行系统规划；2、负责和多业务方良好沟通，与客户及产品研发配合完成项目按时按质交付，对项目交付质量负责；3、准确把握项目目标和周期，确认优先级，协调各方资源，保证产品按时、高质量完成；4、负责项目需求说明书、设计方案、测试方案等相关项目的交付工作；5、筛选有价值的客户需求，反馈给产品经理，促进产品迭代；6、进行实施过程中的需求整理和反馈，进行需求获得、分析、确认以及变更管理；7、负责项目的投标文件编写及投标工作。8、负责项目的实施、培训、汇报工作。职位要求：√ 项目是多方沟通，共同推进的结果，So：每天对着镜子对自己微笑，保持这份心情在遇到问题的每一天，温柔的强推动负责的事项落地。√ 解决问题的能力，So 当需要提出问题的时候，请附带你的解决方案。1、具备软件项目的项目管理、实施经验者优先；2、对流程管理、数据有兴趣者有经验者优先；3、较强的沟通和理解能力，积极主动，具有高度责任感和团队合作精神；4、有较强解决方案、项目管理能力及实施能力；5、能承受较强的工作压力和较快的工作节奏；6、有服务意识和吃苦耐劳的精神，有较强的耐心，换位思考的同理心；7、接受应届毕业生；8、主观能动性强；9、熟练掌握PPT、Axure等软件,"移动互联网,数据服务",50-150人,产品,青岛
高级公共安全产品经理,https://www.lagou.com/jobs/6815799.html,崂山区,15k-30k,深圳云天励飞技术有限公司,5-10年,本科,AI独角兽、芯片四小龙、大咖如云,"工作职责:1.负责公共安全产品市场调研及产品预研，负责与市场及研发等部门沟通，确保协作部门对产品规划有充足的理解；2.通过市场需求与前景分析、产品研究等工作，挖掘产品细分市场需求，进行竞品分析、产品需求分析，产品概念定义、产品软件设计方案、产品交互定义；3.负责与客户沟通，收集反馈，分析用户行为及需求，输出相关产品和解决方案，对产品持续优化和改进,4.负责输出产品相关资料，对销售、系统工程人员进行产品和方案培训；任职资格:1、5年以上工作经验，本科及以上学历，信息化、软件、机电、电气自动化类专业；2、熟悉B端客户需求，要求有公安行业产品工作经验；熟悉视频监控行业及智能视频系统；3、有丰富的智慧城市、平安城市相关领域软件产品管理经验；4，团队管理、项目管理和执行能力强；5、责任心强，承压能力强，具高度的敬业精神和工作激情。",人工智能,500-2000人,产品,青岛
产品经理用户增长方向,https://www.lagou.com/jobs/7078469.html,市北区,8k-15k,青岛华泰企业集团有限公司,1-3年,大专,公司重点项目,岗位职责：1、负责企业微信以及相关应用产品需求分析，不断发掘、跟踪客户需求，并制定产品研发方案；；2、负责制定产品开发计划并跟踪进度，确保项目如期完成并交付；3、在负责人领导与协调下，合理调配资源与组织，确保项目团队各关系人协同工作；4、及时发现并跟踪解决项目问题，有效管理项目风险， 负责对接运行过程中相关的售后技术服务工作5、与用户建立良好的客户关系，做好周期性项目报告，并及时向领导反馈项目情况任职要求：1、一年以上产品经理工作经验，具有成功产品开发经验者优先2、能够运用各种工具进行产品设计，了解产品设计的基本方法3、较强的总结归纳能力、沟通能力、学习能力与执行力，责任心强，开放性好。4、有成熟的企业资源、政府资源者尤佳,"移动互联网,其他",500-2000人,产品,青岛
