job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能,https://www.lagou.com/jobs/6842816.html,朝阳区,30k-60k,北京财富涟漪投资管理有限公司,3-5年,本科,把你的知识变为财富,运用计算机进行课程制作，制作的课程作品呈现，素材声音电脑抓取能力，机器人代替播报功能，,,2000人以上,人工智能,北京
大数据和人工智能（高级）架构师（售前）,https://www.lagou.com/jobs/6739984.html,海淀区,25k-50k,腾讯科技（深圳）有限公司,5-10年,本科,创新领域,岗位职责： 1. 负责大数据和AI的产品解决方案设计，支持项目招投标工作； 2. 将大数据AI产品/方案的销售技巧宣讲给销售、售前团队； 3. 参加行业大会，进行大数据及AI产品布道、用户教育、客户沟通等工作； 4. 协助产品管理团队收集市场信息、客户需求和用户反馈； 5. 和研发团队紧密合作，确保客户项目按时按质完成。岗位要求： 1. 对云计算、大数据、人工智能相关技术有深刻的理解，具备大数据、人工智能、机器学习及相关行业应用的相关专业背景或工作经验优先； 2. 5年以上相关工作经验（售前），3年以上大型客户项目实施经验； 3. 具备优秀的沟通能力，能充分理解客户需求并制定解决方案； 4. 熟悉大型分布式数据系统架构的设计经验，精通一种或多种数据仓库、Hadoop、NoSQL等相关技术； 5. 熟悉AI相关技术框架、算法和应用场景； 6. 熟悉人脸识别、图像识别、语音识别、NLP、智能问答等AI技术中的一项或几项； 7. 熟悉国内外流行的大数据和AI产品或服务； 8. 熟悉容器、DevOps、Kubernetes、CD/CI、Cloud Native Apps等概念和技术的优先； 9. 熟悉云计算基础设施相关技术（IaaS）的优先； 10. 有过AI或大数据领域大型客户项目交付实施经验，能做部署开发是额外加分项； 11. 英语流利的优先；本科或以上计算机相关专业；30%差旅。 12.通过腾讯云技术认证或同等资格认证的优先录取。,社交,2000人以上,人工智能,北京
22989-人工智能算法专家（图像／视频方向）,https://www.lagou.com/jobs/5245617.html,海淀区,30k-60k,腾讯科技（深圳）有限公司,3-5年,硕士,"大平台,大空间",岗位职责：   负责智能图像／视频相关核心技术算法与产品化等研究工作，包括但不限于如下方向：人脸检测和识别、静态／动态物体检测、场景识别、OCR文本识别等；        跟踪学术界和业界最新进展，并且能够快速应用到业务中；        进行技术分享、专利申请和学术文章发表，提高腾讯在计算机视觉/多媒体领域的的技术影响力。  岗位要求：  计算机视觉相关领域硕士以上学位，曾在领域内的**会议发表论文  (例如CVPR、ICCV) 或具备资深的业界经验；       熟悉静态／动态物体检测、场景识别、OCR文本识别的相关算法及实现原理，对工程实现和优化有丰富经验；        对算法有深入了解，例如：LR/Adaboost/GMM/SVM/CRF/MaxEnt/HMM/DNN/CNN/RNN 等；        熟悉一个或多个常见的神经网络开源工具库，例如：Caffe/TensorFlow/Torch/Theano/Keras/Mxnet/Currennt  等；        表达能力优秀，乐观向上，自我驱动力强，具备敏锐的洞察力和良好的抗压能力。,社交,2000人以上,人工智能,北京
ACG智慧政务事业部_人工智能课程开发经理,https://www.lagou.com/jobs/7053467.html,海淀区,50k-70k,百度在线网络技术（北京）有限公司,5-10年,本科,发展前景,工作职责：-负责人工智能教育课程内容的设计、开发及质量优化提升-团队协作开发适合中国学生（k12及高职高校）的课程产品，设计教学内容、研发教程、教材、教具及用于师资培训的教学内容，并根据不同年龄段学生的需求不断调整、丰富和完善课程的内容、呈现形式及学习深度-建立分级、分层的系统人工智能课程体系及课程实施标准，配合团队共同建立课程评估体系-熟悉平台开发，能够撰写产品需求文档和解决方案文档，对实验室类产品参数熟悉-参与培训及教研活动，积极总结、分析问题及建议，持续优化课程内容-不断探索新的课程设计，打造品牌课程-结合中国教育政策和人工智能教育行业发展，对行业竞品进行定期研究与分析，不断完善提升课程研发能力任职要求：-计算机或教育学本科及以上学历，对人工智能有一定了解，在编程及科学教育专业领域有一定的学术研究能力-具有四年及以上教育课程产品研发及设计从业经验-优秀的语言表达能力、协调沟通能力和文字功底-工作主动积极，有创新思维及科研热情，反应敏捷，具有较强的团队合作精神，能适应高强度的工作,工具,2000人以上,人工智能,北京
ACG智慧城市事业部_人工智能课程开发经理,https://www.lagou.com/jobs/7161629.html,海淀区,20k-40k,百度在线网络技术（北京）有限公司,3-5年,本科,****,工作职责-负责人工智能教育课程内容的设计、开发及质量优化提升；-团队协作开发适合中国学生（k12及高职高校）的课程产品，设计教学内容、研发教程、教材、教具及用于师资培训的教学内容，并根据不同年龄段学生的需求不断调整、丰富和完善课程的内容、呈现形式及学习深度；-建立分级、分层的系统人工智能课程体系及课程实施标准，配合团队共同建立课程评估体系；-熟悉平台开发，能够撰写产品需求文档和解决方案文档，对实验室类产品参数熟悉；-参与培训及教研活动，积极总结、分析问题及建议，持续优化课程内容；-不断探索新的课程设计，打造品牌课程；-结合中国教育政策和人工智能教育行业发展，对行业竞品进行定期研究与分析，不断完善提升课程研发能力。 任职要求：-计算机或教育学本科以上学历，对人工智能有一定了解，在编程及科学教育专业领域有一定的学术研究能力；-具有四年及以上教育课程产品研发及设计从业经验；-优秀的语言表达能力、协调沟通能力和文字功底； -工作主动积极，有创新思维及科研热情，反应敏捷，具有较强的团队合作精神，能适应高强度的工作。,工具,2000人以上,人工智能,北京
资深编辑（人工智能方向）,https://www.lagou.com/jobs/5770262.html,朝阳区,18k-22k,上海骊翰科技咨询有限公司,3-5年,本科,"晋升空间大,岗位灵活",1、  对人工智能前沿技术有长期深入的了解及关注，有足够的新闻敏感性、产业洞察力，在行业内有一定的人脉资源。2、  能看懂AI领域专业论文，负责重大新闻及突发事件的撰写，确保及时性及深度性。3、  接受过专业采编训练，可独立策划完成深度选题。4、  3年以上科技媒体从业经验或AI相关领域的研究经验,其他,15-50人,人工智能,北京
编辑记者（人工智能方向）,https://www.lagou.com/jobs/5770248.html,朝阳区,14k-18k,上海骊翰科技咨询有限公司,1-3年,本科,"晋升空间大,岗位灵活",1、  热爱前沿科技，对人工智能领域有长期关注，并对AI领域热点事件及发展趋势有较强敏感度2、  英文水平优异，可快速整理编译AI领域相关材料及论文，3、  有一定的写作功底，思维清晰，能快速理清文字内容脉络和逻辑4、  有选题策划能力，或能根据选题快速搜集资料整理成文5、  2年以上经验，计算机或相关背景优先,其他,15-50人,人工智能,北京
人工智能算法工程师,https://www.lagou.com/jobs/6849644.html,朝阳区,15k-25k,北京小唱科技有限公司,不限,硕士,年终奖 福利好 弹性工作时间,岗位职责：1. 负责整理、标注海量原始数据2. 负责搭建、训练模型3. 参与技术调研岗位要求：1. 计算机、模式识别、通信相关专业。2. 具备模式识别理论基础。3. 勤于创造性思考，善于总结提炼。4. 精通模式识别理论知识。5. 理解音频或语音信号处理基本理论知识。6. 具备调参经验。7. 良好的行业底蕴。,"移动互联网,游戏",150-500人,人工智能,北京
人工智能与自然语言处理研究员,https://www.lagou.com/jobs/7051461.html,朝阳区,15k-25k,北京麒麟心通网络技术有限公司,1-3年,硕士,事业发展上升通道,岗位职责：1. 负责大数据分析和建模；2. 负责相关人工智能项目的研究；3. 需要解决大数据面临的现实难题岗位要求：1. 硕士毕业两年以上或者博士毕业；2. 具备强解决问题的能力，有强数据敏感度；3. 有一定的编程能力，掌握python，java， c++等的任意一种；4. 有一定的数据功底及算法功底；5.  有NLP经验者优先,"数据服务,移动互联网",15-50人,人工智能,北京
测试工程师（人工智能）,https://www.lagou.com/jobs/6026307.html,海淀区,9k-18k,北京中科智加科技有限公司,1-3年,本科,全额五险一金、高额年终奖,1、本科以上学历，计算机、软件工程相关专业；2、能够熟练进行测试需求分析，编写测试计划、测试用例、测试方案、测试报告及各类测试技术文档；3、熟悉软件工程知识，掌握测试流程、测试规范及方法，能够独立设计编写测试用例；4、熟悉Linux系统及常用命令；掌握SQL基本语句命令，了解至少一种mysql/oracle/sqlserver等数据库5、具有较强的逻辑分析能力、协调能力和抗压能力；6、熟悉主流性能测试工具，loadrunner、jmeter等，能根据被测系统灵活执行性能测试方法和测试策略7、熟悉接口测试方法，熟练使用postman、fiddler、xshell、禅道等工具，具有一定的bug分析能力8、熟悉Java或者Python语言，具有相关开发或测试经验优先；有独立负责项目测试、接口测试、性能及自动化测试者优先。,"移动互联网,数据服务",50-150人,人工智能,北京
