job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能,https://www.lagou.com/jobs/7140729.html,东丽区,20k-30k,北京众创互联科技有限公司,3-5年,硕士,人工智能,1、负责AI和大数据领域生态建设研究，进行行业生态的全面洞察，技术平台化规划，做好对外的接口，对内联动产品和研发，推动生态建设的落地和执行；2、深度参与AI和大数据相关业务领域的战略规划、业务模式设计、战略解码及落地；3、主导影响AI和大数据领域未来发展的重要战略专题研究,"企业服务,软件开发",50-150人,人工智能,天津
Java高级研发工程师 （人工智能平台）,https://www.lagou.com/jobs/7128151.html,津南区,15k-25k,天津英才酷信息科技有限公司,3-5年,本科,央企工作机会,"岗位职责1.参与构建基于数据湖海量视频、样本数据的高性能分布式机器学习平台，调研实践先进的调度，编排，运维和管理系统2.配合业务团队完成算法在业务场景的落地与调优3.负责业务场景算法开发及其并行化实现，提升产品的工程化水平、性能岗位要求：1.熟练掌握Java开发，了解另外一门语言：Python/Go2.熟练掌握Spring、SpringBoot等主流框架3.熟悉NoSQL、MQ、Redis、TCP/IP原理，有kafka实践应用经验3.对深度学习框架TensorFlow, Caffe, MXNet, Pytorch等其中一种/多种有一定了解或开发经验4.熟悉云原生相关技术：Kubernetes, Docker, Service Mesh, 有大中型成功项目落地经验5.热爱编码工作，热衷追求技术**与创新加分项：1.具备较好的算法和数据结构功底，了解计算机体系结构和异构计算GPU等2.拥有云计算、分布式系统等任一方向研发经验者优先3.有机器学习平台相关工作经验",数据服务、软件开发,500-2000人,人工智能,天津
行业解决方案专家,https://www.lagou.com/jobs/6878556.html,北辰区,15k-20k,天津市拓甫网络科技开发有限公司,5-10年,本科,五险一金、周末双休、年底双薪、年度体检,岗位职责：1、负责智慧政务行业、新型智慧城市、智慧农业、物联网、应急领域、工业领域、大数据、人工智能等任一行业相关的顶层设计、规划咨询工作，包括用户的技术交流、解决方案编写、解决方案宣讲等；2、负责智慧政务等行业用户业务需求梳理、解决方案编写，设计各业务模块，定义各系统应用功能边界及系统间关系；3、承担从业务向技术转换的衔接作用，指导系统架构设计和研发工作；4、负责与客户的沟通，并向客户提供满意的服务；5、负责项目的项目规划，范围管理，进度管理，质量管理，成本管理和风险防控，人员管理等；6、在项目生命周期的各个阶段，跟踪、检查项目组成员的工作质量，确保项目正常上线和线上运营；7、定期进行项目分析， 包括进度分析、回款分析、工作量分析、效率分析、成本利润分析等，并向领导汇报；8、根据公司发展战略，优化管理体系、流程、方法、规范等。任职要求：1、本科及以上学历，计算机相关专业毕业；2、5年以上IT从业经验，不少于2年技术开发、3年业务分析、架构规划经历，熟悉政务行业发展趋势，有政务行业大型应用系统解决方案经验者优先；3、擅长客户需求调研与分析，善于总结和发现客户的真实需求，能够在业务观点、业务框架、业务流程、业务管理、业务执行操作上给出建议；4、具有较强的语言表达能力，工作沟通对接有思路、有办法；5、具有较强的的技术文档和规划方案编写能力，工作条理清楚，能够独立撰写顶层设计和业务规划文档，同时熟悉各类文档编辑、PPT等文案制作工具；6、对政务行业、新型智慧城市、智慧农业、应急领域、工业领域、大数据、人工智能等任一行业有较深的认识，明确未来的发展趋向；7、具有较强的整体解决方案设计、产品选型和系统自主配置能力。,"移动互联网,信息安全",50-150人,人工智能,天津
内容策略管理岗,https://www.lagou.com/jobs/7089079.html,红桥区,10k-15k,北京字节跳动科技有限公司,不限,本科,"六险一金,团队氛围好,晋升空间大,餐补",,文娱丨内容,2000人以上,人工智能,天津
资深模型优化专员,https://www.lagou.com/jobs/6059654.html,红桥区,6k-10k,北京字节跳动科技有限公司,1-3年,本科,六险一金，餐补，租房补贴，休闲下午茶,,文娱丨内容,2000人以上,人工智能,天津
java开发工程师,https://www.lagou.com/jobs/6767468.html,滨海新区,10k-15k,中海油能源发展股份有限公司工程技术分公司,不限,本科,年终奖、伙食好、不打卡,置顶信息：公司位置：天津市滨海新区工程数字技术应用中心【百度地图搜搜就知道了】第三方合同制：一年一签【俗称劳务派遣】公司介绍1、想来点儿与众不同的，首先我们是中海油旗下正规军，滨海新区中海油信息化龙头企业。2、没有打卡非常人性化、工作很轻松压力不大、午餐很丰盛满足你挑剔的味觉。3、业务覆盖中海油北京、上海、深圳全国各大城市，喜欢出差的你可以随时去各地支援哦。4、没有所谓的办公室文化，提倡的是年轻、活力、激情。5、最主流的技术、最前沿的合作伙伴【红帽子、阿里等等】、开源技术的实践者。团队亮点：1、资本寒冬，那么多公司裁员。我们还活着，还在招聘。2、只招成年人，希望真的做成一些事情的“成年人”。职位亮点：1、依托中海油数据【离线数据和实时数据】，用技术创造数据的商业价值2、涉及复杂业务系统的搭建与设计，更多的挑战在等你3、随着部门的高速发展，获得巨大的成功和回报我们希望你：1、“成年人”：愿意接受挑战，渴望成功的成年人；2、“急性子”：快速解决实际问题，没有拖延症；3、“ Geek ”：擅用抽象思维体系化的解决问题；4、“好奇心”: 关注前沿领域，对新技术充满热情；工作内容1. 参与项目需求讨论，理解项目需求、提出需求疑问；2. 配合架构师和开发组长进行模块的详细设计；3. 负责所分配模块的开发、单元测试和详细设计文档编写；4. 配合其他模块研发人员进行各子系统模块之间的联调，保障系统整体的联调集成稳定；5. 项目上安排的其他的开发工作。6. 解决系统遇到的业务、技术方面问题，寻找可行的改进方案并推行；7. 云原生开发，在这个团队你的技术将得到快速的提升，大数据，人工智能等最新的技术你都会有所涉猎任职要求1. 本科及以上学历，具备良好的英语阅读能力；2. 至少1年以上开发经验，熟悉掌握 Java 语言，熟练SSM框架使用，了解SSM，SpringMVC底层原理 。3. 有微服务开发经验，熟悉Spring boot /Spring Cloud 开发。4. 熟练掌握Java开发技术，java基础原理扎实5. 熟练应用eclipse，IDEA等开发工具；6. 熟悉前端开发技术，例如 vue、react 等，或国内主流的开发框架；7. 熟练掌握mysql、mongodb、Oracle数据库技术，有其他非关系型数据库经验者更佳；8. 熟练掌握一种或多种应用服务器，如： Tomcat、jetty、nginx等 ；9. 良好的沟通能力、文档撰写能力、团队合作精神；10.有云原生应用开发经验优先考虑；加分项优先考虑1、使用过docker、k8s、openshift等容器相关Paas平台2、了解Devops文化3、能独立完成交给的任务，保质保量正常生产环境上线4、开源项目的Commiter5、熟悉大数据开发、模型算法。,"移动互联网,数据服务",50-150人,人工智能,天津
深度学习平台产品经理,https://www.lagou.com/jobs/7048671.html,津南区,12k-20k,北京易华录信息技术股份有限公司,3-5年,不限,央企 宿舍 食堂 补贴 体检 年假,岗位职责： 1、了解算法训练及推理的框架技术，提炼共性的AI平台化产品需求；2.  负责AI中台产品（训练及推理平台）的需求调研、规划设计并推动技术团队将产品落地，保证AI平台与其它算法团队与业务团队有机合作；3、整合内部算法团队和外部算法生态需求，建设符合数据湖（ToG，ToB及ToC）场景的AI中台，持续提升和完善产品； 4、负责AI中台平台在客户侧的咨询、解决方案和实施交付，保证项目按期交付，以及客户的满意度； 5、不断跟进人工智能领域的技术发展，及时将相关技术引入机器学习平台，保证产品行业领先的竞争力。 岗位要求： 1、全日制大学及以上学历，计算机科学、电子工程、信息工程或其它相关理工科专业学士以上学位； 2、2年以上机器学习或深度学习平台的相关产品经理工作经验； 3、了解常见的机器学习算法和框架，熟悉机器学习在视频分析、大数据分析等业务场景的应用方式；4、熟悉AI数据处理、建模、训练、推理、模型部署全链路流程技术5.  能够独立完成机器学习产品的需求调研、市场分析、用户调研、产品设计、效果评估等工作； 6.  学习主动性强， 想象力丰富，有创意、有激情，良好的沟通能力和团队合作精神；7.  具有平台型产品研发或测试工作者优先，熟悉kubeflow，TensorFlow平台者优先。,移动互联网,500-2000人,人工智能,天津
医疗咨询管培生,https://www.lagou.com/jobs/6825414.html,河西区,5k-10k,浙江海心智惠科技有限公司,应届毕业生,不限,优秀的管理培训、高薪资,浙江海心智惠科技有限公司作为肿瘤人工智能的独角兽公司目前正在拓展线下渠道，招聘医疗咨询管理培训生。公司团队均来自阿里、知名医药外企，高福利、高薪酬，目前为储备人才考虑，招募管理培训生,"医疗丨健康,人工智能",15-50人,人工智能,天津
运营主管（云平台）,https://www.lagou.com/jobs/6881668.html,滨海新区,15k-30k,华慧长天（北京）信息技术有限公司,3-5年,本科,发展前景,1、领导华慧云团队，负责整体战略规划、产品运营和客户服务；2、负责运营团队的搭建、考核、管理、培养，推动团队工作流程和业务标准的执行，把控工作质量与进度，协调内外部资源，保证运营计划有效执行；3、根据产品功能及特点，制定产品运营方案，推进产品策略落地，负责内容建设、活动策划、渠道建设、产品优化等方面的策略制定和执行；4、负责分析强化用户体验、挖掘用户需求，有效提升用户口碑、访问及活跃，研究用户运营数据和用户反馈，调整运营策略，制定产品优化方案，以保证运营绩效的持续提升，并定期出具运营分析报告及改进意见。 任职要求：1、计算机或通信相关专业本科及以上学历，5年以上互联网运营工作经验，教育行业云从业经历者、程序员出身者优先；2、熟悉云计算行业，具备扎实的云计算技术功底，熟悉人工智能技术、了解人工智能开放平台，熟悉互联网教育的发展现状及趋势，较强的市场敏锐度和战略思维优先，有大数据产品从业经历优先；3、有丰富的产品运营经验，熟悉运营管理结构和流程，对数据敏感，能够通过数据有效分析用户行为驱动问题解决，推动产品优化；4、具有用户增长思维，逻辑和分析能力强，具有较强的创新及策划能力和极高的执行落地能力；5、积极向上，有冲劲，有韧性，有成就一番事业的决心和毅力，擅长团队合作，具有较强的跨部门沟通能力及协调能力；6、有十人及以上团队管理经验者优先。,其他,500-2000人,人工智能,天津
自然语言算法工程师,https://www.lagou.com/jobs/6808727.html,滨海新区,8k-15k,天津萌兔科技有限公司,1-3年,本科,股票期权,技能要求：人工智能，信息抽取岗位职责1、信息抽取、文本摘要、文本分类/聚类、推荐系统、网络舆情；2、词法分析、句法分析、语义分析3、对各种自动分类、自动摘要、自动主题词进行算法评估与调整，进行最优算法的研究与实践4、熟悉机器学习基础理论和常用算法，有深度学习经验者5、动手能力强，可快速实现想法任职要求1、自然语言处理、人工智能、计算机科学技术、应用数学本科以上，硕士优先，工作两年以上。2、精通算法设计/数据结构3、信息检索/过滤、信息抽取、文本摘要、文本分类/聚类、语义搜索、推荐系统等相关方向的研究和开发经验。4、很强的分析问题和解决问题能力，缜密的逻辑思维能力，有攻关疑难的强烈兴趣。5、有强烈的上进心和求知欲，善于学习新事物。6、对NLP领域相关机器学习、算法有较深的研究和实践,"移动互联网,电商",15-50人,人工智能,天津
