job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能&amp;机器人 应用课程开发实习生,https://www.lagou.com/jobs/7082455.html,南山区,3k-4k,深圳市优必选科技股份有限公司,应届毕业生,本科,人工智能，弹性工作制,职位描述：1、负责国内主要高职院校的机器人&人工智能课程体系调研，了解课程大纲及内容；2、基于市场调研、业务需求和用户分析，开展公司自有课程体系的规划与完善；3、与产品线协作，理解现有服务机器人、人工智能产品的原理，运维方法和应用案例，撰写产品及课程文档。岗位要求：1、高职及以上学历，机械、电子、机器人、计算机、人工智能相关专业；2、熟悉本专业及相关专业的培养体系；3、具有良好的团队沟通协作能力，认真细致，有责任心；4、实习期间能保证每周至少3天的有效工作时间。,"移动互联网,硬件",500-2000人,人工智能,广东
WEB前端开发-腾讯云大数据及人工智能产品中心前端,https://www.lagou.com/jobs/6577744.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责:负责腾讯云大数据及人工智能产品中心前端开发工作；负责前端页面的开发和性能优化；负责相关接入层开发，主要用nodejs；负责前端架构建设，公共组件的设计开发；开发迭代腾讯云ES前台工作等岗位要求:本科及以上学历，计算机相关专业； 3年以上Web前端开发经验； 能够熟练运用HTML、CSS、JavaScript构建高性能的web应用程序； 熟悉掌握React，Vue技术栈应用；并理解各框架的差异与实现原理；具有良好的代码风格、接口设计与程序架构； 具备一定的可视化实现能力，熟悉SVG，Canvas的原理与应用； 掌握至少一门服务器端编程语言；熟悉前端工程化，linux开发环境，ci/cd应用等；有nodejs/php开发经验者，全栈开发者更优；通过腾讯云技术认证或同等资格认证的优先录取,社交,2000人以上,人工智能,广东
人工智能工程师,https://www.lagou.com/jobs/7175340.html,越秀区,20k-30k,建信金融科技有限责任公司,3-5年,硕士,银行系金融科技公司、六险一金、餐补,岗位职责：1、参与人工智能相关场景的解决方案和相关模型建设工作；2、参与人工智能相关领域应用场景建设和基础技术研发工作；招聘要求：1、硕士及以上学历，计算机软件、人工智能、大数据、区块链、物联网、数学、通信工程及相关专业教育背景；2、熟练使用Java、Python、Scala、C、C++、go等至少一门语言；2、熟悉传统机器学习或深度学习基础理论知识；4、熟练使用Spark ML/Tensorflow/Caffe/Mxnet/Torch等至少一个框架；5、熟悉人工智能工程技术或者结构化数据、图像、语音、视频、自然语言处理等至少一个领域的算法，具备扎实的AI算法理论知识；6、责任心强，具有较强的学习能力、解决问题能力，良好的沟通能力；,"金融,软件开发",2000人以上,人工智能,广东
人工智能科学家,https://www.lagou.com/jobs/4882586.html,南山区,60k-100k,深圳小库科技有限公司,不限,博士,"海归精英多,期权激励",人工智能科学家 AI Scientist待遇：五险一金，每年20天带薪年假，全年14月薪起，包食宿... 描述：- 负责AI应用技术架构核心设计，构建大数据&机器学习和深度学习训练系统；- 指导产品的AI应用落地，以及AI研究内容的把握；- 人工智能团队人员的甄选、培养和能力提升。要求：- 计算机科学/数据科学/人工智能相关专业，博士学位;- 有产业界人工智能公司研究背景或者知名国内外高校人工智能实验室项目负责人背景; - 精通主流机器学习和深度学习算法，对叶贝斯、随机森林、SVM、神经网络、聚类、PCA等有深入应用研究，对机器学习框架Tensorflow/XGBOOST/LIBSVM/LIBLINEAR等有深入应用者优先；- 精通某种脚本语言，工程实现能力强，对特征工程、统计学习、神经网络、深度学习等有深入研究和实际应用者优先；- 有显著的科研和工作成绩，有较大行业影响力者优先；例如：发表过有影响力的论文，主导或参与过有市场影响力的AI产品或开源项目的研发；- 能够紧密跟踪学术、工业界AI动态，准确把握技术演进趋势，并结合业务应用场景，创新性得引入前沿架构技术、算法，指导开发有竞争力的产品。,移动互联网,50-150人,人工智能,广东
DSQ-人工智能与机器学习资深工程师/专家,https://www.lagou.com/jobs/6705786.html,南山区,30k-50k,顺丰科技有限公司,5-10年,本科,职位发展前景大，福利高,工作职责：1、基于海量数据，应用先进的统计建模、数据挖掘、机器学习、运筹优化等方法构建智能供应链模型体系，并持续优化核心算法和代码实现，提升模型质量；2、带领团队负责公司重点数据项目的整体方案设计及落实；3、开拓前沿的挖掘分析与建模技术并结合公司业务应用场景，解决业务需求和问题；4、对接研发团队和各业务部门，提供数据驱动方面的专业技术解决方案；5、提升团队数据算法水平，保障团队算法能力业界先进性。任职要求：1、硕士及以上学历，计算机科学、数据科学、应用数学、模式识别、人工智能、统计学或相关专业；2、8年以上相关经验，具备卓越的职业素养，热衷技术创新，技术视野开阔；3、对机器学习、数据挖掘、概率统计、运筹优化等算法原理及其应用有深刻的理解；4、有深度学习、强化学习、海量数据处理和并行计算开发经验者优先；基础扎实、编码能力强，熟悉常用的算法和数据结构；5、有显著的科研或工作成果，曾发表权威性论文，主导或参与过大型或者市场影响力较高的数据项目研发；6、具备较强的沟通和资源整合能力；7、海内外知名互联网或者大数据企业任职经历者优先。,"软件开发,数据服务",2000人以上,人工智能,广东
人工智能产品经理（客服系统）,https://www.lagou.com/jobs/7106119.html,天河区,15k-30k,广州市搜游网络科技有限公司,1-3年,本科,下午茶 饭补车补 五险一金 年终奖,岗位职责：1、负责做出人工智能相关产品规划和项目开发计划2、提出产品建议书和项目建议书3、对规划产品的需求分析、设计、开发和测试阶段性过程进行指导和监控，满足市场需要。任职要求：1.了解人工智能，有相关项目经验；2.具有人工智能相关产品市场分析、行业分析能力，能提出产品完善和提高的技术方案，带领某一产品方向实现业务目标;3.能用若干的工具组合完成至少一个系统产品的分析、设计、开发和测试工作，了解主要技术，并尝试使用一些成熟的设计方法；4..熟悉项目管理知识，熟悉项目管理的各种工具，有风险管理的意识和及时处理问题的能力；,移动互联网,15-50人,人工智能,广东
人工智能产品经理,https://www.lagou.com/jobs/6952803.html,福田区,18k-36k,深圳市家家顺物联科技有限公司,3-5年,本科,"年14+ N,年涨20%,成长空间大",【职位描述】1. 负责人工智能方向的算法仿真平台和机器学习平台，进行需求调研，产品设计和落地；2. 与业务部门以及算法模型团队紧密配合，将业务场景与算法需求结合，推动AI技术的产品化落地；3. 研究国内外的AI相关产品和业界动态，进行持续的跟踪和分析，寻求新的创意和突破。【职位要求】1. 本科及以上学历，计算机，人工智能或设计等相关专业；2. 具有3年及以上产品经验，有人工智能产品相关经验；3. 优秀的产品设计能力，掌握1种以上原型设计工具（Mockups、 Axure、墨刀等）；4、具有互联网思维，对未来发展具有前瞻性，对于互联网产品具备深刻认识和独到见解   ；5、富有团队合作精神，善于与人沟通，用户价值导向，能及时响应和处理产品相关问题；【薪酬福利】年14薪+N（人均16薪及以上）； 每年一次加薪机会，年薪平均涨幅20%以上 ；差异化购买公积金政策；员工互助金政策（员工意外伤害保障）【工作地点】福田八卦岭八卦路【交通便利】1.距7、9号地铁口八卦岭站、红岭北站步行5分钟                    2.公交枢纽：泥岗村、八卦路,"移动互联网,消费生活",50-150人,人工智能,广东
人工智能高级产品运营经理,https://www.lagou.com/jobs/5468013.html,南山区,18k-30k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯平台/优质团队/职业发展,【工作职责】1、  负责产品运营策略制定、执行、监管与分析，确保产品运营目标的实现；2、  负责智能AI产品的用户生命周期管理：拉新、促活跃、激活流失用户，在用户不同的生命周期节点，制定设计有效的运营机制；3、  对产品运营进行数据分析并反馈，挖掘和分析用户使用习惯、情感及体验感受，推进产品的改进和运营策略的改进；4、  以促进用户行为和产品指标为目标，负责与活动策略匹配的用户运营方案，并执行落地，对结果负责，并对效果进行分析和改善总结；5、  负责用户精准化分层，建立常规运营模型，建立用户体系，为产品提供全智能化的业务支持；6、持续挖掘合作诉求，并推进跟业务部门的合作，维持跟合作方的关系，提升产品的影响力；7、负责运营推广方案的制定和实施，提升用户转化和留存；8、规范业务运营流程，负责管理、协调产品及内容运营的工作，共同完成运营目标。 【职位要求】 1. 本科以上学历，计算机人工智能方向优先考虑，有过服务型平台产品、社区型产品或游戏运营工作经验优先考虑；2. 对游戏有深刻体验和理解，熟悉游戏生命周期整个运营过程和运营模式，有过成功产品运营经验 ；3. 有较强的分析总结能力，熟练使用各种数据分析方法，可以对数据进行归纳、汇总，并进行专业细致的分析；4. 执行能力强，具备较强市场文案能力者优先，团队合作精神良好，抗压能力强，执行力强、对外沟通协调能力强；5、市场感觉敏锐，具有较强的市场分析能力、商业化判断能力；6、对机器学习、深度学习原理熟悉、 自然语音理解；对语音识别技术产品喜爱，或者有一定智能聊天机器人的产品经验。,社交,2000人以上,人工智能,广东
人工智能咨询师,https://www.lagou.com/jobs/7013050.html,萝岗区,12k-18k,广州诚迈信息科技有限公司,3-5年,本科,五险一金，年底双薪，餐补，年度体检,工作职责：1、具备人工智能基础理论，了解基本的人工智能应用场景，有一定的人工智能技术实践经验；2、负责人工智能相关可行性研究报告、技术方案、规范标准的制定和编写；3、负责人工智能相关的各类工作计划、总结、请示、报告、会议材料及其它综合性材料的撰写。 岗位要求：1、计算机专业/模式识别相关专业毕业，或者具备相关人工智能工作经验；2、具备扎实的文字功底，擅长公文及各类文书的编写；3、熟练使用Office等办公软件，具备良好的PPT制作能力；4、工作态度积极主动，沟通能力、表达能力、学习能力强；5、具备人工智能平台/应用建设工作经验者优先，具备咨询公司工作经验者优先。,软件开发,150-500人,人工智能,广东
人工智能(图像)算法工程师,https://www.lagou.com/jobs/7083543.html,天河区,10k-20k,广东顺德中山大学卡内基梅隆大学国际联合研究院,3-5年,本科,免费住宿（单人单间）,"岗位要求：1、本科及以上学历，1年以上相关经验；硕士/博士研究生优先，计算机、数学、电子信息或自动化相关专业；2、在机器学习、深度学习相关算法领域有较强的理论功底，熟悉CNN、RNN、GAN等框架结构，熟悉半监督、弱监督、自监督等模型原理，并能够应用建模, 有深度学习方面工作/研究经历；3、具备图像处理、计算机视觉等基础知识, 掌握图形处理的开发与研究，熟悉图像处理的各种算法，包括图像去噪、图像增强、复原、质量改善、检测、色彩科学、图像分割、图像识别处理、图像跟踪、图像的获取及视频处理；4、熟练使用python语言和数据分析的相关库，如numpy，pandas，scipy，sk-learn等；熟练使用至少一种常用深度学习库TensorFlow，PyTorch等；熟悉Linux开发环境。5、具有较好的文献阅读能力和创新能力，有较好的数学逻辑能力，学习能力强。较强的技术攻关能力，能够跟进领域内研究成果，并结合应用场景快速实验和调优。  工作职责：1、人工智能，尤其是医学影像领域的，核心算法研发、相关项目/产品研发；2、参与产品用户需求研究，充分、准确地理解用户对产品需求；3、跟踪人工智能技术进展，研究人工智能算法，根据项目/产品实际场景优化算法；4、参与医疗影像数据处理部分的设计与实现，提供高并发高性能高可靠的服务；5、相关技术文档的拟定；6、根据需求进行系统的设计、编码、测试、实施等工作；7、完成上级交办的各项临时任务。待遇：12-30万/年+其他待遇，优秀者另议工作地址：广东佛山顺德区佛山市顺德区大良南国东路9号我们为您提供：免费的住宿（单人单间），离工作地点通勤时间一分钟一流的工作和生活环境，行业**专家的技术指导和支持，完善的培训课程竞争力的薪酬完善的福利，包括养老保险+医疗保险+工伤保险+失业保险+生育保险+公积金中心为员工提供健身房、咖啡、冰箱，方便员工在工作之余能够保持轻松的心态及健康的体魄欢迎各有志之士与创新中心共创辉煌！","人工智能,区块链",15-50人,人工智能,广东
