job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能,https://www.lagou.com/jobs/6786440.html,高新区,12k-16k,中国兵器装备集团自动化研究所,1-3年,硕士,五险一金、免费工作餐、带薪年假等,应用数学/信息与计算科学/概率与统计/数学与控制科学等相关专业，硕士及以上学历工作地点：成都、绵阳,"企业服务,物联网",500-2000人,人工智能,成都
人工智能训练师,https://www.lagou.com/jobs/6093908.html,高新区,3k-5k,成都晓多科技有限公司,应届毕业生,不限,"人工智能,前景广阔",岗位职责：负责客服机器人的训练，包括语义梳理，训练数据提供，测试及分析报告。 挖掘客户语料，通过算法聚类，标注分析等方式提取行业特征场景负责分类标注等算法改进方面的数据提供。注重客户体验和满意度，分析发现和提炼问题特征，并能产出优化方案和建议，帮助产品提升性能效果    任职要求：  1. 专科及以上学历；  2. 能从使用场景的角度理解被标注的内容；  3. 有时间管理意识，做事耐心、严谨，踏实肯干；  4. 对人工智能相关领域充满热情，有过数据标注经验者优先。,"企业服务,数据服务",500-2000人,人工智能,成都
Java人工智能开发工程师,https://www.lagou.com/jobs/6988908.html,高新区,11k-22k,多点生活（中国）网络科技有限公司,3-5年,本科,大牛团队,"工作内容*负责生鲜电商订单生产、门店运营的人工智能研发相关工作；*负责新系统的技术方案选型及整体架构设计及技术方案落地；*负责对现有系统进行持续的优化,能发现问题并能解决问题.包括但不限于难点攻克/性能优化/重构/新技术引入等；*配合产品,透彻理解业务,完成业务到技术的可行性/合理性/普适性分析,起到产品方案到技术实现间的桥梁纽带作用；*进行难点技术分析，将实现思路转化为具体详细设计文档。工作要求1、本科以上学历，具有2～5年Java平台开发经验；2、Java基础扎实，熟悉jvm相关知识，能熟练应用spring等开源框架进行开发；3、熟悉ibatis、spring、struts框架并理解其底层实现；4、具备一定前端开发能力，熟悉jQuery、bootstrap、vue等常用框架5、熟悉webservice、hessian、dubobo等RPC及kafka、activeMQ等异步消息技术；6、熟悉redis、memecache等缓存框架；7、熟悉Maven、git等项目开发工具的使用；8、具备良好的编程习惯、文档写作、需求分析、程序设计的能力，态度端正，并能够承受正常范围内的职业压力；9、有电商系统、线下零售系统开发经验优先，前端开发能力较强者优先；","电商,消费生活",500-2000人,人工智能,成都
bd商务拓展（人工智能方向）,https://www.lagou.com/jobs/6998552.html,武侯区,30k-60k,北京京东世纪贸易有限公司,5-10年,不限,京东AI全球领先的人工智能提供商,职位描述：1.负责人工智能领域的业务拓展合作，挖掘现有客户合作机会及开拓新客户及合作伙伴，推动产品、解决方案及业务合作的落地，达成业务指标。2.多渠道发掘及评估商机，与客户建立合作关系，负责客户整个项目周期的关系维护，调动各种资源推动合作进展。3.基于公司的技术、产品、资源等，结合客户的需求，与产品经理、项目经理配合，主导客户沟通与谈判的进程，进行京东AI技术及方案的输出。4.协调公司内部资源，进行跨部门]沟通协作，推动项目执行，提升客户满意度。任职要求：1.5年以上IT、互联网及相关行业的销售、BD工作经历，有大型项目、战略合作实际操作经验者优先2.有独立开拓精神，有强自驱力及进取心，目标驱动3.有出色的理解、沟通和商务谈判能力，富有同理心4.以客户为中心的思维，有创新意识5.良好的团队合作精神6.本科及以上学历,电商,2000人以上,人工智能,成都
人工智能算法岗,https://www.lagou.com/jobs/6850870.html,高新区,15k-25k,四川新网银行股份有限公司,1-3年,硕士,"互联网银行,扁平化管理,星空餐厅","岗位职责：1.  开展风险控制应用的深度学习前沿研发，主要处理照片/图片/视频/音频/自然语言等非结构化数据，和图结构下的时间序列数据；协助搭建深度学习算法训练、部署的基础设施；2.  运用机器学习方法和统计方法，构筑风险计量模型、指数或者工具，实现信贷管理全流程的自动化科学化防控，应用到如下领域，包括但不限于申请、贷后管理、催收、沉默客户激活等；3.  通过数据分析方法了解、分析与预测用户行为/产品特点/资产质量，建立健全自动化监测分析方法/模型，为精细化风险管理和业务发展发现决策点和提供解决方案；4.  研究全球范围内先进的大数据技术和算法，并结合银行自身的情况，探索把这些技术运用到风险管理、客户关系管理、产品推广等方面；5.  探索并建立能高效和持续提高风控水平的相关基础设施，如风控策略模拟器、推荐系统、模型快速部署校验机制、模型自动更新迭代机制等。 岗位要求：1.  数学、统计、计算机科学或相关专业的硕士或以上学历；2.  熟练掌握深度学习、强化学习、迁移学习等算法开发和部署，人脸图片数据处理经验丰富者优先，工程能力强者优先，有复现论文和改进经验者优先；3.  熟练掌握各种统计模型和机器学习方法，如各类回归模型、分类模型等；4.  熟练掌握Python，有Linux开发经验者优先；5.  至少熟练掌握一门主流的深度学习建模框架，如tensorflow, pytorch等。",金融,150-500人,人工智能,成都
高级售前解决方案（北京/成都）-人工智能,https://www.lagou.com/jobs/6692945.html,武侯区,30k-60k,北京京东世纪贸易有限公司,3-5年,本科,京东AI全球领先的人工智能提供商,职位描述：1、 针对行业市场（政务、电力、金融）等领域进行售前技术服务，结合京东AI产品和服务特性，为客户制定解决方案，并且解决测试过程中的技术问题，达成销售目标；2、理解、反馈用户需求，推动内部产品改进和提升；沉淀行业典型案例和解决方案，并进行推广复制；3、研究典型行业应用主要的技术方案，能够作为行业技术专家和AI技术专家来引导用户做技术变革、确保重大项目的技术可行性和成功实施；4、能够针对行业做前瞻性的技术和业务预研、引进合作伙伴共建服务生态；5、通过实际项目经验总结归纳通用可复制的解决方案；并热衷于推动方案流程化，自动化和产品化。 任职要求：1、全日制本科及以上学历；2、有5年以上的大型互联网应用（或集团型企业应用）服务端开发、维护、优化经验；3、熟悉Java/C/C++/.net/Python/PHP中至少一种开发语言；4、对于技术有钻研精神、及良好的学习习惯，熟悉常用的开源软件如Tomcat、apache、nginx、LVS、ActiveMQ等、并且有成功的商用系统应用经验；5、熟悉Oracle、DB2、MySQL、PostgreSQL、MySQL DB等数据管理技术中的一种或几种，有实际的生产系统应用经验；6、具有娴熟的沟通技巧，成为客户及后端产品团队的沟通桥梁；7、具有优秀的团队合作精神、敬业精神、抗压能力；8、具备良好的文档能力，清晰明了地表达架构意图，能够熟练编写各类技术文档；9、有一定的项目管理经验；能够管理用户需求、跨部门协同复杂项目的实施；10、能够协同内外部资源共建服务生态，有ISV合作建设及管理经验；11、极强的学习能力，过硬的沟通、演讲和技术文章写作能力。,电商,2000人以上,人工智能,成都
人工智能NLP实习生,https://www.lagou.com/jobs/5866238.html,高新区,6k-8k,成都拓尔思信息技术有限公司,应届毕业生,硕士,福利待遇好，团队氛围好，公司同事素质高,岗位职责：1、自然语言处理（NLP）算法研究和工程实现；2、侧重于文本特征信息提取、动态本体库、知识图谱、文本分类、智能分词校对等算法研究；3、研究深度学习在NLP中的应用，对比传统模式效果。任职要求：1、硕士及以上，专业为应用数学、统计、计算机科学或相关专业；2、有较强的数据功底，统计、数学建模背景优先；3、对自然语言处理有浓厚的兴趣，了解自然语言处理相关技术；4、一周确保5天实习时间，可以全职实习的优先；5、有一定编程经历，熟悉Python者优先。,"信息安全,数据服务",150-500人,人工智能,成都
人工智能-图像识别实习生,https://www.lagou.com/jobs/5917576.html,高新区,6k-12k,成都拓尔思信息技术有限公司,应届毕业生,硕士,福利待遇好，团队氛围好，公司同事素质高,职位诱惑：福利待遇好，团队氛围好，公司同事素质高职位描述：岗位要求：1）负责实现并优化物体检测、识别等方向的相关算法，涉及自然场景文字，物品，人脸等相关应用领域；2）调研业界的前沿技术，根据需求完成技术转化；任职资格：1）计算机，数学及相关专业研究生以上学历（研一已结束）具备良好的英文阅读和写作能力；2）熟悉深度学习算法并有计算机视觉相关方面的项目经历；3）掌握python语言，掌握caffe / tensorflow / pytorch等常用深度学习框架；4）掌握opencv、PIL等图像处理库。,"信息安全,数据服务",150-500人,人工智能,成都
人工智能算法工程师,https://www.lagou.com/jobs/7020927.html,高新区,18k-36k,成都人人智选科技有限公司,3-5年,大专,机会只给有实力的人,本岗位是算法岗位，不是招聘普通的员工，需要有真正的算法能力岗位职责1、基于任务快速搭建AI算法2、基于公司资源，融合更多先进的AI算法3、主要是图像识别算法岗位要求1、****2、年龄30至40岁3、具有很强的沟通和理解能力，想做一番事业4、在创业团队从事过管理的优先5、必须要能够熟悉图像识别方面的AI算法，不要求能够独立进行算法开发，但是要能够使用成熟的算法框架进行二次开发和测试6、必须要有创业者心态，不是来拿工资，投简历前好好问问自己能不能接受创业以及创业所带的痛苦和快乐；,"移动互联网,医疗丨健康",50-150人,人工智能,成都
人工智能(AI）训练师—实习生,https://www.lagou.com/jobs/7181457.html,高新区,2k-4k,成都晓多科技有限公司,不限,本科,人工智能,"职位详情
 提升在线对话机器人识别与应答效果: 负责对用户的问题进行分类，及业务知识库的整理加工、维护和优化；
 提升在线对话机器人识别与应答效果: 对机器人应答话术进行编辑及维护，保证答案准确性；
 提升机器人智能营销效果: 通过对机器人服务流程的研究，制定富有营销属性机器人服务流程，提升询单率；
 建立机器人应答与营销效果优化闭环： 通过对客户使用效果反馈、数据监控等方法，对效果中负反馈进行分析，与产品、技术一起共同输出针对性改进方案；
岗位要求：1. 本科以上学历2. 心怀梦想、充满激情，不怕苦、不怕累，具有创业精神3. 具备优秀的沟通能力、良好的学习、独立思考、创新能力4. 数学专业、具有客服、智能训练师工作经历优先","企业服务,数据服务",500-2000人,人工智能,成都
