job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
高级产品经理（人工智能）,https://www.lagou.com/jobs/5855426.html,洪山区,10k-20k,北京高阳捷迅信息技术有限公司,3-5年,本科,央企/餐补/双休,工作职责：1、负责人工智能的所有相关产品的规划和设计工作：呼叫中心平台产品、智能外呼平台产品、智能质检平台产品；2、负责产品业务线的内外部需求分析，原型设计等，协调资源推动产品功能实现，保证项目按时上线；3、负责对国内外相关产业资源进行持续的跟踪和分析，拓宽智能产品形态，建立良好的生态系统。任职要求：1、3年以上CRM、大型业务系统类产品独立设计经验，对B端产品设计有成熟的思路；2、独立负责过B端产品全流程执行，从内外部调研、内外部需求分析、到原型设计、与研发配合上线、优化迭代等；3、对过往产品所在行业信息有过跟踪和分析经验，有成功扩展所负责产品形态的经验；4、具备缜密的逻辑思维，执行力强，积极主动，能承担压力；5、具备较好的跨团队协作能力，对各方的需求有敏锐的辨识能力；6、对人工智能相关技术有敏锐的产品嗅觉，有人工智能产品有相关经验者优先；7、具有呼叫中心、人工坐席、智能外呼等产品设计经验者优先。,电商,150-500人,人工智能,武汉
人工智能产品经理,https://www.lagou.com/jobs/6740304.html,江夏区,12k-20k,湖北省子曰致远教育科技有限公司,1-3年,本科,五险一金、双休、过节福利、年终奖,岗位职责：1.负责计算机视觉相关的技术研究和产品策划工作，包括但不限于图像视频理解，工业AI，内容管理，图像处理产品化工作； 2.跟踪前沿的技术以及产品，结合实际业务场景，推动公司内外协同，制定产品与解决方案。岗位要求：1.计算机，自动化，数学等相关专业硕士以及以上学历，机器学习，人工智能，计算机视觉等专业优先； 2.熟悉计算机视觉基础算法，对落地场景有深刻理解； 3.有激情好奇心，对人工智能有浓厚兴趣。,"移动互联网,教育",150-500人,人工智能,武汉
资深软件工程师-多媒体人工智能,https://www.lagou.com/jobs/7020504.html,东湖新技术开发区,20k-40k,武汉有我科技有限公司,不限,本科,战略部门 技术领先 稳定,职责：1、主导流媒体人工智能技术领域建设，负责架构设计、算法实现、人脸识别关键技术突破与应用，包括参与行业交流、标准制定。2、负责领域技术在产品中的落地，包括智能摄像头/物联网网关/智能机顶盒/智慧屏产品等产品；负责方案设计、核心功能开发及联调等工作。3、负责研究该领域行业发展趋势，并能形成有竞争力的技术解决方案。自研人工智能图像识别、流媒体处理等核心技术。 要求：1、人工智能 多媒体领域的识别和优化核心技术。2、掌握机器学习、深度学习的基础理论和方法，并在自然语言处理或图像视频内容理解、人脸识别等领域的关键技术；    3 本科及以上、计算机、通信、电子、数学类相关专业    4 8年及以上    5 CET-4及以上    6、在行业内公司，担任过人工智能（语音识别或人脸识别）相关项目的核心骨干    7、有摄像头/智慧屏/机顶盒等产品人工智能识别算法或流媒体协议开发经验8、主导完成过一款人脸识别产品或语音识别的产品的开发；并负责其中的核心算法的架构及实现；,"移动互联网,人工智能",50-150人,人工智能,武汉
算法工程师,https://www.lagou.com/jobs/6922771.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,本科,弹性工作,工作职责：1、利用传统机器学习、深度学习等技术，改进斗鱼直播平台的内容推荐，优化数亿用户的使用体验；2、利用自然语言处理、机器学习等技术，优化斗鱼平台的搜索功能，改善用户搜索体验；3、利用机器学习、图计算等技术，优化斗鱼平台的风控体系，识别作弊用户，优化正常用户使用体验；4、分析基础数据，基于算法挖掘用户、主播的标签、偏好、价值等信息，分析用户商业意图，挖掘流量潜在商业价值，提升流量变现。任职资格：1、计算机、数学、自然语言处理、机器学习及相关专业本科及以上学历；2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣；3、具备强悍的编码能力，熟悉Python/java/scala与Linux开发者优先；4、有扎实的数据结构和算法功底，熟悉信息检索/数据挖掘/机器学习/推荐/NLP算法/知识图谱中一项或者多项；5、对文本挖掘、推荐系统、风控系统、计算广告、搜索引擎、知识图谱有相关经验者优先；6、独立分析问题和良好的团队沟通能力，对解决具有挑战性问题充满激情者优先。,文娱丨内容,2000人以上,人工智能,武汉
算法实习生（数据） (MJ000019),https://www.lagou.com/jobs/6952885.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,职位描述:1、利用传统机器学习、深度学习等技术，改进斗鱼直播平台的内容推荐，优化数亿用户的使用体验；2、利用自然语言处理、机器学习等技术，优化斗鱼平台的搜索功能，改善用户搜索体验；3、利用机器学习、图计算等技术，优化斗鱼平台的风控体系，识别作弊用户，优化正常用户使用体验；4、分析基础数据，基于算法挖掘用户、主播的标签、偏好、价值等信息，分析用户商业意图，挖掘流量潜在商业价值，提升流量变现。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、计算机、数学、自然语言处理、机器学习及相关专业本科及以上学历；2、热爱计算机科学和互联网技术，对人工智能类产品有浓厚兴趣；3、具备强悍的编码能力，熟悉Python/java/scala与Linux开发者优先；4、有扎实的数据结构和算法功底，熟悉信息检索/数据挖掘/机器学习/推荐/NLP算法/知识图谱中一项或者多项；5、对文本挖掘、推荐系统、风控系统、计算广告、搜索引擎、知识图谱有相关经验者优先；6、独立分析问题和良好的团队沟通能力，对解决具有挑战性问题充满激情者优先。,文娱丨内容,2000人以上,人工智能,武汉
数据工程师,https://www.lagou.com/jobs/7159622.html,洪山区,10k-18k,未有（北京）科技有限公司,3-5年,本科,表现优秀，可以获得期权激励,一、         岗位职责1)       负责数据管理模块、数据存储、数据接口的开发；2)       负责常用网络爬虫工具模块的设计、开发和维护；3)       熟悉分布式常用技术，能合理架构分布式系统应用；4)       负责人工智能数据系统的设计、开发、搭建和管理；5)       优化数据存储与处理流程，提升数据处理性能和效率。 二、         岗位要求1)       扎实的编程能力，熟悉常用算法和数据结构；2)       熟悉 Linux系统，熟悉传统数据库Oracle/MySQL；3)       熟悉数据平台Hadoop/Spark/Storm/Hive中至少一种；4)       良好的逻辑分析能力和问题解决能力，勇于面对挑战；很强的责任心和自我驱动力，良好的英文资料阅读能力。,人工智能,50-150人,人工智能,武汉
HR主管,https://www.lagou.com/jobs/7195334.html,洪山区,7k-12k,未有（北京）科技有限公司,1-3年,本科,人工智能，前景广阔，汇报运营总监,【职位要求】1、组织制定人力资源整体规划；2、结合业务及战略方向，设计、规划搭建人力资源管控体系（薪酬体系、招聘、绩效、员工关系等）；3、建立高效的人才选拔、招聘优秀管理团队，实施人才发展储备计划；4、组织和推动企业文化建设，实现组织的持续发展；5、协助业务团队进行组织变革、流程变革；6、协助管理公司日常工作，负责员工工作考核、激励等【任职资格】1、本科以上学历；2、2年以上人力资源管理经验；3、有互联网或人工智能行业经验优先；4、有目标管理能力，高效解决问题的能力；5、认可企业价值观,人工智能,50-150人,人工智能,武汉
产品经理,https://www.lagou.com/jobs/4039807.html,洪山区,10k-15k,深圳羚羊极速科技有限公司,3-5年,本科,"五险一金,活动多,福利多,氛围好",岗位职责:1、负责公共安全、人工智能领域物联网网关、工具APP、云平台后台产品的定义；2、参与需求调研，并细化输出为需求规格说明书、产品原型等文档材料，推进产品立项；3、跟进产品生命周期各环节，积极与项目团队协调沟通，确保产品按需实现；4、关注项目及用户对于产品各项功能的反馈，制定迭代计划，不断满足用户需要、增强用户体验；对公司产品进行竞争力分析，输出产品市场材料，为营销体系进行支撑。任职要求：1、计算机及相关专业，全日制本科及以上学历，1年以上工具APP、后台B/S产品工作经验，熟悉产品研发流程；2、熟练使用Sketch、墨刀、OmniGraffle、MindNode等原型设计软件及Office办公软件；3、思维活跃，逻辑清晰，对物联网、云服务、人工智能等新兴领域技术有较强兴趣及理解力；4、具备对产品细节的感知和把控能力，追求**体验。,移动互联网,150-500人,人工智能,武汉
产品专员,https://www.lagou.com/jobs/4283081.html,洪山区,8k-15k,深圳羚羊极速科技有限公司,1-3年,本科,"五险一金,双休年假,期权年终奖,年度体检",岗位职责:1.负责公共安全、人工智能领域物联网网关、工具APP、云平台后台产品的定义：2.参与需求调研，并细化输出为需求规格说明书、产品原型等文档材料，推进产品立项；3.跟进产品生命周期各环节，积极与项目团队协调沟通，确保产品按需实现；4.关注项目及用户对于产品各项功能的反馈，制定迭代计划，不断满足用户需要、增强用户体验；5.对公司产品进行竞争力分析，输出产品市场材料，为营销体系进行支撑。任职要求：1.计算机及相关专业，全日制本科及以上学历，1年以上工具APP、后台B/S产品工作经验，熟悉产品研发流程；2.熟练使用Sketch、墨刀、OmniGraffle、MindNode等原型设计软件及Office办公软件；3.较强的沟通表达能力和团队协作能力；4.思维活跃，逻辑清晰，对物联网、云服务、人工智能等新兴领域技术有较强兴趣及理解力；5.具备对产品细节的感知和把控能力，追求**体验。,移动互联网,150-500人,人工智能,武汉
项目经理,https://www.lagou.com/jobs/7108309.html,洪山区,20k-40k,北京金山云网络技术有限公司,5-10年,不限,三餐，七险一金，大平台,职位描述:（工作内容和工作职责）1、负责金山云政府客户有关智慧城市、交通、公共安全等方面的客户项目（群）的交付管理工作；2、组建包括架构师、BA、产品研发团队、第三方合作伙伴等在内的金山云项目（群）团队，与客户方项目管理团队、项目执行团队一起，按预定目标、范围、质量标准完成项目需求分析、规划设计、开发、测试、部署、上线投产、运营运维等项目各阶段任务；3、按照项目（群）管理流程，对项目或项目群中各子项目的进度计划、质量、范围进行管理，保证客户满意度；4、按照项目（群）管理流程，控制项目或项目群中各子项目执行过程中的风险，协调解决项目外部依赖及内部问题；5、确保完成项目（群）各阶段的客户验收，协助客户经理回款；6、按需要参与项目售前阶段工作，负责项目组织、项目管理、进度计划等方面的方案编制。职位要求:1、本科以上学历，8年以上IT工作经验，有在政府相关行业从事政务云、系统集成、应用系统建设、智慧城市等相关技术工作经验，3年以上政府行业项目管理经验，能够独立带领项目团队推进项目；2、精通项目（群）管理理论，对大型IT建设项目及项目群管理有深入的理解及实践经验；3、在云计算、大数据、人工智能、IIoT中至少有一个领域的深入技术经验，对新的技术与业务领域能快速学习；4、工作认真负责，有出色的沟通技巧和团队协作能力，客户管理能力，有强的执行力和推动力，有强烈的客户服务意识；5、能够适应挑战性的工作。,"移动互联网,数据服务",2000人以上,人工智能,武汉
