job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
WEB前端开发-腾讯云大数据及人工智能产品中心前端,https://www.lagou.com/jobs/6577744.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责:负责腾讯云大数据及人工智能产品中心前端开发工作；负责前端页面的开发和性能优化；负责相关接入层开发，主要用nodejs；负责前端架构建设，公共组件的设计开发；开发迭代腾讯云ES前台工作等岗位要求:本科及以上学历，计算机相关专业； 3年以上Web前端开发经验； 能够熟练运用HTML、CSS、JavaScript构建高性能的web应用程序； 熟悉掌握React，Vue技术栈应用；并理解各框架的差异与实现原理；具有良好的代码风格、接口设计与程序架构； 具备一定的可视化实现能力，熟悉SVG，Canvas的原理与应用； 掌握至少一门服务器端编程语言；熟悉前端工程化，linux开发环境，ci/cd应用等；有nodejs/php开发经验者，全栈开发者更优；通过腾讯云技术认证或同等资格认证的优先录取,社交,2000人以上,人工智能,深圳
DSQ-人工智能与机器学习资深工程师/专家,https://www.lagou.com/jobs/6705786.html,南山区,30k-50k,顺丰科技有限公司,5-10年,本科,职位发展前景大，福利高,工作职责：1、基于海量数据，应用先进的统计建模、数据挖掘、机器学习、运筹优化等方法构建智能供应链模型体系，并持续优化核心算法和代码实现，提升模型质量；2、带领团队负责公司重点数据项目的整体方案设计及落实；3、开拓前沿的挖掘分析与建模技术并结合公司业务应用场景，解决业务需求和问题；4、对接研发团队和各业务部门，提供数据驱动方面的专业技术解决方案；5、提升团队数据算法水平，保障团队算法能力业界先进性。任职要求：1、硕士及以上学历，计算机科学、数据科学、应用数学、模式识别、人工智能、统计学或相关专业；2、8年以上相关经验，具备卓越的职业素养，热衷技术创新，技术视野开阔；3、对机器学习、数据挖掘、概率统计、运筹优化等算法原理及其应用有深刻的理解；4、有深度学习、强化学习、海量数据处理和并行计算开发经验者优先；基础扎实、编码能力强，熟悉常用的算法和数据结构；5、有显著的科研或工作成果，曾发表权威性论文，主导或参与过大型或者市场影响力较高的数据项目研发；6、具备较强的沟通和资源整合能力；7、海内外知名互联网或者大数据企业任职经历者优先。,"软件开发,数据服务",2000人以上,人工智能,深圳
人工智能高级产品运营经理,https://www.lagou.com/jobs/5468013.html,南山区,18k-30k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯平台/优质团队/职业发展,【工作职责】1、  负责产品运营策略制定、执行、监管与分析，确保产品运营目标的实现；2、  负责智能AI产品的用户生命周期管理：拉新、促活跃、激活流失用户，在用户不同的生命周期节点，制定设计有效的运营机制；3、  对产品运营进行数据分析并反馈，挖掘和分析用户使用习惯、情感及体验感受，推进产品的改进和运营策略的改进；4、  以促进用户行为和产品指标为目标，负责与活动策略匹配的用户运营方案，并执行落地，对结果负责，并对效果进行分析和改善总结；5、  负责用户精准化分层，建立常规运营模型，建立用户体系，为产品提供全智能化的业务支持；6、持续挖掘合作诉求，并推进跟业务部门的合作，维持跟合作方的关系，提升产品的影响力；7、负责运营推广方案的制定和实施，提升用户转化和留存；8、规范业务运营流程，负责管理、协调产品及内容运营的工作，共同完成运营目标。 【职位要求】 1. 本科以上学历，计算机人工智能方向优先考虑，有过服务型平台产品、社区型产品或游戏运营工作经验优先考虑；2. 对游戏有深刻体验和理解，熟悉游戏生命周期整个运营过程和运营模式，有过成功产品运营经验 ；3. 有较强的分析总结能力，熟练使用各种数据分析方法，可以对数据进行归纳、汇总，并进行专业细致的分析；4. 执行能力强，具备较强市场文案能力者优先，团队合作精神良好，抗压能力强，执行力强、对外沟通协调能力强；5、市场感觉敏锐，具有较强的市场分析能力、商业化判断能力；6、对机器学习、深度学习原理熟悉、 自然语音理解；对语音识别技术产品喜爱，或者有一定智能聊天机器人的产品经验。,社交,2000人以上,人工智能,深圳
SJK-人工智能与机器学习工程师（业务预测）,https://www.lagou.com/jobs/6795717.html,南山区,35k-50k,顺丰科技有限公司,5-10年,硕士,弹性工作时间 发展空间大,岗位职责1、负责带领算法团队研究适用顺丰物流场景的需求预测，研发和优化静态预测，动态预测和超短期预测；2、负责预测平台算法研发，开发先进的预测组件，提供给预测平台用户。任职要求1、硕士及以上学历，博士优先，海外留学工作背景优先，五年以上大数据分析、机器学习方面工作经验；2、具备扎实的数学基础和机器学习算法功底，熟悉随机过程、马尔可夫链者优先；3、熟悉业界需求预测通常使用的模型原理；3、熟悉机器学习常用算法：决策树、随机森林、协同过滤、SVM、回归算法、Reinforced Learning等；4、熟悉神经网络理论，熟练使用Caffe\TensorFlow\Keras其中至少一种神经网络框架进行建模和训练，熟悉CNN\RNN\LSTM；5、熟悉Python编程，熟练使用Numpy、Pandas、Scikit-learn。,"软件开发,数据服务",2000人以上,人工智能,深圳
人工智能科学家,https://www.lagou.com/jobs/4882586.html,南山区,60k-100k,深圳小库科技有限公司,不限,博士,"海归精英多,期权激励",人工智能科学家 AI Scientist待遇：五险一金，每年20天带薪年假，全年14月薪起，包食宿... 描述：- 负责AI应用技术架构核心设计，构建大数据&机器学习和深度学习训练系统；- 指导产品的AI应用落地，以及AI研究内容的把握；- 人工智能团队人员的甄选、培养和能力提升。要求：- 计算机科学/数据科学/人工智能相关专业，博士学位;- 有产业界人工智能公司研究背景或者知名国内外高校人工智能实验室项目负责人背景; - 精通主流机器学习和深度学习算法，对叶贝斯、随机森林、SVM、神经网络、聚类、PCA等有深入应用研究，对机器学习框架Tensorflow/XGBOOST/LIBSVM/LIBLINEAR等有深入应用者优先；- 精通某种脚本语言，工程实现能力强，对特征工程、统计学习、神经网络、深度学习等有深入研究和实际应用者优先；- 有显著的科研和工作成绩，有较大行业影响力者优先；例如：发表过有影响力的论文，主导或参与过有市场影响力的AI产品或开源项目的研发；- 能够紧密跟踪学术、工业界AI动态，准确把握技术演进趋势，并结合业务应用场景，创新性得引入前沿架构技术、算法，指导开发有竞争力的产品。,移动互联网,50-150人,人工智能,深圳
人工智能产品经理,https://www.lagou.com/jobs/6952803.html,福田区,18k-36k,深圳市家家顺物联科技有限公司,3-5年,本科,"年14+ N,年涨20%,成长空间大",【职位描述】1. 负责人工智能方向的算法仿真平台和机器学习平台，进行需求调研，产品设计和落地；2. 与业务部门以及算法模型团队紧密配合，将业务场景与算法需求结合，推动AI技术的产品化落地；3. 研究国内外的AI相关产品和业界动态，进行持续的跟踪和分析，寻求新的创意和突破。【职位要求】1. 本科及以上学历，计算机，人工智能或设计等相关专业；2. 具有3年及以上产品经验，有人工智能产品相关经验；3. 优秀的产品设计能力，掌握1种以上原型设计工具（Mockups、 Axure、墨刀等）；4、具有互联网思维，对未来发展具有前瞻性，对于互联网产品具备深刻认识和独到见解   ；5、富有团队合作精神，善于与人沟通，用户价值导向，能及时响应和处理产品相关问题；【薪酬福利】年14薪+N（人均16薪及以上）； 每年一次加薪机会，年薪平均涨幅20%以上 ；差异化购买公积金政策；员工互助金政策（员工意外伤害保障）【工作地点】福田八卦岭八卦路【交通便利】1.距7、9号地铁口八卦岭站、红岭北站步行5分钟                    2.公交枢纽：泥岗村、八卦路,"移动互联网,消费生活",50-150人,人工智能,深圳
YAI-技术产品设计高级工程师(人工智能产品经理),https://www.lagou.com/jobs/7198827.html,南山区,25k-35k,深圳前海微众银行股份有限公司,5-10年,本科,五险一金 带薪年假 绩效奖金,岗位职责： 1、负责AI技术在大数据风控领域的应用落地探索，牵头进行产品或解决方案的规划与设计，找出可优化方向，并协调各方确保方案落地；2、关注各个环节的细节，有很强的业务管理能力，为产品优化提供方向和支撑；3、与上下游各个团队保持良好沟通，共同达成产品或解决方案目标。任职要求：1、本科及以上学历；2、5年以上工作经验，银行、消费金融公司、小贷公司或咨询公司从业背景、有风险运营经验、建模经验优先；3、优秀的逻辑思维能力，高度的业务敏感性与数据敏感性；4、具备优秀的沟通和协调能力，能独立完成从方案设计至客户现场路演的能力；5、良好的学习意愿和学习能力，能够快速掌握工作所需技能；6、能够适应高强度、快节奏的工作氛围。,金融,2000人以上,人工智能,深圳
大数据/人工智能技术总监,https://www.lagou.com/jobs/6900505.html,南山区,30k-50k,中国旅游集团有限公司,10年以上,本科,硬核央企、广阔发展空间、企业年金,主要工作职责：1.协助主任管理并承担新技术应用推进工作，大数据与AI方向应用的推进。2.负责根据集团信息化规划，制定信息共享中心总体工作计划并组织实施。3.负责根据信息共享中心工作计划，进行过程管理和控制。4.负责科学统筹并合理管理信息共享中心各项资源。5.负责规范信息共享中心日常管理工作。6.负责不断提升集团信息技术核心研发、支持和服务能力。7.完成上级交办的其他工作。任职要求：1.40周岁（含）以下。2.全日制本科及以上学历，计算机、信息技术、经济管理、企业管理等相关专业背景。3.10年以上相关工作经验，具备深厚的信息技术和管理经验：在财务管理、人事管理、营销管理等企业管理经验者优先。4.具有大数据、人工智能方面知识，对集团战略、管控体系、业务分布及发展有较全面的了解，对集团信息化核心能力有清晰思路。5.具有较强的分析和决策能力、沟通表达能力、组织协调能力，有责任心和事业心，团队合作意识强。6.身体健康，思想政治素质好，遵纪守法，诚实守信，勤勉尽职，具有良好的个人品行和职业操守，无违法违纪行为。,旅游,2000人以上,人工智能,深圳
人工智能&amp;机器人 应用课程开发实习生,https://www.lagou.com/jobs/7082455.html,南山区,3k-4k,深圳市优必选科技股份有限公司,应届毕业生,本科,人工智能，弹性工作制,职位描述：1、负责国内主要高职院校的机器人&人工智能课程体系调研，了解课程大纲及内容；2、基于市场调研、业务需求和用户分析，开展公司自有课程体系的规划与完善；3、与产品线协作，理解现有服务机器人、人工智能产品的原理，运维方法和应用案例，撰写产品及课程文档。岗位要求：1、高职及以上学历，机械、电子、机器人、计算机、人工智能相关专业；2、熟悉本专业及相关专业的培养体系；3、具有良好的团队沟通协作能力，认真细致，有责任心；4、实习期间能保证每周至少3天的有效工作时间。,"移动互联网,硬件",500-2000人,人工智能,深圳
人工智能算法,https://www.lagou.com/jobs/7040256.html,福田区,25k-50k,深圳市花信科技控股有限公司,1-3年,不限,有发挥空间,金融数据处理，人工智能方向，根据用户标签数据以及回馈信息构建智能算法系统,"金融,电商",50-150人,人工智能,深圳
