job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
人工智能讲师,https://www.lagou.com/jobs/7206939.html,永川区,8k-13k,科大讯飞股份有限公司,5-10年,本科,双休，餐补，交通补，五险一金，节日福利,岗位职责：1、负责人工智能授课、教学项目组织实施和技术答疑；2、按公司要求学习新的教学项目案例、课程；3、负责教学助教的培养和管理。任职资格：1、本科及以上学历，5年及以上设计、研发工作经验2、善于沟通及表达，具有一定的组织协调能力，有高度的工作责任心和良好团队意识，及独立工作能力；3、有企业内部培训、课程实施和授课经验者、研发管理或团队管理工作经验者优先； 4、至少精通一种编程语言；5、有大数据、机器学习、图片识别、语音识别中至少一种相关背景或者经验；6、熟悉MaxEnt，CRF，SVM等经典机器学习算法和工具，具有词向量、RNN，CNN和LSTM等深度学习经验。7、熟悉深度学习及神经网络，会使用TensorFlow，PyTorch等主流深度学习框架。,"移动互联网,数据服务",2000人以上,人工智能,重庆
项目管理实习生(人工智能/机器视觉),https://www.lagou.com/jobs/6892182.html,渝北区,2k-3k,中冶赛迪重庆信息技术有限公司,应届毕业生,本科,星级餐厅 导师带徒计划,【岗位职责】1.生态合作的下游供应商筛选、合作谈判、管理及项目组织实施；        2.对公司内外需求进行调研并撰写调研文档，与技术团队合作完成解决方案的制定；        3.项目确认实施后，制定实施计划，并把控实施进度，保证项目准时交付成功； 4.把控生态合作伙伴进展，参与产品研发建议，提供资源，促进质量提升及控制成本 。【任职要求】1、每周至少到岗2~3天，至少实习6个月以上，实习1年以上者优先。（可远程实习）       2、善于交流、引导目标用户交流； 3、有相关实习经历或创业经历者优先； 4、工作积极主动，执行力强； 5、有较好的文字把控力、善于写总结； 6、对各类机器视觉、人工智能等应用有一定了解。7、计算机、自动化、物联网等相关专业者优先。8、特别要求：善于总结，及文档撰写能力突出者直接录用,移动互联网,500-2000人,人工智能,重庆
linux系统实施工程师,https://www.lagou.com/jobs/6532455.html,渝北区,6k-10k,北京中科智加科技有限公司,3-5年,本科,全额公积金，节假日福利、带薪年假、团建,岗位职责：1. 参与公司产品软件的实施和技术支持工作； 2. 对用户需求进行分析、整理，并提供相应完整方案，能够编写相关的项目文档、实施文档、使用手册、测试文档、验收文档等； 3. 负责软件系统现场安装部署、升级维护，收集用户反馈信息，解答用户系统使用过程中的疑问； 4. 负责软件产品项目的现场实施、测试、咨询，培训工作，处理并解决项目中遇到的技术问题。岗位要求：1. 本科以上学历，具备2年以上linux系统使用经验，深入理解主流操作系统（redhat/centos）的安装配置；2. 熟练shell常用脚本编写，熟练使用gerp、sed、awk文本工具；3. 熟练掌握ftp/nfs/smaba的快速搭建；4. 熟系互联网基础组件apache/tomcat/redis/zookpeer/kafka/nginx的安装、调试；5. 熟悉数据库mysql（主从）、sqlserver安装、备份及sql语句编写等操作；6. 熟悉主流的监控软件zabbix/prometheus等主流监控工具中一种；7. 具备良好的思维能力，问题分析、诊断与定位能力；8. 了解容器技术docker及大数据hadoop技术的优先；9. 能承担工作压力，可以接受短期出差。公司福利： 1、深入接触业界最前沿人工智能核心技术； 2、享受全国范围出差游福利； 3、全额五险一金、定期涨薪、未来股权激励； 4、差旅补助、带薪休假、节日福利； 5、2-5个月全额年终奖,"移动互联网,数据服务",50-150人,人工智能,重庆
java开发工程师,https://www.lagou.com/jobs/6532526.html,渝北区,7k-14k,北京中科智加科技有限公司,3-5年,本科,全额公积金，节假日福利、带薪年假、团建,岗位要求：（1）计算机、数学、通信等相关专业，本科及以上学历 （2）扎实的Java编程基础，深入理解面向对象的思想及相关设计模式，熟悉IO、多线程、集合等基础框架，具有一定的代码阅读和调试能力；（3）熟悉Java EE，Redis，MQ，至少掌握一种开源的框架如Spring，SpringMVC，MyBatis等，了解其原理和机制，有SrpingBoot相关经验更佳；（4）熟练使用Mysql，Oracle或SQLServer等关系型数据库，熟悉Nosql数据库，如：Mongodb、Gbase等，掌握数据库优化、查询优化等知识；（5）熟悉linux环境部署及常用命令；熟练使用svn、git等版本管理工具；（6）具有撰写概要设计和详细设计文档的能力，能够准确提供时间评估，按时提交高质量的代码；（7）熟练的英文读写能力，能够阅读和理解代码相关的英文说明文档；（8）具有良好的独立分析和解决问题能力；（9）热爱计算机行业，有主动学习的意向，较强的沟通表达能力，较强的责任心，具备良好的团队精神和一定的抗压能力 ；（10）能接受一定程度的加班和出差。职位亮点：（1）深入接触业界最前沿人工智能核心技术；（2）享受全国范围出差游福利； （3）全额五险一金、定期涨薪、未来股权激励； （4）差旅补助、带薪休假、节日福利； （5）2-5个月全额年终奖,"移动互联网,数据服务",50-150人,人工智能,重庆
售前解决方案工程师,https://www.lagou.com/jobs/7210390.html,合川区,8k-13k,成都佳华物链云科技有限公司,3-5年,本科,五险一金 年终奖,岗位职责:1、负责配合销售团队与政府行业客户沟通，准确了解客户需求并根据客户需求提供针对性解决方案、投标方案等；2、负责同客户进行技术交流，进行产品介绍演示，解答客户技术疑问，挖掘客户需求，参加投标宣讲；3、负责政府智慧城市相关的政策解读、方案交流、项目支持等4、负责对政府行业项目进行技术引导、售前支持、招投标、技术协调和技术培训，确保销售目标实现；协调公司内外部资源，确保项目顺利落地；5、与厂商技术部门保持紧密关系，跟踪不同厂商技术解决方案发展动态。6、配合BD同事，拓展大重庆各区县政府及行业合作伙伴，进行方案及平台的讲解及展示；任职要求：1、3年以上售前或项目管理经验；在大重庆各区县有过2G项目管理经验的优先；2、熟悉5G、区块链、人工智能、云计算、安全、大数据等技术及市场相关产品有较深的理解；拥有3年及以上大中型应用架构设计经验；3、具有大数据局、自然管理局、应急局、生态环境局等政府部门一个或多个行业经验者优先；4、优秀的方案撰写能力，思路清晰，逻辑思维强，能够根据业务需求设计合理的解决方案；具备招投标书的编写能力；5、良好的客户服务意识和沟通能力，良好的团队意识，具有一定抗压能力；6、头脑灵活，对新鲜事物及新技术充满渴望；7、思维敏捷，具有良好的学习及沟通能力、执行力和时间管理能力；8、抗压性较强，愿意接受新领域和新环境的挑战；9、可接受大重庆范围内一定程度的出差。,"移动互联网,数据服务",15-50人,人工智能,重庆
销售经理（重庆）(J10164),https://www.lagou.com/jobs/6709773.html,九龙坡区,15k-25k,创新奇智（北京）科技有限公司,1-3年,本科,高科技公司,,移动互联网,150-500人,人工智能,重庆
产品经理,https://www.lagou.com/jobs/7014160.html,渝北区,10k-20k,马上消费金融股份有限公司,3-5年,本科,带薪年假,岗位职责：1、负责智能化客服系统的产品规划和设计，进行全局性和前瞻性设计和布局；2、参与智能化客服系统的建设和设计，驱动客服业务发展，提供可操作的系统化解决方案；3、在产品研发、发布和迭代的过程中，负责各个团队的饿交流、合作以及项目推动，确保项目高效推进，并交付客服团队使用岗位要求：1、本科及以上学历，计算机、数据、智能化方向优先，有相关工作经验者优先考虑；2、有平台化、系统化产品设计经验，了解人工智能的相关技术；3、熟悉业内人工智能平台、机器学习平台；4、清晰的逻辑分析和表达能力，较强的执行力；5、学历能力强，具有创新性思维和方法,"金融,移动互联网",2000人以上,人工智能,重庆
算法工程师,https://www.lagou.com/jobs/6821979.html,南岸区,13k-15k,重庆盛海科技发展有限公司,1-3年,硕士,六险一金，周末双休，带薪年假，年底双薪,岗位职责 ：1. 利用机器学习方法解决视频图像的分类检测跟踪等问题；2. 探索深度学习、增强学习、迁移学习等技术在图像领域的应用；3. 跟踪人工智能前沿技术，在实际业务中尝试应用。任职条件：1. 计算机、数学、统计或相关领域学位，硕士及以上学历，1-3年相近工作经验；2. 扎实的算法、编程、数理基础，熟练使用C/C++、Python中的至少一种编程语言；3. 熟悉常用的机器学习、深度学习算法，有实践经验者优先；4. 具备大数据处理能力，有分布式环境下非结构化数据处理经验者优先；5. 善于学习，思维活跃，乐于挑战，有良好的沟通表达能力和团队精神；6.有北上广深工作背景优先。,"人工智能,物联网",50-150人,人工智能,重庆
视觉设计师,https://www.lagou.com/jobs/6964291.html,渝北区,7k-13k,中盈立信（北京）科技有限公司,3-5年,本科,带薪年假，五险一金，六日双休,岗位职责：1.参与车载系统产品的前期规划和构思过程，确保产品定义的合理性和竞争力；2.进行设计前期的设计研究、趋势分析和概念探索等，提供具有竞争力的交互设计原型；3.独立完成车载系统（包括中控、仪表、HUD、硬体键、远程手机app等）的交互设计，具体包括：分析产品和市场需求，确定产品设计核心点和体验目标；use case和信息架构梳理；界面线框图设计和流程设计等；4.通过简单的可用性测试（用户访谈等），进行设计分析和设计验证；5.研发过程中，及时处理来自技术等方面的反馈，包括提供技术支持方案，给予技术指导和支持并解决问题；6.测试过程中，同步进行设计还原度验证，保证设计高还原度；7.基于车载系统特点，输出交互设计规范。任职要求：1.具有优秀的设计审美，“以用户为中心”的设计理念，精益求精的设计追求；2.有平台级产品设计经验，如Android、 IOS、智能家居平台、可穿戴设备、人工智能、车联网等，能独立完成产品的交互设计；3.对汽车HMI设计有相关经验，明确车内HMI设计的独特性和限制性；4.熟悉IOS、Android的标准和规范，并能根据公司项目积累，完成交互设计规范的制定；5.能够激励、领导团队，完成设计分析（可以通过workshop，brainstroming等方法）、设计探索和简单的可用性测试；6.沟通能力优秀，可以与产品经理、设计师和开发等进行良好的沟通和衔接；7.具备较强的自我驱动能力，不怕压力，可以在复杂的约束条件下找到平衡，并且推动团队持续提升设计质量；8.富有创造力和激情，对各种互联网产品或新鲜事物有强烈兴趣，乐于分析各种设计细节，乐于分享；9.统招本科及以上学历，工业设计、人机交互、心理学等相关专业（优秀人才，专业和学历可适当放宽）；10.4年以上的互联网行业体验设计经验，并有成功案例，有车联网类产品设计经验更佳；11.提交简历时还需同时提供个人作品集。,软件开发,50-150人,人工智能,重庆
研发工程师（数据挖掘）,https://www.lagou.com/jobs/7113710.html,九龙坡区,10k-15k,重庆中电自能科技有限公司,3-5年,本科,五险一金、年金、补充医疗保险、定期体检,岗位职责：1、 深入了解算法，根据业务场景需求，给出有效的解决方案，并进行算法的开发和优化2、负责人工智能框架及平台的搭建。 3、负责数据挖掘模型效果评估、部署上线、迭代优化工作。 4、制定行业特征标准。 5、行业场景应用。任职资格：1、 3年及以上工作经验。2、 具有扎实的数学功底，精通机器学习、深度学习算法。3、 具有完整的机器学习项目部署、上线、迭代优化等实战经验。 4、 至少精通主流数据库技术Oracle、MySQL、SQLserver中的一种。5、 熟悉Linux、Unix系统，熟悉Shell脚本语言。 6、 具有良好的编程经验，至少掌握Java、Python、C++中的一种。 7、 具有挖掘项目实施管理经验的优先。8、 具有较强的沟通能力，工作协作能力，学习能力，执行力和组织能力。 9、 工作态度积极主动、细致、有全局观，有抗压能力，善于与他人合作，良好的团队合作意识 。,"数据服务,企业服务",50-150人,人工智能,重庆
