job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链开发,https://www.lagou.com/jobs/6771464.html,长宁区,15k-30k,上海碳承数据科技有限公司,3-5年,本科,弹性不打卡，股票期权,"岗位描述：负责公司产品的的系统分析和架构设计，并主导完成详细设计和编码任务，确保项目进度和质量。岗位要求：1. 5年以上开发工作经验，JAVA,C++,Golang至少精通一种，熟悉linux/android应用开发。2.熟悉开源的区块链系统之一，了解其架构和核心数据结构，ethereum，bitboin，Hyperledger，IPFS等。有基于波卡的substrate开发经验优先，有钱包开发经验。2. 熟悉blockstack技术架构，有blockstack应用开发经验优先3.了解W3C DID规范，有DID相关工作经验优先4.热爱技术，工作认真，严谨，对系统质量有高要求的意识，善于沟通和团队协作","医疗丨健康,数据服务",少于15人,区块链,上海
高级区块链开发工程师/经理,https://www.lagou.com/jobs/6770517.html,长宁区,18k-35k,上海碳承数据科技有限公司,3-5年,本科,弹性不打卡， 股票期权，快速晋升通道,"岗位描述：负责公司产品的的系统分析和架构设计，并主导完成详细设计和编码任务，确保项目进度和质量。岗位要求：1. 5年以上开发工作经验，JAVA,C++,Rust，Go至少精通一种，熟悉linux/android应用开发，数据库后台开发等2.熟悉开源的区块链系统，了解其架构和核心数据结构，ethereum，bitboin，波卡substrate，Hyperledger，IPFS等。有基于substrate的实际开发经验，有钱包开发经验。3.熟悉W3C DID 体系规范，能构建DID体系，熟悉blockstack技术架构。4.热爱技术，工作认真，严谨，对系统质量有高要求的意识，善于沟通和团队协作5.英语听说读写流利优先","医疗丨健康,数据服务",少于15人,区块链,上海
产品经理（区块链）,https://www.lagou.com/jobs/7201050.html,浦东新区,20k-40k,苏州精正信息科技有限公司,3-5年,本科,国企,岗位职责：1. 负责基于物流供应链领域的区块链产品的研究和设计；2. 负责选型和设计适用行业场景的区块链产品，并推动区块链应用和解决方案的落地实施；3. 负责设计产品原型、撰写PRD文档；岗位要求：1.3年以上产品策划或项目管理经历，有平台型产品策划经验；2.熟悉Hyperledger Fabric、Ethereum、Bitcoin等主流区块链产品的框架和技术特点；对区块链相关技术有深入的了解；3. 主导过一个以上的联盟链产品；4.学习能力强，责任心强，积极主动，善于沟通，具有团队合作精神；区块链产品经理,"企业服务,金融",少于15人,区块链,上海
区块链应用开发工程师/技术专家-上海专场-蚂蚁集团,https://www.lagou.com/jobs/6811935.html,黄浦区,28k-56k,支付宝（杭州）信息技术有限公司,3-5年,本科,互联网金融 大平台,"蚂蚁金服-区块链应用开发工程师/技术专家岗位描述：1. 负责蚂蚁金融科技区块链各业务产品的系统分析和架构设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；2. 维护和升级现有金融科技区块链软件产品和系统，快速定位并修复现有软件缺陷；3. 能够有效地对新人或普通开发工程师进行辅导，帮助其快速成长。岗位要求：1. 3年以上开发工作经验，JAVA、 C++、Golang 至少精通一种；2. JAVA基础扎实：精通多线程编程，熟悉分布式,缓存,消息队列等机制；熟悉JVM，包括内存模型、类加载机制以及性能优化；3. 具备良好的识别业务关键需求和设计领域模型的能力；4. 热爱技术，工作认真、严谨，对系统质量有高要求的意识，善于沟通与团队协作；5. 有区块链、云产品、中间件、复杂企业软件开发经验经验者优先。蚂蚁金服-平台技术专家/高级专家职位描述：1、负责区块链系统核心数据据结构和算法的设计和开发；2、负责区块链系统核心模块的设计和开发；职位要求：1、5年以上工作经历，良好的计算机编程技术基础；2、熟悉开源的区块链系统之一，了解其架构和核心数据结构，Ethereum、Bitcoin、HyperLedger等；3、熟悉分布式一致性算法或区块链共识协议之一Paxos、Raft 、PBFT、PoW、PoS、Algorand等；4、精通C++，GoLang等编程语言之一，熟悉Linux应用开发；5、熟悉分布式、 多线程及高性能的设计与编码及性能调优；6、逻辑能力强、思维活跃，接受新事物能力强；7、性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神。","金融,移动互联网",2000人以上,区块链,上海
区块链算法工程师,https://www.lagou.com/jobs/7047534.html,浦东新区,15k-30k,上海源庐加佳信息科技有限公司,不限,硕士,前景好，福利好，周末双休，扁平管理,"岗位职责    1、负责面向企业级应用的高性能区块链底层平台的实现；    2、负责将架构师设计的算法实现和落地，主要包括分布式共识算法、隐私保护算法、跨链通信算法等；    3、负责面向应用层的区块链服务框架的开发实现；    岗位要求    1、硕士及以上学历，计算机、自动化、统计学、数学等专业；  2、熟悉Bitcoin，Ethereum，HyperLedger   Fabric等主流区块链的相关机制和原理；    3、熟悉主流的分布式一致性协议，如Paxos，Raft以及PBFT算法等；    4、精通Golang、Java等主流开发语言编程，熟悉docker/kubernetes优先；    5、熟悉加密算法，熟悉证书机制原理；    6、了解主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括但不限于LevelDB,   CouchDB, RocksDB等；    7、深入理解计算机网络原理，有分布式、点对点网络协议实际经验者优先；    8、有大型分布式系统研发经验，具备高性能、高可用、可扩展系统的体系化建设能力；    9、对区块链技术有浓厚兴趣，具有强烈的好奇心和独立思考能力，学习能力强，接受新事物能力强。","区块链,人工智能",50-150人,区块链,上海
区块链平台架构师,https://www.lagou.com/jobs/6938984.html,浦东新区,30k-40k,上海源庐加佳信息科技有限公司,5-10年,硕士,前景好，福利好，周末双休，扁平管理,"岗位职责    1、负责面向企业级应用的高性能区块链底层平台研发；    2、从事区块链底层平台的设计和研发工作，研究区块链的协议，运行机制和底层实现以及核心代码开发；    3、从企业级应用出发，设计基于区块链底层平台的通用服务体系架构；    4、区块链底层平台基础架构、共识算法、隐私保护、跨链等核心算法的研究和实现；    岗位要求    1、硕士及以上学历，计算机、自动化、统计学、数学等专业；    2、掌握Bitcoin，Ethereum，HyperLedger Fabric等主流区块链的相关机制和原理；    3、理解各类主流的共识算法，包括但不限于PoW, PoS, DPoS, PBFT等；    4、精通GoLang、Java、Rust、C++等主流开发语言，具有良好的编程能力和编程习惯；    5、了解主流NoSQL数据库的原理与使用，尤其是KV型数据库，包括但不限于LevelDB, CouchDB, RocksDB等；    6、熟悉密码学主流加密算法和安全协议，有同态加密、零知识证明经验者优先；    7、熟练应用软件工程和系统设计的能力，对计算机系统、网络通信、信息安全和应用系统架构等有全面的认识；    8、有大型分布式系统研发经验，具备高性能、高可用、可扩展系统的体系化建设能力；    9、对区块链技术有浓厚兴趣，具有强烈的好奇心和独立思考能力，学习能力强，接受新事物能力强；","区块链,人工智能",50-150人,区块链,上海
区块链研发工程师,https://www.lagou.com/jobs/7217347.html,宝山区,20k-30k,上海金豆数字科技有限公司,3-5年,硕士,发展前景大,区块链（golang工程师）岗位职责与要求：一、工作职责：1. 参与区块链共识算法、加密技术等底层核心技术的研发。2. 参与区块链即服务（BaaS）平台以及安全多方计算、零知识证明等配套服务的研发。3. 参与供应链、防伪溯源、医疗保险、电子政务等领域的区块链应用开发。二、职位要求：1. 本科以上学历，计算机，软件工程，网络工程，数学，信息技术，通信等相关专业。2. 掌握基本的数据结构和算法，具备良好的学习能力，能在短期内快速学习一门语音。3.精通go语音， 至少两年以上的实际开发经验；有c/c++，nodejs等经验优先。4. 熟悉区块链原理，熟悉开源项目Ethereum，Bitcoin，HyperLedger fabric，Eos等优先。5. 有开源软件开发经验者优先，有大型系统设计经验者优先。6. 有良好的协调沟通能力和应变能力。,区块链,少于15人,区块链,上海
区块链研发工程师,https://www.lagou.com/jobs/7217318.html,宝山区,20k-30k,上海金豆数字科技有限公司,3-5年,本科,发展前景大,区块链（golang工程师）岗位职责与要求：一、工作职责：1. 参与区块链共识算法、加密技术等底层核心技术的研发。2. 参与区块链即服务（BaaS）平台以及安全多方计算、零知识证明等配套服务的研发。3. 参与供应链、防伪溯源、医疗保险、电子政务等领域的区块链应用开发。二、职位要求：1. 本科以上学历，计算机，软件工程，网络工程，数学，信息技术，通信等相关专业。2. 掌握基本的数据结构和算法，具备良好的学习能力，能在短期内快速学习一门语音。3.精通go语音， 至少两年以上的实际开发经验；有c/c++，nodejs等经验优先。4. 熟悉区块链原理，熟悉开源项目Ethereum，Bitcoin，HyperLedger fabric，Eos等优先。5. 有开源软件开发经验者优先，有大型系统设计经验者优先。6. 有良好的协调沟通能力和应变能力。,区块链,少于15人,区块链,上海
区块链开发专家,https://www.lagou.com/jobs/6788228.html,静安区,30k-50k,易居（中国）企业管理集团有限公司,5-10年,本科,区块链创新项目 发展空间大 管理规范专业,"岗位职责：1、负责联盟链管理平台区块链核心部分的研发工作（基于hyperledger fabric）；2、负责联盟链管理平台公共服务的开发与维护 (主要是java语言)；3、依据反馈快速迭代；任职要求：1、本科以上学历，5年以上工作经验，具有一定的团队管理经验；2、至少掌握以下语言中的一种：Java/Node；3、熟悉常见分布式技术与常见技术框架(如Spring、Springboot、Hibernate)；4、较强的学习能力和解决问题的能力,对具备强烈的责任心和团队合作的精神，思路清晰；加分项：1、数据处理相关经验；2、熟练掌握linux操作系统；3、有基于hyperledger fabric的实际开发经验；4、对docker技术有一定了解与研究；5、具有区块链相关开发者认证证书。","移动互联网,房产家居",2000人以上,区块链,上海
区块链技术leader,https://www.lagou.com/jobs/7181115.html,黄浦区,40k-60k,易得碧计算机技术（上海）有限公司,5-10年,本科,金融区块链知名外企，公司福利优厚,"岗位职责：1、 全面负责公司技术层面的所有管理工作；2、 结合公司业务发展需求和系统现状，制定技术发展战略、对系统架构发展进行规划、组织制定和实施重大技术决策和方案；3、 指导、审核所有项目技术方案，并在项目完成后进行质量评估；4、 监督和管理研发的财务预算，控制成本；5、 带领技术团队完善产品、构架、研发、设计方面的工作，完成平台整体搭建，设计、指导关键技术模块，并对系统安全性、稳定性负责，确保公司产品的研发进度；任职要求:1.重点大学本科及以上学历，计算相关专业，五年以上软件开发管理经验，两年以上区块链相关开发经验；2.两年以上区块链相关技术研发经验；精通java,Python, C/C++, Go , Node.js等主流区块链系统开发语言两种；3.熟悉区块链底层技术原理，熟悉P2P网络和分布式存储，熟悉主流的共识机制；4.熟悉Ethereum、OpenChain、Bitcoin、Hyperledger等主流区块链开源项目的实现机制及运行原理；5.熟悉各种数据结构和算法，对密码学、安全协议、加密算法和云计算有研究工作地点不限，可以远程办公，全国均可。","金融,软件开发",150-500人,区块链,上海
