job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链工程师,https://www.lagou.com/jobs/6652324.html,江宁区,15k-30k,续科天下（北京）科技有限公司,不限,硕士,扁平化管理，全球资源共享,"职位描述
 设计与实现高可扩展、高性能的区块链基础架构。
 实现关键基础架构以支持大型区块链应用程序，包括p2p网络，异步共识，虚拟机，区块
 数据库等。
 构建基础测试套件和集成测试框架。
 与学术研究人员进行合作，研发下一代区块链技术。
 为开源项目贡献代码。
职位要求
 计算机相关专业硕士及以上。
 至少熟悉以下语言之一：C++，Rust或者Go
 熟悉网络编程，多线程编程，操作系统和编译器等相关计算机基础知识。
 能够编写质量高，覆盖率高的单元测试。
有以下任一经验者优先
 具有设计和实现区块链基础设施的经验。
 具有共识算法或分布式系统的研究背景。
 从头开始构建过一个编译器。","移动互联网,金融",15-50人,区块链,南京
区块链C++开发(南京),https://www.lagou.com/jobs/6000174.html,雨花台区,22k-38k,杭州顶天网络有限公司,3-5年,本科,海外市场、技术大牛多,"岗位职责：1.能够独立进行区块链底层系统及应用平台的功能定义和架构设计,研究区块链的协议，运行机制、底层实现和应用平台研发等；2.从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现等；3.指导项目团队成员的日常开发工作，解决开发中的技术问题，推进团队伙伴完成项目落地。 任职要求：1. 本科及以上学历，计算机、软件工程等相关专业；2.从事C/C++ 一线开发2年或以上；3.很强的学习，思考和总结能力； 有清晰的思路和方法论去解决未知问题，非常高的代码质量，对技术精益求精甚至有完美主义；4.基础技能1）熟悉C++编程；了解Linux下C++调试技巧，善于解决各类线上问题；2）熟练使用各种数据结构和算法；3）熟练使用多线程、多CPU内核，消息队列、异步通信、进程间通信、应用层安全协议开发等 ；4）了解分布式数据库集群开发， 有Level-DB, Memcached, Redis等集群开发和优化经验优先；5）了解分布式存储系统开发者优先；5.加分项1）了解区块链常用共识算法的运作原理包括POW,POS,DPOS,PBFT, VRF；2）了解密码学相关技术；3）了解P2P网络原理，打洞原理；4）有过区块链相关工作经验；5）有高并发、大数据、微服务、安全通信、系统内核优化等经验；6）有完整系统设计、服务治理等经验。","移动互联网,数据服务",50-150人,区块链,南京
区块链工程师,https://www.lagou.com/jobs/6761023.html,鼓楼区,12k-18k,南京数字星球科技有限公司,1-3年,大专,办公小食、公司前景大,"岗位职责：主要工作：区块链底层系统框架设计与开发。任职要求：1、软件、计算机，数学等相关专业，本科及以上学历，五年及以上服务器端工作经验；2、精通JAVA,C/C++等开发语言， 有GO语言经验的优先。3、熟悉对分布式系统，分布式数据库有了解，数据结构与算法，熟悉常见的NOSQL，Mysql；4、有Linux/Unix下实际开发经验者优先；5、熟悉区块链的原理、机制和相关加密算法；6、熟悉Hyperledger fabric、以太坊等区块链系统的优先；8、熟悉各种数据结构和算法，对密码学，安全协议和加密算法有研究；7、具有一定英语读写能力;8、具有较强的业务学习能力和敏捷的思维能力，能积极面对工作挑战；9、具有良好职业素质，工作认真、踏实，责任心强；10、擅于沟通交流，具有良好的团队合作精神和协作能力。","数据服务,人工智能",15-50人,区块链,南京
区块链开发工程师,https://www.lagou.com/jobs/6908028.html,雨花台区,15k-25k,南京擎盾信息科技有限公司,3-5年,本科,股权激励，周末双休,1. 掌握区块链理论技术，包括点对点网络、数据传输、数据完整性和一致性验证、共识算法、分布式数据结构和算法、加密算法的应用、跨链技术等。2. 熟悉fabric、比特币、以太坊等经典区块链技术架构和代码实现，区分经典开源项目的设计优点和缺点。掌握faric技术栈，联盟链的开发模式和相关概念。3. 精通key-value数据库，如Redis、CouchDB、MongoDB等待4. 掌握Linux使用，掌握分布式网络通信，节点部署等配置调试5. 熟练使用docker，dockerfile编写、部署、调试6. 熟练使用go/typescript语言、掌握nodejs服务端开发，熟悉TCP、Websocket等通信协议,移动互联网,150-500人,区块链,南京
市场专员,https://www.lagou.com/jobs/7218446.html,雨花台区,3k-4k,南京安链数据科技有限公司,应届毕业生,本科,快速成长，团队优秀,岗位职责：1.  负责各类市场情报的收集、整理和分析，包括但不限于行业宏观状况、竞争对手动态、展会/会议/竞赛信息、潜在客户信息等；2.  负责撰写与公司发展、业务合作、行业资讯相关的网络宣传文案；3.  深入参与各类展会、会议、竞赛活动的策划与实施；4.  参与对外媒体关系的开发及维护；5.  参与公司市场发展战略和发展规划的制订。 岗位需求：1.  对区块链、大数据领域有一定了解，愿意持续学习相关技术及行业应用知识；2.  了解并认同市场工作的价值，具有优秀的团队协作精神；3.  具备优秀的逻辑思维能力和书面语言表达能力，有公众号或同类型自媒体写作经验的优先；4.  具备一定的市场分析调查能力，有相关经验的优先；5.  熟练使用PPT、Excel、Word等办公软件；6.  每周能够到岗4~5天，能够持续实习6个月以上。,"移动互联网,数据服务",50-150人,区块链,南京
ruby,https://www.lagou.com/jobs/6978436.html,雨花台区,15k-30k,北京南海中天科技有限公司,3-5年,本科,试用期享转正薪资,Ruby开发人员(人数：1)工作职责：负责交易平台（商城系统、用户中心、订单系统、支付中心、营销平台等）各业务系统的研发和维护定期技术分享及为团队成员进行 Code Review负责公司其它区块链应用产品业务线开发 任职要求：2年以上 Ruby on Rails 开发经验精通数据库的开发、配置、维护，了解性能优化熟悉Redis、Rabbitmq等高并发业务开发经验熟悉 HTML、CSS、JavaScript，能独立开发上线完整应用有编写自动化测试习惯，熟悉 CI/CD 流程，编码习惯良好了解 Web 应用常见漏洞，了解静态漏洞扫描工具，安全意识高曾经作为主要开发者参与商业项目，能快速理解业务需求并转化为输出 加分项：了解前端工具链 Node.js、npm/Yarn、Webpack 者优先熟悉容器化相关技术，掌握 Docker 、K8S 的使用者优先有主导开源项目经验，例如提交 PR、Issue，翻译文档者优先具备大型电子商务网站核心系统开发、设计工作经验者优先具备区块链应用或Dapp应用开发经验者优先,"电商,软件开发",50-150人,区块链,南京
golang,https://www.lagou.com/jobs/7058292.html,雨花台区,15k-30k,北京南海中天科技有限公司,3-5年,本科,试用期享转正薪资,"工作职责：负责平台服务器端研发工作根据产品需求，进行系统设计和编码持续对系统架构进行调优公司业务发展所需技术的预研岗位要求：1.3年及以上工作经验，本科及以上学历，计算机相关专业2.熟练掌握Web开发相关技术，如HTTP/HTTPS协议、Web安全等3.熟练掌握Go语言开发，具备Java、Ruby等其他一种或多种语言开发经验4.熟练掌握Go语言常用框架(如Echo, Beego, Gin等)，深入了解框架提供的特性及实现原理，能够自主完成后端架构设计并实现5.熟练掌握goroutine、channel和lock等技术，具有高并发、高负载、高可用性的系统设计开发能力6.熟练运用成熟的分布式架构、消息队列等技术方案，有Sidekiq、RabbitMQ使用经验者优先，熟练掌握常规的数据结构、算法和多线程技术7.熟练掌握MySQL、Redis等常用存储服务，熟悉数据库原理和常用性能优化技术，同时熟悉其他数据库（如Oracle、MongoDB等）者优先8.有良好的编程习惯，较强的源码阅读、分析能力，熟悉Linux常用操作9.具备良好的沟通以及协调能力，能胜任跨团队跨部门协作等工作加分项： 有区块链相关工作经验者优先 有Docker和Kubernetes工具使用者优先","电商,软件开发",50-150人,区块链,南京
销售经理,https://www.lagou.com/jobs/7061918.html,雨花台区,6k-10k,南京安链数据科技有限公司,1-3年,大专,五险一金 员工福利,1.与企业，政府相关部门对接，进行软件项目推广销售；2.根据企业及政府反馈需求，为公司提出业务发展及产品建议；要求：1.3年以上to B或者政府软件销售经验，致力于与公司一起挖掘并创造有价值的产品；2.熟悉或者接触过相关行业，例如大数据、人工智能、区块链等相关技术，有公安、保险、券商、征信、银行等行业资源优先；3.心态成熟，学习能力强，对工作有热情，愿意跟随公司一起发展；4.良好的团队合作意识，服务意识与营销意识；5.欢迎优秀应届毕业生投递。,"移动互联网,数据服务",50-150人,区块链,南京
前端开发工程师,https://www.lagou.com/jobs/7214856.html,栖霞区,15k-25k,盐城市智慧银科科技有限公司南京分公司,3-5年,本科,五险一金,公司介绍：       公司实际为南京大学金融科技研究中心下属的区块链+人工智能与金融科技创新的科技成果转化公司，并非纯粹的小私企。也不是外派工作（只是碰巧外地有人才补贴因此就注册到了外地）。其实就是研究中心。实际经营在南京，工作地点在南京栖霞仙林南京大学校园。工资在南京发。社保公积金都在南京交。工作氛围是高校学院派氛围。工作稳定度高。        南京大学普惠•三农金融科技创新研究中心为南大校级创新创业研究平台，下辖区块链实验室、AI实验室、大数据实验室等，致力于推动区块链、AI、大数据等前沿科技在金融创新和服务实体经济中的应用。研究中心核心团队毕业于世界**名校，有华尔街**名企量化金融实战经验。研究从事区块链AI大数据及金融科技、金融工程、金融信息等方向国际前沿课题的理论探索和实践应用，特色为金融+信息深度融合、国际化视野、行业前沿视角。研究中心与斯坦福大学等国内外知名金融、互联网、区块链、AI、大数据机构合作，参与或承担了国家重点、国家重大、江苏省重大、腾讯犀牛鸟等多项前沿性课题，正在形成论文、专利、专著等成果以及可观的科技成果转化，是产学研结合的高水平研究机构。研究中心与微众银行共建区块链+AI与金融创新方面教育部协同育人课程，培养未来金融科技精英，荣获多项国内外大奖，输送优秀学子前往世界名校深造。项目内容：区块链、大数据、人工智能驱动的金融科技创新。具体区块链、人工智能、大数据、金融科技等方面内容不懂不要紧，我们可以培训。依托南京大学的资源和优势，我们提供业界一流、无与伦比的人才培养平台，打造学习型组织。作为实例，我们曾请来交流的大咖是国际级知名软件大拿，比如以太坊创始人之一，以及海外知名院士等。职位详情：1. 负责金融大数据相关系统前端开发2. 负责web/app H5页面开发岗位要求：1.熟练使用nodejs，vue或者react，了解框架工作机制和原理. 熟练使用javascript，对js执行引擎基础原理有所了解. 熟练使用开源的UI组件，如elementUI，D2，等等或者其他的一种.对h5开发有一定的项目经验.2.有相关的金融系统开发经验优先. 对微信小程序，web app 页面开发经验者优先.3.有良好的自驱力，追求代码的整洁高效；有良好的沟通能力，善于学习新的前端组建和技术.4.自我追求页面的美观，交互的友好化；不断推进前端的简洁，舒适，美观化.5.了解各浏览器兼容性差异化问题.,"人工智能,区块链",15-50人,区块链,南京
java架构师,https://www.lagou.com/jobs/7209430.html,栖霞区,20k-30k,盐城市智慧银科科技有限公司南京分公司,5-10年,本科,五险一金、分红股份期权激励,"公司介绍：       公司实际为南京大学金融科技研究中心下属的区块链+人工智能与金融科技创新的科技成果转化公司，并非纯粹的小私企。也不是外派工作（只是碰巧外地有人才补贴因此就注册到了外地）。其实就是研究中心。实际经营在南京，工作地点在南京栖霞仙林南京大学校园。工资在南京发。社保公积金都在南京交。工作氛围是高校学院派氛围。工作稳定度高。        南京大学普惠•三农金融科技创新研究中心为南大校级创新创业研究平台，下辖区块链实验室、AI实验室、大数据实验室等，致力于推动区块链、AI、大数据等前沿科技在金融创新和服务实体经济中的应用。研究中心由双院士领军，核心团队毕业于世界**名校，有华尔街名企量化金融实战经验。研究从事区块链AI大数据及金融科技、金融工程、金融信息等方向国际前沿课题的理论探索和实践应用，特色为金融+信息深度融合、国际化视野、行业前沿视角。研究中心与斯坦福大学等国内外知名金融、互联网、区块链、AI、大数据机构合作，参与或承担了国家重点、国家重大、江苏省重大、腾讯犀牛鸟等多项前沿性课题，正在形成论文、专利、专著等成果以及可观的科技成果转化，是产学研结合的高水平研究机构。研究中心与微众银行共建区块链+AI与金融创新方面教育部协同育人课程，培养未来金融科技精英，荣获多项国内外大奖，输送优秀学子前往世界名校深造。职位描述：1.根据要求和开发计划，进行模块和子系统设计；2.按照设计要求编写程序代码,保证开发质量以及确保及时交付；3.参与项目需求分析，系统框架搭建；4.参与项目的架构设计，模块设计；5.独立解决项目中的关键问题和技术难题。6.有处理服务器端的并发能力项目内容：区块链、大数据、人工智能驱动的金融科技创新。具体区块链、人工智能、大数据、金融科技等方面内容不懂不要紧，我们可以培训。依托南京大学的资源和优势，我们提供业界一流、无与伦比的人才培养平台，打造学习型组织。作为实例，我们曾请来交流的大咖是国际级知名软件大拿，比如以太坊创始人之一，以及海外知名院士等。职位要求：1、熟悉JAVAWEB开发，熟练使用SpringMVC、MyBatis、SpringCloud、WEBAPI等开发技术，有实际WEB项目开发经验；2、精通至少一种数据库，如oracle、mssql、mysql等；3、熟练使用Redis、MQ、Nginx、kafka等技术，深入开发和使用过大电商、大游戏、大视频、大通信等高并发框架；4、具有SOA或微服务架构开发中大型网站应用或企业应用系统实际开发经验；5、较强的编程能力及设计文档编撰能力，能够完成较复杂的交互流程设计和实现。","人工智能,区块链",15-50人,区块链,南京
