job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链软件开发工程师,https://www.lagou.com/jobs/7134553.html,高新区,15k-30k,成都无右区块链科技有限公司,3-5年,本科,广阔发展前景,岗位描述1、从事区块链方向的设计和研发工作，研究区块链的协议，运行机制和底层实现等。2、配合项目团队完成区块链核心平台、产品线的架构与规划。3、参与区块链平台核心技术开发，包括共识算法、智能合约、权限管理等。4、参与设计和实现区块链应用开发。5、对项目制定和实施技术决策和技术方案，架构设计与升级优化。6、配合项目团队成员的日常开发工作，并能在开发中解决技术问题。任职资格1、本科（及以上）学历，3-5年工作经验计算机网络相关专业优先。2、精通linux，有区块链项目的研发及部署经验。3、熟练掌握 Go、C＋＋、Java 其中两种编程语言，具有良好的编程能力和编程习惯。4、熟悉ETC/BTC/超级账本/区块链的原理、机制和相关加密算法。5、掌握企业区块链架构Hyperledger Fabric开发技术，有1-2年区块链开发经验。6、拥有良好执行能力和团队意识，责任心强，态度积极，善于沟通。7、遇到问题时，具备良好的分析和独立解决问题的能力。,移动互联网,50-150人,区块链,成都
区块链研发工程师,https://www.lagou.com/jobs/7193702.html,武侯区,15k-30k,成都佳华物链云科技有限公司,3-5年,本科,新基建,岗位职责1、承担区块链系统核心功能代码设计与开发；2、针对区块链技术在行业领域的应用，基于区块链技术的产品和解决方案的设计和开发工作；3、搭建开发区块链平台和基础框架；4、参与区块链技术在行业应用中的衔接与落地；5、从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现。任职要求1、熟练掌握 Go，C++等主流区块链系统开发语言至少一种，C++优先，参与过区块链开发社区并贡献源码者优先；2、深入了解部分主流数据库的原理与使用，如MySQL/Postgres/LevelDB/RocksDB等；3、熟悉Linux的常用命令，熟悉常见的性能查看工具及gdb等调试调优工具使用；4、参与过网络框架、搜索引擎、分布式数据库、云计算平台等底层平台或组件开发。加分项:1、熟悉Bitcoin、Ethereum、EOS等开源区块链系统细节设计；2、熟悉BFT、Paxos、Raft等一致性协议之一的细节；3、熟悉PoW，PoS，DPoS等区块链共识算法/协议细节；4、熟悉现代密码学或者网络安全相关技术。,"移动互联网,数据服务",15-50人,区块链,成都
区块链开发工程师(J10523),https://www.lagou.com/jobs/6972024.html,高新区,12k-20k,成都知道创宇信息技术有限公司,5-10年,不限,弹性工作，领导同事好沟通,,信息安全,500-2000人,区块链,成都
区块链研发工程师,https://www.lagou.com/jobs/7147056.html,高新区,15k-20k,成都国星宇航科技有限公司,1-3年,硕士,项目奖金，年终奖，13薪,岗位职责：1、负责搭建区块链底层架构；2、参与区块链相关应用的设计与开发工作；3、负责区块链应用中具体模块的研发、部署和测试工作。应聘条件：1、计算机相关专业，博士研究生及以上学历，2年以上研发经验，编程基本功扎实、熟悉软件工程和测试方法；2、精通C/C++、python、java中的一种及以上开发语言；3、深刻理解计算机网络系统，有分布式、点对点网络协议或应用开发经验；4、熟悉多线程、网络编程、异步IO等技术；5、熟悉linux常用命令，熟悉Docker虚拟化技术；6、熟悉各种数据结构和算法、对密码学、安全协议和加密算法有研究；7、加分项：（1）有区块链研发经验；（2）有Hyperledger fabric、bitcoin、Ethereum、Cosmos等区块链相关项目经历；（3）有p2p网络、分布式高并发开发经验；（4）熟悉共识算法或一致性算法，如PoW、PBFT、PoS、DPOS、RPCA、Raft等。,其他,150-500人,区块链,成都
区块链安全工程师,https://www.lagou.com/jobs/5698382.html,武侯区,12k-24k,成都链安科技有限公司,不限,不限,项目奖、年终奖、评优奖、员工期权等,"一、工作内容
 负责分析区块链最新漏洞以及最新安全事件；
 对区块链公链以及应用层进行安全研究、漏洞挖掘；
 支撑相关安全产品研发工作。
二、任职要求
 熟悉漏洞挖掘，具有漏洞挖掘经验，了解常见的传统安全漏洞原理；
 拥有安全漏洞分析经验或代码安全审计经验；
 至少熟练掌握一门脚本语言，熟悉c++/go语言优先；
 对区块链、智能合约安全有所研究优先。
三、公司福利弹性工作制，周末双休、五险一金、入职就购买社保、丰厚的年终奖、员工期权、一年多次调薪、定期员工体检、报销图书购买费用、员工下午茶、零食不限量、员工旅游、专业培训、员工宿舍","移动互联网,信息安全",50-150人,区块链,成都
区块链开发实习生,https://www.lagou.com/jobs/6872663.html,武侯区,6k-8k,成都埃克森尔科技有限公司,应届毕业生,不限,"出国机会,市场前景好,国际项目,区块链",团队学习，共同开发，迎接全新的挑战，一起走向未来的路；用我们的技术、信心、坚持、理想，重“树”未来的生活 任职要求学习能力强，喜欢从事有挑战性的工作；工作认真负责，坚持把小事做好，如一行代码，一个函数；有信心能完成每一项开发工作；后端：C++、Rust、Go、Java语言开发经验；前端：跨平台移动端开发经验，如nodejs、angularjs、Electron等开发经验；有没有区块链开发经验皆可，会的可加分，不会的不减分。根据研发能力可商谈你的待遇。 你需要学习：开源协议层开发前后端全栈开发服务层接口开发数据索引、区块链接口开发区块链开发管理控制台开发编写相关开发文档,电商,50-150人,区块链,成都
区块链工程师,https://www.lagou.com/jobs/6905523.html,双流县,10k-20k,四川记忆码科技有限公司,不限,不限,包吃 包住 五险一金 年底双薪 节假福利,"技能要求：C/C++，GO，Golang，区块链技术要求：C/C++ N0SQL 区块链 联盟链 加解密算法 BLOCKCHAIN工作职责：1、负责区块链产品的设计和研发工作，研究区块链技术的协议，运行机制和底层实现等，设计安全协议和架构；2、搭建基于区块链的底层架构，能实现公有链多种逻辑；3、组织制定和实施技术决策和技术方案，组织架构设计与升级优化；4、搭建基于数字货币钱包应用，支持BTC，USDT，以太坊，EOS等主流币种；任职资格：1、专科及本科以上学历，计算机相关专业，相关工作3年以上开发管理工作经验，年龄45岁以下；2、熟悉加解密算法和身份认证方法，包括但不限于对称非对称加解密、多重加解密、数字签名、CA认证机制等；熟悉TCP/IP、HTTP/HTTPS等网络协议及SSL/TLS等安全加密协议；3、熟悉主流共识机制实现原理，如PoW、PBFT、PoS、DPos、RPCA、Raft等；4、熟悉跨平台开发管理工作，精通C/C++,GO,JAVA,Nodejs至少一种;5、熟悉Linux的常用命令，熟悉Docker等虚拟化技术；6、熟悉btc底层代码，能熟练编写以太坊智能合约，有代币系统的实际开发经验优先；7、熟悉Ethereum、Bitcoin、等主流区块链开源项目的实现机制及运行原理者优先；工作时间/地点：工作时间：每周一至周六 9:00-17:30 工作地点：成都","软件开发,区块链",15-50人,区块链,成都
区块链开发工程师,https://www.lagou.com/jobs/6882101.html,武侯区,10k-20k,中通服创立信息科技有限责任公司,3-5年,本科,国企、大平台、五险一金,"1、负责区块链项目底层设计、开发和交付。2、按照功能组件的详细设计以及相关技术文档进行开发。3、参与新知识的学习和培训。4、区块链项目的性能优化、发布、部署等。任职条件1.本科以上学历，计算机专业；2.熟悉区块链(Blockchain)，以太坊（Ethereum)，超级账本（Hyperledger）、OpenChain、Bitcoin等相关开源项目，有研究和贡献经验的优先；3.熟悉数字加密算法，安全协议，分布式计算,了解PBFT 、PoW、PoS、DPoS、Paxos、Raft等共识算法；4.精通Java核心编程、多线程、网络编程、常用框架如spring等；5.熟练使用kafka、redis或memcache、mongodb、zk、es、dubbo等技术组件，熟知至少一种组件的底层实现原理；6.了解区块链技术原理，熟悉大区块链平台的智能合约的编写；7.有致力于去中心化技术（如区块链等）在物联网领域可行性的探索经验的优先。","移动互联网,硬件",500-2000人,区块链,成都
区块链市场商务经理,https://www.lagou.com/jobs/7177035.html,高新区,10k-20k,上海永胥电子商务有限公司,1-3年,大专,高底薪高提成,1、负责对接公司客户、商务谈判、维护商务合作关系，协助部门总监与合作方达成合作。2、负责寻找、挖掘、开拓有利于公司的合作资源。3、撰写商务需求文档与各种资料，参与制定公司营销策略。4、市场信息搜集，分析竞品情况，并能提出有效商务策略，制订业务的阶段发展计划，参与制定业务策略与方向规划。5、负责外部峰会/论坛/沙龙/路演计划的沟通、公关及对接工作。任职要求1、具有区块链行业同岗位2年以上经验，有一定市场经验及资源整合能力，优秀的商务谈判能力，能快速展开展工作，具有2年及以上商务拓展从业经验者优先；2、思维清晰，具有较强的策划能力，备较强的市场分析、营销、推广能力。3、具有敏感的商业和市场意识，擅长分析行业运作逻辑，具备谈判能力，责任感及执行力强； 4、敢于接受挑战，乐于创新，富有工作激情，有上进心，自驱力者优先；5、 具备良好的客户服务意识、优秀的语言表达能力、良好的人际沟通能力。,"电商,金融",50-150人,区块链,成都
区块链产品经理,https://www.lagou.com/jobs/6916662.html,高新区,20k-35k,思特沃克软件技术（成都）有限公司,5-10年,本科,国际化视野，行业与产品多样性，技术卓越,"岗位职责：
 综合运用行业知识、技术知识、咨询、交付等服务手段，梳理业务场景，解决客户痛点，打造以区块链为核心的咨询交付服务解决方案；
 负责区块链产品的规划与设计，以及产品全生命周期的管理，明确产品线的发展规划和阶段性目标；
 确定产品功能、流程、用户体验以及后台解决方案，绘制产品原型图，编写相关需求文档，与团队其他相关人员沟通产品需求并推进开发，深入客户一线，确保方案的落地实施；
 从战略层面和商业模式出发，识别产品风险和挑战，跟踪并分析产品数据，收集反馈，对产品和解决方案进行持续完善及改进；
 了解并研究区块链行业发展趋势，保持行业敏感度，形成自己的洞见，提高团队影响力，从而引导需求和产品方向，同时通过对行业和客户的研究、观察，对销售过程的追踪，持续挖掘新商机并孵化解决方案。
任职要求：
 4年及以上产品规划和实施经验，其中区块链产品经验1年以上者优先；
 熟悉产品从市场调研、需求和立项分析、业务流程及功能设计、项目跟进、验收上线、效果评估全流程；
 具备优秀的的逻辑能力和抽象能力，可以从复杂的业务场景挖掘痛点、梳理产品需求；
 对区块链技术及其价值有自我见解，有To B产品经验，同时，具备金融、汽车、供应链、能源等其中任一行业经验者优先；
 自驱力强，良好的沟通协调能力及主人翁意识，英文商务沟通水平优先。",企业服务,2000人以上,区块链,成都
