job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链测试工程师 (MJ000668),https://www.lagou.com/jobs/7079091.html,滨江区,15k-25k,连连银通电子支付有限公司,3-5年,本科,班车接送，餐饮补贴，职业发展空间大,岗位描述：1、参与产品需求和开发设计评审，独立负责系统的测试，制定测试计划和测试方案，编写测试用例；2、根据产品需求测试，协助开发定位问题，根据测试结果完成测试报告；3、开发接口：自动化用例，执行接口和自动化测试、区块链性能测试等，优化自动化用例，提升稳定性；4、不断学习和研究新技术，尝试新的测试方法和测试工具，拓展测试类型，提升测试效率和质量。 岗位要求：1、计算机相关专业本科或以上学历，3年以上测试工作经验；2、熟悉项目开发流程、精通各种测试方法，能独立承担所负责模块质量保障工作；3、熟悉常见的自动化测试框架，有自动化测试、持续集成经验者优先；4、熟练掌握至少一门主流编程语言（如：Java，Paython等），能完成日常测试工具开发。,移动互联网,500-2000人,区块链,杭州
区块链高级开发,https://www.lagou.com/jobs/6939734.html,下城区,25k-30k,杭州浮云网络科技有限公司,3-5年,本科,五险一金、员工旅游、年底双薪、年度体检,岗位职责：1、参与区块链技术的研发、设计和开发工作；2、结合实际业务场景，利用联盟链完成构架、开发、部署、实施、监控审计节点、智能合约；3、了解和研究国内外区块链发展动向，提供和制定区块链产品解决方向；4、完成公司分配的开发工作目标。任职要求：1、熟练使用GoLang开发语言；2、了解区块链平台产品优先，如超级账本Hyperledger、以太坊Ethereum等；3、本科及以上学历，信息系统、计算机科学、数学或信息管理相关专业；4、3年以上互联网应用开发/软件开发/安全技术/IT实施等经验，参与区块链相关开源项目者优先；5、具有强烈的好奇心和独立思考能力，学习能力强，接受新事物能力强。,"游戏,移动互联网",150-500人,区块链,杭州
区块链安全开发工程师,https://www.lagou.com/jobs/7082846.html,滨江区,20k-40k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,"岗位职责：1、从事区块链应用产品（DAPP）的设计和研发工作，研究区块链的协议，运行机制和底层实现等；2、跟踪区块链底层技术的变化，善于发现问题，并提出优化解决方案；3、解决各类线上问题，并完成领导安排的其他事宜；任职要求：1、计算机相关专业，熟悉至少一门编程语言(C/C++,Java,GO,python等)；2、掌握Bitcoin、Ethereum、HyperLedger、EOS等主流区块链技术相关机制原理和去中心化思想；3、熟练掌握签名，多重签名，环或群签名，CA证书认证,PKI证书技术；4、熟练掌握加密算法、共识算法、控制论、网络安全、分布式计算; 5、对区块链的智能合约有深刻理解；6、熟悉DAPP或HD钱包开发优先；7、有三年以上的管理经验者优先考虑。","信息安全,数据服务",500-2000人,区块链,杭州
区块链存储开发工程师,https://www.lagou.com/jobs/5765270.html,西湖区,25k-40k,杭州顶天网络有限公司,5-10年,本科,技术牛，公司氛围好，奖金丰厚，福利多多,"岗位职责1. 研究存储相关技术，推动存储技术在去中心化的P2P环境中的实施；2. 参与公司基于区块链技术的存储架构的设计和开发；3. 持续优化存储的性能，而且保证数据的可靠性，安全性等等要求。 职位要求1. 熟练掌握Linux环境下C/C++编程，熟悉进程间通信，内存管理，网络通信等相关知识者；2. 有开源分布式存储系统(如 Ceph, HDFS, GlusterFS)开发经验; 语言:go、C++；3. 有ipfs/ceph/hdfs等项目深入研究者优先；4. 有很强的学习能力和debug能力，有主动性和责任心；5. 对大规模分布式系统有钻研热情,有团队协作精神。","移动互联网,数据服务",50-150人,区块链,杭州
区块链架构师,https://www.lagou.com/jobs/5148010.html,西湖区,35k-60k,杭州顶天网络有限公司,10年以上,本科,"Token,发展空间大,A轮,薪资高","工作内容：1.能够独立进行区块链底层系统及应用平台的功能定义和架构设计,研究区块链的协议，运行机制、底层实现和应用平台研发等；2.从事区块链产品的设计和研发工作，研究区块链的协议，运行机制和底层实现等；3.指导项目团队成员的日常开发工作，解决开发中的技术问题，推进团队伙伴完成项目落地。任职条件：1.计算机、软件工程等相关专业，本科及以上学历；2.从事区块链实际开发研究1年或以上优先考虑；3.从事C/C++ 一线开发4年或以上；4.很强的学习，思考和总结能力； 有清晰的思路和方法论去解决未知问题，非常高的代码质量，对技术精益求精甚至有完美主义；5.基础技能1）精通C++编程；精通Linux下C++调试技巧，善于解决各类线上问题；2）熟练使用各种数据结构和算法；3）熟练使用多线程、多CPU内核，消息队列、异步通信、进程间通信、应用层安全协议开发等 ；4）精通分布式数据库集群开发， 有Level-DB, Memcached,  Redis等集群开发和优化经验优先；5）精通分布式存储系统开发者优先；6）有高并发、大数据、微服务、安全通信、系统内核优化等 经验者优先；7）有完整系统设计、服务治理等 经验者优先；6.专业技能1）深入理解常用区块链共识算法运作原理和优劣，包括POW,POS,DPOS,PBFT, VRF；2）熟练使用 Merkel Tree, Hash计算，Grossip, 随机算法 ； 端到端加密，对称和非对称加密算法，X25519,Ed25519算法；3）熟练掌握签名，多重签名，环或群签名，CA证书认证,PKI证书技术；4）精通PBFT 共识算法的开发和优化者优先；5）精通P2P网络，有Kademlia 网络的开发和优化者优先。","移动互联网,数据服务",50-150人,区块链,杭州
区块链商务经理,https://www.lagou.com/jobs/7132054.html,余杭区,6k-8k,杭州字节方舟科技有限公司,1-3年,不限,双休/餐补/下午茶,"岗位职责：1.根据公司业务发展需求，整合身边圈内资源，通过币圈、矿圈、区块链媒体圈、项目方圈、主流交易所圈等渠道，挖掘意向合作资源，主要客户对象为ODM商、代理商/经销商、C端客户；2.独立完成商务谈判，制定相应的合作方案，并对效果负责； 3.参与、协助商务合同的签署；4.维护合作伙伴关系，处理合作伙伴的事务需求；5安排或参加各种商务活动；6.搜集行业信息并进行整理分析，为公司决策提供依据。任职要求：1.在区块链、区块链金融等行业工作1年以上，了解区块链、数字货币等概念，学历不限；2.有面对面客户开发经验，有区块链行业资源优先 ；3.有较好的亲和力、沟通协调能力、商务谈判能力强、灵活、情商高，能与同事协作配合完成工作 ；4.自律，学习能力和抗压能力强，接受短期出差； 5.熟练操作电脑、手机APP,熟练运用WORD\EXCEL\PPT等办公软件底薪+提成，提成可详聊","数据服务,软件开发",50-150人,区块链,杭州
Java开发工程师（区块链）,https://www.lagou.com/jobs/6899527.html,下城区,15k-25k,杭州浮云网络科技有限公司,1-3年,硕士,五险一金、员工旅游、年底双薪、年度体检,岗位职责：1. 负责迭代技术设计，负责核心模块编写；2. 参与设计评审和代码评审，帮助团队成员解决技术难题；3. 对产品需求、测试以及其他部门提供支持；4. 代码和技术文档等输出物符合公司规范，确保代码的可读性、易维护性和可扩展性；5. 为项目升级、交付、部署、维护等生命周期提供技术支撑岗位要求 ：                                                                             1. 计算机或相关专业硕士以上学历，2年以上软件开发经验；2. 熟练主流Java开发框架，如Spring、Springboot、MyBatis等，了解其原理；3. 扎实的编程基础，熟悉各种设计模式和设计原则，熟悉JVM、IO、多线程、集合等基础框架；熟悉缓 存、消息中间件、分布式系统架构等；4. 精通数据库设计（Mysql优先），优秀的SQL编写及调优能⼒，掌握Redis，Mongodb等NoSQL技术；5. 熟悉常用的设计模式及UML，常用的算法、数据结构模型；6. 熟悉分布式系统的设计和应用，如SpringCloud、Dubbo；7. 熟悉Linux环境，熟悉web容器性能调优，能独立部署，定位跟踪日志；8. 思路清晰、学习能力强，勇于承担压力和挑战，具有良好的沟通，团队协作、计划和创新的能力。,"游戏,移动互联网",150-500人,区块链,杭州
区块链产品经理,https://www.lagou.com/jobs/6949716.html,西湖区,15k-25k,浙江数秦科技有限公司,3-5年,本科,双休，五险一金，年终奖，期权，职业发展,"岗位职责：1、负责基于区块链（block chain）技术衍生的产品的需求调研、规划、设计工作；2、与技术团队对接，确保合作的畅通与高效，推进产品上线；3、分析用户需求、行为，搜集产品运营中产生的需求，做出产品设计，提升产品的用户满意度，不断优化用户体验；4、根据产品的规划，完成产品的需求收集、分析和需要文档撰写；5、有创新意识，结合公司业务和行业的发展挖掘新产品。任职资格：1、统招本科以上学历，3年以上产品工作经验, 有从需求分析到产品发布全流程的经验，有独立负责产品循环的项目经验；2、主动性及责任心强，按时高质完成各项工作安排，跟得上版本快速迭代；3、熟练使用Axure 、Mockplus、Mindmanager、Visio等原型设计软件，具备一定的视觉设计和技术相关的知识和技能；4、有区块链项目使用或开发参与经验者优先；5、具备流程规划能力，有较强的逻辑思维能力、数据分析能力、沟通能力和执行力，有良好的沟通协调能力；6、为人热情外向、有责任心、抗压能力强，有良好的客户服务意识。","移动互联网,信息安全",150-500人,区块链,杭州
区块链研发工程师(J11432),https://www.lagou.com/jobs/7198430.html,萧山区,25k-30k,微医集团（浙江）有限公司,3-5年,本科,个人发展，行业前景,,"移动互联网,医疗丨健康",2000人以上,区块链,杭州
区块链开发工程师,https://www.lagou.com/jobs/5771656.html,西湖区,20k-40k,杭州时戳信息科技有限公司,3-5年,本科,"行业领先,福利丰厚,扁平管理,技术牛","岗位描述:1、负责比原链维护开发工作；2、带领团队进行基于区块链的高性能，高稳定性的企业级应用开发及系统改造； 3、负责Dapp与区块链之间的中间键开发；4、负责架构基于docker, k8s的微服务系统；岗位要求:1、本科及以上学历，有过系统改造及带团队经验；2、熟练掌握unix/linux，数据库应用和设计， 具备良好的识别和设计通用框架及模块的能力； 3、熟悉分布式系统的设计和应用，分布式缓存、消息、搜索、监控，日志等机制，能对分布式常用技术进行合理应用，解决问题；4、熟悉docker, k8s微服务的架构;5、对区块链有深入的了解，读过比特币或以太坊的白皮书和源代码；6、有较强的表达和沟通能力，工作认真、严谨、敬业，对系统质量有近乎苛刻的要求意识。我们能提供1-薪酬open,奖金福利属于行业领先水平；2-发展空间大，公司设有优厚的员工期权激励；3-持续享受公司、行业发展红利；4-水果零食下午茶必备，健身房按摩椅随时可用。","移动互联网,区块链",50-150人,区块链,杭州
