job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
区块链工程师,https://www.lagou.com/jobs/6800672.html,渝中区,12k-20k,重庆众意网科技有限公司,3-5年,本科,项目奖金，年底奖励，股权激励,任职要求1.本科及以上学历，计算机科学软件工程等相关专业，3年以上工作经验2熟悉区块链平台产品，如Hyperledger，corda等，理解区块链领域相关核心技术3.熟练使用如GoLang，Node.js等开发语言4.熟悉各种数据结构和算法有加密数字货币或区块链技术实际实施经验者优先5.对区块链的开源项目Hyperledger有研究和实践者优先6.能快速阅读英文论文及相关资料，学习能力强，自我驱动力强。,其他,15-50人,区块链,重庆
区块链研发工程师,https://www.lagou.com/jobs/6713225.html,渝北区,10k-20k,中科院计算所西部高等技术研究院,3-5年,本科,行业发展新趋势,职责描述：1、从事区块链方向的设计和研发工作，研究区块链的协议，运行机制和底层实现等；2、参与区块链平台核心技术开发，包括共识算法、智能合约、权限管理等；3、基于业务需要完成相关的区块链浏览器等系统的开发。 任职要求：1、5年以上软件开发经验，2年以上区块链相关项目开发经验；2、精通C/C++、Java、Golang、Python中至少一种语言，精通多种者优先；3、掌握Bitcoin、Ethereum、EOS、IBM HyperLedger Fabric/Indy 等至少一种的区块链相关机制与原理；4，掌握区块链相关的加密算法，了解以太坊智能合约的实现方式，对区块链安全有一定了解；5、能够独立搭建区块链系统；6、参与过各区块链社区并提交源码者优先。,通讯电子,150-500人,区块链,重庆
区块链公链市场总监,https://www.lagou.com/jobs/6027608.html,渝中区,20k-40k,重庆印链科技有限公司,5-10年,本科,区块链，扁平化管理，弹性工作，发展空间大,职位描述：区块链，综合收入高，空间大。岗位职责：1、观察行业风向标并结合项目实际情况，提炼亮点、热点、爆点，制定事件营销和活动营销策略，进行用户覆盖和拓展； 2、与行业媒体、机构、钱包、合作伙伴建立深入合作，借助行业全方位资源，提升品牌知名度、影响力和用户数量；3、与海外团队/行业媒体/机构等，建立进一步的沟通合作；4、带领团队成员一起完成工作目标，协作技术产品部传递战略以及产品信息，并收集市场信息回馈，帮助产品改进和制定新的产品策略。 任职资格：1、区块链是个极其变化的新新行业，具极强的学习意愿和积极主动性；2、对市场变化有极强的敏感度和把握度，优秀的事件营销和活动营销策划能力，快速拉动用户增长，提高品牌市场知名度和传播度。3、具优秀的团队管理协作能力；4、投资理财业/互联网业/金融业/三年以上市场营销总监工作经验。,"企业服务,移动互联网",15-50人,区块链,重庆
区块链工程师,https://www.lagou.com/jobs/6018247.html,渝中区,10k-20k,杭州安链智云科技有限公司,3-5年,本科,前沿行业，豪华团队,岗位职责:1、开发行业区块链解决方案；2、充分理解系统架构，实现区块链方案的功能模块；3、根据产品和项目需求及总体设计，编写系统模块的详细设计文档和系统测试文档；4、研究区块链的协议，运行机制、加密技术、底层实现和共识算法等，参与设计安全协议和架构；职位要求:1、计算机，数学，电子工程及相关专业，1年以上区块链技术开发经验；2、扎实的计算机理论和网络知识，熟悉数据结构、算法；3、熟练掌握Go，C++，Python，JS之一，有良好的编程习惯和编码风格，参与区块链开源开发；4、对区块链的开源项目Ethereum、Hyperledger、Bitcoin之一有研究、开发和实践者优先；5、理解各类主流的共识算法，包括不限于PoW，PoS，DPoS，PBFT，Paxos，Raft等；6、对技术有热情，良好的团队协作精神和执行力，思维活跃，接受新事物能力强。,"信息安全,区块链",少于15人,区块链,重庆
无线网网络规划管理,https://www.lagou.com/jobs/7082933.html,渝北区,15k-20k,中国联合网络通信有限公司重庆市分公司,5-10年,大专,五险一金、项目奖金、年终奖、老板nice,岗位职责:1、负责移动网络新技术、新应用的跟踪和引入，熟练掌握网络云化、智能化、大数据和区块链等新技术。2、负责5G网络规划制定、5G应用创新、MEC边缘云计算等工作的牵头和落实。3、负责无线网的项目全过程基础管理。负责项目招投标技术规范书编制，负责技术方案及设备配置确认。任职要求：1、学历学位：硕士及以上学历 2、专业知识：通信、计算机等相关专业（岗位需对通信网络、网络规划熟悉） 3、专业技能：熟悉通信网络原理和相关技术，熟悉移动网架构、技术体系及发展趋势，对5G网络有一定的研究，软件功能开发等有较深入的了解。 4、年龄30-40周岁 5、对口专业工作经验：3年及以上,"移动互联网,其他",2000人以上,区块链,重庆
物联网产品支撑经理,https://www.lagou.com/jobs/6841816.html,渝北区,10k-20k,中国联合网络通信有限公司重庆市分公司,3-5年,本科,五险两金,岗位职责1、负责一个或多个行业在物联网专业版块（传感层、网络层、平台层、应用层）的整体解决方案研究及重大项目拓展工作。重点针对智慧交通、能源、车联网、智慧城市、智慧园区、智慧消防、智慧医疗等;2、针对重点行业客户挖掘商机、掌握客户需求信息并加以分析。将客户需求转化可行、可实施、可落地，集前端组网、平台技术、建设运维一体的整体解决方案。3、能够整合公司内外部资源建立并打造物联网行业生态体系。                                                         4、熟悉各类无线传输技术（蜂窝网/非蜂窝网）及传输组网。能够深入研究各类物联网创新技术及应用。如：区块链；5、负责物联网总部标准化产品和自研行业解决方案的培育推广工作，如产品推介会、客户沟通交流、技术培训等工作；              6、负责重大项目招投标过程支撑；7、承担对口业务领域的收入、利润等考核指标；8、完成上级领导安排的其他相关工作。    任职要求1、全日制大学本科及以上学历，管理、通信、计算机及自动化等专业方向，211、985院校优先；2、熟悉系统集成、通信与信息化、云计算、大数据、物联网等领域相关知识；具有行业主流资质证书者优先；3、熟悉行业总体解决方案，参与过相关项目的方案设计或实施；具有原创性行业应用解决方案并实际实施者优先；4、具备较强的人际沟通能力及谈判技巧，有良好的文档和PPT编写能力，能承受较大的工作压力；5、具有3年及以上相关行业经验，承担过1000万以上规模项目负责人的优先；6、具有较强的工作热情，具有良好的团队精神；7、熟悉招投标全流程。,"移动互联网,其他",2000人以上,区块链,重庆
售前解决方案工程师,https://www.lagou.com/jobs/7210390.html,合川区,8k-13k,成都佳华物链云科技有限公司,3-5年,本科,五险一金 年终奖,岗位职责:1、负责配合销售团队与政府行业客户沟通，准确了解客户需求并根据客户需求提供针对性解决方案、投标方案等；2、负责同客户进行技术交流，进行产品介绍演示，解答客户技术疑问，挖掘客户需求，参加投标宣讲；3、负责政府智慧城市相关的政策解读、方案交流、项目支持等4、负责对政府行业项目进行技术引导、售前支持、招投标、技术协调和技术培训，确保销售目标实现；协调公司内外部资源，确保项目顺利落地；5、与厂商技术部门保持紧密关系，跟踪不同厂商技术解决方案发展动态。6、配合BD同事，拓展大重庆各区县政府及行业合作伙伴，进行方案及平台的讲解及展示；任职要求：1、3年以上售前或项目管理经验；在大重庆各区县有过2G项目管理经验的优先；2、熟悉5G、区块链、人工智能、云计算、安全、大数据等技术及市场相关产品有较深的理解；拥有3年及以上大中型应用架构设计经验；3、具有大数据局、自然管理局、应急局、生态环境局等政府部门一个或多个行业经验者优先；4、优秀的方案撰写能力，思路清晰，逻辑思维强，能够根据业务需求设计合理的解决方案；具备招投标书的编写能力；5、良好的客户服务意识和沟通能力，良好的团队意识，具有一定抗压能力；6、头脑灵活，对新鲜事物及新技术充满渴望；7、思维敏捷，具有良好的学习及沟通能力、执行力和时间管理能力；8、抗压性较强，愿意接受新领域和新环境的挑战；9、可接受大重庆范围内一定程度的出差。,"移动互联网,数据服务",15-50人,区块链,重庆
前端工程师,https://www.lagou.com/jobs/6877713.html,渝中区,8k-12k,重庆众意网科技有限公司,3-5年,大专,项目奖金，年底奖励，股权激励,岗位职责：1、负责公司大数据区块链项目的前端研发2、承担从需求采集，原型化设计和前端实现3、持续优化产品性能与用户体验任职要求：1 、计算机及相关专业本科及以上学历， 5年以上相关工作经验； 2 、熟悉 HTML 、 CSS 、 Javascript 等 Web 前端开发技术，对于页面效果实现有丰富的经验； 3 、熟悉 Ajax 、 DOM 、 JSON 等相关技术，熟练使用 JQuery 、 Angularjs 、 Bootstrap 、 Vue 、 Reactjs 等前端框架中的一种或者多种； 4 、熟悉 TCP / IP 、 We bsocket 等网络通信协议； 5 、熟悉 Web 标准，能熟练处理兼容性问题，具有较强的自主意识和开拓精神； 6 、具备良好的沟通表达能力、责任心和团队协作能力。加分项： 1 、参与过至少两个大型互联网或大数据可视化的开发和建设工作； 2 、有检验与优化网站前端页面性能、提高页面访问效率经验者优先。3 、有数据大屏和仪表板的项目经验者优先,其他,15-50人,区块链,重庆
课程研发实习生,https://www.lagou.com/jobs/7107546.html,渝北区,3k-6k,重庆仙桃教育科技有限公司,应届毕业生,硕士,薪资高 ，名师领衔，发展空间大，可转正,岗位说明：学院首任理事长张东晓（原北大研究生院、工学院院长），现任执行院长陈学义（北大海洋研究院秘书长），首席数学家夏志宏（数学家、天文学家）今年暑期，学院由夏志宏老师领衔指导开展3+1教培体系（知识体系、课程体系、师资体系与评价体系）研发，打造大数据、人工智能、物联网、区块链、智能制造、数字化管理等方向的创新人才培养体系。招募全球硕博研究生，对有能力带团队开展研发的硕/博研究生月补贴8k/15k（特招），对有能力参加研究的硕/博研究生月补贴2.5K/5K + 绩效（普招）。实习时间3个月+，实习形式线下+线上。你将获得：1、研学资源：科学家作为导师的相关领域前沿研修课程。业界精英作为导师的工业与政务数字化智能化发展应用课程。2、就业创业：与学院专家老师共同组团工作是难得的高质量实习体验机会。三月期满，终身有约！既可以加入仙桃大数据学院就业创业，还可以留在仙桃国际大数据谷，有望进入数十家各行业企业就业。也可以人在四方，通过网络与学院长期开展课程、项目与创新创业等方面合作。任职要求：对新一代信息技术应用于传统产业和社会发展有兴趣；有协同创新与相互成就的价值观；愿意从事带学生、搞研发、合作顶目三位一体的工作。就读于双一流、原211院校及全球前100的海外院校，未与其他机构签订就业协议（即可能来学院就业或继续深造者）。拟招专业：数学、统计学、运筹学、密码学类。计算机与软件开发类。自动化与机器人类。工业工程与工业设计类。对新一代信息技术兴趣高基础好者不受专业限制。,"移动互联网,人工智能",50-150人,区块链,重庆
市场总监,https://www.lagou.com/jobs/7105816.html,渝中区,5k-10k,重庆晨鲸科技有限公司,3-5年,大专,新兴产品 电子签约 区块链,任职要求：1. 专科以上学历，有3年以上市场和销售工作经验。2. 薪酬由基础工资+销售提成+奖金组成。3. 有过互联网产品和toB的SaaS服务销售经验。4. 有销售和市场资源，能够在短时间结合公司现有的电子签约和区块链产品，完成市场的拓展。5. 有过互联网产品方案级销售经验的优先录取。 工作内容：1. 独立完成客户的开发，拓展全新的市场。2. 制定月度和季度销售目标并牵头执行并完成。3. 完成初期的市场开拓，并完成销售团队的组建。4. 也欢迎有客户和市场资源的销售人才问讯和合作。,"企业服务,游戏",少于15人,区块链,重庆
