job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/7200591.html,海淀区,20k-40k,北京拉勾网络技术有限公司,5-10年,不限,"发展空间大,弹性工作制,领导Nice",岗位要求：1、计算机或相关专业本科及以上学历，5年以上大数据运维或开发工作经验；2、熟悉linux开发环境，熟练掌握JAVA/GO/Python语言中的一种;3、熟练掌握大数据常用开源组件的技术原理，有现网的hadoop、kafka等开源大数据组件运维或开发经验；4、有较强的逻辑思维能力，思想上开放，主动积极有责任感，能够承担工作压力；有hadoop、kafka、spark、flink等开源组件源码优化经验优先；岗位职责：负责大数据平台消息中间件/Hadoop/实时计算/OLAP的运营支撑和架构优化。,企业服务,500-2000人,大数据,北京
大数据开发工程师,https://www.lagou.com/jobs/6986318.html,东城区,30k-60k,北京默契破冰科技有限公司,5-10年,本科,"七险一金,弹性不打卡,免费午餐,季度旅游",岗位描述：1、参与大数据平台建设，完成大规模数据存储设计、实现；2、负责大数据采集、处理、转换、分析、业务需求等相关开发；3、设计面向业务的OLAP，完成企业级数仓的建设；4、负责大数据作业优化及质量保障；5、参与大数据系统及应用架构设计及新技术调研。岗位要求：1、本科学历，计算机、数据科学等与大数据相关专业，5年以上工作经验；2、精通Hadoop相关技术，包括Spark，Hbase，HDFS，Hive，Yarn，Kafka，Flume，Spark、Flink，Storm等；3、精通java、scala开发语言，精通SQL，熟悉MySQL，熟悉shell，python等脚本语言，熟悉git，jira等工具；4、具有优秀的开发规范意识，对大数据技术和开发有热情，工作认真负责，有较强的学习能力和团队合作意识；5、参与过数据处理、分析、挖掘等相关项目，熟悉阿里云日志系统。,社交,150-500人,大数据,北京
大数据开发工程师,https://www.lagou.com/jobs/6741505.html,海淀区,30k-60k,北京微聚未来科技有限公司,5-10年,本科,"牛人团队,带薪年假,16薪考核,快速成长",职责：1.负责建设、维护、优化基于Hadoop生态技术的大数据集群和计算框架；2.通过提供平台化的计算框架，支撑海量数据分析、数据挖掘、机器学习工作；3.负责数据产品平台的设计、开发；4.关注开源技术动态，预研、评测大数据生态新技术，引进新的技术框架，满足业务需求并不断提高工作效率及质量； 要求: 1.  计算机、信息系统、数学或相近专业本科以上学历，4年以上大数据研发经验；2.  精通java/scala，精通Hadoop生态并有实战经验，包括但不限于hadoop/flink/hive/spark/impala/hbase/kafka等；3.  有大规模集群维护经验，能够快速处理hadoop或spark等相关技术栈的问题；4.  熟悉大数据的完整处理流程，包括数据的采集、清洗、预处理、存储、分析挖掘和数据可视化，能够设计、开发平台化数据产品；5.  有优秀的业务理解能力，对数据敏感，对金融风控有较深入的认识；6.  有关键技术攻关的决心和能力，能够适应和享受高压力的工作；7.  有OLAP产品开发经验优先。,"移动互联网,金融",500-2000人,大数据,北京
大数据开发工程师,https://www.lagou.com/jobs/7045440.html,海淀区,30k-60k,上海基分文化传播有限公司,3-5年,本科,领导nice ，氛围好,岗位名称：大数据开发工程师职位描述1、负责趣头条数据中台，全公司各类业务数据仓库的构建；2、负责数据模型的设计，ETL实施、ETL性能优化、ETL数据监控以及一系列技术问题的解决；3、负责构建用户主题、各业务线主题、推荐主题、广告主题、数据门户系统；4、负责各产品线数据维护，提升数据资产质量。职位要求1、计算机、数学相关专业本科及以上学历，2年以上大数据开发工作经验；2、 深入理解常用的数据建模理论，可独立把控数据仓库的各层级设计；有数据挖掘，机器学习，推荐相关经验优先；3、熟悉Aerospike和Clickhouse的同学优先考虑，熟练掌握Hive/SQL，熟悉Spark/Map-Reduce分布式计算框架，熟悉大数据的离线和实时处理，可以进行海量数据模型的设计、开发；4、有产品sense，主动思考基于业务场景下的数据体系建设，而不单单只会做执行；5、工作认真，负责，良好的团队合作精神和解决问题分析能力，钻研技术克服困难，勇于挑战。,文娱丨内容,500-2000人,大数据,北京
大数据开发工程师,https://www.lagou.com/jobs/7005187.html,海淀区,20k-35k,北京音娱时光科技有限公司,3-5年,本科,团队优秀；海外市场；免费餐饮；租房津贴；,岗位职责：1、基于对公司业务的广泛理解，负责各个业务模块的数据提取和报表开发；2、跟进维护大数据平台软件栈的技术发展，围绕业务需求作合适的选型及开发；3、能够全局性地理解数据仓库及业务数据，整合需求，为业务方提供系统化、可持续的数据解决方案。任职资格:1、重点统招本科及以上学历; 2、有扎实的计算机基础，熟悉常用数据结构、算法、设计模式；3、熟悉hadoop、hive、hbase、spark等大数据开源工具的架构;了解数据仓库建设的基本思路; 4、精通hivesql，有丰富的hivesql性能调优经验;掌握python脚本语言; 5、具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑; 6、具备良好的团队合作精神，具备出色的沟通能力。,移动互联网,50-150人,大数据,北京
大数据集群运维开发工程师/专家,https://www.lagou.com/jobs/6887593.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,"技术大牛,扁平化",,文娱丨内容,2000人以上,大数据,北京
大数据运维开发工程师/专家,https://www.lagou.com/jobs/6905816.html,海淀区,20k-40k,北京达佳互联信息技术有限公司,3-5年,本科,"技术大牛,扁平化",,文娱丨内容,2000人以上,大数据,北京
大数据应用开发工程师,https://www.lagou.com/jobs/6979040.html,朝阳区,20k-30k,深圳市赢时胜信息技术股份有限公司,3-5年,本科,优秀团队 办公环境优越 交通便利,岗位职责：1、基于大数据平台的应用系统设计、开发、维护；2、承担公司大数据相关项目的需求分析、开发、实施、现场支持。任职资格：1、计算机或相关专业本科及以上学历；2、3年以上相关工作经验，至少熟练掌握Java，Scala，Python中的一种或多种；3、熟练使用Hadoop、Spark、Storm、SparkStreaming、Hive、HBase进行应用开发；4、熟悉搜索引擎，例如Impala，Presto，Elasticsearch等；5、具备基本的Hadoop运行环境的运维管理经验；6、有实际的大数据应用工程开发经验；7、熟悉金融领域相关知识或有金融系统开发经验的优先。,金融,500-2000人,大数据,北京
大数据开发工程师,https://www.lagou.com/jobs/7165405.html,海淀区,20k-40k,微梦创科网络科技（中国）有限公司,3-5年,不限,"大平台福利,带薪年假,快速成长",1. 负责大数据平台的架构设计与研发2. 根据业务需求设计高扩展性、高性能的系统架构和应用架构技能要求：1. 计算机相关专业，本科及以上学历2. 具备良好的沟通能力和表达能力3. 熟悉常用的算法和数据结构4. 熟悉Linux系统，具备shell/python/java/scala/golang等一种或几种语言的开发能力5. 熟悉常见的开源分布式计算/存储相关技术，包括yarn，mapreduce，spark，kafka，hive等6. 有大数据系统项目经验，掌握如何搭建分布式处理系统，有海量数据处理和分析经验7. 学习能力强，热衷开源技术，有团队观念，具备独立解决问题的能力8. 具备对大数据任务性能优化经验者优先9. 在大数据集群平台维护、服务体系构建以及性能调优等方面有经验者优先,文娱丨内容,2000人以上,大数据,北京
美团平台-测试开发（大数据）,https://www.lagou.com/jobs/6790030.html,朝阳区,24k-45k,北京三快在线科技有限公司,3-5年,本科,大牛云集 弹性工作 上市公司,,消费生活,2000人以上,大数据,北京
