job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6158591.html,雨花台区,15k-18k,江苏飞搏软件股份有限公司,3-5年,本科,清晰的职业发展通道,职责描述：1、负责大数据平台管理和开发工作；2、负责大数据开发和查询子平台建设，包括数据采集，传输，存储，计算流程调度，元数据管理等工作；3、负责大数据平台相关场景模型迭代设计。任职要求:1、计算机相关专业毕业3年以上工作经验，本科以上学历；2、良好的java编程能力，熟悉java开发工具和调试工具；3、熟悉linux系统，熟练使用shell/python脚本处理工具；4、熟Hadoop /Hive / Hbase/ Spark / Storm/Elastic Search等开源大数据系统的原理和使用；5、熟悉政府，公安，工商，检察院等大数据应用优先。,"信息安全,其他",150-500人,大数据,南京
大数据开发工程师,https://www.lagou.com/jobs/5670752.html,江宁区,17k-30k,孩子王儿童用品股份有限公司,3-5年,本科,母婴行业独角兽、互联网氛围、晋升灵活,"工作职责：1. 负责数据仓库应用产品设计和开发  2. 负责数据仓库建模、数据预处理子系统的设计和开发。3、负责数据仓库ETL流程的优化及解决ETL相关技术问题 职位要求：1、计算机相关专业本科及以上学历；2、在用户行为日志采集、海量数据处理、数据建模、业务理解方面有丰富经验； 3、精通Hadoop/MapReduce/hive ,有一定的hql/sql性能调优经验；4、熟悉java/Python/php/mysql，有相关开发经验； 5、熟悉Linux/Unix环境以及常用命令；6、至少熟练使用shell、python、perl等脚本语言之一； 7、有较好的沟通交流能力,善于主动思考和行动,乐于解决具有挑战性的问题； 8、有较好的逻辑思维能力，较强的抽象、概括、总结能力；9、对数据敏感、对新技术敏感、对数据产品设计有想法者优先。",消费生活,2000人以上,大数据,南京
大数据开发工程师,https://www.lagou.com/jobs/6879090.html,江宁区,15k-25k,上海源犀信息科技有限公司,不限,本科,双休，假期多，领导nice,"关于团队团队已完成了数据平台的搭建和数据仓库的建立，正在不断优化OLAP业务；我们有较完善的CI系统，使用gerrit提交代码并进行 review，jenkins执行测试；我们的服务已经完成了容器化，并搭建了k8s；我们基于Spark生态搭建了数据平台，并结合kylin做数据预处理我们使用Elesticsearch处理大部分在线业务查询。岗位职责：1. 参与规划和实施公司数据平台的搭建以满足未来1-2年的数据分析要求；2. 参与公司CDP平台的整体数据架构设计，完成从业务模型到数据模型的设计工作 ；3. 负责基于Spark的数据平台研发工作（包扩离线计算，数据仓库存储和处理等）；4. 对业务开发团队提供技术支持，协助方案规划；5. 维持线上服务高效稳定，支撑业务和数据量的快速扩张。岗位要求：1. 有 java 开发基础，熟悉 Spark 相关技术，至少有 3 年以上的大数据开发经验（有过带教经验优先考虑，本岗往Leader方向培养）；2. 熟悉流式计算平台的搭建，例如使用Flink / Spark Streaming和kafka结合的实时数据处理系统，实现数据实时大屏；3. 理解离线和实时数据仓库的治理方法和分层逻辑；4. 熟悉 Scala 语言，对 Scala 原理、底层技术有深入研究者优先；5. 深入理解 MapReduce 工作原理，HDFS 分布式文件系统架构；熟练掌握 Hadoop/Hive/HBASE 的运维和调优方法；6. 熟悉 mysql, ElasticSearch, Redis 等关系型或 NoSQL 数据库，了解应用场景和使用限制。有实际调优经验者更佳；7. 熟悉 Linux/Unix 操作系统, 会写Shell，会使用 Git了解大数据组件的使用限制和应用场景，包括但不仅限于: hdfs, yarn, hbase, hive, flume, kafka, zookeeper, kylin, kudu, ElasticSearch, Storm, MongoDB 等；8. 了解掌握 TensorFlow 者优先；9. 熟练的英文技术文档阅读能力；10. 有深入研究过 Hadoop，Spark 源码者优先；具备强烈的意愿去文档化所有的东西，这样你就不用再学一遍之前学过的东西。福利：双休，自研，偶尔加班，不出差，六险一金（公积金基数比例高），入职即有年假（一年12天），弹性工作，交补话补，每周团建，定期outing等","企业服务,广告营销",15-50人,大数据,南京
高级大数据开发工程师,https://www.lagou.com/jobs/7004515.html,雨花台区,20k-28k,众能联合数字技术有限公司,5-10年,本科,期权激励,岗位职责：1、负责大数据相关的开发工作； 2、负责需求评审、模型设计、代码开发工作3、负责线上系统质量保证、系统性能优化工作； 4、负责规范文档的编写工作； 5、负责技术难点的攻关等技术工作。 任职要求：统招本科计算机相关专业以上学历，5年及以上的开发经验1、精通java/scala开发，有较好的性能调优能力及经验；2、精通流式处理框架，能够独立进行开发；3、精通建模理论，具备独立设计数据模型的能力；4、精通数据仓库原理；5、精通BI开发；6、精通大数据生态组件（HDFS/MapR/Hive/Hbase/Spark/Spark-stream/Flink/Kafka/Kudu/Impala/kylin等）架构原理；7、富有责任心，有良好的团队合作精神，具备良好的沟通能力；8、有互联网，零售，供应链等行业应用经验者优先,"移动互联网,企业服务",500-2000人,大数据,南京
开发工程师(大数据、人工智能、物联网),https://www.lagou.com/jobs/7028736.html,江宁区,9k-15k,上海海万信息科技股份有限公司,3-5年,本科,五险一金 带薪年假 周末双休,工作地点：南京学历要求：本科以上岗位要求：（1）熟悉SDK组件开发流程，独立开发过SDK组件；（2）熟悉HTTP、TCP/IP、MQTT协议；（3）熟悉C/C++/Java等语言中的一种；（4）熟悉物联网技术，有相关开发经验者优先；（5）熟悉分布式、多线程及高性能的设计与编码及性能调优者优先；综合能力：（1）负责物联网平台整体架构设计、体系及其标准制定和功能模块设计；（2）负责物联网数据采集层、数据传输层、云服务层、业务应用层的数据传输协议，以及接口规范定义及云平台架构搭建，并制定产品解决方案；（3）编写相应的设计报告、技术标准和技术文档；（4）负责软件框架代码的开发和调试工作；（5）参与物联网感知数据的数据分析和数据可视化工作；（6）解决工程项目当中遇到的问题，进行系统性能优化和安全加固，保证平台安全、稳定、快速运行；,"移动互联网,金融",500-2000人,大数据,南京
大数据开发工程师 (MJ000038),https://www.lagou.com/jobs/7086722.html,雨花台区,15k-30k,星环信息科技（上海）有限公司,3-5年,本科,弹性工作制 发展前景好 周末双休,工作职责：1、基于大数据平台，研发行业相关应用系统；2、根据行业的应用解决方案，设计及开发原型系统；3、根据系统设计方案，进行设计文档编写，编码，测试等工作；4、按项目进度要求完成分配的开发任务，开发过程和成果符合质量控制要求；职位要求：1、计算机相关专业，本科及以上学历； 2年以上互联网/企业级应用开发经验；2、熟悉Java语言及常用类库和J2EE技术框架，熟练掌握常用开发工具；3、熟悉SQL语言，了解Oracle或MySQL的开发和维护；4、了解软件需求分析和系统设计相关的知识；5、了解项目管理基本流程和软件开发规范；6、有金融行业应用开发背景或大数据应用开发经验者优先。,数据服务,500-2000人,大数据,南京
大数据应用开发工程师-高级 (MJ000037),https://www.lagou.com/jobs/6909360.html,雨花台区,15k-25k,星环信息科技（上海）有限公司,1-3年,本科,弹性工作制 六险一金 成长空间大,工作职责：1、基于大数据平台，研发具有创新性行业相关的应用系统；2、设计行业的应用解决方案，能快速开发原型系统，并验证方案的可行性；3、根据业务需求，进行系统设计，包括架构设计，高层设计、模块分解等；4、负责应用系统的模块开发，包括设计、编码、整合、测试和优化；5、指导和培养团队成员，包括评审设计文档和代码；职位要求：1、计算机相关专业，本科及以上学历； 5年以上互联网/企业级应用开发经验，1年以上系统设计经验；2、精通Java语言及常用类库和J2EE技术框架，熟练使用常用开发工具；3、精通一种数据库产品Oracle/MySQL的SQL开发和SQL调优；4、掌握软件需求分析、系统设计的基本方法和理论，并能合理的使用；5、熟悉研发项目管理流程、软件开发规范和质量保障体系；6、具有团队管理经验者优先；7、具有金融行业应用开发背景或大数据、机器学习应用开发经验者优先。,数据服务,500-2000人,大数据,南京
大数据开发工程师,https://www.lagou.com/jobs/7213718.html,建邺区,10k-15k,南京华恩信息技术有限公司,1-3年,本科,从事主流行业，可深入了解银行业务,1.熟悉Linux系统，熟悉常用操作命令以及shell编程2.主导或参与过大数据项目，熟悉hadoop，kafka，spark，hbase等大数据组件的基本原理3.具有数据仓库项目经验，数据模型设计经验，熟悉oracle，hive，sparksql等常用语法4.能够对应用程序进行性能优化，包括java端代码优化，SQL优化，组件配置优化等5.具有良好的沟通能力和团队精神，较强的学习能力，能承担一定的工作压力6.有银行经验优先,"金融,软件开发",50-150人,大数据,南京
大数据开发实习生,https://www.lagou.com/jobs/6606451.html,建邺区,8k-10k,北京字节跳动科技有限公司,不限,本科,休闲下午茶,,文娱丨内容,2000人以上,大数据,南京
前端开发高级工程师-大数据,https://www.lagou.com/jobs/5569611.html,建邺区,20k-40k,北京字节跳动科技有限公司,3-5年,本科,弹性工作，免费三餐，租房补贴，带薪休假,,文娱丨内容,2000人以上,大数据,南京
大数据架构师,https://www.lagou.com/jobs/6999385.html,江宁区,18k-36k,合肥优尔电子科技有限公司,5-10年,本科,"双休、旅游,五险一金,健康体检,年终奖","职位信息：1. 负责系统架构规划和设计，制定开发规范等；2. 负责带领开发团队持续改进产品的整体设计，跟踪需求迭代，提高用户体验；3. 负责主导重要或高风险模块的详细设计，且亲自实现部分核心模块，控制产出质量；4. 负责项目研发过程中的技术输出与评审工作（包含撰写文档，开展code review等）；5. 负责指导、培养项目组其他开发人员；6. 负责前沿技术研究与落地。任职要求：1. 计算机相关专业本科及以上学历；2. 8年以上开发经验，其中至少3年以上的架构设计经验； 能主持大规模系统的总体设计，具备较强的分析、判断和概括能力，逻辑思维能力，可带领小团队具体开发实现；能够深度挖掘业务需求，为软件开发提供相应的架构设计；具有良好的设计通用框架及模块的能力；3. 熟悉主流开发框架和组件如SpringMVC，SpringBoot, Mybatis, Redis等； 精通MYSQL、Oracle、Greenplum等主流关系型数据库；熟悉sql调优；能够对数据库整体调优为佳； 熟悉并发处理、分布式系统架构；熟悉大数据相关技术为佳（如Hadoop,HBase,Hive,Flink，Spark，Kafka，Flume等相关开发使用经验）； 熟悉Nginx，负载均衡等技术；熟悉前端框架如Vue或React优先；4. 有熟悉阿里、华为数据中台技术组件、架构及数据服务相关开发经验者优先；5. 熟悉git，linux系统的相关命令及基础shell编程；6. 有电力、电信运营商等行业数据采集或大数据相关开发经验者优先；有系统架构师证书优先。","企业服务,信息安全",50-150人,大数据,南京
