job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据开发工程师,https://www.lagou.com/jobs/7170639.html,新吴区,10k-15k,朗新科技股份有限公司,3-5年,本科,年终奖优厚 公积金福利优厚 蚂蚁生态企业,1.负责业务数据梳理及报表相关功能的设计、开发工作，并负责报表优化、维护；2.有实际的Oracle数据库开发相关工作经历3.有良好的沟通协调能力，能与客户及项目组同事有效的沟通；4.思路清晰，逻辑明确，有较强分析与解决问题能力；5.热爱软件事业，具有较强的责任感，能承受一定的工作压力；6.负责业务数据整合以及分析模型的建立、数据挖掘、优化和评估；专业技能：1.计算机相关专业，3年以上ORACLE数据库开发或大数据处理经验；2.精通PLSQL编程，能够熟练编写ORACLE存储过程等；3.熟悉大数据体系，如数据仓库、etl处理优先,"移动互联网,企业服务",2000人以上,大数据,无锡
大数据开发工程师,https://www.lagou.com/jobs/6499910.html,江阴市,15k-25k,江苏江阴农村商业银行股份有限公司,1-3年,本科,全国**A股上市的农商行,岗位职责：1、有金融行业数据类项目开发经验者优先；2、基于HADOOP技术的大数据平台的建设、开发、维护与优化；3、协助对业务数据进行分析、建模，为业务部门的数据化运营提供支持；4、负责大数据实施过程中相关技术问题解决；5、完成与工作相关的技术文档编写工作。 岗位要求：1. 2年以上大数据开发或数据建模分析项目经验2.熟悉Hadoop、Spark、Hive、HBase等主流的大数据技术，具备CDH/Hadoop/Hive/Hbase/Spark/Storm等大规模数据处理框架的部署、开发以及调试经验；3.精通JAVA，Linux；有较强的分布式计算基础和软件工程能力4.熟悉传统关系型数据库，如ORACLE、DB25.有海量数据查询、处理的实际项目经验;6.具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题；7.全日制本科及以上学历8.有星环大数据平台经验优先,金融,500-2000人,大数据,无锡
大数据开发工程师(J11109),https://www.lagou.com/jobs/6844687.html,无锡新区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,大数据,无锡
大数据分析师,https://www.lagou.com/jobs/6499931.html,江阴市,25k-30k,江苏江阴农村商业银行股份有限公司,3-5年,本科,全国**A股上市的农商行,"岗位职责：1. 收集业务部门的数据分析需求，设计数据分析、数据挖掘模型；完成数据整理、分析与建模工作，及时提供业务方支持。2. 应用机器学习等方法，从海量客户金融行为数据中挖掘潜在的规律与关系。3. 针对风控等业务场景及相关数据进行分析研究，有效洞察业务机会核瓶颈。 岗位要求：1. 至少4-5年代码开发、数据仓库与数据分析(BI)相关工作经验，大数据分析经验3年以上，客户行为分析与客户画像经验者优先；2. Hive SQL开发基础知识扎实，Hive/Hbase/Spark至少精通一项；3.熟悉shell,Python,scala至少一种,精通MapReduce模型并应用至工作中4.有数据分析、挖掘、清洗、建模相关工作经验，能利用大数据对业务进行评估优化；5.熟练使用各种数据挖掘算法，对算法、数据结构有深入理解;6. 沟通交流良好，有独立负责项目经验者优先；",金融,500-2000人,大数据,无锡
java后台开发工程师,https://www.lagou.com/jobs/5451300.html,锡山区,10k-20k,南京帆软软件有限公司,1-3年,本科,有梦想，有实力，有情怀,岗位描述：1、参与FineReport和FineBI各类客户需求的技术评审和实现；2、维护FineReport和FineBI已有的产品模块，快速解决客户在使用产品中遇到的问题；3、产品性能持续优化，提升FineReport和FineBI处理大数据的能力，解决各种潜在的宕机风险问题，保障客户系统稳定、快速的运行。岗位要求：1、扎实的java编程基础，熟练掌握常用的单元测试技术，精通多线程开发相关技术；对各种常用开源框架有比较深入的了解，如：Spring、Hibernate；2、注重代码质量，日常工作中积极对“坏”代码提出改进意见，自己的代码能始终保持较高的质量；3、能熟练的掌握linux操作系统的使用，对常用命令能娴熟的应用，在linux下运行的应用程序出现问题时，能熟练的进行调试；4、具备良好的表达和沟通能力以及强烈的责任心，能在技术评审中积极寻找可能存在的问题并提出改良方案。,数据服务,500-2000人,大数据,无锡
产品运营,https://www.lagou.com/jobs/6228995.html,锡山区,8k-13k,南京帆软软件有限公司,1-3年,本科,扁平化管理 股份期权 氛围好,职责描述：a. 独立负责用户留存之类具体的某一项产品运营指标的提升及优化b. 分析自己相关的运营数据，找出问题，通过各种途径及方式迭代行动，推动指标的提升c. 同产品团队配合，根据发现问题，提出产品改良建议。d. 配合运营团队其它成员的工作，达成运营团队的整体目标e. 同市场团队配合，提供优质的宣传原始素材，提升产品口碑，扩大产品影响力。任职要求：a. 工作半年-3年内，有相关互联网/软件产品运营/产品经理的工作经验，有过不错成绩，企业类软件产品优先。b. 本科及以上学历c. 做事有激情，有强烈的主动性，强大的逻辑思维及学习能力，能独立自主的达成目标任务d. 沟通能力强，踏实中国大数据行业前50强，数据报表领域**。员工多为90后，工作氛围轻松活跃。 晋升快，按贡献发放年底奖金，更有1、3、6、12个月的年终等着你！,数据服务,500-2000人,大数据,无锡
客服专员,https://www.lagou.com/jobs/6860757.html,江阴市,4k-6k,上海别样秀数据科技有限公司,不限,大专,美式管理 弹性工作 福利丰富,职位描述：别样海外购 (http://www.bybieyang.com/) 现客服多名。BorderX Lab Inc.是创建于美国加州硅谷的高科技公司，利用大数据及人工智能实现最快捷、经济的跨境购物。别样海外购 由BorderX Lab出品，是国内**款融合了几乎全部美国纽约第五大道中高端品牌的海外直购APP。海外直购爱好者们可以通过别样海外购逛遍美国当地**百货商场，6000多时尚、美妆品牌，及500多万件大众、小众商品。别样海外购每天都在努力为用户提供最新、最快、最全的美国商家折扣信息，播报流行趋势。让用户不仅能买到欧美当地最好的时尚商品，也能收到最新的折扣信息、最好的商品推荐。岗位职责：1.需要熟练掌握【别样】APP流程，熟悉每日APP内活动详情，及时了解用户问题的疑问解答。2.及时回答APP内在线用户的的售前问题咨询。3.帮助用户解答并处理用户售后问题，做好记录、整理及汇报工作。 及时跟进用户问题并按照处理进度给予用户反馈备注。整理和分析客户问题信息，优化处理流程。4.的帮助用户解决问题，用户升级问题及时汇报、申请、对接。5.完成主管交办的其他工作任务。6.地点无锡江阴市我们希望您:对电商有热情，愿意了解海淘商业，有优秀的表达能力，有一定的英语基础，喜欢时尚，美妆，潮鞋等品牌。肯学习，人乐观积极，有上进心，有服务意识，有一定抗压能力。面试前请先了解别样。我们能提供给您:1.优厚的薪水待遇。2.诱人的机会可以和美国硅谷的高科技团队一起工作，和世界一流的创业公司共同成长。3.有机会至美国硅谷出差，亲身接触美国生活的点点滴滴。4.定期团队建设活动，享有每月购物津贴。工作地址,"移动互联网,电商",150-500人,大数据,无锡
渠道商务拓展/案场项目经理J10601,https://www.lagou.com/jobs/7081892.html,惠山区,7k-12k,北京高因科技有限公司,不限,本科,双线晋升 优秀团队 高额佣金,居理新房(Julive)——一站式购房平台居理新房（北京高因科技有限公司），创立于2014年，注册资本4.5亿元人民币，致力于打造一站式购房平台，拥有专业的高学历咨询师团队，提供从大数据找房、全城看房到低价买房的全程定制化服务，赢得了良好的用户口碑。历经6年，已经成为国内新房电商领跑者。业务范围目前已涵盖京津冀、成渝、长三角等七大城市群，包括北上广深、苏杭、成都、重庆、武汉、西安、沈阳等31个城市，员工人数近3000人，与全国累计超过200个开发商合作，2019年度GMV超300亿。凭借取得的优异成绩和规模，居理新房不断赢得国内外资本市场的青睐，先后获得源码资本、祥峰资本、斯道资本等多家知名投资方的注资，58集团也给予战略投资。2019年8月，居理新房宣布签约迪丽热巴为全新品牌代言人，并完成数千万美元C轮融资。 我们提供的岗位是——驻场项目经理和商务拓展！月入过万就满足了？不不不，这只是开始！ 【我们能给您提供的】1.薪酬体系：基本工资6500+高额提成（基本工资包括无责任底薪5000+绩效1500，试用期按照基本工资80%发放）其中从18年4月开始实施的绩效与业绩无关，只要你有过硬的执行力，就可以全额拿到。2.多类补贴：每人每月可获得全勤奖+电脑补贴+话费报销+打车报销等。3.福利保障：试用期开始交五险一金+内部员工购房福利+年度体检+年度带薪出游+带薪年假+节假日福利+生日福利+ 每月团建经费。4.全职业生命周期的培训培养体系：从新人到管理者的每个阶段，均有完善的培训课程，且每个新人均配备资深导师进行入职引导及在职指导。①专业培训：入职初期，统一安排约两周的集中带薪培训，从地产行业的专业知识到营销咨询的业务技巧全方位覆盖。②入组培训机制：对于新员工安排入组孵化，即由主管全面培育和孵化，帮助新人达到转正标准实现顺利转正。③线上自主学习平台——猫头鹰学院，线上培训课程，让学习无处不在。5.两条个性化晋升通道：一条是专业方向，一条是管理方向①专业方向：职级从C1-C7，不断提升，对工作精益求精②管理方向：项目经理/商务拓展→项目/拓展主管→渠道主管→城市经理→大区经理从新人到管理者平均晋升周期为9-12个月，每月均会组织一次管理者公开竞聘。公司有刚转正就做到主管的超强实力新人，有95年的城市经理，你希望自己成为哪一类？6.丰富多彩的员工活动：公司专门设立员工满意部，为员工提供茶歇、零食、甜点等福利，同时还有员工自发组织的读书、撸猫、篮球、健身等各种兴趣小组，让你上班不枯燥，下班不单调！7.工作环境：办公室均入驻高档写字楼，办公环境宽敞明亮，舒适整洁；公司互联网扁平化管理，氛围轻松融洽。 【项目经理岗位职责】1.在公司合作的开发商楼盘驻场，充分了解自己楼盘项目的信息，对自己楼盘的成交量负责，与咨询师对接，一同服务客户2.对接开发商，完成与开发商的多层级关系维护工作，处理开发商和客户之间协调沟通工作3.在案场进行信息的全面搜集，眼观六路耳听八方，清楚案场情况的方方面面4.重点负责合作楼盘项目的回款工作，保证回款的时间点和进度顺利 【商务拓展岗位职责】1.负责居理新房领域的楼盘拓展，和开发商的项目负责人达成商务合作2.负责合作项目的对接工作，了解项目的最新动态，及时传递给咨询师，保证咨询师能更好地了解项目3.负责合作项目的后期回款，保证回款速度4.负责开发商的维护工作，保证后续能有更多合作 【我们需要这样的你】1.来自一本及以上院校，统招本科及以上学历【我们的小伙伴45%以上来自海外和国内优秀高校，我们非常期待这样你加入我们，一同成长】；2.认为自己有不错的亲和力、沟通能力、逻辑思维能力以及协调能力；3.有良好的抗打击能力，愿意和一群加班狂一起工作；4.为人处世灵活，临场处理能力强，有正直的价值观；5.渴望和一群优秀的同事一起工作，让自己也变得同样优秀（真正公平、公开和谐的工作氛围）；6.一颗不安分的心、一颗能披荆斩棘的心、一颗热爱沟通的心。 良禽择木而栖，我在居理新房等你！,移动互联网,2000人以上,大数据,无锡
Support Engineer,https://www.lagou.com/jobs/6799264.html,无锡新区,15k-30k,微软（中国）有限公司,1-3年,本科,福利高，待遇好，前景广,技术支持工程师（Customer Service Support）1、云计算网络方向（4年以上，网络背景，大厂工作经验优先）2、混合云方向（3年以上，网络、PowerShell、虚拟化，英语交流，学习能力强）3、Office365方向（1年以上，网络or开发or数据库相关背景，英文交流）4、账户认证管理方向（1年以上，coding背景，IT从业经验，英文交流）5、AI及大数据方向（1年以上，熟悉各类数据库语言，相关工作经验，英文交流）,"移动互联网,数据服务",2000人以上,大数据,无锡
java后端开发,https://www.lagou.com/jobs/3645629.html,新吴区,7k-14k,无锡点春科技股份有限公司,3-5年,本科,新项目，新技术,Java服务器后台开发人员工作职责：1.负责服务器端JAVA软件产品设计、开发、测试2.承担产品体系结构分析、设计、系统性能优化、接口设计等3.参与项目前端应用规划设计，与前端工程师配合项目设计4.参与项目外联设备信息、数据对接设计5.按项目规范要求提交软件开发和测试过程中的各类文档 任职要求：1.计算机相关专业本科以上学历2.3年以上java服务器后台开发经验，能熟练使用java语言，会编写 Servlet3.熟练使用 SpringBoot等微服务开发框架，熟悉struts、 Hibernate、Spring、Spring MVC等框架4.熟练掌握http，tcp等网络协议，有通信协议设计经验，对JSONHTTP有深入了解5.熟悉 WebService 、HTML、jsp、servlet、web service、NodeJS等技术 6.熟悉 Mysql或Oracle 数据库，对数据库性能优化有一定经验7.了解并会使用 Maven开发，了解物联网相关通讯技术8.了解大数据相关技术，Hadoop、Hbase等相关知识,"移动互联网,数据服务",50-150人,大数据,无锡
