job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6799554.html,洪山区,20k-40k,北京金山云网络技术有限公司,5-10年,本科,三餐，七险一金，大平台,"1.理解业务分析需求，设计和开发对应的元数据模型/数据资产/数据治理工作，完成结构层次合理、灵活、可扩展的数据管理架构；2.开发数据生产、分析工具，不断提高数据使用效率；  3.负责数据仓库、数据中台和数据湖产品业务分析、设计、开发和维护； 4.负责指导初中级开发人员工作。岗位要求（参考）：1.计算机相关专业本科及以上学历，5年以上互联网数据开发工作经验； 2.具有扎实的计算机科学功底，扎实的Java编程基础和数据结构算法基础，熟悉Scale和python开发经验优先；3.精通数据仓库架构及原理，具备数据资产、数据治理、元数据模型设计和处理性能调优等相关经验； 4.有大数据分布式计算平台开发经验,熟悉Hadoop, Hive，Storm，Spark等大数据框架原理及应用； 5.善于交流，有良好的团队合作精神和协调沟通能力，有与产品、业务等多方密切配合的经验和意识。","移动互联网,数据服务",2000人以上,大数据,武汉
大数据开发工程师,https://www.lagou.com/jobs/7066343.html,洪山区,15k-25k,武汉卓讯互动信息科技有限公司,3-5年,本科,发展空间大,岗位职责 1、负责大数据平台的架构、研发和持续优化； 2、解决基础架构项目中的关键架构问题和技术难题，负责项目中关键技术难点的攻关； 3、负责游戏平台，物联网平台数据分析系统的搭建和开发工作； 任职要求 1、本科学历，至少3年的Java、scala或python编程经验，2年以上大数据大数据架构开发相关工作经验； 2、精通spark和hadoop全栈开发，具备大数据平台开发经验；使用hadoop及hadoop生态圈中的常用组件，如Spark、Hive、Kafka、Yarn、HBase、Presto； 3、拥有实际的Hadoop/spark的项目经验，具有相关系统的调优、运维、开发经验； 4、深刻理解hadoop/spark相关技术的原理和开发方法，熟练hadoop/spark平台的搭建部署、调优、故障诊断、运行维护的方法和工具； 5、对Linux操作系统熟练掌握，熟悉shell脚本编程；6、具备一定的数据的分析和理解能力。,"移动互联网,游戏",150-500人,大数据,武汉
大数据开发工程师,https://www.lagou.com/jobs/5563578.html,江夏区,16k-32k,北京小米科技有限责任公司,不限,本科,大平台 大发展,岗位职责：1、 负责公司级数据平台、数据仓库以及大数据架构的相关研发工作；2、 在公司内部，推动平台与数据的标准化管理工作，推广大数据相关的最佳实践；3、 通过技术手段提升平台与数据的质量与可用性。任职要求：1、 3年以上工作经验，拥有较扎实的编程基础，熟悉各种设计模式；2、 掌握分布式、高性能计算系统原理，从事过Hadoop、Spark、MPI相关的开发工作；3、 深入了解Kylin、Elastic Search、Druid等计算引擎。工作职责：1.参与数据仓库搭建和数据建模2.根据不同的业务场景，构建业务指标体系，建立和完善日常业务报告体系，能够及时、准确、完整的披露公司整体及各项目的运作情况任职要求：1.具备Java/Python/Scala开发经验2.精通SQL，有较好的SQL性能调优经验，理解Hive/Mysql 基本原理和调优策略3.了解Hadoop/HBase/Spark/Storm/Redis技术及其生态圈；4.熟悉数据仓库模型设计方法论，并有实际模型设计及ETL开发经验5.对数据敏感、对技术敏感，有研究的意识和直觉者更佳6.强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神加分项：1.熟悉常用的数据挖掘算法，有一定的数据价值输出经验和思考2.有从业务的实际问题和痛点出发，具体落地数据产品并对业务带来改善者优先,硬件,2000人以上,大数据,武汉
大数据开发工程师,https://www.lagou.com/jobs/6066758.html,东湖新技术开发区,13k-15k,武汉动游科技有限公司,3-5年,大专,"税后薪资,五险一金,弹性工作制,餐饮补贴","岗位职责：1、负责大数据产品编码实现，编写详细设计、部署文档等文档资料；2、参与系统框架搭建及数据库的优化与维护工作；3、参与技术预研、选型与技术攻坚工作。任职要求：1.  专科及以上学历，计算机或数学相关专业，3年以上大数据研发类软件开发经验；2、熟练掌握java、python或scala语言，熟悉数据结构和常用算法；3、熟悉IO机制、网络通讯、多线程等基础知识框架，熟悉缓存、消息队列、索引查询等机制；4、熟悉Hadoop、Spark、Storm、HBase，impala,kudu等，对其中2个或多个分布式系统有应用经验；5、保持大数据行业相关技术持续学习的热情，了解行业动态；6、有统计学数学知识，海量数据处理、数据分析和挖掘经验者优先；7、善于学习新事物，善于表达和沟通，有较强的分析和解决问题能力，良好的抗压能力和团队精神。",游戏,50-150人,大数据,武汉
大数据开发工程师,https://www.lagou.com/jobs/7089500.html,洪山区,12k-20k,武汉市多比特信息科技有限公司,3-5年,本科,充分授权 福利完善,岗位职责：1、参与公司大数据平台、BI系统的规划和设计；2、解决项目中的关键问题和技术难题；3、负责公司大数据平台的日常开发工作；4、负责公司大数据平台的日常维护和调优。职位要求：1、全日制本科以上学历，计算机相关专业；2、有2年以上大数据系统开发相关工作经验；3、熟练使用java、scala编程语言4、对多线程、数据结构、分布式算法等有深刻理解，有较强的问题分析解决能力；5、熟练使用hadoop、kudu、hive、Spark、Presto等大数据运算工具，并能够根据业务做性能优化6、熟练使用Kafka、flume、sqoop等工具7、熟练使用oracle、mysql、mongodb等数据库，熟悉redis缓存8、有大数据即席运算开发经验者优先，有休闲游戏领域数据挖掘经验者优化,"移动互联网,文娱丨内容",150-500人,大数据,武汉
大数据开发工程师,https://www.lagou.com/jobs/6915758.html,黄陂区,13k-20k,武汉卓尔数字传媒科技有限公司,3-5年,本科,上市公司 500强 五险一金 周末双休,"主要职责：1、负责大数据存储和计算平台建设及维护；2、负责大数据相关公共组件开发，包括但不限于etl相关工具，api接口等；    3、负责大数据实时计算平台架构及开发；    4、研究大数据前沿技术,不断优化和完善现有平台；任职要求：   1、3年以上基础平台、大数据、共性组件领域研发经验    2、熟练掌握hadoop、Spark、kafka,flume,flink,clickhouse等大数据开发工具    3、熟悉linux/unix系统及java,python、scala等任一开发语言；    4、有hadoop   ambari等大数据平台相关开发维护经验；    5、有flink,spark实时数据开发经验；6、有责任心,思维敏捷，对新技术敏感，有较强的钻研学习精神。",广告营销,150-500人,大数据,武汉
Java开发实习生（大数据） (MJ000018),https://www.lagou.com/jobs/6952882.html,洪山区,3k-6k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,职位描述:1、根据项目需求，参与技术方案设计及编码工作，按时保质完成项目交付；2、参与数据平台部大数据处理工作，负责数据采集、传输、计算、分析、存储等工作；3、参与大数据量、高并发数据服务平台建设，提供稳定可靠的数据服务；4、参与现有系统改造优化，沉淀工具及平台，提升系统可用性，降低开发维护成本。任职要求:本岗位为2021届实习岗位，实习2个月以上有留用机会。1、本科或以上学历，计算机相关专业；2、熟悉Java体系，理解JVM原理、熟悉IO、多线程、集合等基础框架，熟悉数据结构算法基础知识；3、了解互联网业务场景及Web应用相关技术；4、了解主流开源应用框架，如Spring、SpringMVC、MyBatis、SpringBoot、Docker、Dubbo等开发技术；5、熟悉大数据开源框架者优先，如Hadoop、Hive、HBase、Spark、Storm、ElasticSearch、Zookeeper、Kafka等。,文娱丨内容,2000人以上,大数据,武汉
Java开发工程师（大数据）,https://www.lagou.com/jobs/6953060.html,洪山区,10k-20k,武汉斗鱼网络科技有限公司,应届毕业生,本科,双休,工作职责：1、根据项目需求，参与技术方案设计及编码工作，按时保质完成项目交付；2、参与数据平台部大数据处理工作，负责数据采集、传输、计算、分析、存储等工作；3、参与大数据量、高并发数据服务平台建设，提供稳定可靠的数据服务；4、参与现有系统改造优化，沉淀工具及平台，提升系统可用性，降低开发维护成本。任职资格：1、本科或以上学历，计算机相关专业；2、熟悉Java体系，理解JVM原理、熟悉IO、多线程、集合等基础框架，熟悉数据结构算法基础知识；3、了解互联网业务场景及Web应用相关技术；4、了解主流开源应用框架，如Spring、SpringMVC、MyBatis、SpringBoot、Docker、Dubbo等开发技术；5、熟悉大数据开源框架者优先，如Hadoop、Hive、HBase、Spark、Storm、ElasticSearch、Zookeeper、Kafka等。,文娱丨内容,2000人以上,大数据,武汉
java开发工程师-大数据,https://www.lagou.com/jobs/6892177.html,江夏区,13k-26k,北京小米科技有限责任公司,不限,本科,"大平台,团队氛围,发展空间",岗位职责：1.负责参与大数据部门各BI系统建设和研发；2.负责建设公司级的用户画像系统。岗位要求：1.精通至少一门编程语言（Java/Scala/Python/C/C++），熟悉常用数据结构和算法，基础扎实；2.熟练掌握Java后端开发，具有高并发问题解决经验；3.对设计模式以及性能调优具有一定经验，了解分布式系统；4.熟练掌握Hadoop、Spark原理，能够分析解决项目中的问题；5.工作踏实认真，有较强学习能力和良好的团队沟通协作能力；6.有大数据系统研发经验，如Hadoop、Spark、Hive的实际项目运用优先；,硬件,2000人以上,大数据,武汉
大数据JAVA开发工程师,https://www.lagou.com/jobs/7011180.html,东湖新技术开发区,10k-15k,民生易贷（珠海）互联网金融信息服务有限公司,1-3年,不限,"双休,定期体检,节日福利,六险一金","岗位职责：1、构建并管理维护数据仓库中的元数据、主数据体系；2、参与数据中心大数据处理以及开发工作；3、参与大数据实时计算平台架构及开发；4、根据不同的业务场景，构建业务指标体系，建立和完善日常业务报告体系；5、负责数据中心的相关维护；任职要求：1、2年以上大数据开发相关经验；2、熟练掌握JAVA开发，熟练使用SQL，有较好的SQL性能调优经验；3、熟悉大数据开源技术及其生态圈，如Hadoop、Hbase、Hive、kudu、Kafka、Spark、Flink、ElasticSearch、Redis、kettle等；4、熟悉数据仓库模型设计方法论，并有数据仓库设计开发经验及ETL开发经验；5、有责任心,思维敏捷，对新技术敏感，有较强的钻研学习精神；6、有spark、flink实时数据开发经验优先；","移动互联网,金融",150-500人,大数据,武汉
