job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据开发工程师,https://www.lagou.com/jobs/6992876.html,岳麓区,13k-18k,中和农信项目管理有限公司,3-5年,本科,年底多薪 七险一金 大牛带队,"岗位职责：1、参与大规模数据系统的架构设计和应用，主要面向信贷业务方向；2、负责数据的开发和治理，满足可扩展性等业务指标；3、负责BI报表实现和数据服务需求；岗位要求：1、大学本科学历及以上；2、熟悉SQL,丰富的ETL设计和开发经验；3、对大数据理论、数据仓库理论、行业应用有一定的认识与研究，熟悉大数据相关技术；4、了解Hadoop各组件的原理和实现，具备故障排查能力，有很好的技术敏感度和风险识别能力；5、有阿里云大数据平台开发经验或金融风控领域的优先。","移动互联网,金融",2000人以上,大数据,长沙
大数据开发工程师,https://www.lagou.com/jobs/6893657.html,芙蓉区,8k-16k,中通服创发科技有限责任公司,3-5年,本科,双休，项目绩效奖金，一年两次调薪机会。,1.3年以上大数据平台开发相关经验2.熟悉大数据相关工具：如Hadoop、Hive、Hbase、MapReduce、pig、MPP等，并数量搭建相关集群环境3.有基于spark streaming/flink/storm实时数据流处理经验，对大数据平台处理流程与机制有深入全面的了解和把握4.熟悉Spark/Map-Reduce/Hadoop/Flink/storm分布式计算框架，进行海量数据模型设计、数据ETL开发5.熟悉大数据架构，有实际大数据项目落地经验6.熟悉java，python开发语言7.工作积极主动、有责任心,"移动互联网,电商",150-500人,大数据,长沙
政务大数据交付架构师,https://www.lagou.com/jobs/6897499.html,岳麓区,30k-50k,腾讯科技（深圳）有限公司,5-10年,本科,大平台、高福利,岗位要求： 1. 计算机、数学等专业本科或以上学历，5年及以上大数据相关工作经验；2. 对hadoop生态、实时计算框架非常熟悉，具备集群搭建、维护、监控能力；3. 熟悉Flume、Kafka、Storm、Spark、impala、Hive、Elasticsearch、Hbase等大数据技术至少精通其中三项以上；4. 具备大数据平台性能分析、debug、排障能力；5. 有大数据平台的数据流处理、监控经验优先；6. 至少实践过1个大数据平台建设项目，平台数据量不小于20T；至少参与交付过3个以上政务云/数据中台/应用相关的项目7. 具有百台以上大数据集群架构经验者优先，具有集群与集群之间数据交换经验者优先，具有政务行业大数据项目经验者优先。 通过腾讯云技术认证或同等资格认证的优先录取。岗位职责： 1. 政务大数据处理平台的架构设计和技术选型；2. 大数据处理平台实施方案的设计和规划；3. 技术难点攻坚；4. 项目整体进度的把控和风险控制；5. 培训及知识转移。6.负责腾讯WeCity未来城市政务项目（数据中台、AI中台、应用中台等）架构交付，保证项目按合同约定成功交付；,社交,2000人以上,大数据,长沙
大数据开发工程师,https://www.lagou.com/jobs/7214772.html,岳麓区,10k-15k,湖南德翌成信息技术有限公司,3-5年,不限,周末双休+入职即购买五险一金,工作职责： 1、参与数据调研、数据治理规划，梳理数据资产；2、负责数据采集、数据标准化处理，为团队提供优质数据；3、负责数据治理工作，包括但不限于模型设计开发、数据质量管理、元数据管理、数据安全管控、数据血缘分析以及数据服务治理；4、负责基于大数据hadoop生态及阿里云生态的ETL开发任务；5、管理并优化海量数据处理过程，包括但不限于离线数据处理、实时数据处理；6、配合PM完成数据模块的交付，及时满足客户现场的数据开发需求任职要求：1、2年以上大数据项目开发经验，对数据治理有一定的认知和项目经验；2、熟练掌握hadoop生态的开发技能，比如hive、spark、flink、kafka、hbase等，有二次开发经验优先；3、熟练掌握关系型数据库（如MySql或Oralce等），至少掌握一种nosql数据库；4、熟悉linux操作系统，会使用shell、python中的至少一种脚本语言，熟练掌握java、scala、python中的至少一种编程语言5、对数仓建设理论有充分的理解，具备利用Hive或MPP构建大数据仓库的设计能力，包括对数据分层标准、数据模型标准、主题划分标准、ETL开发标准等的设计和编制；6、对数据敏感，有数据分析、BI可视化、算法开发经验者优先；7、良好的沟通和理解能力，思路清晰，善于思考，能独立分析和解决问题，责任心强，具备良好的团队合作精神和承受压力能力。,软件开发,15-50人,大数据,长沙
大数据开发工程师,https://www.lagou.com/jobs/3521074.html,岳麓区,10k-15k,北京易观智库网络科技有限公司,3-5年,本科,五险一金、双休、项目奖金、水果下午茶等,工作职责：1、负责提升数仓的性能，关注数据质量，设计数据稽核工具；2、负责ETL关键任务的优化设计，协助解决开发过程中的技术难题；3.   负责通过数据分析和挖掘，支撑业务团队数据需求。任职要求：1、本科以上学历，至少3年以上大数据工作经验；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、具有很强的学习、分析和解决问题能力、良好的团队意识和协作精神，有较强的内外沟通能力；4、具有丰富的企业级数仓设计和的建模经验；5、具有移动互联网数据分析类产品的开发经验优先。,"移动互联网,数据服务",150-500人,大数据,长沙
大数据架构师（长沙） (MJ000391),https://www.lagou.com/jobs/7136000.html,芙蓉区,20k-30k,杭州玳数科技有限公司,5-10年,不限,阿里系创业、云计算生态、餐补、双休,职位诱惑：挑战，激情，技术大牛，扁平管理，弹性工作1、负责数据中台项目规划、技术架构等工作，包括数据采集、模型、网络、安全、质量等架构设计；2、和产品经理一起推进项目需求落地，将业务和产品需求转变成为技术实现方案；3、深入理解产品的需求、场景，参与核心模块代码开发；4、协同开发工作，确保项目开发的正常进行；5、作为关键技术攻坚人员，解决重大项目的技术疑难问题。并能有效地对新人进行辅导，带领团队快速提升；6、能从技术视角对项目边界、项目投入成本给出合理判断，控制项目风险。  岗位要求：1、本科及以上学历，5年及以上大数据开发经验，精通数据建模理论，丰富的数据仓库设计和大数据项目实施经验；2、熟悉常见的关系型、非关系型数据库的使用，熟悉分布式计算框架Hadoop/Spark/Fink中的至少一种，有Flink开发经验优先考虑，熟悉大数据其他技术栈；3、Java/Python等开发语言至少掌握一种；4、具有良好的沟通、组织能力，强烈的进取心和优秀团队合作精神，接受出差。,数据服务,150-500人,大数据,长沙
大数据开发,https://www.lagou.com/jobs/6896048.html,岳麓区,12k-20k,中兴通讯股份有限公司,3-5年,不限,大数据,1.端到端负责公司大数据应用产品设计、开发、部署、运营2.完成技术难点的攻关及大数据平台新技术的调研及选型任职要求：1、全日制本科及以上学历，计算机相关专业，扎实的Java语言基础和Linux编程基础； 2、3年大数据相关系统研发经验，有java后台开发经验和Flink开发经验者优先； 3、对大数据相关组件：Hadoop、Spark、Hbase、Hive、Kafka、Flume、Kylin、ElasticSearch等架构与底层实现有深入理解，； 4、具备构建稳定的大数据基础平台的能力，具备数据收集、数据清洗、数据仓库建设、实时流计算等系统研发经验； 5、工作有计划性，责任心和执行能力强，具备高度的责任心、诚信的工作作风、优秀沟通能力及团队精神。6、 对技术有热情，有不错的数据思维和敏感度，有一定的数据分析能力优先； 7、具备强烈的工作责任感，喜欢钻研，态度乐观，团队意识强。,"数据服务,信息安全",2000人以上,大数据,长沙
大数据开发,https://www.lagou.com/jobs/7179339.html,天心区,6k-8k,南京迈特望科技股份有限公司,1-3年,大专,大平台,大专及以上学历，1年以上工作经历；有数仓开发经验，会Oracle，DB2、mysql等关系型数据开发，会hive，hbase，Hadoop开发,"移动互联网,人工智能",500-2000人,大数据,长沙
大数据业务分析师(J11549),https://www.lagou.com/jobs/7167734.html,岳麓区,15k-25k,秒针信息技术有限公司,5-10年,本科,"大牛多,学习型组织",（该职位涉及长期出差）岗位职责：1.、负责数据中台项目现状需求调研、梳理、分析工作;2、负责政务行业的业务分析和展现3、负责政务信息资源目录的梳理工作；4、负责规划主题库/专题库数据模型及应用分析需求；5、带领完成数据分析、基础库及主题库的建模工作；6、管理客户的需求和问题，负责用户沟通、培训等；任职资格:任职要求：1、具有软件开发或需求分析相关工作经验者，掌握需求分析方法，熟悉需求管理和研发过管理程，逻辑思维能力和文档编写能力强；2、熟悉政务数据分析的建设流程及关键环节；3、工作热情、积极主动、耐心细致，具亲和力，善于沟通，能与客户保持良好的合作关系；4、思路清晰，有独立分析解决问题的能力；5、具有较强的沟通能力、责任心及团队合作精神，能够承担工作压力；6、有智慧城市及政务项目经验者优先；7、熟悉Tabelau、永洪、帆软、PowerBI等技术者优先；8、具备一定的组织领导能力，能妥善组织安排并指导组员工作；9、能接受出差优先。,"数据服务,广告营销",2000人以上,大数据,长沙
大数据分析-人工智能,https://www.lagou.com/jobs/7171445.html,岳麓区,8k-13k,湖南草花互动网络科技有限公司,1-3年,本科,五险一金、年度体检、父母津贴、无息贷款,岗位职责：1. 负责公司投放系统智能算法策略设计；2. 负责数据建模需求挖掘，基于数据驱动，为改进算法提供依据，并不断优化自动化系统的交互和策略升级；3.负责对公司业务数据整理、挖掘游戏的价值。岗位要求：1. 具备2年以上数据分析经验，有游戏、广告行业背景优先；2. 能够熟练使用R、Python工具；3. 对算法、人工智能、数据分析有深刻的理解，具备人工智能、大数据、广告效果数据分析背景或经验优先；4. 善于沟通，学习能力强，能承担一定的工作压力。,游戏,150-500人,大数据,长沙
