job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6566585.html,南山区,23k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责数据建模，业务、报表相关数据仓库的设计和开发；2、负责数据仓库ETL流程的设计、优化及解决ETL相关的开发；3、数据仓库和业务数据集市的构建；4、业务模型抽象、数据模型设计开发；5、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、五年及以上大数据开发、分析相关项目经验，有实际模型设计及 ETL 开发经验；3、有使用主流数据库技术，Python或 R 语言开发经验。熟悉 SQL 开发与复杂 SQL 优化；4、熟悉数据仓库和数据模型建设的相关技术细节，负责公司数据仓库的设计、优化、建模以及ETL开发；5、深入了解大数据计算平台架构和产品组件原理和应用场景，如消息队列， Spark, Hadoop, Hive, Flink，HBase, AWS,GCP,阿里云等。 加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情;6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,数据仓库,广东
大数据主管（偏数据仓库经验）,https://www.lagou.com/jobs/7114600.html,南山区,18k-30k,深圳深蓝保信息技术有限公司,5-10年,本科,行业引领者，大牛团队，互联网氛围,工作内容：1、建设公司级数据仓库，并根据业务变化持续迭代和优化；2、对业务数据进行梳理和抽象，建设数据仓库的数据模型；3、对业务数据进行采集、清洗、转换和存储；4、支撑BI、用户数据、用户运营、用户画像、推荐系统等核心数据平台产品；5、研究大数据前沿技术，不断持续优化大数据平台，为业务提供价值。岗位要求：1、本科及以上计算机、统计学、数据库、机器学习等相关专业，5年以上数据相关工作；2、对业务数据有敏锐的理解能力，并能快速梳理和分析业务数据；3、熟练掌握SQL语言、熟悉MySQL，对Shell、Java（主要开发语言）、Python编程非常熟悉；4、熟悉常用的ETL技术和原则；精通数据仓库数据库设计规范和实操；5、熟悉Hadoop、Hive、HBase、Spark、Storm等开源平台者优先；6、具有较强的分析和解决问题的能力，良好的学习能力和团队合作精神，追求价值实现，认同目标管理和敏捷。7、有大数据处理、数据平台、数据仓库经验者或数据挖掘算法优先；8、具有大数据团队管理和技术管理经验优先。,"金融,移动互联网",150-500人,数据仓库,广东
数据仓库研发工程师,https://www.lagou.com/jobs/5869657.html,罗湖区,16k-30k,深圳市阿卡索资讯股份有限公司,3-5年,大专,"五险一金,员工旅游,健身俱乐部,带薪年假",岗位职责：1、负责部门数据仓库和数据集市的模型设计、ETL开发与性能优化，为数据挖掘提供有效的数据2、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作3、理解并合理抽象不同业务需求，做较通用和系统性的支持。任职要求：1.有较好的数据仓库建模和ETL经验，可独立把控数据仓库的各层级设计，主导过中大型数据仓库的实施优先                            2.能适应和理解快速发展的业务，有较好的数据敏感度和良好的自驱力，对工作充满热情3.具备较强的编码能力，掌握 java/python/scala 开发语言之一，熟练使用 SQL 进行数据访问 4.精通 Hadoop生态系统基础设施：Flume、Kafka、Hbase、Hive、Spark、Storm、Presto等。5.善于沟通，具备优秀的技术与业务结合能力； - 有 PB 量级数据处理经验者优先；                                   - 有机器学习、数据挖掘、搜索经验优先 - 有团队管理经验者优先。,"教育,移动互联网",2000人以上,数据仓库,广东
数据仓库工程师,https://www.lagou.com/jobs/4326771.html,宝安区,13k-25k,深圳市递四方信息科技有限公司,3-5年,本科,"阿里系,自主研发,团队氛围好,技术大咖多","岗位职责： 1、参与据仓库的长期架构规划，与数据开发，建设共享大数据平台； 2、负责数据平台相关数据管理工作，如研发规范、质量规范、保障规范的制定与推动实施落地； 3、负责来自业务团队数据需求的研发支撑； 4、大规模数据挖掘和机器学习算法的实现和维护； 5、在线和离线海量数据分析平台的开发； 6、负责数据仓库的建设和维护,包括需求调研分析、软件规划、概念模型、设计逻辑、物理模型、数据处理（抽取、清洗、转化）、项目实施管控等； 7、负责制定数据接入和采集规范制定。  任职要求： 1、从事数据仓库领域工作2年以上； 2、熟悉数据建模、ETL设计与应用、报表开发等，并有实际模型设计及ETL开发经验 ；具有良好的编程习惯和文档编写习惯；  3、熟悉数据仓库领域知识和管理技能，包括但不局限于：元数据管理、数据质量、性能调优等； 4、掌握大型数据库开发技术，如Oracle、Teradata、DB2、Mysql等等掌握至少其中一种，灵活运用SQL实现海量数据ETL加工处理； 5、了解大数据基础架构和平台 ，具备相关产品（Hadoop、Hive、HBase、Pig、Sqoop、Spark等）项目应用研发经验，有MapReduce开发的实战经验者优先考虑； 6、熟悉linux系统； 7、熟练掌握python语言； 8、熟悉数据可视化的基本方法，有数据可视化的开发经验优先；  9、对数据敏感，具有良好的逻辑分析、责任心强、良好的对外沟通和团队协作能力","移动互联网,电商",500-2000人,数据仓库,广东
数据仓库工程师,https://www.lagou.com/jobs/6669003.html,南山区,20k-40k,微民保险代理有限公司,1-3年,本科,发展前景,,金融,500-2000人,数据仓库,广东
数据仓库工程师,https://www.lagou.com/jobs/7204938.html,福田区,18k-25k,广州市华矩商业信息科技有限公司,5-10年,本科,福利齐全 交通便利,1、根据数据库仓库及BI项目的需求，制定ETL相关的设计方案和开发计划，并进行后续的设计、实施、维护；２、负责数据源调研、入库、开发的全流程工作，并保证数据质量；３、负责数据仓库的模型的标准制定，实施，监督工作；承担数据抽取、清洗、转化等数据处理程序开发。  任职要求：1、本科以上学历，8年以上计算机相关经验；2、具有BI项目经验，熟悉数据仓库方法论和工作流程；3、熟悉Oracle、MySQL等主流数据库，能熟练进行SQL查询优化，有海量数据处理经验；4、熟悉数据标准管理、元数据管理、数据质量管理。,数据服务,15-50人,数据仓库,广东
数据仓库工程师,https://www.lagou.com/jobs/6881561.html,天河区,12k-24k,广州探途网络技术有限公司,3-5年,本科,五险一金 年底双薪 周末双休 境外旅游,工作职责：1、根据要求完成项目的数据开发和完成BI报表；2、协助搭建，完善数据仓库；3、匹配业务场景，设计数据建模解决方案；4、开展数据挖掘分析算法、工具研究工作，研发创新方法解决业务问题，并组织相应方法、工具的引入，技术规范制定和推广。任职要求：1、统招本科及以上学历，统计学、数学或计算机专业；2、掌握sql，了解一门编程语言，如java、python、R等；3、使用、掌握一门可视化工具，如tableau；4、熟练掌握数据仓库建模思想，有数据仓库搭建经验优先；5、了解hadoop生态各组件如hive、hbase，spark等的基本原理和使用；6、较强的学习能力和沟通能力，执行力强，具备团队精神。,电商,500-2000人,数据仓库,广东
大数据开发工程师(数据仓库方向),https://www.lagou.com/jobs/4871180.html,福田区,15k-30k,中国平安人寿保险股份有限公司,3-5年,本科,"技术氛围好,福利待遇高,大牛在身旁",工作职责：1、 从保险互联网具体的场景和问题出发，建立不同主题的数据仓库/数据集市；2、基于hadoop对数据集市进行加工整合、深度分析，挖掘数据价值，并把数据整合成数据产品，提供数据服务3、负责特定专项场景的数据深入分析，并找出潜在的问题所在，用数据说话并提供解决方案；4、参与AI应用系统的模型应用上线和效果评测，包括系统设计、模型上线、效果追踪和迭代优化等；应聘要求：1、本科及以上，计算机、统计、数学等相关专业2、2年以上大数据开发经验，有海量数据开发经验者优先；3、熟练掌握hadoop/spark生态体系，深入理解HDFS和MapReduce原理及优化技巧，掌握scala尤佳；4、具备强悍的编码能力，熟悉 linux环境，工程实现能力强；5、熟练掌握数据仓库概念，精通SQL，有使用一种ETL方式经验优先；6、熟练掌握数据仓库开发从需求沟通、标签定义、mapping规范、编码开发、测试验收、版本移交到生产验证整个流程；7、能独挡一面，具有高度的责任心和团队合作精神,金融,2000人以上,数据仓库,广东
0231CB-大数据开发工程师(数据仓库),https://www.lagou.com/jobs/6927184.html,福田区,10k-20k,中国平安人寿保险股份有限公司,1-3年,本科,"五险一金,带薪年假,节日福利,年终分红",,金融,2000人以上,数据仓库,广东
XLF-数据仓库经理(数据集市),https://www.lagou.com/jobs/7052638.html,南山区,20k-30k,深圳前海微众银行股份有限公司,3-5年,本科,五险一金 绩效奖金 带薪年假,"岗位职责： 1、深入了解零售信贷业务，负责收集相关业务分析需求，有针对性的进行数据仓库设计、建模以及ETL开发；2、参与制定并实施数据质量的监控与保障方案参与制定并实施数据质量的监控与保障方案；3、 参与制定优化数据仓库底层物理架构设计与实施，提升数据仓库计算性能；4、 建立和维护系统及业务层数据字典。任职要求：1、较高的技术钻研能力、解决技术难点的科研攻关能力，和较强的创新能力；2、对业务和数据有很高的敏感度，能够主动发掘业务和数据之间的联系，具备优秀的逻辑思维能力和分析判断能力；3、主动学习能力强、承压能力较好；4、精通Hive,Python,Hive,SAS等数据开发工具。",金融,2000人以上,数据仓库,广东
