job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6961460.html,高新区,15k-25k,上海帜讯信息技术股份有限公司,5-10年,本科,"发展空间大,管理规范,工作氛围好",1、负责数据仓库、数据集市的数据模型设计2、数据仓库、数据集市的数据模型设计3、数据仓库技术架构选型、ETL工具选型、数据仓库架构设计、ETL流程设计4、数据仓库类项目中的数据治理工作5、数据仓库、数据集市、数据治理中的模型优化6、数据仓库技术架构、ETL工具、数据治理工具等的功能扩展与性能优化工作1、熟悉数据仓库各类模型建模理论，了解数据仓库数据分层架构，精通3NF和多维数据模型设计2、有主导地产、零售等领域的数据仓库建模的经验3、具备大型数据仓库架构设计、模型设计、模型优化、ETL设计的相关4、熟悉DB2、Oracle、Mysql、Postgresql等主流数据仓库模型设计之一5、熟练使用Hadoop、Hive、oozie、sqoop，Spark等并具有优化经验优先6、具备海量数据处理、性能调优经验7、快速的业务学习和理解能力,企业服务,500-2000人,数据仓库,成都
数据仓库开发工程师,https://www.lagou.com/jobs/6501638.html,高新区,30k-60k,北京字节跳动科技有限公司,不限,本科,六险一金，免费三餐，带薪休假，职业大牛,,文娱丨内容,2000人以上,数据仓库,成都
数据仓库开发工程师,https://www.lagou.com/jobs/7147721.html,高新区,10k-15k,成都极米科技股份有限公司,不限,本科,独角兽 数据仓库,,"电商,硬件",500-2000人,数据仓库,成都
腾讯云数据库研发高级工程师,https://www.lagou.com/jobs/5364311.html,高新区,20k-40k,腾讯科技（深圳）有限公司,3-5年,不限,腾讯云数据库研发高级工程师,5年以上工作经验，计算机相关专业本科以上学历； 具有kubernetes和docker经验，在容器化和持续集成方面有丰富经验值优先； 熟悉Linux环境下的 c/c++/go/python/php任一种语言，具有较好的系统分析设计能力；  熟悉Linux网络编程、熟悉互联网业务开发； 具备大型分布式系统后台研发经验，具有海量并发开发经验，对Mysql、MongoDB、大数据系统有任一经验者优先； 积极进取、诚实正直、责任心强，有较好的沟通能力。,社交,2000人以上,数据仓库,成都
数据库产品经理,https://www.lagou.com/jobs/5319465.html,高新区,25k-50k,腾讯科技（深圳）有限公司,3-5年,本科,云计算，热门行业,工作职责：负责腾讯云数据库的产品规划、竞品分析以及设计工作；负责腾讯云数据库的产品特性策划，特性推动；负责腾讯云数据库产品影响力打造；协调组织各个团队和各类资源达成产品目标   工作要求：计算机或相关专业本科或以上学历，3年以上相关工作经历；对常见数据库如Mysql，SQLServer，Oracle ，PostgreSQL ，或者MonongDB ，Redis等有使用或运维经验；对数据数据库原理，数据库的备份、主备同步等有一定了解；熟悉产品策划基本工作流程；参与过产品立项、设计、研发、推广应用及维护改进的整个过程；强烈的市场导向和创新意识；,社交,2000人以上,数据仓库,成都
数据仓库架构师,https://www.lagou.com/jobs/7088064.html,高新区,20k-30k,重庆传晟酷德大数据科技有限公司,10年以上,本科,专业分享的团队氛围，广阔的职业发展空间。,岗位职责 1. 负责数据仓库产品及应用服务架构设计及研发； 2. 负责数据仓库建模、调度系统的设计和开发指导； 3. 负责数据仓库ETL流程的优化及解决ETL相关技术问题； 4. 参与数据产品设计和评审，保障数据平台架构稳定； 5、负责元数据、数据标准、数据质量、数据安全、数据资产目录等功能总体方案设计；6、负责推进数据治理实施方案制定及落地，支撑数据湖和数据中台的建设； 7. 指导和协助团队内其他成员，完成公司安排的其他数据相关工作和任务。 任职要求 1.本科及以上学历，计算机、数学、统计学相关专业， 熟悉数据仓库的ETL的开发和数据建模，6年以上数据仓库实施经验； 2. 熟悉数据仓库各类建模理论，具备大型数据仓库架构设计、模型设计和处理性能调优等相关经验； 3. 2年以上Java或者Python软件项目开发经验； 4. 熟悉MySQL、Redis，Mongo等关系型内存数据库的应用开发；                 5. 良好的沟通能力和团队管理经验。,数据服务,150-500人,数据仓库,成都
DBA/数据库工程师,https://www.lagou.com/jobs/7196515.html,高新区,12k-20k,成都星合互娱科技有限公司,1-3年,本科,六险一金、包饭、带薪年假、全勤奖,"工作职责:1. 负责数据仓库的日常维护；2. 数据接入平台，负责对接内外部数据源，对数据进行清洗和加工；3. 负责公司内数据集市的建设与维护；4. 负责与业务部门对接沟通数据问题，并及时提出解决方案；任职资格:1. 计算机/统计学/信息与计算科学等相关专业本科及以上学历；2. 3年以上数据仓库项目、大数据工作经验；3. 理解数据模型和数据仓库，有数据仓库建模，有ETL等经验着优先；4. 精通SQL，有较好的SQL调优经验，熟悉主流数据库存储过程的开发；5. 具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑；6. 工作认真、负责，有良好的团队合作精神，良好的分析能力与沟通技巧,能承受较大的工作压力；7. 数据敏感，较强的逻辑思维及数据分析能力，有游戏行业相关业务经验者优先；",游戏,50-150人,数据仓库,成都
高级数据仓库工程师,https://www.lagou.com/jobs/6039379.html,双流区,16k-30k,贵州海康交通大数据有限公司,3-5年,本科,大平台 大数据 技术大牛领导,岗位要求：1、有至少3年数据仓库实施及至少2年模型设计经验，本科以上学历；2、深入理解DW，BI相关的知识，包括：ETL、数据仓库、OLAP、3NF和多维数据模型设计等；3、熟悉数据仓库建模理论，以及数据仓库数据层级关系，精通多维数据模型设计，具备大型数据仓库架构设计、模型设计和处理性能调优等相关经验；4、熟练使用主流数据模型设计工具。精通SQL，能够熟练使用HiveQL和Spark SQL进行数据开发，熟悉Hive数据模型优化；5、熟悉DB2、Oracle、Teradata、Greenplum等主流数据仓库模型设计之一 6、熟悉Hadoop、Hive，具备海量数据处理和性能调优经验，对Hadoop、Hive源码有研究更佳7、学习能力强，优秀的逻辑思维能力和业务需求分析能力，较好的沟通交流能力，能够迅速融入团队岗位职责：1、规划业务主题模型，与业务沟通并管理数据需求；2、数据仓库和数据集市建设，数据模型设计和推进开发；3、负责数据治理，梳理工作流程和方法，保证口径统一、指标规范、数据准确；4、培养团队数仓能力,"移动互联网,数据服务",50-150人,数据仓库,成都
数据库开发工程师,https://www.lagou.com/jobs/7027017.html,武侯区,8k-16k,四川锦程消费金融有限责任公司,3-5年,本科,"互联网金融,发展空间,稳定平台,薪酬福利","工作职责:1. 负责数据仓库的日常维护；2. 数据接入平台，负责对接内外部数据源，对数据进行清洗和加工；3. 负责公司内数据集市的建设与维护；4. 负责与业务部门对接沟通数据问题，并及时提出解决方案；任职资格:1. 计算机/统计学/信息与计算科学等相关专业本科及以上学历；2. 3年以上数据仓库项目、大数据工作经验；3. 理解数据模型和数据仓库，有数据仓库建模，有ETL等经验着优先；4. 精通SQL，有较好的SQL调优经验，熟悉主流数据库存储过程的开发；5. 具备出色的需求分析能力及快速学习能力，能深入理解复杂的业务逻辑；6. 工作认真、负责，有良好的团队合作精神，良好的分析能力与沟通技巧,能承受较大的工作压力；7. 数据敏感，较强的逻辑思维及数据分析能力，有消费金融相关业务经验者优先；",金融,150-500人,数据仓库,成都
数据仓库开发,https://www.lagou.com/jobs/6509130.html,高新区,9k-16k,上海华钦信息科技股份有限公司,3-5年,本科,六险一金，年终奖,1.  3年左右数据仓库开发经验2.  平台不限，DB2/Oracle/SQL Server/Teradata/Hadoop都可3.  有报表开发经验更好如QlikView/BO (Business Objects)/Cognos/Power BI4.   一定的英文交流能力,"数据服务,金融",500-2000人,数据仓库,成都
数据库管理员,https://www.lagou.com/jobs/7107514.html,高新区,7k-9k,成都厚立信息技术有限公司,1-3年,本科,项目奖/交通补助/全勤奖/电脑补贴,"岗位职责：1、负责数据库日常管理；2、负责数据库性能监控分析与调优，排错，保证数据安全；对发现的问题及时处理或提出解决方案；3、对现有sql储存过程、脚本进行维护；4、对公司和客户日常数据进行清洗、处理、分析、归档及更新。岗位要求：1、计算机相关专业,一年以上相关工作经验；2、熟悉winserver和Linux系统；3、熟练操作主流数据库，如Oracle、SQL server、MySQL等；4、熟悉医院各系统数据结构；5、有一定的数据库管理、性能调优经验；6、熟悉BI工具，如ETL工具datastage、报表工具cognos,FineBI等。","医疗丨健康,数据服务",50-150人,数据仓库,成都
