job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/5478779.html,余杭区,12k-24k,杭州排列科技有限公司,1-3年,本科,晋升空间、季度奖金、明星团队,1、负责大数据平台的部署运维工作；2、负责数仓的ETL、调度的开发优化工作；3、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务。 职位要求： 1、计算机或者相关专业本科及以上学历，两年以上ETL、数仓等相关业务开发经验； 2、熟悉Hive、Impala的架构，有大规模复杂场景下的应用经验；3、熟悉Shell、Python、Java之一。加分项：1、熟悉银行数仓架构；2、做过数仓模型优化。具体薪酬以面议为准。,"移动互联网,金融",50-150人,数据仓库,杭州
数据仓库工程师,https://www.lagou.com/jobs/6934818.html,西湖区,20k-40k,杭州有赞科技有限公司,不限,不限,创新业务，发展前景好,工作职责:1. 负责有赞数据仓库的数据模型设计和ETL开发；2. 发掘数据的商业价值，深入电商、新零售、金融、广告等业务，探索数据资产变现方法。工作内容：1. 负责业务线的数据模型设计和开发落地，建立规范化、稳定可靠的数据体系；2. 通过数据为业务赋能，降低需求方的数据使用成本，设计和开发大数据产品和解决方案发挥数据价值。任职要求:1. 熟悉企业级数据仓库开发，包括开发规范、维度建模、指标规范，具备成功的项目案例；2. Hadoop生态下能熟练使用SQL，熟悉Hadoop/Spark/Hive原理，有Kylin使用经验者优先；3. 对数据敏感，具备较好的数据分析意识，具备数据驱动业务的能力；4. 熟悉主流的互联网数据平台，以及由数据衍生的各种产品。如果你还没有准备好，可以参考以下tips来接近你的目标喔：1. 学习和实践数据仓库建模理论，关注数据资产治理相关事项；2. 学习Hadoop生态相关技术；3. 了解业界主流的用户行为分析系统、数据可视化系统；4. 了解大数据在各个行业的产品和解决方案。,企业服务,2000人以上,数据仓库,杭州
数据仓库工程师,https://www.lagou.com/jobs/7180892.html,余杭区,15k-25k,上海启屏科技有限公司,3-5年,本科,年轻团队，扁平化管理,岗位职责：1、基于阿里云Maxcompute/ODPS进行数据开发、画像数据分析、业务数据分析工作2、负责公司数据平台架构设计、优化、治理、运维工作3、理解业务需求，负责数据仓库建设、数据指标、数据接口、ETL流程的开发和优化工作岗位要求：1、计算机相关专业、本科及以上学历，3年以上大数据开发及架构设计经验2、熟悉Java、SQL语言，熟悉Python、Shell等一种脚本语言3、熟悉Maxcompute/ODPS相关数据开发技术栈，有丰富的海量数据处理、优化经验4、具有较强的业务理解能力，具备创新精神，良好的逻辑思维和语言表达能力5、具有数据管理、数据服务等方案规划和落地经验优先考虑6、具有电商行业大数据工作经验优先考虑,"电商,人工智能",50-150人,数据仓库,杭州
数据仓库工程师,https://www.lagou.com/jobs/7199946.html,江干区,15k-30k,北京闪银奇异科技有限公司,3-5年,本科,丰厚年终奖，七险一金 ，免费午餐，团建,1、设计和构建鄞州银行网贷系统的数据中台，能解决开发过程中遇到的技术问题2、负责搭建鄞州银行网贷系统的标准BI平台3、应用统计建模、数据挖掘、机器学习等方法，解决业务中的实际问题 职位要求1、工作地点在杭州，每年在宁波工作时间不少于4个月2、 本科及以上学历，3年以上工作经验，有互联网、金融行业数据分析经验者优先3、 熟练使用SQL，能使用python/java编程，熟悉Hadoop、Hbase、Storm、Kafka等大数据处理框架4、有较强的学习能力和良好的沟通能力5、有自驱力，能承担一定压力，工作结果导向,"移动互联网,金融",500-2000人,数据仓库,杭州
资深数据库DBA,https://www.lagou.com/jobs/7175751.html,江干区,10k-20k,苏州天乙佳网络科技有限公司杭州分公司,3-5年,大专,五险一金 高速发展 福利齐全 股票期权,"【职位描述】1:数据库（MySQL，mongoDB等，分布式数据库）的维护和监控；2:故障排查，负责分析并解决数据库的性能问题,能及时准确的定位问题根源；3:协助研发进行数据库设计、SQL编写规范，配合开发进行SQL审查；4:建立并完善数据库平台建设标准和规范，撰写数据库相关操作手册、维护技术文档；5:数据库开发支持，负责相关业务的数据建模、设计评审、SQL代码审核等；6:负责自动化工具及数据库平台开发。【职位要求】1:大学本科以上学历，3年以上专职DBA经验，熟悉数据库管理维护，有互联网大规模系统运维经验者有限；2:熟悉linux系统，熟练使用Java/Shell/Python中至少一种语言，有项目开发经验者优先,对数据库部署，备份，还原，性能调优有丰富经验；3:具有较强的学习能力、逻辑分析、数据分析能力、问题排查能力、数据库优化能力；4:具有较强的工作主动性，工作认真、负责、细致、敬业、细致；5:有钻研新技术的热情和能力，善于交流和表达，富有团队精神，具有一定的管理组织能力。",电商、社交,500-2000人,数据仓库,杭州
数据仓库架构师,https://www.lagou.com/jobs/6265735.html,西湖区,15k-30k,杭州涂鸦信息技术有限公司,3-5年,本科,行业前景好 技术导向 团建 团队氛围好,岗位职责1.参与公司数据仓库建设（离线，实时数据仓库），参与数据仓库的基础架构、ETL设计、流程优化，元数据系统设计，整体管理数据的生产、建模、应用及监控体系建设；2.参与数据仓库平台建设，设计并实现，数据产品开发；3.负责数据仓库某个团队的日常管理、以及团队的技术提升；4.对各类数据整合分析，挖掘用户，产品及潜在数据信息，为运营决策体系提供充足的数据平台支持；5.协助分析师团队推动数据驱动产品迭代。6.建设数据指标体系和经营分析模型，普及数据在各层级用户间使用，提升数据文化实现数据价值；职位要求：5年以上数仓开发经验 、有2年及以上的团队管理经验；1. 对数据敏感，有较强的逻辑分析能力，对 (大) 数据处理和分析有多年从事经验，有复杂业务和算法的数据平台建设经验；2. 熟练运用各类SQL，对sql优化经验丰富，有Spark，MR 实战经验优先；3. 数据仓库有较扎实的理论基础，数据模型建设、应用层建设有比较丰富的经验； 4. 有Hadoop2、Hive、Spark/Streaming、Kafka、Flume、Presto、kylin等大数据技术使用经验者优先；5. 精通Java/Scala/Python语言中至少一种优先。,"移动互联网,硬件",500-2000人,数据仓库,杭州
时序数据库工程师,https://www.lagou.com/jobs/5462397.html,西湖区,15k-30k,杭州涂鸦信息技术有限公司,5-10年,本科,氛围轻松， 定期团建，技术导向,"职位描述:1、负责分布式时序数据库存储和计算相关的研究和开发。2、负责时序数据分析系统的探索和研发3、负责时序数据查询性能的优化工作职位要求：1、五年及以上的数据库、存储、实时计算、分布式计算、分布式系统、大数据等领域的相关经验。2、熟练掌握至少一种下列编程语言 java、C++、golang。java优先。3、熟练掌握多线程、异步编程、网络编程技术，并且有丰富的实际项目经验。4、熟悉分布式系统理论，对分布式协议、时序索引结构、近似查询索引、一致性协议、存储引擎、查询优化等分布式数据库相关技术的优先5、对时序数据库引擎和系统OpenTSDB、Kairosdb、InfluxDB、Druid等有深入研究和相关经验的优先。 6、有MySQL、PostgreSQL等数据库相关源码经验的优先。7、有IoT系统相关实现经验、对实时处理有大规模应用经验的优先。中间件团队专注于提升涂鸦全球化IoT平台能力,研发改进:数据脱敏合规、全球跨域RPC、分布式内存数据库、海量消息、时序数据库、全球跨域数据同步等IoT场景中间件.不定期组织稳定性对抗演习,红方(研发团队)在蓝方(测开或SRE)停止服务器、Redis、数据库(根据业务场景设定)的情况下保持中间件的可用性,欢迎喜欢挑战的朋友入伙！","移动互联网,硬件",500-2000人,数据仓库,杭州
资深数据库管理员（DBA）-网易严选,https://www.lagou.com/jobs/6891762.html,滨江区,25k-40k,网易（杭州）网络有限公司,3-5年,本科,严选,,电商,2000人以上,数据仓库,杭州
数据库工程师,https://www.lagou.com/jobs/7024119.html,西湖区,8k-15k,杭州每天健康科技有限公司,1-3年,大专,五险一金,岗位职责：1.负责与医院系统进行数据对接的开发；2.分析医院体检系统数据库结构实现业务对接；3.能够针对问题进行定位并解决；任职要求：1.一年以上数据库相关开发经验；2.熟悉Oracle和MS SQLServer数据库，精通PL/SQL和存储过程的设计和开发；3.对数据敏感，致力于数据相关的技术工作；4.有医疗行业从业经验者优先；5.热爱技术，了解C＃语言者优先；,"移动互联网,医疗丨健康",150-500人,数据仓库,杭州
DBA数据库工程师,https://www.lagou.com/jobs/6515784.html,江干区,15k-30k,浙江单创品牌管理有限公司,5-10年,本科,发挥空间大,"工作职责:1. 负责数据库日常运维，包括安装、变更、备份、容灾、调优；2. 负责数据库审核、SQL审核，及时响应开发人员的数据库请求；3. 负责数据库的监控建设与维护，快速的故障诊断和排除；任职资格:1. 具有3年以上DBA经验；2. 掌握mysql数据库运行机制、体系架构及主从复制;3. 掌握mysql性能分析调优;4. 掌握主流mysql高可用架构方案、熟悉分库分表架构；5. 掌握Linux系统，能编写shell或python脚本;6. 熟悉redis, mongodb及分布式数据库;","移动互联网,电商",500-2000人,数据仓库,杭州
