job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据库工程师,https://www.lagou.com/jobs/7078896.html,高新园区,2k-3k,上海华钦信息科技股份有限公司,应届毕业生,本科,"技能培训,弹性工作,周末双休,带薪年假",1.2021届计算机，软件，信息，通信，电子，数学等IT理工科相关专业本科毕业生。2.有志于从事IT行业，对软件开发有着浓厚的兴趣有强烈的从业愿望。3.充足的实习时间，一周实习5天者优先考虑。4.具有英语CET-4/6或良好的英语读写能力者优先考虑。 5.具有敬业协作，工作踏实、积极正向、具有良好分析和解决问题及团队合作精神。6.表现良好者毕业提供转正留用机会。,"数据服务,金融",500-2000人,数据仓库,沈阳
数据工程师,https://www.lagou.com/jobs/6522387.html,高新园区,6k-10k,北京国泰智慧医疗科技有限公司,1-3年,本科,五险一金、带薪年假、节日福利卡、各种补助,"岗位职责：* 管理和维护多种业务数据库（postgres, oracle，mongodb，sqlserver），为数据分析/处理需求提供高可用性、高性能的数据库系统；* 跟进业务需求，参与数据库架构设计、数据结构优化、ETL、数据仓库，BI等方面工作，并予以实施；* 在线数据服务的开发与实施；* 负责数据库监控、故障处理、性能优化与数据安全，有能力评估和提供相关解决方案；岗位要求* 计算机相关专业，本科及以上学历，2年以上开发经验；* 具备较强的学习能力和对新技术的探索精神；* 精通数据库原理、数据库核心参数的设置和调整，熟悉SQL脚本及数据库触发器、存储过程的编写，熟悉查询优化，索引结构及使用；* 熟悉一种以上主流开发语言（python, java等）、开发框架及开发工具，有数据密集型业务系统开发经验者优先；* 熟悉主流操作系统（Linux, Windows)的管理和配置；* 有BI项目开发与实施经验者优先。",医疗丨健康,150-500人,数据仓库,沈阳
产品经理,https://www.lagou.com/jobs/3015976.html,中山区,8k-12k,大连大商天狗电子商务有限公司,3-5年,本科,福利全,岗位职责:1、负责商业数据平台产品的设计，根据商业产品及各业务方的实际需求，规划并推进商业数据平台的建设；2、全方面理解和分析商业平台数据，推进产品改进及对产品改进提供数据支持； 3、整理、提炼已有的数据报告，发现数据变化，进行深度专题分析，形成结论，撰写报告； 4、通过数据挖掘和统计报表，提升产品部门和业务部门的数据透明度，提升商业体系效率； 5、熟练运用各种内外部数据统计工具，快速响应各个部门的数据需求； 任职资格： 1、2年以上数据或互联网相关工作经验；有数据分析数据挖掘商业或用户行为研究的项目实践经验，熟悉数据仓库技术，最好有BI实践经验。 2、有扎实的分析理论基础，精通1种以上统计分析工具软件，熟练使用Excel、SQL，熟悉Hiveql的更好。 3、自我驱动力强，心态好，能承受挫折与压力。具有良好的沟通能力、协调能力，团队协作意识强。有较强的学习、逻辑思维及分析能力 4、对电商或零售相关产品较为熟悉的优先考虑,"移动互联网,消费生活",150-500人,数据仓库,沈阳
数据平台架构师,https://www.lagou.com/jobs/6795459.html,高新园区,20k-25k,亚信科技（中国）有限公司,5-10年,本科,五险一金、补充医疗保险、年底双薪,岗位职责：1、参与大数据架构研发，并主导某一个架构方向；2、研究大数据技术的发展，并引入到公司技术架构； 3、指导大数据工程师的日常工作，并培养技术骨干。 任职资格： 1、计算机相关专业本科或以上学历； 具有5年以上大数据相关开发经验；2、对HadoopHiveSpark 等等大数据常用技术有深刻理解，能够带领团队进行技术攻坚，完成中间件的实施、改造、调优；3、精通海量数据和实时数据的分析处理，能对线上的数据处理性能问题做调优；4、精通数据仓库以及维度建模原理，有大型数据仓库建设经验；5、精通关系型数据库和NoSQL数据库的使用，熟悉相关理论；6、善于学习新知识，对工作热情，较强沟通能力，团队协作精神，敬业，责任心强。7、有电信行业大数据处理项目经验者优先。,"企业服务,移动互联网",2000人以上,数据仓库,沈阳
数据开发工程师,https://www.lagou.com/jobs/6795450.html,高新园区,15k-20k,亚信科技（中国）有限公司,5-10年,本科,五险一金、补充医疗保险、年底双薪,Hive，Linux，MySQL，数据仓库，数据架构，数据挖掘1、计算机本科及以上学历，至少3年大数据工作经验；2、精通Java、Python编程语言，熟练使用多线程编程技术，具备海量数据处理以及性能优化的能力；3、熟悉Hadoop/Spark/Hbase/Hive/Storm/Flink等大数据开源框架；4、熟练掌握Ngix/Redis/Kafka/ZK等分布式开源框架的原理和使用；5、掌握大型数据库开发技术，如Oracle/DB2/MySQL等至少一种，能灵活使用SQL实现海量数据的加工处理和性能调优；6、熟练掌握Linux系统，熟悉Linux Shell编程；7、善于学习新知识，对工作热情，较强沟通能力，团队协作精神，敬业，责任心强；8、有电信行业大数据处理开发经验者优先。,"企业服务,移动互联网",2000人以上,数据仓库,沈阳
数据仓库工程师,https://www.lagou.com/jobs/6566585.html,南山区,23k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责数据建模，业务、报表相关数据仓库的设计和开发；2、负责数据仓库ETL流程的设计、优化及解决ETL相关的开发；3、数据仓库和业务数据集市的构建；4、业务模型抽象、数据模型设计开发；5、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、五年及以上大数据开发、分析相关项目经验，有实际模型设计及 ETL 开发经验；3、有使用主流数据库技术，Python或 R 语言开发经验。熟悉 SQL 开发与复杂 SQL 优化；4、熟悉数据仓库和数据模型建设的相关技术细节，负责公司数据仓库的设计、优化、建模以及ETL开发；5、深入了解大数据计算平台架构和产品组件原理和应用场景，如消息队列， Spark, Hadoop, Hive, Flink，HBase, AWS,GCP,阿里云等。 加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情;6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,数据仓库,沈阳
数据BP-点评APP数据仓库开发,https://www.lagou.com/jobs/6786138.html,长宁区,25k-40k,北京三快在线科技有限公司,3-5年,本科,上市公司 核心部门 大牛云集,,消费生活,2000人以上,数据仓库,沈阳
两轮-高级数据仓库工程师,https://www.lagou.com/jobs/7168224.html,朝阳区,25k-50k,北京三快在线科技有限公司,5-10年,本科,大数据，高并发,,消费生活,2000人以上,数据仓库,沈阳
数据仓库研发工程师,https://www.lagou.com/jobs/5869657.html,罗湖区,16k-30k,深圳市阿卡索资讯股份有限公司,3-5年,大专,"五险一金,员工旅游,健身俱乐部,带薪年假",岗位职责：1、负责部门数据仓库和数据集市的模型设计、ETL开发与性能优化，为数据挖掘提供有效的数据2、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作3、理解并合理抽象不同业务需求，做较通用和系统性的支持。任职要求：1.有较好的数据仓库建模和ETL经验，可独立把控数据仓库的各层级设计，主导过中大型数据仓库的实施优先                            2.能适应和理解快速发展的业务，有较好的数据敏感度和良好的自驱力，对工作充满热情3.具备较强的编码能力，掌握 java/python/scala 开发语言之一，熟练使用 SQL 进行数据访问 4.精通 Hadoop生态系统基础设施：Flume、Kafka、Hbase、Hive、Spark、Storm、Presto等。5.善于沟通，具备优秀的技术与业务结合能力； - 有 PB 量级数据处理经验者优先；                                   - 有机器学习、数据挖掘、搜索经验优先 - 有团队管理经验者优先。,"教育,移动互联网",2000人以上,数据仓库,沈阳
数据仓库工程师（数据建模）,https://www.lagou.com/jobs/7202703.html,朝阳区,15k-30k,深圳市赢时胜信息技术股份有限公司,3-5年,本科,优秀团队 办公环境优越 交通便利,"岗位职责：1. 参与项目中数据仓库的构建和维护，知识库的更新和数据融合工作；2. 充分理解业务需求，不断完善的数据体系，建设稳定、高效的数据仓库；3. 思维敏捷、抗压力强，有较好沟通能力，有团队合作意识。任职资格：1. 本科及以上学历，计算机应用等相关专业2. 3年以上数据仓库工作经验；TB级以上数据仓库建模经验3. 精通一种大型关系数据库的系统结构、存储模型、SQL语言（DB2,oracle,其他）,熟悉使用大数据存储及查询（HDFS、Hive、Hbase）4. 熟悉数据仓库各类建模理论，具备大型数据仓库逻辑模型和物理模型设计开发经验；5.熟悉数据OLAP相关技术，具有丰富的数据开发经验,对数据处理、数据建模、数据分析等有深刻认识和实战经验；6. 熟练使用EA或者PowerDesigner模型管理工具；7. 熟悉ETL操作流程，熟悉Infromatic、DataStage、KETTLE等至少一种ETL主流工具。8. 参加过专业数据仓库系统建模培训者优先,有金融行业、数据中台相关工作经验者优先",金融,500-2000人,数据仓库,沈阳
