job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据仓库工程师,https://www.lagou.com/jobs/6566585.html,南山区,23k-35k,爱客科技（深圳）有限公司,5-10年,本科,全球项目、高薪资、高福利、国际团队,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。岗位职责1、负责数据建模，业务、报表相关数据仓库的设计和开发；2、负责数据仓库ETL流程的设计、优化及解决ETL相关的开发；3、数据仓库和业务数据集市的构建；4、业务模型抽象、数据模型设计开发；5、负责编写相关的技术文档、单元测试，对产品质量负责。岗位要求1、统招本科及以上学历，具备英语读写能力；2、五年及以上大数据开发、分析相关项目经验，有实际模型设计及 ETL 开发经验；3、有使用主流数据库技术，Python或 R 语言开发经验。熟悉 SQL 开发与复杂 SQL 优化；4、熟悉数据仓库和数据模型建设的相关技术细节，负责公司数据仓库的设计、优化、建模以及ETL开发；5、深入了解大数据计算平台架构和产品组件原理和应用场景，如消息队列， Spark, Hadoop, Hive, Flink，HBase, AWS,GCP,阿里云等。 加分项1、有 NLP, TensorFlow 或其他相关机器学习使用经验；2、有 CI/CD 自动化测试经验；3、有使用 Docker、Kubernetes 云计算经验；4、有写 Blog 的习惯，活跃技术社区，参与开源项目等；5、有代码洁癖，对代码精益求精，对技术有极客热情;6、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、行业头部企业: 海外驰名企业，细分领域领跑者；；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,数据仓库,深圳
大数据主管（偏数据仓库经验）,https://www.lagou.com/jobs/7114600.html,南山区,18k-30k,深圳深蓝保信息技术有限公司,5-10年,本科,行业引领者，大牛团队，互联网氛围,工作内容：1、建设公司级数据仓库，并根据业务变化持续迭代和优化；2、对业务数据进行梳理和抽象，建设数据仓库的数据模型；3、对业务数据进行采集、清洗、转换和存储；4、支撑BI、用户数据、用户运营、用户画像、推荐系统等核心数据平台产品；5、研究大数据前沿技术，不断持续优化大数据平台，为业务提供价值。岗位要求：1、本科及以上计算机、统计学、数据库、机器学习等相关专业，5年以上数据相关工作；2、对业务数据有敏锐的理解能力，并能快速梳理和分析业务数据；3、熟练掌握SQL语言、熟悉MySQL，对Shell、Java（主要开发语言）、Python编程非常熟悉；4、熟悉常用的ETL技术和原则；精通数据仓库数据库设计规范和实操；5、熟悉Hadoop、Hive、HBase、Spark、Storm等开源平台者优先；6、具有较强的分析和解决问题的能力，良好的学习能力和团队合作精神，追求价值实现，认同目标管理和敏捷。7、有大数据处理、数据平台、数据仓库经验者或数据挖掘算法优先；8、具有大数据团队管理和技术管理经验优先。,"金融,移动互联网",150-500人,数据仓库,深圳
高级数据库工程师,https://www.lagou.com/jobs/7091784.html,南山区,25k-40k,爱客科技（深圳）有限公司,5-10年,本科,技术极客 大牛带队 海外产品,"有关 AfterShip2012 年成立于香港，公司自2014年起已实现持续盈利，且每年 100% 增长，公司目前暂时不需要融资。业务遍布全球，与全球 600 多家物流公司达成合作，涉及 30 多种主流语言业务体系。客户有 Amazon, Wish, eBay, Paypal, Groupon, Etsy,及各大小电商超过 100,000 家。if (your_passions.includes('coding')) {switch(your_stacks) {case 'Node.js':case 'Python':case 'Golang':case 'Kubernetes':case 'Serverless':console.log('Join AfterShip');break;}}职位职责：1、负责数据库和大数据基础设施的监控，备份，性能优化及故障处理等;2、数据库分库分表方案的设计、实施及数据迁移;3、负责根据项目需求设计并制定数据库解决方案;4、负责数据库中间件的相关测试、维护及管理工作;5、制定并不断完善数据库的运维规范、开发规范及安全规范;职位要求：1、计算机相关专业本科及以上，有5年以上数据库管理经验；2、熟悉MySQL、Redis、Mongodb、分布式数据库体系结构和工作原理；3、熟悉常见存储引擎的原理、特点以及主从复制原理和实践；4、熟悉目前常用的开源中间件解决方案，如Mycat，Atlas等；5、有一定的脚本语言编程能力，熟悉Shell、Perl、Python脚本语言中的一种或几种;6、有使用云平台数据库的经验优先考虑，比如GCP,AWS云平台；7、有大数据和分布式数据库使用经验。加分项1、有写 Blog 的习惯，活跃技术社区，参与开源项目等；2、有代码洁癖，对代码精益求精，对技术有极客热情；3、有软件著作权申请，有专利发明申请。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、最新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,数据仓库,深圳
数据仓库工程师,https://www.lagou.com/jobs/4326771.html,宝安区,13k-25k,深圳市递四方信息科技有限公司,3-5年,本科,"阿里系,自主研发,团队氛围好,技术大咖多","岗位职责： 1、参与据仓库的长期架构规划，与数据开发，建设共享大数据平台； 2、负责数据平台相关数据管理工作，如研发规范、质量规范、保障规范的制定与推动实施落地； 3、负责来自业务团队数据需求的研发支撑； 4、大规模数据挖掘和机器学习算法的实现和维护； 5、在线和离线海量数据分析平台的开发； 6、负责数据仓库的建设和维护,包括需求调研分析、软件规划、概念模型、设计逻辑、物理模型、数据处理（抽取、清洗、转化）、项目实施管控等； 7、负责制定数据接入和采集规范制定。  任职要求： 1、从事数据仓库领域工作2年以上； 2、熟悉数据建模、ETL设计与应用、报表开发等，并有实际模型设计及ETL开发经验 ；具有良好的编程习惯和文档编写习惯；  3、熟悉数据仓库领域知识和管理技能，包括但不局限于：元数据管理、数据质量、性能调优等； 4、掌握大型数据库开发技术，如Oracle、Teradata、DB2、Mysql等等掌握至少其中一种，灵活运用SQL实现海量数据ETL加工处理； 5、了解大数据基础架构和平台 ，具备相关产品（Hadoop、Hive、HBase、Pig、Sqoop、Spark等）项目应用研发经验，有MapReduce开发的实战经验者优先考虑； 6、熟悉linux系统； 7、熟练掌握python语言； 8、熟悉数据可视化的基本方法，有数据可视化的开发经验优先；  9、对数据敏感，具有良好的逻辑分析、责任心强、良好的对外沟通和团队协作能力","移动互联网,电商",500-2000人,数据仓库,深圳
数据仓库工程师,https://www.lagou.com/jobs/7204938.html,福田区,18k-25k,广州市华矩商业信息科技有限公司,5-10年,本科,福利齐全 交通便利,1、根据数据库仓库及BI项目的需求，制定ETL相关的设计方案和开发计划，并进行后续的设计、实施、维护；２、负责数据源调研、入库、开发的全流程工作，并保证数据质量；３、负责数据仓库的模型的标准制定，实施，监督工作；承担数据抽取、清洗、转化等数据处理程序开发。  任职要求：1、本科以上学历，8年以上计算机相关经验；2、具有BI项目经验，熟悉数据仓库方法论和工作流程；3、熟悉Oracle、MySQL等主流数据库，能熟练进行SQL查询优化，有海量数据处理经验；4、熟悉数据标准管理、元数据管理、数据质量管理。,数据服务,15-50人,数据仓库,深圳
数据仓库工程师,https://www.lagou.com/jobs/6669003.html,南山区,20k-40k,微民保险代理有限公司,1-3年,本科,发展前景,,金融,500-2000人,数据仓库,深圳
数据仓库研发工程师,https://www.lagou.com/jobs/5869657.html,罗湖区,16k-30k,深圳市阿卡索资讯股份有限公司,3-5年,大专,"五险一金,员工旅游,健身俱乐部,带薪年假",岗位职责：1、负责部门数据仓库和数据集市的模型设计、ETL开发与性能优化，为数据挖掘提供有效的数据2、深入业务，理解并合理抽象业务需求，发挥数据价值，与业务团队紧密合作3、理解并合理抽象不同业务需求，做较通用和系统性的支持。任职要求：1.有较好的数据仓库建模和ETL经验，可独立把控数据仓库的各层级设计，主导过中大型数据仓库的实施优先                            2.能适应和理解快速发展的业务，有较好的数据敏感度和良好的自驱力，对工作充满热情3.具备较强的编码能力，掌握 java/python/scala 开发语言之一，熟练使用 SQL 进行数据访问 4.精通 Hadoop生态系统基础设施：Flume、Kafka、Hbase、Hive、Spark、Storm、Presto等。5.善于沟通，具备优秀的技术与业务结合能力； - 有 PB 量级数据处理经验者优先；                                   - 有机器学习、数据挖掘、搜索经验优先 - 有团队管理经验者优先。,"教育,移动互联网",2000人以上,数据仓库,深圳
BI数据库开发,https://www.lagou.com/jobs/5164534.html,福田区,10k-20k,上海海万信息科技股份有限公司,3-5年,大专,"海量数据,大平台,交通便利,环境优美",工作职责：1、负责公司BI和数据仓库的搭建；2、参与公司BI和大数据处理方向的技术创新。应聘要求：1、大专3年或本科2年以上毕业年限。2、精通DS、KETTLE、ODI、PG等工具，精通PL/SQL，有BI报表开发经验，精通SQL语句，有大数据经验的前面的要求忽略。3、沟通能力优秀，有责任心，能按时完成项目组安排的工作。4、有大数据HADOOP，HIVE，python等经验优先考虑5、有金融项目经验、大公司大项目经验优先考虑。6、具备良好的学习能力、分析和解决问题能力；7、具有高度的责任心和团队合作精神;8、有快速学习，运用新技术的能力。优先考虑项：1、带过团队负责过BI项目的优先。,"移动互联网,金融",500-2000人,数据仓库,深圳
腾讯云数据库产品高级专项支持工程师,https://www.lagou.com/jobs/5943728.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,待遇优厚 腾讯云 大平台,职责描述：1. 主导解决腾讯云数据库产品现网重大故障、性能瓶颈、开发缺陷等相关疑难问题，深入分析，从根本上解决问题。2. 负责梳理提炼客户使用数据库产品的建议和需求，推动客户诉求的落地，降低客户差评。3. 参与技术方案和系统设计评审，掌握相关的技术架构和原理，能够根据客户需求提供专业的解决方案。4. 通过培训，知识库建设，工具平台建设，流程优化等手段，提升一线服务团队专业度。任职要求：1. 本科及以上学历，计算机及相关专业；2. 熟悉业界主流数据库mysql，mariadb，sqlserver，oracle等；3. 具备5年以上mysql DBA的经验，能处理在海量并发下的mysql运维经验；4. 熟悉虚拟机运行机制，具有网络层面的高并发的优化经验，具有高磁盘IO场景下的mysql优化经验；5. 具备计算机网络相关的基础知识；6. 熟悉redis，mongodb，memcache等相关nosql技术体系；7. 有激情有进取心，乐于持续学习，抗压性强，良好的服务意识和成就导向；,社交,2000人以上,数据仓库,深圳
腾讯_高级数据库开发工程师,https://www.lagou.com/jobs/6352943.html,南山区,20k-35k,腾讯科技（深圳）有限公司,5-10年,本科,技术大牛；互联网大厂；高薪福利多,工作职责：1、负责底层数据库建模，为微服务提供高效的数据库模型；2、负责数据库总体设计、关键技术研究和实现，提供满足业务需求的数据库领域设计方案，并负责数据库重构演进规划； 3、负责及时排除数据库故障，并对数据库进行持续性能优化，确保数据库系统的高效可用、稳定、安全运行； 4、负责研发过程中关键设计的把关； 5、制定和实施数据库设计、开发规范。岗位要求：1、计算机相关专业本科及以上，5年以上相关经历；2、熟练掌握数据库建模的相关理论、方法及工具，至少有两个以上系统数据库建模项目经验； 3、熟悉常用的关系型/非关系型数据库如oracle、sqlserver、mysql，Redis、MongoDB、Hbase等 4、精通MySQL/Oracle的SQL开发和SQL调优，具备业务抽象、分解能力； 5、熟悉MySQL/Oracle数据库体系结构和工作原理，熟悉常用存储引擎如InnoDB、MyISAM、NDB等的功能和特点； 6、熟悉MySQL数据库分库分表策略、数据迁移方案，具备大型数据库高并发量设计经验，熟悉分布式架构设计；7、熟悉MySQL常用高可用方案(Master-Slave，MMM、MHA)的使用，熟悉MaxSacle、MyCAT、TDDL中间件的使用； 8、熟练使用kettle等etl工具的使用； 9、熟悉Linux/Unix操作系统，熟悉Shell脚本编程及常用Linux系统管理命令； 10、工作态度认真负责，能承受一定的工作压力，具有良好的沟通能力和团队协作能力；11、有PeopleSoft数据库开发经验者优先； 12、有DW/BI相关实践经验者优先； 13、具有JAVA或者go开发经验者优先。,社交,2000人以上,数据仓库,深圳
