job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
软件开发工程师 （数据仓库）(J10839),https://www.lagou.com/jobs/6895144.html,高新区,20k-30k,中移（苏州）软件技术有限公司,1-3年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,数据仓库,苏州
数据库工程师,https://www.lagou.com/jobs/6045141.html,工业园区,15k-25k,苏州奥瑞纳软件有限公司,5-10年,本科,"全额五险一,培训机会,13薪,商业保险","Job Requirement/ 职位要求：    BS or MS. in computer science or a closely related field   5+ years experience in designing and developing business transaction processing applications   Prior experience of designing and developing applications for high availability (99.99% uptime) systems   Good understanding of Test Driven Development methodologies   Desirable development experience in Java and J2EE, especially with iBatis or Hibernate or Java Persistence   Significant development experience in a Unix/Linux environment   Strong technical writing and communication skills   Ability to work well in a team   Must have prior OLTP experience   Java experience is a plus Job Responsibility/ 岗位职责：    Understand, support and enhance Arena PLMs physical data model deployed on Oracle    Make significant contributions to application design and development    Come up with optimal data model and efficient PL/SQL code for various domain problems    Contribute substantially in design & development of schema objects, technical review of SQL code with peers as well as design review with other members of the team   Re-factor poorly performing SQL as necessary    Undertake system and Application tuning activities including tuning SQL queries and database/system    Write high quality SQL and PL/SQL code to implement new product features as requiredArena Solutions serves hundreds of manufacturing companies world-wide with Arena PLM, our flagship on-demand Product Lifecycle Management solution, and we are looking for a Senior Database Engineer, with prior OLTP application development experience, who is excited to join our team. Arena has an informal, team-based company culture where best practices are used throughout the software lifecycle to ensure the quality of our PLM solution starting with design and development, through verification & validation, all the way to application maintenance and customer support. As a Senior Database Engineer, you will be playing an important role in the design and implementation of our on-demand PLM application while working alongside our dedicated operations team. Come be a part of our highly collaborative and fast-paced environment and help us change the way products are made.",移动互联网,50-150人,数据仓库,苏州
数据库开发工程师(J10814),https://www.lagou.com/jobs/6895782.html,高新区,20k-30k,中移（苏州）软件技术有限公司,3-5年,本科,五险一金、交通补贴、餐饮补贴、通讯补贴,,移动互联网,500-2000人,数据仓库,苏州
数据库开发工程师 SQL DEV,https://www.lagou.com/jobs/7173205.html,工业园区,15k-25k,诺仕科技（苏州）有限公司,5-10年,本科,年底双薪 带薪年假 午餐补助 五险一金,"Minimum Qualifications-Bachelor’s degree in Computer Science, Information Systems or related field preferred, or equivalent experience with prior related work experience.-5 years’ of database software development-Ability to analyze requirements, provide feedback and create database detailed design specifications-Ability to analyze and recommend solutions to database issues, defects and bugs as assigned or encountered-Ability to manage multiple priorities and meet deadlines in a fast paced environment with limited supervision-Effective communications and interpersonal skills-Excellent organizational skills-Ability to maintain confidentiality-Ability to work independently, but with a team focus-Must be able to effectively communicate in English with remote team across time zones-Strong knowledge of SQL and PL/SQL is required.  Functions-Work as a member of a globally distributed software development team-Write stored procedures, create database objects, table views, design new tables, create and alter schema definitions-Write and maintain developer test suite of unit and integration tests-Work with QA and BA to ensure finished product meets all requirements-Be able to communicate well with technical and non-technical members of the team-Participate in reviews of SQL submitted by developers to ensure quality is maintained","电商,金融",500-2000人,数据仓库,苏州
大数据开发工程师,https://www.lagou.com/jobs/7128390.html,吴中区,15k-25k,云学堂信息科技（江苏）有限公司,5-10年,不限,公司发展空间大 福利待遇好,"岗位职责:1. 熟悉公司产品, 了解业务需求, 与产品及开发团队紧密合作, 完成数据计算及开发工作2. 应用大数据生态技术, 对产品产生的业务数据以及行为日志等进行ETL, 分析, 计算处理, 获取数据价值, 获取对产品对业务有价值的决策支持数据3. 参与公司数据中台/数据仓库的建设, 使用大数据技术及平台, 进行数据计算及挖掘, 更好的服务客户及赋能前台任职资格:1. 5年以上开发经验,熟悉Python/Scala/Java语言其中的一种或两种语言2. 熟悉数据结构及常用算法, 熟悉Linux的常用命令及日常开发使用, 熟悉正则表达式3. 熟悉RESTful API开发规范及最佳实践, 熟悉主流的RESTful api 开发框架Flask或者Spring4. 熟悉常用的Hadoop生态组件Hive, Spark, HBase, 熟悉使用Python或者Scala/Java开发Saprk离线及实时计算.5. 熟悉ETL, 有在受限时间窗口完成大量异构数据的ETL处理的经验4. 有强烈的自我驱动力, 对工作有owner意识及工匠精神5. 能积极主动地对待工作, 具备很好的学习能力、沟通能力及适应能力6. 以下作为加分项:a. 熟悉推荐系统的原理及常规算法, 并有过推荐系统的实际开发建设经验b.了解数据仓库/数据中台的建设思路, 参加过数据仓库/数据中台的实际建设项目",企业服务、教育,500-2000人,数据仓库,苏州
数据平台开发工程师,https://www.lagou.com/jobs/6687542.html,工业园区,20k-30k,智慧芽信息科技（苏州）有限公司,3-5年,本科,大数据开发,"工作职责:1、Site Reliability Engineer，负责智慧芽在线SAAS平台可靠、稳定、高效运行；2、负责搜索引擎和大数据内部平台的部署、诊断、排障、调优、开发与维护等工作；3、负责公司数据资产管理，数据治理方面的建设;4、负责公司数据湖，数据仓库的建设；5、参与业务架构设计，在设计阶段给出可运维性改进建议；6、深入研究大数据业务相关运维技术，持续优化集群服务架构，探索新的大数据运维技术及发展方向。任职要求：1、2-3年以上ETL处理相关工作经验；2、熟练掌握java，spring生态，熟练掌握Map-Reduce,Spark等大数据开发工具；3、具备良好的合作精神和快速学习能力；4、熟悉Linux系统及基本操作优先；5、熟悉Tensorflow/Hadoop/Hbase/Hive/Storm/Spark/Kafka/Elasticsearch/Flume其中部分开源项目、可独立定位问题者优先；6、有良好编程习惯优先；7、有云平台运维经验者优先（AWS、阿里云等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先；8、熟悉各种运维开源运维系统以及开源监控系统的优先；9、对机器学习方向有很高的热情和兴趣，能主动学习了解相关知识。",移动互联网,150-500人,数据仓库,苏州
资深大数据开发工程师,https://www.lagou.com/jobs/6664399.html,工业园区,15k-25k,智慧芽信息科技（苏州）有限公司,5-10年,大专,大数据开发 运维开发,"工作职责:1、Site Reliability Engineer，负责智慧芽在线SAAS平台可靠、稳定、高效运行；2、负责搜索引擎和大数据内部平台的部署、诊断、排障、调优、开发与维护等工作；3、负责公司数据资产管理，数据治理方面的建设;4、负责公司数据湖，数据仓库的建设；5、参与业务架构设计，在设计阶段给出可运维性改进建议；6、深入研究大数据业务相关运维技术，持续优化集群服务架构，探索新的大数据运维技术及发展方向。任职要求：1、2-3年以上ETL处理相关工作经验；2、熟练掌握java，spring生态，熟练掌握Map-Reduce,Spark等大数据开发工具；3、具备良好的合作精神和快速学习能力；4、熟悉Linux系统及基本操作优先；5、熟悉Tensorflow/Hadoop/Hbase/Hive/Storm/Spark/Kafka/Elasticsearch/Flume其中部分开源项目、可独立定位问题者优先；6、有良好编程习惯优先；7、有云平台运维经验者优先（AWS、阿里云等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先；8、熟悉各种运维开源运维系统以及开源监控系统的优先；9、对机器学习方向有很高的热情和兴趣，能主动学习了解相关知识。",移动互联网,150-500人,数据仓库,苏州
大数据开发工程师,https://www.lagou.com/jobs/7179316.html,高新区,6k-8k,南京迈特望科技股份有限公司,1-3年,大专,大平台,工作职责：1、分析海量业务数据，配合业务部门数据查询工作;2、数据库相关程序(存储过程、SQL、Triger等)的编写和更新; 3、对需求的分析及设计; 4、数据仓库整体设计及规划、探索、构建; 5、数据挖掘建模研究。任职要求：1、本科及以上学历，计算机、数学或者金融等相关专业毕业; 2、有实际的mysql、oracle、DB2等数据库开发经验; 3、熟悉Linux环境和命令; 4、对Hadoop、hive、hbase、MapReduce、spark等大数据相关优先考虑;5、有数据仓库设计经验优先; 6、有电信业务经验优先。,"移动互联网,人工智能",500-2000人,数据仓库,苏州
帆软BI报表实施工程师,https://www.lagou.com/jobs/5918310.html,吴江区,5k-10k,苏州恒力智能科技有限公司,1-3年,本科,"发展空间大,世500强,五险一金","【任职资格】 1、本科以上学历，计算机相关专业；  2、有1-3年BI或数据分析工作经验者优先； 3、熟悉FineReport报表工具的优先，获得帆软认证资深报表工程师（FCRP）优先；  4、能够熟练应用一种或多种主流数据库（如：Oracle、sqlserver等）；5、精通复杂型SQL，有较好的SQL性能调优经验,熟悉hadoop或者spark者优先。6、熟悉JavaScript、CSS优先；7、做过大屏BI报表展现 ； 8、有优秀的沟通交流能力；  【岗位职责】 1、负责基于帆软的业务报表的开发及前端展现；2、负责数据仓库建模、数据处理设计和开发3、集团大屏日常内容展现维护4、参与报表需求分析、报表设计、报表口径分析等；   5、协助数据挖掘与分析工作； 6、报表结果测试，对报表问题进行跟踪和解决 7、苏州工作地点：江苏苏州吴江区苏州市吴江区苏州湾风清街666号       或者：江苏苏州市吴江区盛泽镇南麻社区恒力路1号","移动互联网,电商",50-150人,数据仓库,苏州
运维主管,https://www.lagou.com/jobs/6865316.html,工业园区,10k-20k,苏州恒力智能科技有限公司,3-5年,本科,"发展空间大,世500强,五险一金",岗位职责：1、负责公司信息化产品的部署、上线、系统监控、日常运维工作、服务监控分析。2、负责公司Docker/K8S虚拟化平台部署、监控、维护与工作；3、负责公司的自动化部署平台的部署、监控、维护与工作；4、负责公司系统的故障排查以及紧急情况的应急处理，配合开发解决线上问题。 任职要求：1、大专及以上学历，计算机相关专业毕业 ；2、熟悉系统运维，至少1年以上系统的实际运维经验，熟练使用各种运维及监控工具。对于常用的各种集群管理、分布式部署等有丰富经验 ；3、熟练Windows、Linux操作系统，可独立构筑、配置、优化服务器。熟悉一种脚本语言（shell、python或者perl）；4、熟悉docker/k8s相关的生态，了解docker的底层技术，有清晰的解决docker问题的思路，能够解决复杂疑难问题5、熟悉Mysql、Nginx，GitLab， hadoop常见服务的部署、日常运维。6、有数据仓库的开发经验，及日常维护和性能优化。7、深刻理解运维自动化、有 Devops 相关实践经验;8、具备清晰准确的语言沟通和文档能力。,"移动互联网,电商",50-150人,数据仓库,苏州
