job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据库平台高级工程师（腾讯云全资子公司)（西安）,https://www.lagou.com/jobs/6987290.html,高新技术产业开发区,15k-25k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯-西安子公司,"岗位职责 1、负责腾讯云数据库产品的云上业务、运维和监控工具等研发工作；2、负责专有云和公有云的产品提供部署支持和售后技术问题支持；3、负责对现有线上系统的稳定性优化，性能调优等工作；4、对客户现网问题进行技术分析和整理相关技术文档。岗位要求1、2年以上工作经验，熟练掌握Shell/Python/Golang等语言的一种，具备良好的编程风格；2、熟悉Linux运行机制、常用命令和工具、性能分析方法, 了解linux网络/IO/调度等基本原理；3、熟悉Mysql/SQLServer/Oracle/PostgreSQL中的一种及以上的数据库架构和运行原理机制，掌握常见关系型数据库性能调优和问题定位分析办法；4、有数据库和电商/金融业务开发或者运维经验优先；5、具备较强的抗压能力、求知欲、细致认真，具有主动服务，沟通，自驱等能力；6、良好的团队协作能力，喜欢有挑战的工作；7、良好的沟通表达能力，具备优秀的文档能力，能够熟练编写各类技术文档；通过腾讯云技术认证或同等资格认证的优先；此岗位为腾讯集团旗下全资子公司编制岗位。",社交,2000人以上,数据仓库,西安
22989-数据库高级工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6987217.html,高新技术产业开发区,15k-25k,腾讯科技（深圳）有限公司,3-5年,本科,腾讯-西安子公司,"岗位职责 1、负责腾讯云数据库产品的云上业务、运维和监控工具等研发工作；2、负责专有云和公有云的产品提供部署支持和售后技术问题支持；3、负责对现有线上系统的稳定性优化，性能调优等工作；4、对客户现网问题进行技术分析和整理相关技术文档。岗位要求 1、2年以上工作经验，熟练掌握Golang/C++等语言的一种，具备良好的编程风格；2、熟悉MongoDB/Redis中的一种优先；3、熟悉Linux运行机制、常用命令和工具、性能分析方法, 了解linux网络/IO/调度等基本原理； 4、大型分布式平台开发经验优先；5、强烈的学习欲望，良好的服务，沟通，自驱意识；6、良好的沟通表达能力，具备优秀的文档能力，能够熟练编写各类技术文档；通过腾讯云技术认证或同等资格认证的优先录取；此岗位为腾讯集团旗下全资子公司编制岗位。",社交,2000人以上,数据仓库,西安
数据库开发工程师,https://www.lagou.com/jobs/6875303.html,莲湖区,8k-12k,上海诺悦智能科技有限公司,1-3年,大专,五险一金 奖金 餐补 通讯补助等,任职要求:1、精通数据库产品，熟悉Mysql、GBase、Oracle、PostgreSQL其中一种。2、熟悉SQL语法，熟悉ptyhon、shell、sql存储过程其中一种。3、有数据流转、清洗、转换、分析相关工作经验；4、有Java、Scala、Python等编程中一种或多种语言经验者优先。5、熟悉hadoop，了解mapreduce、spark者优先。6、有2至3年数据相关工作经验.,数据服务,50-150人,数据仓库,西安
数据库DBA【西安】,https://www.lagou.com/jobs/6958169.html,高新技术产业开发区,12k-20k,中华联合财产保险股份有限公司,5-10年,本科,六险二金、完善的福利体制,岗位职责:1.维护数据库稳定运行，负责数据库的性能优化；2.负责数据库的监控系统设计及虚拟化平台建设；3.对数据库进行容量规划、架构设计，提高业务高可用性和容灾能力；4.负责数据库相关工作的整体规划，提供决策建议。任职要求：1．全日制大学本科及以上学历，计算机相关专业；2.具有5年以上相应岗位工作经验；3.熟练数据库架构设计、分库分表、读写分离设计、数据路由设计、分布式缓存设计等，解决多种业务模式下的可扩展、高可用、负载均衡等关键技术。,金融 软件开发,2000人以上,数据仓库,西安
数据仓库工程师,https://www.lagou.com/jobs/6816366.html,未央区,25k-30k,联通系统集成有限公司,5-10年,本科,公司平台大 福利待遇优 发展前景好,"1. 211或985学校毕业，计算机相关专业，全日制本科及以上学历。2. 五年以上经验。3. 精通数据仓库模型设计，精通维度建模。4. 负责运营商数据仓库概念、逻辑和物理模型设计、完成仓库体系建设。5. 熟悉数据资产管理、数据治理领域知识，包括但不限于数据架构管理、数据标准管理、数据安全管理、数据生命周期、元数据管理、主数据管理等;6. 熟悉Hadoop、Hive，具备海量数据处理和性能调优经验，对Hadoop、Hive,具备海量数据处理和性能调优经验加分项从事大数据生态相关工作经验者优先，如Hdfs、Hive、Flink、Spark、Redis、ElasticSearch;7. 优秀的逻辑思维能力和业务需求分析能力，较好的沟通交流能力，能够迅速融入团队8. 具备运营商、互联网数据仓库建设经验。",通讯电子,2000人以上,数据仓库,西安
数据库程序员（DBDP）,https://www.lagou.com/jobs/6994532.html,经济技术开发区,5k-10k,美达科林（南京）医药科技有限公司,1-3年,本科,医药生物领域,♥(ˆ◡ˆԅ) 小可爱们先阅读这段话，再考虑是否投递哦：* 此岗位非纯数据、研发岗，这部分工作只占20%~     80%主要围绕EDC( 临床试验远程电子数据采集系统)系统、临床试验方向的数据支持研究工作；小可爱的职业发展是考虑偏医药临床领域的研究上；一部分医学知识的摄入与学习，若不喜欢医学行业及医学知识的掌握与理解请慎重投递哦（我们当然有系统的医学带教）~* 医药临床相关专业提示：此岗位为CDM建库前端的操作，除了有医学知识外，还需掌握一些计算机相关语言哦（有兴趣学习，自认为逻辑性很强的小可爱我们会进行带教）~好啦，下面就是我们的工作内容介绍啦：工作职责1、临床试验数据库设计、搭建、测试、验证及维护； 2、数据核查程序的开发和验证； 3、数据库的日常管理工作，如账号设置、账号管理和数据锁定等； 4、帮助数据管理团队生成相关的数据管理报告以提供数据管理工作的效率。任职要求1、本科及以上学历，计算机、IT、信息管理等相关专业；或者医药临床相关专业； 2、在至少一个编程环境中的体验（例如，CDMS、EDC、SQL、VB、Java、C#），C#掌握熟练者优先； 3、良好的英语听、说、读、写能力；4、有医药临床试验数据领域经验优先考虑。可选择工作地点：上海、西安、沈阳、南京高淳,医疗丨健康,500-2000人,数据仓库,西安
数据库开发工程师,https://www.lagou.com/jobs/4102192.html,高新技术产业开发区,7k-11k,西安悦泰科技有限责任公司,3-5年,本科,"五险一金,带薪年休假、节日福利、员工体检",任职要求： 1.全日制本科及以上学历，计算机相关专业2.从事数据库开发3年以上工作经验。3.熟练掌握oracle/mysql存储过程，触发器开发，能够使用游标，临时表等执行过程对象。能通过表分区、索引、sql代码优化等方面对数据库性能进行优化。4.能够根据业务需求和业务流程设计数据库表结构、表之间的关系及以及表字段定义，业务抽象化能力较强5.熟练掌握oracle/mysql数据库的安装与管理，性能监控及优化，故障诊断和排除。6.具备较强的沟通协调及团队合作能力，能承担工作压力。 职位职责：1.负责业务系统数据库的建模及存储过程开发；3.负责现有数据库性能及架构的优化；4.负责解决日常出现的存储过程错误及数据错误，并给出解决方案；5.负责数据库运维工作（同步、建库）；6.负责数据库技术架构；,"移动互联网,电商",50-150人,数据仓库,西安
数据库开发,https://www.lagou.com/jobs/7128444.html,高新技术产业开发区,10k-16k,上海易宝软件有限公司南京分公司,3-5年,不限,五险一金 双休法定,朱明 5-11 15:46:30岗位职责：1、项目团队中承担核心开发人员角色，负责系统技术框架的搭建（或运用）和核心模块的开发；2、参与项目的需求调研、系统设计及联调上线工作，参与项目中文档的编写及审核；3、与项目经理及客户之间的日常沟通交流工作；任职资格：1、本科及以上学历，相关经验4年以上 2、熟练常见的关系型数据库Oracle、MySQL、SQLServer、DB2等3、熟练掌握SQL语言，能够写存储过程4、能够简单操作linux系统，掌握常见命令，会写简单的shell脚本5、掌握数据迁移，熟练使用数据库结构设计，数据搬迁以及数据维护等工作,移动互联网,150-500人,数据仓库,西安
数据库开发工程师1,https://www.lagou.com/jobs/6910739.html,高新技术产业开发区,8k-12k,西安九派数据科技有限公司,3-5年,本科,"核心,五险一金,绩效奖金,双休,员工旅游","岗位职责：
 充分理解项目需求，负责数据库的设计与规划；
 负责数据库存储过程相关开发工作；
 负责数据库的使用优化工作，解决系统开发、运行中出现的各种问题；
 负责数据库开发质量测试并编写相关的项目文档；
负责的数据库的日常维护、备份、优化及恢复等。任职要求：
 计算机相关专业本科及以上学历，3年以上相关工作经验；
 精通Oracle、MySQL，SQL Server等一种或多种数据库，具备数据库架构设计、SQL调优能力；
 精通数据库、表空间、数据文件、表、字段、存储过程、视图、索引等数据库对象的运用；
 有复杂SQL编写经验，能根据设计说明书进行数据库存储过程的开发。
 有Oracle OCP/OCM或其他类似数据库认证优先；
 有强烈的上进心和求知欲，善于学习新事物，对技术充满激情；
 具有较强的团队合作能力，勇于面对和解决挑战性问题。","移动互联网,数据服务",15-50人,数据仓库,西安
数据库高级工程师,https://www.lagou.com/jobs/6852725.html,高新技术产业开发区,15k-25k,苏州米牛电子商务有限公司,1-3年,本科,知名企业，五险一金，年终奖,具备扎实的高可用、可扩展系统架构能力，能够完成复杂业务场景下高并发的系统的设计并保证系统稳定运行；熟悉MySQL或其他大型数据库系统，具有优秀的业务抽象能力，能够快速根据需求完成高性能数据库设计，熟悉面向对象的开发，有网络系统的开发经验； 熟悉Linux，熟练掌握Golang/Java/Python/C++等语言中的一种，可以通过编写程序解决工作中遇到的问题，具备良好的编程风格；具有2年以上项目需求分析、方案架构设计工作经验，具有大型行业业务架构经历以及较强的客户需求调研和需求分析能力者优先；具备较强的抗压能力，有良好的服务意识；良好的团队协作能力，喜欢有挑战的工作；良好的沟通表达能力，具备优秀的文档能力，能够熟练编写各类技术文档,电商,15-50人,数据仓库,西安
