job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据分析师,https://www.lagou.com/jobs/7179426.html,东莞市市辖区,3k-5k,广东极速网络科技有限公司,不限,不限,应届毕业生优先,职位描述：1、负责录入和管理客户相关信息，合同跟进、进度反馈；2、制作结算账单、邮寄发票、收款核对和费用报销等工作；3、根据相关业务需求，进行数据反馈，制作数据报表，数据的统计、分析、总结和信息挖掘等；任职要求：1.能熟练掌握EXCEL操作，具备良好的数据处理能力；2.善于总结和分析，细心有耐性，具有良好的职业操守、沟通能力及团队协作精神；3.统计学、数学、金融、会计学、营销学等相关专业或者有相关经验者优先。,"移动互联网,文娱丨内容",15-50人,数据分析,东莞
大数据分析师,https://www.lagou.com/jobs/6771529.html,,25k-50k,华为技术有限公司,不限,本科,平台大,,通讯电子,2000人以上,数据分析,东莞
数据分析师(006636),https://www.lagou.com/jobs/6829542.html,东莞市市辖区,10k-15k,维沃移动通信有限公司,3-5年,本科,"股票期权,千万级用户,工作氛围好",1. 负责对互联网产品市场口碑信息进行收集，统计与分析。2.调研分析，挖掘相关部门的数据需求，确定数据的核心价值，对数据建立标签，分析系统的搭建与维护，制定并持续优化数据统计分析方法，不断提升数据分析的质量和效率。3.分析数据中的异常、挖掘其中的口碑问题，按时发布统计分析报告，针对发现的问题及时预警；4.负责对统计员提供专业技能提升方面的培训；协助为其它部门或小组同事提供互联网产品市场口碑统计分析数据，为其做决策提供数据参考。1、本科及以上学历，数学/统计类相关专业优先；通信/计算机。2、对数据敏感，具备较强的数据分析能力、熟练使用文本分析/数据挖掘工具软件；3、有2年以上数据分析工作经验，注重用户体验及产品口碑，熟悉舆情分析；4、工作踏实，良好的创新意识和团队协作能力；5、熟悉互联网产品行业，有舆情分析、文本分析经验者优先,硬件,2000人以上,数据分析,东莞
助理数据分析师,https://www.lagou.com/jobs/6461822.html,东莞市市辖区,6k-11k,维沃移动通信有限公司,1-3年,本科,口碑好、平台大、科技型公司,岗位职责：1、负责全国iQOO销售数据的整理与分析，利用数据发现问题，解决业务痛点；2、负责业务组内部相关数据的收集、整理和分析；3、负责数据组对外的日常数据需求沟通，推进与外部的合作进度；4、负责业务组的部分支持性工作，包括会议、培训等。任职要求：1、本科及以上学历，一年以上工作经验，统计学、数学、或计算机相关专业；2、熟练使用EXCEL函数、OFFICE等办公软件；3、积极主动，具备良好的人际沟通协调能力；、善于发现和分析问题；4、熟悉SQL，SPSS 或 对 英语能力较强者 优先考虑。工作地点：vivo全球总部，东莞长安镇；,硬件,2000人以上,数据分析,东莞
增值优化专员,https://www.lagou.com/jobs/7071991.html,东莞市市辖区,6k-10k,北京字节跳动科技有限公司,1-3年,大专,"六险一金,弹性工作,餐补,带薪休假",,文娱丨内容,2000人以上,数据分析,东莞
数据开发工程师,https://www.lagou.com/jobs/7198915.html,东莞市市辖区,8k-10k,东莞美信企业管理咨询有限公司,1-3年,本科,六险一金、包吃住、年底分红、带薪年假,【岗位职责】1、 负责客户画像体系的设计与开发；2、 负责数据模型的设计，数据仓库的搭建，完成数据同步、数据清洗的ETL过程，以及数据质量的治理；3、 构建数据的流式处理，形成尽可能实时的数据分析平台，并提供统一可对外调用的接口；4、 对业务进行深入分析，通过数据驱动业务的改进和优化。【技能要求】1、 熟悉Linux系统，熟悉Oracle、MySQL、PostgreSQL、Hive、ElasticSearch一种或以上的数据库；2、 熟悉Kettle等ETL工具，熟悉数仓模型和维度设计，有实际的数据仓库搭建经验；3、 熟悉Spark / Kafka / Hadoop / Flink体系，具备相关项目的开发经验，有数据实时计算项目经验优先；4、 积极创新，有开拓精神，乐于面对挑战，负责敬业，优秀的团队合作精神。,汽车丨出行,2000人以上,数据分析,东莞
城市经理,https://www.lagou.com/jobs/6568763.html,东莞市市辖区,20k-40k,北京字节跳动科技有限公司,不限,大专,六险一金,,文娱丨内容,2000人以上,数据分析,东莞
多媒体运营,https://www.lagou.com/jobs/7215064.html,东莞市市辖区,6k-8k,东莞市圣越服饰有限公司,1-3年,本科,公司氛围好，虎门女装领导者,"岗位职责：
 负责管理公司运营的各社交媒体平台（微信、微博、官站、豆瓣、instagram等）的整体运营规划、计划制定和发布执行。
2. 负责公司各社交媒体日常资讯的选题、素材搜集、编辑、发布、交互运营等工作；3. 负责后台系统数据分析管理；4. 负责公司各社交媒体的客户关系管理；5. 结合公司理念及公司发展方向，定期策划社交媒体互动、推广方案；6. 公司安排的其它项目性工作。任职要求：1. 艺术类、网络传播、新闻学相关专业本科以上学历；2年以上相关工作经验；有自媒体运营工作经验者优先考虑；2. 具备深厚的文笔功底和独立写作能力，能独立完成图文撰写及内容质量监控；能熟练操作Photoshop软件；3. 具有独立运营微信、微博等网络社交平台的能力，有网络营销炒作事件经验者优先考虑；4. 对艺术与时尚有敏锐触觉，对网络推广传播有浓厚兴趣；能独立运营公司的社交媒体5. 具备一定的活动策划能力，数据分析能力、项目管理能力；6. 个性开朗、外向，有强烈的责任心，团队合作意识强，工作积极主动；具备良好的沟通协调、策划及执行能力，能承担较强工作压力。",电商,50-150人,数据分析,东莞
高级需求分析师/业务分析师,https://www.lagou.com/jobs/6280567.html,东莞市市辖区,15k-25k,深圳隽思信息科技有限公司,3-5年,本科,上市集团 五天八小时,1、运用良好的用户沟通能力，汇总并管理各业务部门提出的IT类需求；2、通过专业的需求分析、流程建模能力，将用户需求以需求说明书、流程图、用例图等形式进行梳理、并提出改善建议；3、组织需求评审会议，与用户确认需求范围和内容，作为系统开发基准；4、制定系统验收标准，编写功能测试用例，辅助开发人员、测试人员对需求进行理解；5、参与整个系统开发流程，负责需求管理与跟踪，对需求变更进行控制与管理，保证项目需求文档的真实性、完整性、时效性；6、协助用户完成UAT测试，准备系统培训资料并对用户进行系统操作培训，协助系统上线运行；7、跟踪上线系统的运行效果、用户反馈，收集和主动挖掘改进需求，根据业务需求持续改进系统，提升用户体验；8、基于实际业务，设计系统数据分析报表，以图/表形式展现深层次业务问题，以支持日常用户与管理层需要； 任职要求：我们在寻找志同道合的“小伙伴”，如果您具备以下能力，并且有梦想、有激情，那就加入我们吧！1、计算机/信息技术/软件工程等相关专业或以上学历，3年以上it工作经验及项目需求分析经验；2、熟悉制造业生产流程，有印刷业工作经历更佳；3、良好的需求分析能力，包括但不限于需求分析文档编制、业务流程抽象总结、系统原型交互制作；4、具备良好的沟通技巧和能力，并擅长引导、归纳总结客户的需求转化为实际的功能需求；5、能够熟练地运用Axure、Visio等常用原型制作工具；6、了解电商的业务处理系统或者印刷知识者优先；7、参与过ERP或企业管理软件的系统设计或需求分析者优先。,其他,2000人以上,数据分析,东莞
需求分析师/业务分析师,https://www.lagou.com/jobs/6280609.html,东莞市市辖区,5k-10k,深圳隽思信息科技有限公司,1-3年,本科,上市集团 五天八小时,1、运用良好的用户沟通能力，汇总并管理各业务部门提出的IT类需求；2、通过专业的需求分析、流程建模能力，将用户需求以需求说明书、流程图、用例图等形式进行梳理、并提出改善建议；3、组织需求评审会议，与用户确认需求范围和内容，作为系统开发基准；4、制定系统验收标准，编写功能测试用例，辅助开发人员、测试人员对需求进行理解；5、参与整个系统开发流程，负责需求管理与跟踪，对需求变更进行控制与管理，保证项目需求文档的真实性、完整性、时效性；6、协助用户完成UAT测试，准备系统培训资料并对用户进行系统操作培训，协助系统上线运行；7、跟踪上线系统的运行效果、用户反馈，收集和主动挖掘改进需求，根据业务需求持续改进系统，提升用户体验；8、基于实际业务，设计系统数据分析报表，以图/表形式展现深层次业务问题，以支持日常用户与管理层需要； 任职要求：我们在寻找志同道合的“小伙伴”，如果您具备以下能力，并且有梦想、有激情，那就加入我们吧！1、计算机/信息技术/软件工程等相关专业或以上学历，1年以上it工作经验及项目需求分析经验；2、熟悉制造业生产流程，有印刷业工作经历更佳；3、良好的需求分析能力，包括但不限于需求分析文档编制、业务流程抽象总结、系统原型交互制作；4、具备良好的沟通技巧和能力，并擅长引导、归纳总结客户的需求转化为实际的功能需求；5、能够熟练地运用Axure、Visio等常用原型制作工具；6、了解电商的业务处理系统或者印刷知识者优先；7、参与过ERP或企业管理软件的系统设计或需求分析者优先。,其他,2000人以上,数据分析,东莞
网络运营总监,https://www.lagou.com/jobs/6733073.html,东莞市市辖区,10k-15k,深圳奶爸保咨询管理有限公司,5-10年,本科,参与公司红利分配,1、负责根据公司年度战略业务目标要求制定部门绩效目标及对部门绩效达成总负责。2、负责公司业务品牌与产品的运营平台的总策划指导与监督执行。3、负责公司产品文案、品牌文案、资讯内容、专题内容等的撰写指导和监督执行。4、负责网站推广策略总制订以及执行指导和监督管理。5、负责流量平台的开拓及引流获客。6、负责网站数据分析、运营提升。7、负责搜索竞价平台的管理。任职资格：1、5年以上电子商务/网络营销工作经验，3年以上项目策划、运营经验。2、具备项目管理、营销策划、品牌策划、网络营销等系统的理论知识和丰富的实践经验。3、优秀的电子商务/网络营销项目策划运营能力，熟悉网络文化和特性，对各种网络营销推广手段都有实操经验。4、卓越的策略思维和创意发散能力，具备扎实的策划功底。5、优秀的文案能力，能撰写各种不同的方案、文案。6、对网络营销商业全流程都具备策划、运营、控制、执行能力。7、丰富的的管理经验、优秀的团队管理能力。8、具有微信公众号、微商运营经验更佳。,其他,50-150人,数据分析,东莞
自媒体运营,https://www.lagou.com/jobs/7214904.html,东莞市市辖区,6k-8k,东莞市圣越服饰有限公司,1-3年,本科,社福待遇好，公司发展好！,工作职责：1. 负责管理公司运营的各社交媒体平台（微信、微博、官站、豆瓣、instagram等）的整体运营规划、计划制定和发布执行。2. 负责公司各社交媒体日常资讯的选题、素材搜集、编辑、发布、交互运营等工作；3. 负责后台系统数据分析管理；4. 负责公司各社交媒体的客户关系管理；5. 结合公司理念及公司发展方向，定期策划社交媒体互动、推广方案；6. 公司安排的其它项目性工作。任职资格：1. 艺术类、网络传播、新闻学相关专业本科以上学历；2年以上相关工作经验；有自媒体运营工作经验者优先考虑；2. 具备深厚的文笔功底和独立写作能力，能独立完成图文撰写及内容质量监控；能熟练操作Photoshop软件；3. 具有独立运营微信、微博等网络社交平台的能力，有网络营销炒作事件经验者优先考虑；4. 对艺术与时尚有敏锐触觉，对网络推广传播有浓厚兴趣；能独立运营公司的社交媒体5. 具备一定的活动策划能力，数据分析能力、项目管理能力；6. 个性开朗、外向，有强烈的责任心，团队合作意识强，工作积极主动；具备良好的沟通协调、策划及执行能力，能承担较强工作压力。,电商,50-150人,数据分析,东莞
产品经理,https://www.lagou.com/jobs/3786893.html,东莞市市辖区,15k-25k,东莞市糖酒集团美宜佳便利店有限公司,5-10年,本科,"产品,市场,技术",职责描述：1、业务调研、业务场景分析、需求分析、需求管理；2、根据业务发展制定需求规划，输出需求，推进需求开发和项目实施上线；3、深入理解市场及行业发展趋势，主动进行信息化创新，为业务赋能。 任职要求：1、四年以上需求分析/管理/产品经理工作经验，熟悉零售连锁行业为佳；2、熟练掌握IT产品研发流程和方法论，具备互联网思维更佳；3、善于项目推进及统筹协调、善于沟通，善于数据分析为佳。,其他,500-2000人,数据分析,东莞
招聘专员,https://www.lagou.com/jobs/7215135.html,东莞市市辖区,5k-6k,现代牙科技术（东莞）有限公司,1-3年,大专,五天八小时五险一金年终奖,任职要求：1.统招大专及以上学历；2.具备一年以上普工招聘经验；3.具备一定的数据分析能力；4.沟通表达能力良好，具备独立思考的能力。岗位职责：1.执行员工及技工招聘工作；2.招聘渠道的开发与维护；3.招聘流程的优化；4.招聘数据的分析与总结；,医疗丨健康,500-2000人,数据分析,东莞
淘宝运营,https://www.lagou.com/jobs/7212981.html,东莞市市辖区,5k-10k,东莞市云铂贸易有限公司,1-3年,不限,底薪+提成+团队奖金+绩效+年终奖,1.负责淘宝店铺整体运营和日常管理，完成销售目标；2.负责制定季度、月度运营计划、推广预算和服务水平提升目标； 3.负责通过市场调查、数据分析对自己店铺进行策划、定位，明确运营方向；4.负责店铺平台和日常活动规划，带领团队做好日常活动和平台活动促进销售；5.负责店铺站内、站位推广策划，并定期对效果跟踪、评估并给出改进方案；6.负责店铺其他运营相关工作； 任职要求：1.大专及以上学历，1年以上淘宝店铺运营策划工作经验。 2.能够独立操作淘宝店铺，包括活动策划、推广、内容策划等； 3.能通过数据分析分析跟踪店铺问题并给出建 议； 4.需要有一定的抗压能力，团队意识强。 5.有打造爆品经历者可优先考虑。 薪资福利： 1.底薪+提成+团队奖金+绩效+年终奖 2.五险 3.出差津贴+带薪年假 4.员工聚餐，不定期组织旅游活动,电商,少于15人,数据分析,东莞
渠道专员（东莞）(J17823),https://www.lagou.com/jobs/7211557.html,东莞市市辖区,6k-8k,鑫车投资（上海）有限公司,1-3年,不限,购车养车福利、五险一金、日常补贴等,,移动互联网,2000人以上,数据分析,东莞
司机服务顾问-东莞-松湖片区(J200430005),https://www.lagou.com/jobs/7105156.html,东莞市市辖区,6k-8k,北京嘀嘀无限科技发展有限公司,3-5年,本科,大平台 快速成长,,汽车丨出行,2000人以上,数据分析,东莞
市场营销顾问-东莞(J200425002),https://www.lagou.com/jobs/7090841.html,东莞市市辖区,8k-12k,北京嘀嘀无限科技发展有限公司,3-5年,本科,大平台 快速成长,,汽车丨出行,2000人以上,数据分析,东莞
