job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据分析师,https://www.lagou.com/jobs/6682541.html,鄞州区,12k-18k,宁波萌牙家科技有限公司,应届毕业生,本科,"扁平管理,绩效奖金,五险一金,快乐工作","【请仔细阅读招聘信息，理解招聘内容，并确认工作意向后，再投简历，谢谢！】岗位设定：业务参谋、经营策略研究岗位性质：偏运营、商务分析方向，大数据等涉及不多工作目标：做好广告投放的风险控制，帮助业务人员实现业绩目标，对业绩负责岗位需求原因：公司发展迅速，团队扩张岗位职责：1、帮助业务人员进行合作达人的质量评估和风险预测，对数据负责，为业务做支撑；2、与小红书、微博、B站等平台上优质的达人合作，进行萌牙家品牌和产品推广，扩大品牌知名度；3、定期对投放的笔记进行分析，总结经验教训，为今后合作积累经验；4、关注微博、B站、小红书等平台的动态，分析平台和推文特点，并及时调整营销方案。任职要求（都是硬性要求！）：1、985/211学历，数学、统计、计算机等相关专业优先；2、具有非常强的学习能力和自我提升意愿，能够做到每月4本书以上的阅读量；3、对自己严格要求，强烈希望可以在工作上有所建树，敢拼敢做，并愿意为此调整个人工作与休息时间。萌牙可以为你提供：1、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资（7000-10000）+餐补（300）+全勤（100）+提成+奖金+五险一金+节假日红包+生日福利+员工旅游+部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！（月薪12k起！）2、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！3、有趣、有挑战性的工作内容！初创型企业，期待你从0到1，从1到100的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！4、轻松愉悦的工作氛围！90后团队，扁平管理，可以让你轻松融入，给你温暖，教你技能，伴你成长！5、看不完的书！帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！6、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！7、冰箱、微波炉、吧台，还有各类花茶、咖啡和零食！希望给你紧张的工作带来一些帮助！8、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达33%！9、其他：双休、带薪年假、法定节假日福利、团建活动、业绩奖励、就业补贴等。萌牙的品牌理念：为生活展露健康自信的微笑！萌牙的使命：让全球人的口腔更加健康，生活更加美好！萌牙的愿景：希望让所有人能够得到健康幸福、职业幸福、财富幸福、社交幸福、最后都拥有社会归属感幸福！萌牙的价值观：不断学习，艰苦奋斗，团队合作，乐于助人；这是每个萌牙人必须要遵守和践行的!萌牙的坚持：和志同道合的人一起为梦想而奋斗！企业与团队：宁波萌牙电子商务有限公司从2015年创办初始，始终坚持打造高质量团队。目前80%以上的员工均是重点高校毕业，有较强的学习能力，钻研精神，在大家的团结奋斗下2019年预计全年营业额达*********；发展劲头已吸引多方风投关注及接洽。萌牙家的经营模式以线上为主，线下为辅。目前，我们拥有天猫、淘宝、京东、小红书等多个平台的店铺，萌牙家电动牙刷还被众多线上大V、网络红人热推,品牌影响力、用户基数正不断扩大；后续我们还将拓展洁面仪、冲牙器等多个产品体系。我们将继续秉持理念，不忘初心，致力于守护我们国人的口腔健康，励志成为让中国人骄傲的国际品牌。在萌牙家，你可以自由地发表工作想法，我们尊重每一位小伙伴的劳动成果，也重视每一位小伙伴的学习与成长。我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！我们欢迎所有有抱负、有野心，脚踏实地，能为自己的梦想而付出足够的努力和行动的人同我们一起奋斗、一起成长！对于有意向的候选人，我司将在三个工作日之内与您联系，请保持电话畅通！面试流程：电话面试(约3-10分钟）+笔试（80分钟以上）+面试（初面+复面）面试须知：1、由于我司面试准备工作较为繁琐，为保证您的面试体验，暂时仅接受电话、短信、邮件邀约后的面试，请见谅！2、面试时须携带纸质简历一份、签字笔一支，请勿遗漏！我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！","电商,医疗丨健康",50-150人,数据分析,宁波
数据分析,https://www.lagou.com/jobs/7038025.html,鄞州区,20k-30k,埃森哲信息技术（大连）有限公司,1-3年,本科,知名互联网企业,招聘要求：1、30周岁以下，全日制重点大学本科以及以上学历，计算机、软件工程、通信工程、物理、数学等相关专业；2、2年以上软件研发经验；3、具备良好的沟通表达能力和团队合作精神，具有较强的工作责任心、主动性及抗压能力；4、具体岗位技能要求（1）2年及以上数据分析经验，熟练掌握SQL语言，掌握数据分析的一般流程、常用方法，有数据分析项目实践经验；（2）熟练掌握数据挖掘相关算法，熟练构建和优化数据挖掘模型；（3）精通Linux操作系统、熟练使用sas、R或python；（4）了解营销、运营分析的模型设计与开发，有场景化获客建模经验者优先。,"电商,消费生活",2000人以上,数据分析,宁波
数据分析师,https://www.lagou.com/jobs/6766673.html,鄞州区,6k-8k,宁波森浦融讯科技有限公司,1-3年,本科,十三薪，五险一金，双休,数据分析师   1、负责公司、财务、债券、宏观等金融数据处理分析工作。   2、按照标准工作流程，保质保量的完成较为复杂数据分析和处理。   3、优化工作流程、工具和数据处理规则，以及指导初级数据分析师工作。   4、发现并制定异常数据问题的解决方案。   1、金融、经济、财务、统计、数学、信息管理、计算机等相关专业。   2、数据处理分析相关工作经验2年以上。   3、参加过CFA\CPA\ACCA金融类从业相关考试有通过科目有些。   4、对金融机构业务如研究分析\交易清算\风险管理等业务有一定了解。   5、较强的逻辑思维能力和执行力。,金融,150-500人,数据分析,宁波
高级数据分析师,https://www.lagou.com/jobs/6766681.html,鄞州区,10k-15k,宁波森浦融讯科技有限公司,3-5年,硕士,十三薪，五险一金，双休,高级数据分析师   1、从事全球金融数据的深度采集和挖掘工作，为客户提供专业的金融数据。   2、设计数据处理流程、规则、方法的整体方案。   3、数据项目管理，对特定数据专业性负责。   4、新领域数据研究、市场分析、竞品分析，更好满足客户新需求。   5、配合产品数据应用研究、算法设计和指标定义。   1、相当于金融、经济、财务、统计专业硕士以上专业知识。   2、数据分析相关工作经验5年以上。   3、取得CFA\CPA\ACCA金融类从业证相关考试证书优先。   4、熟悉金融机构研究分析\交易清算\风险管理等业务。   5、能快速学习梳理金融市场新的产品、制度和规则等知识。   6、较强的逻辑思维能力和分析研究能力。,金融,150-500人,数据分析,宁波
大客户销售（CKA）,https://www.lagou.com/jobs/6997434.html,海曙区,10k-15k,达疆网络科技（上海）有限公司,3-5年,大专,带薪年假 五险一金,KA，大客户，餐饮，商超，新零售工作职责：1、负责达达集团城市大客户品牌和渠道的合作拓展和落地；2、能够深度了解配送行业产品，并根据品牌数据分析和履约效果，制定配送合作方案，实现大客户配送需求解决；3、能够与客户进行有效的沟通和谈判，促进业务达成；4、协同总部KA和运营团队，持续优化服务质量和用户体验。任职要求：1、3年以上互联网销售经验，2年以上大客户销售经验；2、目标导向，有良好的沟通表达和团队协作能力，逻辑思维清晰；3、大专以上学历,消费生活,2000人以上,数据分析,宁波
产品运营负责人,https://www.lagou.com/jobs/7172340.html,鄞州区,13k-25k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,团队氛围好,晋升空间大",,文娱丨内容,2000人以上,数据分析,宁波
数据运营负责人,https://www.lagou.com/jobs/7170717.html,鄞州区,13k-25k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,团队氛围好,晋升空间大",,文娱丨内容,2000人以上,数据分析,宁波
骑行产品经理,https://www.lagou.com/jobs/6846928.html,鄞州区,15k-30k,宁波小遛共享信息科技有限公司,3-5年,本科,"薪资待遇高,工作氛围好",岗位描述：1.制定符合公司战略的产品规划，打造两轮出行领域具有差异化竞争力的产品；2.研究分析共享出行行业趋势和终端用户的实际需求，在产品中搭建多样化的高价值服务；3.管理APP的用户体验，跟踪和分析产品的数据情况，推动协调公司资源持续提升用户体验；4.深入一线业务，切实理解线下场景和运营需求，具有较高层次的抽象思维和发散意识，不拘泥于旧有规则束缚开创性解决问题5.负责业务线全链条管理，带领团队完成产品规划和需求设计，保障需求落地实现业务目标；岗位要求：1.3年及以上产品工作经验，具备体系化的独立产品方法论；  2.崇尚深层次分析和解决需求，对业务场景敏感，具备出色的同理心和落地能力；3.有百万级以上C端用户产品的设计经验4.具备熟练的数据分析和运用能力，具备较强的逻辑性，能够用数据量化价值和解决问题；5.学习能力强，有很强的抗压力及自驱力，积极影响并协调带动团队达成产品目标；6.有路径规划策略、业务流程设计、SOP优化相关的产品经验，对外卖、闪送、出行有实践经验的优先考虑；7.有滴滴、美团、饿了么、达达等产品经验的优先考虑；,"移动互联网,硬件",500-2000人,数据分析,宁波
宁波运营顾问,https://www.lagou.com/jobs/6865869.html,江北区,7k-12k,上海赛可出行科技服务有限公司,1-3年,本科,500强 公司平台 个人发展,1、根据数据变化分析发现司乘侧业务增长的问题和机会，制定针对性的城市运营策略，推进运营方向的改进；2、根据运营数据分析，从中发现问题和机会，不断优化运营策略和提升运营效率，提高ROI；3、搭建用户分层和成长体系，通过精细化运营和活动体系提升用户活跃度，并根据用户的活跃、留存、转化目标，提出解决方案；4、负责城市运营工具和其他产品需求的收集及优化跟进，探索效率提升的补贴等模型和方法，提升运营团队的工作效率；任职资格：1、2年以上工作经验，有互联网经验以及管理项目经验，有独立完成项目推动经验，有业务流程梳理经验；2、项目推动力强，、对用户价值和体验管控有清晰的认知及独特的见解；3、具有较强的逻辑思维能力，并能快速学习、灵活分析，解决新业务和新项目遇到的各项挑战；4、具有良好的团队合作意识以及创新精神，较强的推动能力；,"移动互联网,消费生活",150-500人,数据分析,宁波
微博广告投放,https://www.lagou.com/jobs/6682169.html,鄞州区,12k-18k,宁波萌牙家科技有限公司,不限,本科,"扁平管理,绩效奖金,五险一金,快乐工作","萌牙家自2015年成立，始终坚持打造高质量团队，目前80%以上的员工均是重点高校毕业，有较强的学习能力，钻研精神。现有天猫、淘宝、京东、小红书等多家店铺，线上为主，线下辅助的商业模式；后续将拓展洁面仪、冲牙器等多产品体系，现发展劲头已吸引多方风投关注及接洽。我们将继续秉持理念，不忘初心，励志成为让中国人骄傲的国际品牌。萌牙的价值观：不断学习、艰苦奋斗、团队合作、乐于助人！萌牙的用人标准：价值观是我们的独特用人标准！我们将一直强调身体和思想上同步的艰苦奋斗，努力学习知识，学习他人，不断反思自己，纠正自己，从而有所创新，有所进取！高压下的鞭策和成长，是我们对待每一位战友的态度和期许！我们欢迎所有有抱负、有野心，脚踏实地，能为自己的梦想而付出足够的努力和行动的人同我们一起奋斗、一起成长！我们重视承诺，言出必行，对于弄虚作假、言而无实的情况零容忍！工作内容：1、根据公司要求，寻找合适的KOL，进行合作沟通，获取广告文案关键信息2、负责将获取的信息提供文案同事进行广告文案的策划，确保质量3、负责和KOL进行商务谈判，确定合作价格、广告排期、签订合约4、负责信息发布后的评论维护工作5、关注广告投放效果，与数据分析同事沟通，制定进一步计划岗位要求：1、全日制二本以上学习，专业不限2、微博资深用户，对KOL运营有个人独特见解3、积极向上，高情商，适应自由、快节奏的工作4、具有较强的谈判能力，能够将价格控制在合理范围内5、有较强的自我提升意识，每月能读2本工作相关的书6、薪资：5500~8500（无责任底薪）+提成，要求转正月薪资不低于1万晋升空间：商务专员（ＰＲ）-资深推广-推广主管发展方向：市场营销、新媒体运营、KOL运营、广告公关、品牌管理等晋升路线：推广助理-推广专员-资深推广-主管，基本薪资：助理5500，专员6500，资深8500岗位需求原因：拓展新的业务渠道，新建细分团队面试流程：电话面试(约3-10分钟）+笔试（80分钟以上）+面试（初面+复面）面试须知：1、由于我司面试准备工作较为繁琐，为保证您的面试体验，暂时仅接受电话、短信、邮件邀约后的面试，请见谅！               2、面试时须携带纸质简历一份、签字笔一支，请勿遗漏！萌牙可以为你提供：1、有竞争力的薪酬体系！我们正不断创造更高薪资的可能性！优厚的待遇：基本工资（5500~8500）+餐补（300）+全勤（100）+提成+奖金+五险一金+节假日红包+生日福利+员工旅游+部门活动！我们崇尚梯度工资，提供多次调薪机会，你的付出一定和你的收获成正比！2、广阔的发展空间！优先考虑内部晋升，你的舞台足够大！3、有趣、有挑战性的工作内容！初创型企业，期待你从0到1，从1到100的创造力！我们反对一成不变、枯燥死循环的工作模式，只要你敢想敢做勇于奋斗，你施展的平台无限广！4、轻松愉悦的工作氛围！90后团队，扁平管理，弹性工作，自由办公，可以让你轻松融入，给你温暖，教你技能，伴你成长！5、看不完的书！每月不限量购书，帮助你提升知识面，进一步提高工作能力。公司分学习小组，让你在学习路上不孤单，也享受学习竞赛带来的乐趣！6、培训体系！虽然还不够完善，但一直在不断完善，只为你能够有更高的工作效率,也会为你提供良好的职业规划建议！7、冰箱、微波炉、吧台，全天开放的餐厅；花茶、咖啡、零食，豪华丰盛的下午茶，还有阳光房和运动器材！希望给你紧张的工作带来一些帮助！8、其他：双休、带薪年假、节假日福利（不限法定）、生日惊喜、团建活动、业绩奖励、就业补贴！9、股权期权！在萌牙，每个人都有可能拿到的期权，当前公司的员工持股占比高达33%！ 我们欢迎能够和我们有共同信念的你加入，迎接挑战以及分享成长过程中的快乐以及痛苦！我们不墨守成规，我们勇于创新，勇于挑战，为每个人的口腔健康做出我们的一份努力和贡献！","电商,医疗丨健康",50-150人,数据分析,宁波
