job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据分析,https://www.lagou.com/jobs/5693747.html,锡山区,5k-8k,无锡红豆居家服饰有限公司,不限,本科,专业数据career，大神在线指导,岗位职责：1．负责内部数据提取、处理、挖掘、建模、分析。2．从数据中洞察问题，输出可视化的数据分析报告。3．进行行业研究，为公司决策提供数据支持。任职要求：1．本科学历，统计学、应用数学、计算机等相关专业；2．工作认真积极主动、有较强的学习能力、沟通表达能力、逻辑思维能力；3．有数据分析相关工作经验更佳；4．熟悉数据挖掘、数据仓库、机器学习、hadoop平台者优先考虑。,其他,2000人以上,数据分析,无锡
大数据分析师,https://www.lagou.com/jobs/6499931.html,江阴市,25k-30k,江苏江阴农村商业银行股份有限公司,3-5年,本科,全国**A股上市的农商行,"岗位职责：1. 收集业务部门的数据分析需求，设计数据分析、数据挖掘模型；完成数据整理、分析与建模工作，及时提供业务方支持。2. 应用机器学习等方法，从海量客户金融行为数据中挖掘潜在的规律与关系。3. 针对风控等业务场景及相关数据进行分析研究，有效洞察业务机会核瓶颈。 岗位要求：1. 至少4-5年代码开发、数据仓库与数据分析(BI)相关工作经验，大数据分析经验3年以上，客户行为分析与客户画像经验者优先；2. Hive SQL开发基础知识扎实，Hive/Hbase/Spark至少精通一项；3.熟悉shell,Python,scala至少一种,精通MapReduce模型并应用至工作中4.有数据分析、挖掘、清洗、建模相关工作经验，能利用大数据对业务进行评估优化；5.熟练使用各种数据挖掘算法，对算法、数据结构有深入理解;6. 沟通交流良好，有独立负责项目经验者优先；",金融,500-2000人,数据分析,无锡
大数据开发工程师,https://www.lagou.com/jobs/6499910.html,江阴市,15k-25k,江苏江阴农村商业银行股份有限公司,1-3年,本科,全国**A股上市的农商行,岗位职责：1、有金融行业数据类项目开发经验者优先；2、基于HADOOP技术的大数据平台的建设、开发、维护与优化；3、协助对业务数据进行分析、建模，为业务部门的数据化运营提供支持；4、负责大数据实施过程中相关技术问题解决；5、完成与工作相关的技术文档编写工作。 岗位要求：1. 2年以上大数据开发或数据建模分析项目经验2.熟悉Hadoop、Spark、Hive、HBase等主流的大数据技术，具备CDH/Hadoop/Hive/Hbase/Spark/Storm等大规模数据处理框架的部署、开发以及调试经验；3.精通JAVA，Linux；有较强的分布式计算基础和软件工程能力4.熟悉传统关系型数据库，如ORACLE、DB25.有海量数据查询、处理的实际项目经验;6.具备良好的团队合作精神，有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题；7.全日制本科及以上学历8.有星环大数据平台经验优先,金融,500-2000人,数据分析,无锡
大数据开发工程师(J11109),https://www.lagou.com/jobs/6844687.html,无锡新区,8k-15k,朗新科技股份有限公司,应届毕业生,本科,上市集团平台稳定学习机会多上升空间大,,"移动互联网,企业服务",2000人以上,数据分析,无锡
在线助教,https://www.lagou.com/jobs/7067069.html,新吴区,4k-8k,北京字节跳动科技有限公司,3-5年,大专,"六险一金,带薪休假,扁平管理,餐补",,文娱丨内容,2000人以上,数据分析,无锡
服务伙伴管理专家,https://www.lagou.com/jobs/6004286.html,锡山区,10k-12k,南京帆软软件有限公司,不限,本科,五险一金，年终奖，带薪年假,岗位职责：1. 负责从业务，商务，能力，运营，各个层面，打造服务于帆软客户的高水平外包群体。2. 针对业务变化点能够快速准确传达，不断提炼业务价值，能够将价值点封装起来，并整合成为用于对内和对外人才培养的通用标准； 3. 分析公司前方与后方在对外包配合过程中的问题，优化配合过程，通过系统开发和流程制度的优化，减少无效和冗余工作，提升内外团队的工作效率，并封装整个供应商管理过程，使之体系化，产品化； 4. 组织百家数量级公司的企业交流会，探索外部合作伙伴与帆软的合作共赢路线岗位要求： 1、业务沟通能力突出，不惧冲突，善于从问题中发现价值，责任心强，敏感度高，具有优秀的客户处理技巧和经验； 2、有良好的数据分析能力，快速学习能力，谈判力和执行力；3、具备产品型思维，及能将日常繁琐杂乱问题的矛盾核心找出的能力，并提炼通用解决方案以传承；4、擅长组织策划，把握关系平衡，大局观意识强，敢于担当，正直阳光； 5、有50人以上团队管理或培训经验者优先。,数据服务,500-2000人,数据分析,无锡
高级交互设计师,https://www.lagou.com/jobs/6962761.html,锡山区,13k-20k,南京帆软软件有限公司,3-5年,本科,大牛多，扁平化,岗位职责：1.负责简道云的交互设计，输出交互设计方案，对产品最终的用户体验负责；2.主导数据分析、用户研究、可用性测试等提升体验的项目，根据产品需求和技术驱动开展产品体验的创新研究，对设计发展进行应用与扩展；评估产品上线后的效果，提出用户体验改善计划并落地；3.制定相关交互规范及流程，保证交互团队交付物的品质；4.参与简道云战略制定，制定并完成交互团队的体验性目标以支撑战略目标的完成；5.关注市场、竞品、用户、数据和行业的研究，能协同上下游共同推动目标完成；6.负责简道云交互团队的管理和建设，人才培养。任职要求：1.大学统招本科毕业，理工科背景，毕业5年以内；2.逻辑思维严谨清晰，理解力强；具有优秀的沟通能力和团队合作精神；3.热衷于产品设计，对交互设计有强烈的兴趣和持之以恒的动力，有企业软件交互设计经验优先。,数据服务,500-2000人,数据分析,无锡
销售经理,https://www.lagou.com/jobs/6103132.html,滨湖区,10k-20k,北京字节跳动科技有限公司,3-5年,大专,六险一金，弹性工作，带薪休假，扁平管理,,文娱丨内容,2000人以上,数据分析,无锡
运营助理,https://www.lagou.com/jobs/7013768.html,北塘区,3k-5k,北京凌众时代广告有限公司,1年以下,大专,"双休待遇好,调薪次数多,轻松氛围好",岗位职责：1、3~6个月数据统计学习（报表统计、拓词、撰写创意）2、6~12个初步sem账户操作、数据分析培养3、1年后，账户独立运营优化培养任职要求：1、本科以上学历，21岁-26岁，有无行业经验均可2、熟练使用Excel表格3、细心，有责任心，有意愿往sem优化师发展,移动互联网,50-150人,数据分析,无锡
sem优化师,https://www.lagou.com/jobs/7013757.html,北塘区,4k-8k,北京凌众时代广告有限公司,1-3年,大专,"双休待遇好,调薪次数多,轻松氛围好",岗位职责： 1、根据产品推广需求，制定科学合理的投放策略，并对推广效果进行实时监控优化并对结果负责；2、管理百度、360、搜狗、神马（包括但不限于）等付费推广的排名竞价，提炼关键词、撰写创意、管理账户后台 ；3、监控推广各项数据，制作数据分析报告，评估推广效果，提出合理化改进建议，及时调整并优化推广策略，保证效益最大化；任职要求：1、大专以上学历，一年以上相关工作经验 ；2、熟悉主流搜索引擎竞价规则，熟悉后台操作 3、熟练掌握办公软件，精通Excel，有一定的数据分析经验，了解网站分析；4、了解乙方公司工作状态、工作模式。,移动互联网,50-150人,数据分析,无锡
