job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
大数据分析工程师,https://www.lagou.com/jobs/6618368.html,呈贡区,8k-15k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.大数据平台的调研、实施和维护，还有相应技术方案完善；数据处理流程的自动化方式实现；2.数据收集、预处理、特征提取、数据统计分析等工作；3.根据工作能力可进一步从事数据挖掘数据建模工作。    岗位要求1.**学历全日制统招本科及以上学历，计算机和数理相关专业；2.一年以上大数据类程序员工作经验并具有扎实的编程能力、计算机基础。熟悉Linux和Shell，熟练Python或R，会C、C++，会Java、Scala、SQL的一种或几种；使用过大数据平台，了解hadoop生态，如hadoop、storm、hive、spark、Kafka等，了解MySQL、Oracle等数据库；3.具有编程化思维方式，善于将人工实现转为自动化实现；能独立分析问题、解决问题；良好4.团队协作精神；具有良好的学习能力和热情；5.有ETL工作经验者优先考虑；6.有BI类、统计类软件使用经验者优先考虑；7.有人工智能、机器学习、自然语言处理等经验者优先考虑。,"数据服务,移动互联网",50-150人,数据分析,昆明
客服专员,https://www.lagou.com/jobs/6809173.html,盘龙区,3k-5k,成都俊云科技有限公司,不限,大专,扁平高效 福利满满 免费营养双餐,岗位职责：1、通过公司提供的服务平台（客服系统、企业QQ、电话等）解答用户遇到的问题；2、解决用户咨询、投诉和建议等问题并做好信息整理、分析及反馈工作；3、定期根据客服统计数据分析，对目标用户定向回访，深入挖掘用户需求和建议，反馈并协助产品部提升产品体验；4、为其他部门线上宣传渠道提供相关的客户服务需求支持，在整体上提高客户满意度；5、完成周期内领导交付的其他任务。任职要求：1、大专及以上学历，计算机、网络、信息技术等相关专业优先（可接受应届生）；2、计算机操作熟练，文字录入要求每分钟40字以上；3、普通话标准，口齿清晰，亲和力强，有耐心；4、抗压能力强，有良好的客户服务意识、职业道德及沟通、判断能力；5、具有较强的组织、计划、控制、协调、沟通及应变能力，有责任心，对人热情，良好的团队合作精神；6、能接受早晚班倒班，有相关经验者优先。工作时间：1、早班：9:00-18:00；2、晚班：14:00-22:30；3、晚班回家报销车费。俊云标配福利：1、五险+公积金—五险一金为你闯荡江湖保驾护航！2、丰盛饱腹零食货架+冰柜饮料+每周定期新鲜水果奉上—你是否空有一个吃货的才华和抱负却无处施展？只要你不怕长胖，俊云助你一臂之力！3、婚育礼金—当你步入结婚生子人生新阶段，除了满满的祝福，还有饱含俊云心意的礼金。4、生日及节假日福利—生日券和季度生日会是必不可少的，还有各种节日活动：中秋端午伴手礼、情人节活动、程序员节祝福等，让你每个节日都充满惊喜与期待~还有更多隐藏福利等你来发现哟！！,"移动互联网,硬件",50-150人,数据分析,昆明
销售经理,https://www.lagou.com/jobs/6100571.html,西山区,10k-20k,北京字节跳动科技有限公司,3-5年,大专,六险一金，弹性工作，带薪休假，扁平管理,,文娱丨内容,2000人以上,数据分析,昆明
项目运营经理,https://www.lagou.com/jobs/7205342.html,五华区,6k-8k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,岗位职责：1、组织编制并优化运营管理流程及相关制度模块，推进把控运营管理流程及相关制度的落实；2、建立各业务线项目数据监控，在项目周期的各个阶段，负责整体把控项目的工作进度，结合目前项目管理问题提出有建设性修正意见；3、定期分析运营数据，为产品和运营策略制定提供有效的数据支持，并根据数据提出有效的应对策略；4、全程参与项目合同评审，协助把控预算利润率，业务线拆分，评估可执行等相关工作。任职要求：1、本科及以上学历，有3年以上互联网项目运营工作经验者优先；2、拥有互联网项目全程运营案例者优先；3、了解大互联网或媒体行业运营模式；4、具有较好的逻辑思维能力及数据分析能力，能够精确洞察客户需求；5、具有创新意识与条理性；有原则性与大局观；有不断学习新业务的兴趣及解决新问题的方式方法；6、具有较强的沟通能力及资源整合能力，能与协作部门建立良好的工作关系；7、对数据有高度的敏感度和警觉性，较强的分析能力，有优秀的文字和口头表达能力。,文化娱乐 移动互联网,15-50人,数据分析,昆明
信息流优化师,https://www.lagou.com/jobs/6375206.html,五华区,6k-9k,云南翡翠王朝网络科技有限公司,1年以下,大专,五险 法定节假日,岗位职责：1、 负责信息流媒体（头条、广点通、百度、微信MP等主流媒体）平台的广告投放和优化，为推广产品KPI负责；2、 思考和探索创意优化方向，撰写广告文案，制定效果优化策略；3、 分析筛选组合定投流量资源，积极探测流量效果，匹配产品目标受众；4、 分析广告投放数据，从不同维度结合行业及产品特点进行分析、发现问题，解决优化难题，总结优化规律和方法论；5、 对结果负责，提供周、月度、季度等数据分析总结报告。任职要求： 1、2年以上工作经验，熟悉头条，广点通、百度、微信MP等信息流媒体；2、实际操作过日消耗十万级以上账户，千万级以上账户为加分项；3、具有良好的沟通能力及较强的项目进度把控能力；4、逻辑清晰，对数据敏感，能够精确的发现问题，并制定解决方案；5、沟通能力、分析能力、归纳能力强，具有良好团队配合精神；6、熟练应用Excel，具备利用Excel处理和分析数据的能力，对数据敏感，能有效率的处理大量的数据。,移动互联网,150-500人,数据分析,昆明
网络优化师,https://www.lagou.com/jobs/6375182.html,五华区,6k-8k,云南翡翠王朝网络科技有限公司,1-3年,大专,五险 法定节假日,岗位职责：1、精通百度、360、搜狗、神马、今日头条等搜索引擎竞价机制，并制定执行竞价策略；熟悉信息流优化设计。2、负责竞价关键词的提炼，整理以及分析关键词的行业价值；3、总结竞价排名规律，对竞价关键词进行整理和数据分析，能有效的对其进行评估；4、熟练各大竞价平台的详细功能和流程；5、可以独立操作账户，最大化的提升投资回报率；6、实时关注广告效果报告，根据相应的搜索引擎，同行竞价排名实时调价。【任职要求】1、本科及以上学历，具有2年以上网络推广优化工作经验，能操作大型SEM账户；2、熟悉百度、360、搜狗、神马等搜索引擎的投放运作，精通排名机制与优化规则；3、擅长数据分析，熟练掌握数据监测与跟踪技术，能通过数据结果调整投放策略；4、知识架构全面，具备较强的网络营销和资源整合能力，熟悉SEO、DSP以及其他网络营销推广方式。工作时间：周一至周六9：00-18：00,移动互联网,150-500人,数据分析,昆明
用户运营,https://www.lagou.com/jobs/7195386.html,安宁市,4k-6k,云南校转网络科技有限公司,应届毕业生,本科,"包住（精装套房，可领包入住）
成长空间大",我们是致力于打造大学综合生活服务平台的年轻移动互联网公司。秉承透明化工作，高效沟通，去形式化主义的原则，致力于打造新时代的移动互联网公司。欢迎年轻人加入我们，一起成长。主要工作内容：1.分析旗下app用户画像，用户分级，协助产品运营构建用户生命周期，用户成长体系。2.建立维护核心用户社群，发觉、创造、维护KOL，协助产品运营建立用户社群体系。3.收集用户反馈，协助完成产品迭代。4.组建，管理不同高校的兼职团队。要求：1.拥有数据收集，数据分析能力。2.拥有团队组织、领导的能力。3.拥有一定的创新能力，能为产品迭代提供建议。4.拥有较强学习能力，能快速学习运营所需知识技能。5.熟练使用办公软件，ps等工具。6.拥有文案功底。7.热爱用户运营这份工作。（不管做什么，热爱它，这是我们公司的文化之一）待遇：底薪4-6k，提供住宿（精装套房，可领包入住），对公司做出重大贡献奖励股份（初创公司，欢迎和我们一同成长）。工作地点：安宁大学城金湖胜景小区,消费生活,少于15人,数据分析,昆明
课程运营,https://www.lagou.com/jobs/7109937.html,盘龙区,4k-8k,昆明五华乐之培优培训学校,1-3年,本科,五险一金、员工体检、带薪年假、做五休二,岗位职责：1、【内容运营】产品包装卖点梳理提炼；根据业务需求，负责推广运营素材、课程推广物料的产出，包括软文，讲座，社群运营素材等；2、【课程运营】根据不同的目标制定课程运营方案：包括课程运营节点、教师服务、各类推广和转化动作的流程，跟进推广运营及教学效果；并协调各部门完成运营方案的落地执行，根据数据反馈调整运营策略；3、【用户运营】定期制定用户满意度及调研方案，提供转化动作标准化工具和分析解析及培训；根据用户体验路径，制定关键节点的学科运营动作，如开班家长会、续费节点沟通、一对一诊断评测等，最终提升用户漏斗转化，增加用户亲密度和留存率。任职要求：1、统招本科及以上学历；2、具有数学/物理/化学学科基础，用户心理学专业优先；3、有一定的设计和运营讲座、短期班、长期班等学科型内容的经验；4、能独立策划选题、攥写稿件，灵活运用文字、语音、视频、图片输出内容；熟悉孩子及家长的心理特点和行为动作，喜欢研究新鲜的传播方式和媒介；了解用户运营体系经验和方法论，具备数据敏感性和运营数据分析能力；熟练掌握Microsoft系列办公软件，简单PS，原型图设计等5、对教育事业有热情，具备极强的学习能力和创新意识；思维灵活，逻辑清晰，具有抗压能力。,教育,150-500人,数据分析,昆明
人事主管,https://www.lagou.com/jobs/7095909.html,盘龙区,4k-8k,昆明市盘龙区颜如玉美容店,不限,不限,"提供食宿，容易上手，朝九晚六
单休",岗位职责：1、负责招聘、薪酬、考核、员工关系等人力资源日常管理事宜；2、定期进行人力资源数据分析，提交公司人力资源分析报告；3、推动企业文化；任职资格：1、人力资源、管理或相关专业；2、具有战略、策略化思维，有能力建立、整合不同的工作团队；3、具有解决复杂问题的能力；很强的计划性和实施执行的能力；4、很强的激励、沟通、协调、团队领导能力，责任心、事业心强。,文娱丨内容,50-150人,数据分析,昆明
销售经理,https://www.lagou.com/jobs/7079557.html,盘龙区,8k-16k,汉海信息技术（上海）有限公司,3-5年,本科,门票度假商务部大客户经理,工作职责：1.负责收集各类渠道和商家的最新信息，达成与区域内的景区合作签约、产品运营、信息维护等2.通过运用景区门票营销工具，整合站内外资源，确保在线产品的竞争优势，包括但不限于预订条款、价格、库存、货架展示等3.负责与景区沟通线上及线下活动方案，跨部门沟通协调，跟进提报、审批以及项目落地等4.围绕着公司的战略方向，帮助景区提高运营效率，高效执行并达成目标岗位要求：1.本科及以上学历，3-5年以上旅游行业或大客户销售工作经验者优先2.具备独立思考及较强的学习的能力，良好的人际沟通及协调能力3.条理清晰、思维敏捷、有责任心及超强的执行力、抗压能力4.具备较强的数据分析能力，熟练操作各类办公软件（包括不限Word、Excel、 PowerPoint等）,移动互联网,2000人以上,数据分析,昆明
