job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据分析,https://www.lagou.com/jobs/5978724.html,航空港区,10k-20k,富泰华工业（深圳）有限公司,3-5年,本科,五险一金 绩效奖金 带薪休假 定期体检,岗位职责：1. 依分析应用议题需求与分析方法论，运用统计与机器学习进行数据分析与挖掘；2. 负责生产/制程/周边等大数据信息萃取研发；3. 数据分析模型部署。任职要求：1. 具数据分析经验2年以上；2. 熟统计、及2种以上之机器学习算法；3. 熟R /Python / matlab(2种以上)、及SQL程序开发；4. 有制造业分析经验或预测数据项目实际经验尤佳。,"电商,数据服务",2000人以上,数据分析,郑州
数据分析师,https://www.lagou.com/jobs/5598827.html,中原区,8k-12k,安徽省刀锋网络科技有限公司,1-3年,大专,"五险一金,带薪年假,部门聚餐,弹性时间","岗位职责1. 负责公司数据的收集、统计、定期报送及管理工作；2.负责公司数据分析和挖掘根据业务需求，编制报表模型，并及时完成报表数据统计及分析处理工作，为业务运营推广提供数据支撑；3. 负责公司经营分析等相关报告的定期撰写和汇报；4. 负责完成行业内的宏观政策分析、市场动态分析工作，为公司决策提供支撑服务；5. 完成公司领导安排的其他工作。任职要求1、规划专属运营分析后台，以及决策后台利用，可视化数据汇报，日周月杜绝非可视化汇报盲点。2、熟悉常用的数据分析方法和挖掘算法，一年以上相关项目经验，以下至少一类算法有深入的应用和理解：分类，聚类，关联，协同过滤； 3、对数据有良好的敏感性，能够通过数据察觉到背后的业务变化和潜在问题，有大数据处理经验者优先；4、精通一种及以上数据挖掘工具（SAS\SPSS等），具有海量数据挖掘、分析相关项目实施经验，参加过完整的数据挖掘项目并有成功案例尤佳；5、熟练掌握PPT和EXCEL制作;公司简介安徽省刀锋网络科技有限公司是2016年7月正式注册成立的互联网公司，是国内最大的游戏服务全产业链的企业。至今已发展成为集游戏体验、账号租赁、代练、买卖四大主营业务为一体，游戏社区、游戏发行并行发展的个人游戏服务企业，并于2017、2018年完成数千万美元A轮、A+轮融资，估值5个亿。2017年底公司将总部迁至郑州高新技术开发区大学科技园，客服中心设置在安徽亳州，2018年在北京中关村设置分公司，同步探索深圳分子公司业务，公司员工近500人。我们的产品：1、游戏租赁：租号玩www.zuhaowan.com 全国最大的游戏账号体验平台，会员规模千万级；2、游戏体验：UGgame  www.uggame.com3、游戏电竞：刀锋电竞 www.daofengdj.com4、游戏代练：蚂蚁代练  www.mayidailian.com5、游戏交易：99173交易  www.99173.com我们的薪酬福利：1、 行业有竞争力薪酬福利；完善的社会统筹保险；2、 每年2次调薪机会（6月份、12月份）3、 入职即可享受年底分红；入职满一年享受年底双薪；4、 只要你有才干，股票期权任你拿；5、 周末双休，8小时工作制；6、 培训津贴+定期培训，内外训结合，帮助员工快速成长7、 各种法定假、带薪年假+节日福利、party、员工生日会+礼品、结婚礼金等，福利拿到手软8、 每月部门聚餐，不定期旅游、野外拓展等，劳逸结合，去哪玩大伙儿定；9、 公司办理健身卡+时令水果+养生花茶，养生90后可不止会保温杯泡枸杞哦10、 免费提供住宿（电梯公寓房、空调、热水器、洗衣机.....咱都有）；11、 我们是85后,90后,95后；充满激情和梦想的年轻管理团队及行业大牛；12、 开放的公司文化和人性化的管理。我们的愿景：1、全球最大的游戏账号租赁平台；2、颠覆用户游戏方式，优化用户体验；3、帮助玩家在游戏体验中获得前所未有的便利，使空闲账号能产生利益；","移动互联网,游戏",500-2000人,数据分析,郑州
数据分析师,https://www.lagou.com/jobs/7161680.html,金水区,7k-14k,北京瑞天欣实数据科技有限公司,不限,本科,发展前景好，机会多。,岗位职责：1.  对接金融和政府相关行业客户，负责信贷产品的风控流程设计，通过数据分析和挖掘，构建包括针对客户获取、信审决策、账户管理、拖欠催收等评分卡模型，并生成应用于贷前、贷中和贷后的风控规则与策略等商业智能方案；2.  为客户提供完整的数据分析与商业智能解决方案，包括方案的设计、开发与实施；3.  对海量相关数据进行数据清理、分析和挖掘，并加工生成有效特征指标，并进行相应的风险剖析；4.  对模型的应用效果进行验证、监控与跟踪，并根据模型标新进行快速迭代优化；5.  将分析结果以书面的形式予客户展示，并可以熟练地与技术或非技术人员进行相关交流；6.  协助公司的售前团队，提供相应的数据分析结果等。职位要求：1.  大学本科（含）以上学历，统计、数学、金融等相关专业毕业2.  熟悉常用的建模方法3.  至少熟练掌握一种常用数据建模工具和语言（SAS/R/Python/SQL等）4.  对数据敏感，具备敏锐的业务洞察力和良好的逻辑思维能力5.  学习能力强、工作积极主动、抗压能力强，具备良好的沟通与团队协作能力，有组织性、责任心。,数据服务,50-150人,数据分析,郑州
数据分析师,https://www.lagou.com/jobs/7215036.html,金水区,8k-10k,北京瑞天欣实数据科技有限公司,1-3年,本科,12天年假 六险一金 双休,职责描述：1. 为金融和政府行业客户开发数据分析解决方案，包括针对客户获取，信审决策，账户管理，拖欠催收等的评分系统和商业智能解决方案。2. 对于海量数据进行数据清理，分析和评估。3. 能够为客户开发数据分析方案，包括统计模型的建立，商业智能方案的开发，包括从设计，开发到实施的过程。4. 能够将分析结果用书面文字和口头的方法进行技术性和非技术性的人员进行顺畅的交流。5. 能够用有效的方法对于统计模型方案的实施进行核实和验证。6. 能够为销售和市场营销人员提供数据分析来帮助售前。7. 能对现有产品提供改进方案，并协助数据类和分析类新产品的开发。任职要求：1. 至少一年的数据清理，评估，统计模型和分析经验，SAS和Unix系统操作经验，至少熟练掌握一种常用数据建模工具和语言（SAS/R/Python/SQL等）。2. 学士以上学位，硕士以上更佳，统计，数学相关学科。3. 能够有效地执行分析类项目。4. 突出的口头交流和文字表达能力，能够将分析方法论和结果进行有效交流。5. 要有高度责任心，团队精神，和讲演能力。,数据服务,50-150人,数据分析,郑州
数据分析师,https://www.lagou.com/jobs/6910733.html,高新区,12k-24k,中移在线服务有限公司,3-5年,本科,"六险两金,扁平化,高福利,高奖励","岗位职责：1、构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题；2、基于海量结构化及非结构化等数据，运用数据挖掘、机器学习的理论方法，进行分析专题应用建设，完成项目的工程设计、评审、开发、测试及线上部署，推动团队运营决策、产品方向、服务策略实施效率的提升；3、理解业务部门提出的数据分析需求，支持面向业务的数据服务，与业务团队协作进行运营分析工作，推动部门的数据化运营能力提升任职要求：1. 本科及以上学历，具备3-5年相关工作经验，掌握扎实的统计学，数据挖掘，机器学习理论基础，具有分类、聚类、神经网络、NLP、社交网络分析、深度学习等挖掘项目实战经验；2. 具有扎实的技术基础，熟练掌握主流数据处理、分析及算法开发工具(SAS/Python/R等)；3. 熟练使用SQL语言进行各种复杂的数据处理和汇总统计分析；4. 具备BAT等知名互联网或高科技公司数据挖掘经验者优先，具有大数据挖掘项目开发经验者优先；5. 良好的团队合作精神、沟通能力和逻辑思维能力,优秀的分析和解决问题的能力,对挑战性问题充满激情；",移动互联网,2000人以上,数据分析,郑州
数据分析师,https://www.lagou.com/jobs/6747639.html,高新区,15k-25k,中移在线服务有限公司,3-5年,本科,大平台 高起点 大牛同事,"岗位职责：1、构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题；2、基于海量结构化及非结构化等数据，运用数据挖掘、机器学习的理论方法，进行分析专题应用建设，完成项目的工程设计、评审、开发、测试及线上部署，推动团队运营决策、产品方向、服务策略实施效率的提升；3、理解业务部门提出的数据分析需求，支持面向业务的数据服务，与业务团队协作进行运营分析工作，推动部门的数据化运营能力提升任职要求：1. 本科及以上学历，具备3-5年相关工作经验，掌握扎实的统计学，数据挖掘，机器学习理论基础，具有分类、聚类、神经网络、NLP、社交网络分析、深度学习等挖掘项目实战经验；2. 具有扎实的技术基础，熟练掌握主流数据处理、分析及算法开发工具(SAS/Python/R等)；3. 熟练使用SQL语言进行各种复杂的数据处理和汇总统计分析；4. 具备BAT等知名互联网或高科技公司数据挖掘经验者优先，具有大数据挖掘项目开发经验者优先；5. 良好的团队合作精神、沟通能力和逻辑思维能力,优秀的分析和解决问题的能力,对挑战性问题充满激情；",移动互联网,2000人以上,数据分析,郑州
大数据开发工程师,https://www.lagou.com/jobs/7190332.html,中原区,10k-15k,安徽甜心互娱网络科技有限公司,3-5年,本科,双休、五险一金、下午茶、旅游、年终奖,"1、负责 Hadoop 集群、数据分析平台、计算平台开发和维护； 2、负责公司海量用户行为日志数据收集、ETL； 3、支持实时数据报表、离线数据报表、交互式数据分析等多种数据应用； 4、负责数据仓库业务主题数据建模以及核心代码开发开发和调优。任职要求1.3年以上大型数据仓库规划和实施经验，熟练掌握主流ETL解决方案，计算机相关专业本科及以上学历； 2.精通SQL语言, 熟悉Java，Python，scala等数据科学开发语言，至少要精通其中一种 具备数据库（mysql，postgresql等）使用和优化实践；大数据仓库建模及数据ETL开发经验 3.掌握MapReduce系列大数据系统原理，熟练使用HDFS、Hive，Spark，Flink，HBase，Kafka等分布式计算系统，并对于使用场景，优化方式有着深入理解 4.至少具备阿里云、AWS、Azure等其中一种云服务上大数据存储、计算以及挖掘分析使用经验超过2年的时长经验 5.熟悉深度学习，有深度学习相关框架如Tensorflow,Caffe,PyTorch,Mxnet开发经验者优先 热爱数据开发以及科学分析工作； 工作责任心强，有较强的抗压能力、沟通能力、项目推动能力和良好的服务意识","游戏,社交",150-500人,数据分析,郑州
资安数据分析师,https://www.lagou.com/jobs/7154088.html,航空港区,10k-15k,富泰华工业（深圳）有限公司,3-5年,本科,五险一金、绩效奖金、带薪休假、定期体检,岗位职责：资安日志分析，专业技术导入，系统漏洞研究，系统工及测试。技能要求：网络安全认证/信息安全认证/信息安全相关工作经验。,"电商,数据服务",2000人以上,数据分析,郑州
大数据开发工程师,https://www.lagou.com/jobs/7202315.html,郑东新区,7k-12k,郑州科瑞思拓软件科技有限公司,3-5年,本科,双休、五险一金、节日福利、员工旅游,"统招二本以上学历，计算机专业，2年以上工作经验
 掌握Python、Java、C++至少一种编程语言，
 熟练掌握Hadoop大数据平台原理及相关技术，包括hdfs、hive、hbase、kafka；
 精通SQL存储过程设计与开发，常用函数、分析函数、熟练使用SQL完成业务需求；
 熟练数据仓库，对多维数据建模有深入理解；
 了解容器技术，包括docker、k8s等，能够对相关问题进行定位分析。","移动互联网,旅游",50-150人,数据分析,郑州
大数据开发工程师,https://www.lagou.com/jobs/7194241.html,金水区,10k-15k,河南飙风信息科技有限公司,3-5年,本科,五险 双休 年假 旅游 年终奖,公司为纯技术公司 高新技术企业   软件企业团队技术氛围浓 活泼团结运维平台 大数据分析  数据治理 人工智能等业务的开发   五险 双休 年假 旅游 年终奖 项目奖过节福利  等等  你能想到的基本都有1、完成软件产品各模块的功能、代码实现等工作；2、参与项目技术难点攻关以及核心代码的编写；3、设计及运用前沿技术于产品开发；4、协助上级完成团队制定的研发计划。职位要求：1、3年以上软件开发经验，精通Java开发，熟练使用java 框架；2、精通java 和 SQL；熟悉Kafka、MR、Hive、Hbase 等；有丰富的spark项目经验；3、ETL数据处理开发经验，能独立完成数据处理开发工作；3、熟练使用Spark，并对spark-core/spark-sql/spark-streaming有深入认识，具备java/Scala/python语言开发经验者优先；4、对分布式缓存Redis和Nosql数据库（如：MongoDB、Hbase）有一定研发经验；5、熟悉数据仓库建设的流程及方法论、理解维度建模，有实际的模型设计经验5、具有良好的沟通及项目协调能力，优秀的分析问题和解决问题的能力，具备强烈的进取心和良好的团队合作精神。,"人工智能,软件开发",15-50人,数据分析,郑州
