job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据分析师（BI方向）,https://www.lagou.com/jobs/7089082.html,市南区,6k-12k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,团队氛围好,薪资优厚",,文娱丨内容,2000人以上,数据分析,青岛
ETL大数据分析（实习）,https://www.lagou.com/jobs/7210711.html,市北区,6k-12k,青岛莱信实业有限公司,不限,大专,节日福利、带薪年假、双休、五险一金、包住,岗位职责:1、参与项目需求分析和设计;2、完成软件系统代码的实现，编写代码注释和开发文档;3、辅助进行系统的功能定义程序设计;4、根据设计文档或需求说明完成代码编写，调试，测试和维护;5、分析并解决软件开发过程中的问题;6、协助测试工程师制定测试计划，定位发现的问题;7、配合项目经理完成相关任务目标;8、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。任职资格：1、专科及以上毕业生;2、相关专业优先考虑;3、有责任感，良好的团队协助精神;4、有无经验均可，一经录用，待遇优厚;5、可接收应届毕业生。,"移动互联网,数据服务",50-150人,数据分析,青岛
数据分析师,https://www.lagou.com/jobs/6841855.html,崂山区,10k-20k,海尔集团,3-5年,本科,大平台、稳定性高，薪酬福利完善,"岗位描述：1. 从0到1搭建数据分析体系：搭建数据监控分析体系，贴和业务需要定期分析查看业务发展情况，业务发展结果可量化，可衡量，使业务侧得到准实时的效果反馈，根据业务效果指导业务决策，做到心中有数；根据对数据、业务理解及与业务部门沟通，提出可能的潜在影响因素的业务假设；对于明显影响效果的因素，提出优化建议。2. 提出数据分析工具化，产品化建议：以“让数据易用”为准则，提出现有BI或数据产品相关的优化建议，提升数据使用效率，发挥更大价值。3.支撑战略，运营等决策部门提供专题分析及业务方向探索，实现战略落地： 根据决策层需要定期产出专项分析报告，不限于PPT或如tableau敏捷数据可视化开发工具。4.数据规范制定及数据质量提出建设性优化建议：梳理分析指标及数据源头，保证数据准确性及有效性，能针对数据缺口提出合理性需求。岗位要求：1.熟悉MySQL、Oracle等关系型数据库，有数据库基本应用能力；基本了解常用的应用服务器tomcat，Jboss等;2.精通编写sql语句，对复杂查询、分组等有深入了解，有一定的复杂报表经验，能独立梳理复杂业务逻辑；3.熟练运用类似Tableau，powerBI，QlikSense其中至少一种敏截数据可视化产品进行数据逻辑处理和业务逻辑转化，测试数据的准确性，快速形成相关的报表；4.熟练使用各种办公软件，如PPT、EXCEL等，能独立撰写数据分析报告；5. 了解SAAS服务基础原理及应用场景，需要时能投入相关数据分析工作；7.精通至少一种数据分析/挖掘/统计软件/语言，如Python，SAS，SPSS等；8. 对数据与业务方面有足够敏感性，有较强的逻辑分析能力，有较强的独立思考能力；9.良好的数据搜集、预测能力以及文档编写能力；10.5年以上数据分析经验，至少1年以上制造业相关工作经验，对工业互联网行业有一定的了解为加分项,有产品经理经验为加分项；11.具有良好团队合作精神，工作积极主动，有较好的学习能力，能够承受工作压力；","物联网,电商",2000人以上,数据分析,青岛
高级数据分析,https://www.lagou.com/jobs/6868084.html,李沧区,7k-12k,上海超数信息科技有限公司,3-5年,不限,五险一金,岗位职责：1、与用户沟通，理解用户需求，提炼数据可视化思路；2、参与数据分析方案的设计，用数据帮助用户发现、分析和解决问题，编写数据分析报告；3、参与搭建企业数据分析平台，包括数据可视化平台设计、数据对接、分析页面制作。任职资格：1、对数据高度敏感，至少熟练运用一种，FineBI 、FineReport、永洪BI工具；2、有3年以上相关工作经验，热爱互联网，具备数据分析思想，熟悉常用数据分析方法（聚类分析、时间序列分析、交叉列联分析等）；3、责任感强，工作积极主动，具备学习意识，有良好的团队协作意识；4、熟练掌握sql者优先，熟练掌握任一种编程语言者优先。,"电商,数据服务",50-150人,数据分析,青岛
大数据开发工程师,https://www.lagou.com/jobs/7049921.html,市北区,6k-10k,青岛好驻大数据科技有限公司,不限,大专,早九晚六 周末双休 五险一金,1、计算机及其相关专业，大专及以上学历。2、具备实时处理框架的设计和开发能力4、熟悉Linux等开发环境，能进行shell脚本的编写;5、具有较强的逻辑分析能力，高度的责任心及团队合作精神;6、具有实际大数据项目的成功经验者优先考虑,数据服务、软件开发,150-500人,数据分析,青岛
人力资源总监,https://www.lagou.com/jobs/7197195.html,市南区,15k-20k,山东春晓图书有限公司,3-5年,硕士,平台好,岗位职责：1.在公司人力资源战略、政策和指引的框架下，建立并实施人力资源方针和行动计划，以支持公司达到预期经营目标。2.负责组织起草、修改和完善人力资源相关管理制度和工作流程。3.负责招聘、培训、薪酬、考核、员工关系等人力资源日常管理事宜。4.负责组织编写各部门职位说明书。5.定期进行人力资源数据分析，提交公司人力资源分析报告。6.根据行业和公司发展状况，协助制定公司薪酬体系、激励体系并负责实施。7.协助监督控制各部门绩效评价过程并不断完善绩效管理体系。8.协助推动公司理念及企业文化的形成。9.协助制定公司人力资源整体战略规划。10.负责部门的日常事务管理工作，协助完成本部门员工工作考核、激励及部门资金的预算和控制等工作，公司安排的其他工作。任职要求:1.人力资源管理、工商管理、企业管理、行政管理等相关专业硕士学历，有海外MHRM、MBA、EMBA学习经历者优先录用。 2.3年以上大中型企业、集团公司、瞪羚企业、独角兽企业、新三板企业人力资源经理及以上岗位工作经验。3.具有良好的职业素养和道德操守，无不良行业从业记录，对现代企业人力资源管理模式有系统的了解和丰富的实践经验。4.对现代企业人力资源管理模式有系统的了解和丰富的实践经验，对人力资源管理各个职能模块均有深入的认识，能够指导各个职能模块的工作。5.熟悉国家、地区及企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策。6.具有较强的战略决策能力、统筹规划、组织管理能力和团队协调、领导能力，具有战略、策略化思维，有能力建立、整合不同的工作团队。 7.具备良好的判断力、前瞻性和应变能力以及较强的计划性和实施执行的能力。8.具备良好的团队合作精神，能服从公司工作安排，工作积极高效，乐于沟通，有一定的承压能力。薪资待遇：基本工资+管理津贴+奖金，年薪17-24万，具体可议。,文化娱乐,50-150人,数据分析,青岛
大客户销售（CKA）,https://www.lagou.com/jobs/6997439.html,市北区,10k-15k,达疆网络科技（上海）有限公司,3-5年,大专,带薪年假 五险一金,KA，大客户，餐饮，商超，新零售工作职责：1、负责达达集团城市大客户品牌和渠道的合作拓展和落地；2、能够深度了解配送行业产品，并根据品牌数据分析和履约效果，制定配送合作方案，实现大客户配送需求解决；3、能够与客户进行有效的沟通和谈判，促进业务达成；4、协同总部KA和运营团队，持续优化服务质量和用户体验。任职要求：1、3年以上互联网销售经验，1年以上大客户销售经验；2、目标导向，有良好的沟通表达和团队协作能力，逻辑思维清晰；3、大专以上学历,消费生活,2000人以上,数据分析,青岛
电商运营,https://www.lagou.com/jobs/7197461.html,市南区,10k-15k,山东春晓图书有限公司,1-3年,本科,平台好,"岗位职责：1.负责公司图书（垂直）电商业务的渠道战略布局、运营策略和规划、业务发展规划和指标，并推动、指导、监督、管控部门各项任务指标的完成进度，责成相关人员修正工作目标、管理措施和政策方案。2.负责月度、季度、年度销售规划和指标，推动、指导、监督、管控任务指标完成，并对相关运营数据进行监控、分析。3.制定电商营销策略，建立产品的网络营销管理体系和推广模式，编制年度、季度网络营销方案和预算，落实并监控各项计划和方案的实施。4.负责电商运营的技术研究，结合产品及市场现状，为平台增量业务的电商运营设计可执行方案和产品优化方案。5.负责线上商品营销及物流管理，包括各平台店铺商品上下架及商品日常权重优化（包括上线、上下架、库存调配工作）。6.协同团队挖掘产品亮点与卖点，提出图片创意，了解行业数据，积极做出推广策略调整。7.负责对店铺中单品的流量数据、交易数据、推广数量、产品及客户管理等全方面多维度进行销售分析，不断的调整策略，保证爆款的推广营销指标的达成。8.负责规划网络广告的投放，并做好爆款推广营销费用的预算和数据统计分析。9.负责挖掘客户需求，对客户体验进行优化，包括自有店面装修、布局、编辑、单品爆款推广营销提出优化方案和改进建议。10.监测同行业运营情况及市场最新动态，并进行分析，需要时可及时调整营销策略。11.根据业绩、市场反馈数据等有效信息，对运营情况进行监督、控制和评估，及时调整市场策略，保证经营和利润目标的达成。任职要求:1.电子商务、市场营销、产品运营、新闻传播等相关专业统招本科及以上学历。2.2年以上电商运营工作经验，熟悉京东、拼多多等平台运作。3.能根据电子商务运营特点和受众分析，进行业务拓展及营销，熟练运用各种推广策略，有效的开辟电子商务市场终端。4.熟悉电子商务运营管理结构和流程，对数据敏感，具备较强的数据分析能力及高效的执行力，具有后台数据统计分析经验, 有较强的分析判断能力，能根据推广效果反馈调整策略。5.具有较强的沟通、协调、团队领导能力，具备良好的判断力、前瞻性和应变能力以及较强的计划性和实施执行的能力。6.具有良好的职业素养和道德操守，善于沟通，工作认真、严谨、细致、耐心，具有解决复杂问题的能力。7.具备良好的团队合作精神，能服从公司工作安排，工作积极高效，乐于沟通，有一定的承压能力。 薪资待遇:基本工资（年薪17-24万）+绩效工资，具体可议。",文化娱乐,50-150人,数据分析,青岛
品质运营,https://www.lagou.com/jobs/7218590.html,市南区,8k-12k,北京字节跳动科技有限公司,1-3年,本科,"健身瑜伽,六险一金,团队氛围好,餐补",,文娱丨内容,2000人以上,数据分析,青岛
业务BI分析专家,https://www.lagou.com/jobs/6936490.html,市北区,15k-25k,拉扎斯网络科技（上海）有限公司,5-10年,不限,前景广阔 阿里系公司,【工作职责】:1、对交易履约业务部门进行数据需求支持，深入进行业务专题主题分析，基于数据分析成果，为业务部门提供商业策略分析和业务优化建议，持续改进运营效果，含用户留存分析，商户运营及品类分析，物流分析，经营规划等；2、优化和完善所属方向的数据分析体系，包括 KPI 指标体系、报表体系、搭建分析框架，并进行核心指标监控，撰写数据分析报告；3、通过专题数据分析来发现问题，实现数据驱动，提升交易运营效率，扩大市场份额，提升交易、物流的协同联动；4、提升团队的整体数据分析、财务分析、数据运营等能力。【任职要求】：1、数学、统计学、计算机等专业本科及以上学历，985院校或国外名校毕业者优先，数学+计算机+财务专业者更佳；2、 5年以上互联网相关领域/咨询相关行业数据分析的工作经验、；3、熟练掌握SQL，熟练掌握excel，了解Python、 R中至少1-2种工具方法，熟悉thinkcell者优先；4、优秀的商业分析思维，善于思辨，敢于决断；能够针对某项业务，搭建整个数据分析体系；5、优秀的沟通能力和项目管理能力，强大的自驱力和抗压力，具备分享精神，能带动小伙伴们一起提高。,消费生活,2000人以上,数据分析,青岛
