job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
渗透测试工程师,https://www.lagou.com/jobs/4425324.html,南开区,10k-20k,天津开发区先特网络系统有限公司,1-3年,不限,"14薪,高绩效","岗位职责：1、对提供经过合法授权的主机、网络和Web进行安全渗透测试；2、提供网络安全攻防技术培训、攻防演练及应急响应追踪溯源等工作。3、对发生的安全漏洞、恶意代码、黑色产业链、网络安全事件进行跟踪、分析；4、对安全领域的新技术、新方法进行研究，提供自有安全产品的规则库与工具编写。5、负责技术实现原理、技术研究报告、培训课程等相关文档编写；6、内部系统的安全防御系统的策略维护及更新；7、公司自由产品和系统进行安全测试、代码审计，安全修复等工作。           任职要求：1、熟练掌握多种渗透测试的步骤、方法和流程,具备漏洞挖掘、代码审计和分析能力，能够熟练运用各种手段对系统实施有效的渗透；2、熟悉漏洞扫描、渗透测试工具、常见漏洞的利用，有过独立漏洞挖掘的经验。3、熟练掌握JAVA/Python/c++等一种编程语言，能够编写POC，有一定的逆向分析实践经验；4、熟悉内网渗透及防护的常见手法，具备大型内网的安全加固、网络梳理、调查分析及应急响应能力，善于发现并防护钓鱼、木马及社会工程学攻击；5、对信息安全有浓厚的兴趣，主动学习，具有责任感和职业道德，无黑产从业背景；","硬件,数据服务",150-500人,测试,天津
测试工程师,https://www.lagou.com/jobs/6219035.html,南开区,8k-12k,天津吉城美家信息技术有限公司,3-5年,不限,创业团队、协同快乐有理想,职位描述：1.根据产品规范编写产品测试方案，计划，测试用例；2.寻找缺陷及漏洞，根据测试提交BUG，定位及验证BUG；3.负责产品业务的性能优化，提出优化型的相关建议；任职要求：1.大专以上学历，2年以上的测试经验；2.具备较强的思维逻辑分析能力；3.有API接口实际经验，性能测试及性能分析;4.一定要有责任心，对工作有主动性，热情。5，有独立把控能力,移动互联网,2000人以上,测试,天津
测试工程师,https://www.lagou.com/jobs/7155847.html,河西区,10k-15k,上海华钦信息科技股份有限公司,3-5年,本科,前景无限金融公司,岗位职责：1.运营活动类业务测试和前端兼容性测试；2.参与活动测试全流程，包括参与需求分析、设计评审，独立进行测试设计并输出测试方案和计划；3.搭建部署测试环境，执行测试方案及用例，进行缺陷跟踪等；4.编写完整、规范的测试报告，并协助开发人员进行故障定位和优化； 5.保证被测系统的质量，保证需求整体如期保质顺利交付；任职要求：1.统招本科计算机及相关专业毕业，2年以上测试工作经验，具有金融行业从业经历优先；2.熟悉APP或小程序或H5的测试方法；熟悉Java等至少一种编程语言，有Shell或Python等使用经验者优先；3.熟悉主流数据库，熟练使用SQL语言；,"数据服务,金融",500-2000人,测试,天津
测试工程师,https://www.lagou.com/jobs/6304274.html,南开区,6k-9k,天津市神州商龙科技股份有限公司,1-3年,大专,福利待遇优厚,岗位职责：1、依据软件设计方案要求，进行测试需求分析，编制测试方案和测试计划等文档；2、依据测试需求分析文档，进行测试用例编制；3、执行测试用例，记录测试结果，提交Bug记录，对Bug进行跟踪；4、执行测试用例，进行回归测试，直至Bug完全剔除，提交Bug库；5、利用测试工具，对部分产品进行压力、性能测试；6、依据测试需求与测试过程，编制测试报告。任职资格：1、性别不限，计算机相关专业本科以上学历；2、1年以上软件测试工作经验，有测试工具使用经验优先考虑，如：QTP等；3、熟悉基本开发语言，如：C、C++等，如有其他开发工具经验更佳；4、熟悉SQL Server数据库操作与应用；5、熟悉软件测试的基本流程和行业一般规范、了解主流测试工具应用；6、能够进行测试需求分析，编制测试方案和测试计划，编写测试用例和测试报告；7、有良好的沟通、自学能力和团队合作意识。研发人员福利：1、五险一金2、年底双薪3、双休、享受国家法定假期4、餐补、话补5、防暑降温、采暖补贴6、值班津贴7、生日礼品、节日礼金8、外地员工提供住宿9、年度薪资普调10、定期体检11、带薪年假12、年度旅游13、优秀员工及十年员工境外旅游14、免费外训及专业内训15、免费健身、免费图书借阅16、内部推荐奖金17、员工考取资质证书报销制度18、每年二次技能调薪19、弹性工时20、技术创新奖金21、研发项目奖金22、研发专项图书购买基金,"移动互联网,消费生活",500-2000人,测试,天津
测试工程师,https://www.lagou.com/jobs/7160480.html,滨海新区,4k-8k,德信同创（北京）科技有限公司,不限,本科,职业规划前景优,职位描述：1 负责搜狐视频旗下APP与PC端软件的功能测试2 组织测试用例，提交测试报告，推动产品Bug修复3 负责视频类产品功能性能调优，确保该软件处于行业领先职位要求：1. 正规大学本科计算机及相关专业毕业2. 心思缜密，细致，善于发现问题3. 做事认真，喜欢钻研，对问题有一追到底的决心4. 对测试和计算机相关知识有一定的了解,移动互联网,50-150人,测试,天津
测试工程师,https://www.lagou.com/jobs/1897662.html,滨海新区,8k-16k,中标软件有限公司,3-5年,本科,五险一金；绩效奖金；交补；餐补；,岗位职责：1.根据产品的需求规格制定测试计划、测试策略，并进行测试用例的设计；2.对Linux操作系统产品进行系统、全面的测试，并对软件问题进行跟踪分析和报告；3.进行产品的自动化测试；4.根据客户的需求提供测试方案，并在客户现场完成相关的测试工作。 岗位要求：1.大学本科及以上学历；2.英语水平达到CET-4以上，有较好的英文阅读能力；3.良好的沟通能力和团队合作精神；4.熟悉软件测试规范和测试流程，能根据需求和设计文档编写测试用例；5.熟悉Linux操作系统，具备对操作系统相关理论和实践的专业知识者优先；6.具有基本的软件编程经验，熟悉Shell、python、perl其中一种及以上；7.熟悉常用的测试工具和测试方法；8.参与过基于Linux的应用软件产品测试者优先考虑。,"信息安全,移动互联网",150-500人,测试,天津
测试工程师,https://www.lagou.com/jobs/7005819.html,滨海新区,10k-15k,中标软件有限公司,应届毕业生,本科,六险一金、餐补、通讯补助、住房补贴,岗位职责：1、负责公司产品的测试工作；2、负责编制软件测试大纲、设计测试用例，编制测试报告；3、测试执行，BUG记录、跟踪及归零，保障交付产品的质量。任职要求：1、全日制本科或以上学历，计算机相关专业毕业，有良好的表达能力和团队协作能力。工作积极性高，学习能力强，沟通能力强，责任心强，对测试岗位具有浓厚兴趣，能积极服从项目工作安排。2、能够及时解决客户问题并给到正确和满意的回复。3、熟悉性能测试，会使用LoadRunner工具测试经验优先。4、有自动化测试、安全性测试经验者优先。5、英语优秀者优先。,"信息安全,移动互联网",150-500人,测试,天津
测试工程师,https://www.lagou.com/jobs/6943529.html,滨海新区,8k-15k,成都府河电力自动化成套设备有限责任公司,不限,本科,15薪 有餐补 大平台 工作简单,工作职责1、负责对操作系统相关产品、第三方软件进行测试； 2、负责根据产品规范及需求编写测试计划，设计测试数据和测试用例； 3、负责软件测试、编写测试报告，跟踪BUG并进行分析和报告，配合解决测试中发现缺陷。 任职资格1、全日制本科及以上学历，计算机软件相关专业，英语四级及以上；有扎实的计算机基础知识； 2、熟悉软件测试技能、方法及流程规范等理论知识，能编写基本测试用例； 3、熟练运用Linux操作系统，了解Linux基本命令； 4、熟练使用C语言和Shell/Python等脚本语言编程； 5、熟练的英文读写听说能力，足以应对工作中需要的技术文档读写和交流汇报等； 6、性格开朗乐观，有较强的抗压能力，责任心强，积极主动，善于沟通，具有较强团队协作能力； 7、了解2种以上linux测试工具优先； 8、有操作Linux相关产品测试经验者优先。,其他,50-150人,测试,天津
软件测试工程师（YD-TJ）G00113,https://www.lagou.com/jobs/6977441.html,南开区,15k-20k,成都卫士通信息产业股份有限公司,3-5年,本科,交补、餐补、高温假、旅游费、商业保险等,,"企业服务,信息安全",500-2000人,测试,天津
软件测试（小白楼）,https://www.lagou.com/jobs/7159990.html,河西区,9k-12k,广州德惟科技有限公司,1-3年,本科,年终奖，团队氛围轻松，技术牛人多,岗位职责：1.运营活动类业务测试和前端兼容性测试；2.参与活动测试全流程，包括参与需求分析、设计评审，独立进行测试设计并输出测试方案和计划；3.搭建部署测试环境，执行测试方案及用例，进行缺陷跟踪等；4.编写完整、规范的测试报告，并协助开发人员进行故障定位和优化； 5.保证被测系统的质量，保证需求整体如期保质顺利交付。任职要求：1.全日制本科学历，计算机及相关专业，2年以上测试工作经验，具有金融行业从业经历优先；2.熟悉APP或小程序或H5的测试方法；熟悉Java等至少一种编程语言，有Shell或Python等使用经验者优先；3.熟悉主流数据库，熟练使用SQL语言。,"金融,移动互联网",150-500人,测试,天津
