job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
QA测试工程师,https://www.lagou.com/jobs/4905187.html,鄞州区,7k-12k,浙江乐檬信息技术有限公司,3-5年,本科,五险一金、绩效奖金、年假、体检等,岗位职责：  1、编写、完善产品测试用例，负责产品功能测试；  2、编写产品版本更更新说明和产品在线帮助 文档；  3、定期组织开展内部、外部产品功能演示和介绍。  任职要求：  1、计算机相关专业，本科学历，通过大学英语CET-4；  2、有软件测试工作经验者优先； 3、如期完成计划开发任务。,"企业服务,消费生活",50-150人,测试,宁波
测试实习生,https://www.lagou.com/jobs/7125509.html,鄞州区,3k-6k,海南海商椰网传媒科技有限公司宁波分公司,不限,本科,"五险一金,领导好,福利好,带薪假",工作职责：1.负责产品的自动化测试，接口、安全测试、性能测试；2.团队测试技术和方法的培训及推广，引导团队技术发展；3.提升团队测试技能和测试效率，推动项目测试流程改进等；4.负责产品缺陷跟踪和管理，注重产品用户体验，严格把控产品从测试到发布过程质量管理；5.组织开展测试活动，提交测试报告，能指导其他测试工程师一起独立完成测试项目；任职要求：1.仅限应届生。2.有java或者python等至少一种编程语言开发经验，熟悉shell更佳3.了解自动化系统框架，二次开发。4.白盒测试、自动化、安装测试、性能测试、功能测试等工具使用（LR\JMETER\appium\ROBOTIUM\SELENIUM）5.积极主动，优秀的沟通能力，具有较强的逻辑思维和理解力，工作严谨认真，具有较强的学习潜力和自我发展意愿,"移动互联网,社交",50-150人,测试,宁波
中级测试工程师（车维平台）,https://www.lagou.com/jobs/6585567.html,鄞州区,8k-12k,宁波小遛共享信息科技有限公司,1-3年,大专,"薪资待遇高,工作氛围好",职责：1 功能测试2 参与需求确认和研讨3 与开发沟通并跟进问题解决4 给客服部门提供技术支持要求：1 计算机相关专业，2年及以上相关经验2 熟悉软件测试流程，会使用常用的缺陷管理工具和抓包工具3 熟悉mysql并熟练使用基本的sql查询语句4 能独立和产品经理，开发沟通，善于提出有建设性的意见5 有app测试经验优先,"移动互联网,硬件",500-2000人,测试,宁波
软件测试（外派宁波银行）,https://www.lagou.com/jobs/4991231.html,鄞州区,7k-11k,浙江网新恒天软件有限公司,3-5年,本科,"银行项目,功能测试",岗位职责：负责宁波银行系统的业务需求分析、测试用例设计、系统测试等。任职要求：1.3年以上的测试工作经验；2.熟悉软件测试流程，具有良好的测试需求和用例设计能力以及评审能力；3.能独立的进行测试环境搭建、测试计划、测试报告的编写以及测试任务的执行；4.具备良好的沟通能力，较强的学习能力、逻辑能力、执行能力和文档交付能力；5.有金融业背景及相关经验的优先；6.有软件测试管理工具、测试自动化工具使用经验者优先；7.熟悉Oracle或DB2基本操作、基本SQL语句以及Linux基本命令。,软件开发,2000人以上,测试,宁波
软件开发/测试,https://www.lagou.com/jobs/7064897.html,镇海区,5k-7k,上海深擎信息科技有限公司,应届毕业生,本科,五险一金 人工智能,开发/测试工程师类                                                               参与各类金融AI产品研发测试等技术实现                             工作方向：Java开发、web前端开发、软件测试                   对应院系：信息科学与工程学院,人工智能,50-150人,测试,宁波
测试工程师,https://www.lagou.com/jobs/6210740.html,鄞州区,10k-20k,宁波逸享电子商务有限公司,不限,本科,发展前景优,"职位描述1.负责线上线下零售体系、供应链集团信息化相关平台的测试工作，制定项目测试方案，计划并实施，保证项目质量和进度；  2.根据产品和项目特点，提出合理的技术解决方案，并负责设计和实现相应工具、平台，提高效率与质量 ； 3.设计与执行测试用例，跟踪定位产品软件中的缺陷或问题 ； 4.参与产品需求、系统设计和程序代码的评审工作，并提出改进意见 ； 5.评估项目质量风险，与产品经理和开发人员就项目进度和问题进行沟通。 任职资格 1.计算机及相关专业本科及以上学历； 2.具备3年以上无线端开发/测试 或者 web产品开发/测试 ； 3.自动化测试常用工具（如monkeyrunner，appium,selenium等）； 4.掌握PHP/JAVA/C/C++或几种脚本语言如python/shell 等，能熟练阅读代码或熟练编写代码； 5.精通软件测试理论和方法，熟悉互联网行业测试环境及相关技术 ； 6.熟悉Linux/Unix操作系统，或LAMP架构 ； 7.善于学习和运用新知识，具有良好的分析和解决问题能； 8. 具备严谨的逻辑思维和测试发散思维，敏锐发现项目风险； 9.熟悉电商后台、零售业务、供应链管理业务流程/技术架构优先。","电商,社交",15-50人,测试,宁波
测试工程师,https://www.lagou.com/jobs/7100955.html,镇海区,5k-6k,浙江华民软件有限公司,1-3年,本科,双休，13薪，加班福利,1、负责APP和Web系统的测试用例编写；2、在测试过程中，迅速、准确、全面找出APP和Web中的问题，并对问题产生原因做基本判断；并对测试中发现的问题进行及时的记录、跟踪、反馈、分析；3、负责就APP、Web测试中出现的问题与开发、产品人员保持沟通，提出合理化建议。岗位要求：1、计算机专业优先，2年以上工作经验，本科学历；2、能快速掌握各种测试方法，顺利完成所需的测试任务；3、拥有较好的沟通技巧，有责任心；4、热爱互联网、移动互联网，对各类APP持有热情；,医疗丨健康,15-50人,测试,宁波
功能测试（外派宁波银行）,https://www.lagou.com/jobs/7169967.html,鄞州区,6k-10k,拉勾猎头,1-3年,本科,晋升,﻿宁波银行（全称宁波银行股份有限公司）成立于1997年4月10日，是一家具有独立法人资格的城市商业银行。2006年5月，宁波银行引进境外战略投资者－－新加坡华侨银行。2007年7月19日，宁波银行在深圳证券交易所挂牌上市（股票代码：002142），成为国内首批上市的城市商业银行之一。﻿1、代客系统测试：有代客系统、企业网银、外汇、信贷等相关系统测试经验 2、大数据测试类：熟悉大数据技术，如impala/hive/kudu/hbase等； 对数据敏感，有数据仓库，BI，大数据相关产品完整项目测试经验，熟练Java/Python等至少一种编程语言。,"移动互联网,企业服务",500-2000人,测试,宁波
测试工程师,https://www.lagou.com/jobs/6944317.html,鄞州区,3k-5k,浙江文谷亦云科技有限公司,不限,不限,五险一金、节假日福利、年终奖、周末双休,"岗位职责：1、制定测试计划、设计测试数据和用例；2、执行测试、报告以及跟踪缺陷、推动问题及时合理地解决；3、提交测试报告、并及时向组长反馈工作进展及成果。岗位要求：1、有一定测试经验, 熟悉软件测试理论、规范以及流程，熟悉测试用例设计方法等（应届毕业生适当放宽要求）；2、学习能力强，能够独立完成测试任务，或者在指导下完成测试工作；3、工作积极主动，吃苦耐劳、具备较强责任心和耐心.",软件开发,50-150人,测试,宁波
测试工程师,https://www.lagou.com/jobs/6755420.html,慈溪市,6k-8k,成都欧督系统科技有限公司,1-3年,本科,技术 开发 研发,职位描述：1、根据产品设计规范，分解测试需求，设计测试模型和测试用例，2、组织和实施软件测试项目；3、有效地执行测试用例，提交测试报告；4、准确地定位并跟踪问题，推动问题及时合理地解决；并对测试提出改进建议；5、完成对产品的集成测试和系统测试6、对产品的软件功能、性能及安全的测试7、能够自己制定测试计划并将测试结果写成完整的测试文档。8、较强的逻辑分析和独立解决问题能力；任职要求：1、计算机或相关专业大学本科学历；2、熟悉软件测试流程和常见的测试工具，能编写测试案例；3、工作责任心强、学习能力强，良好的文档书写能力。4、良好的沟通能力及团队合作精神能承受一定的工作压力，有责任心、上进心，具备良好的自学能力和独立解决问题能力。上班地址：浙江宁波慈溪杭州湾，可以年后入职,"企业服务,电商",50-150人,测试,宁波
