job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7037832.html,天河区,11k-22k,深圳市天瑞地安网络科技有限公司,不限,本科,环境优越，团队氛围超好,岗位职责：1.按时完成分配的测试用例执行工作，按照规范提交测试bug，输出测试结果；2.承担特性测试用例的设计工作，保证测试设计的完整性。3.能及时输出经验总结文档，研究负责特性的测试方法，测试工具，优化测试用例，提高测试的效率。任职要求：1. 计算机、软件工程、自动化、数学等相关专业本科及以上学历；2. 2年以上软件测试经验，有蓝牙耳机、蓝牙音箱等产品或者APP软件测试或有编程经验者优先；3. 逻辑思维强，熟悉测试设计的常用方法，能使用思维导图设计测试用例点；4. 具备较强责任心和团队精神，承压能力强，工作积极主动；,"移动互联网,电商",50-150人,测试,广东
测试工程师,https://www.lagou.com/jobs/7208159.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,技术极客 自动化 海外产品,"岗位职责1、负责平台产品的测试工作；2、参与产品需求分析，制定测试计划和策略，设计并执行测试用例，分析测试结果并推动问题解决；3、完善相关测试工具，保障系统质量，并优化现有的测试方法以提升效率；4、可以与团队保持积极高效的沟通。岗位要求1、统招全日制本科及以上学历，具备英语读写能力；2、两年及以上测试工作经验，具备良好的测试分析能力；3、熟悉测试理论和方法，熟悉相关的测试流程、测试文档标准、以及测试工具和框架；4、至少掌握一种自动化测试工具，如：Selenium、Jmeter 等; 5、具备良好的沟通表达能力和团队协作能力。加分项1、掌握 Python/Node.js/Java/Go 等任何一门主流编程语言，具备一定编程能力的优先；2、具备自动化测试体系建设经验的优先；3、具备良好的产品意识和项目管理经验的优先。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,测试,广东
测试,https://www.lagou.com/jobs/6965086.html,龙岗区,13k-25k,常州泉晋光电有限公司,3-5年,本科,公司可以给你一分体现价值发挥实力的平台,业务技能要求：1、熟悉测试基础理论和测试流程、测试设计方法、业界测试工具； 2、熟练掌握测试用例、缺陷报告、测试报告等文档的编写 3、具备良好的表达和沟通能力及团队协作能力；4、掌握Python编程语言者优先；具备API或者UI自动化测试经验者优先；自动化测试工程师 1、熟悉自动化框架设计和开发，熟悉自动化测试在CI和DevOps中的应用，熟悉使用Linux、数据库； 2、具备良好的表达和沟通能力及团队协作能力； 3、熟练掌握Python、JAVA、GO编程语言者优先； 4、具备性能测试、自动化测试（后端服务接口自动化或者APP自动化）经验者优先； 专业知识要求： 1、熟悉测试基础理论、测试设计方法、业界测试工具； 2、熟悉业界主流的CI、自动化验证工具链和框架； 3、熟练掌握一种编程语言（Java/Python/GO语言等）； 4、熟悉TCP、UDP等网络通讯协议，熟悉RTMP/FLV/HLS/RTP等常用流媒体协议。,"移动互联网,数据服务",2000人以上,测试,广东
测试工程师,https://www.lagou.com/jobs/7041661.html,宝安区,10k-20k,深圳市天瑞地安网络科技有限公司,3-5年,本科,环境优美,岗位职责：1.按时完成分配的测试用例执行工作，按照规范提交测试bug，输出测试结果；2.承担特性测试用例的设计工作，保证测试设计的完整性。3.能及时输出经验总结文档，研究负责特性的测试方法，测试工具，优化测试用例，提高测试的效率。任职要求：1. 计算机、软件工程、自动化、数学等相关专业本科及以上学历；2. 2年以上软件测试经验，有蓝牙耳机、蓝牙音箱等产品或者APP软件测试或有编程经验者优先；3. 逻辑思维强，熟悉测试设计的常用方法，能使用思维导图设计测试用例点；4. 具备较强责任心和团队精神，承压能力强，工作积极主动；,"移动互联网,电商",50-150人,测试,广东
测试工程师,https://www.lagou.com/jobs/6440283.html,东莞市市辖区,10k-15k,深圳市城市屋超科技有限公司,3-5年,本科,我们提供的不仅是一个职位，更是一次合作！,岗位职责：1.制定有效测试工作流程，制定项目测试总体规划；2.负责把控测试工作的进度，遇到问题能够及时制定可实施的解决方案；3.负责系统功能、兼容性、安全性、性能测试；4.编写测试计划、设计测试用例、测试数据；5.执行具体测试任务并确认测试结果，完成测试报告以及测试结果分析；6.合理、高效的对产品进行集成和回归测试用例设计和执行；7.对bug生命周期进行跟踪反馈；8.与研发等部门进行有效沟通，协助质量控制等工作。 任职要求：1.计算机相关专业，本科及以上学历；2.精通软件工程、软件测试理论和技术方法，熟知相关的测试流程、测试文档标准；3.熟练掌握测试工具，bug管理工具的使用，熟悉T-SQL语言；4.熟练掌握自动化测试，性能测试，具备编写自动化测试脚本能力；5.具有较强的沟通能力和文档编写能力；6.热爱软件测试工作，具备良好的逻辑思维能力、学习能力和质疑习惯，有良好的团队合作意识，有强烈的责任心和积极主动的工作态度，抗压能力强；7.善于沟通，乐于分享，与团队共同成长。,"消费生活,企业服务",150-500人,测试,广东
测试工程师,https://www.lagou.com/jobs/6522366.html,天河区,5k-8k,广州智友网络科技有限公司,不限,大专,氛围轻松，双休，工资高，晋升空间大,职位诱惑：扁平管理，发展空间大，技能培训职位描述：1、负责Web产品的功能测试、性能测试、弱网测试等；2、理解产品需求，根据测试计划和策略来设计测试用例，编写测试报告，并按照测试计划和流程完成测试任务；3、对问题进行报告、跟踪、汇总，并协助开发人员定位问题，推动问题及时合理解决。任职要求：1、大专及以上学历、计算机软件或者相关专业1年及以上测试工作经验；3、了解软件测试理论知识、Web系统、app测试方法、测试流程等；4、具备良好的归纳总结能力、需求理解能力，逻辑思维能力；5、具备强烈的责任感及进取精神，较好的沟通技巧及团队合作精神，能快速融入团队。广州智友网络科技有限公司是电商业内领先的应用服务提供商互联网软件技术创新企业。基于SaaS理念专注致力于为网店卖家的管理、交易、营销、客户服务以及各种实用需求提供最佳解决方案，促使店铺交易量提高，帮助网商获得更大的成功。淘宝平台服务市场首批第三方服务商，已连续10年成为淘宝核心合作伙伴、京东合作伙伴的TOP服务商。技术成就万千企业！【团队氛围】        这是一群聪明、有爱，有朝气的年轻人。团队是我们最大的资产，我们坚决不搞办公室政治。简单高效、直接明了是我们的工作氛围和沟通方式，这里没有“员工”、没有“领导”、没有“老板”，只有一起努力工作，享受生活的“小伙伴”，我们的愿景是持续作一个Enjoy的组织。 【环境】      公司坐落于广州天河中心，其面向交通便利的广州东站及地铁站，在这里，你既能享受工作，也能享受便利繁华的生活～出站200米就到～【福利】五险一金             双休，不加班：上午09:00-12:00【午休2小时】  下午：14:00-18:00     双休，做完事就走人；   超长带薪年假： 入职带薪年假9天起，入职每年满一年，多一天带薪年假打车报销        免费—咖啡、各种茶叶、枸杞定期下午茶、披萨、零食     定期团建        年终大奖        一年调薪两次        人体工学座椅开工利是红包        新婚红包        生子红包        生日福利        团建旅游节日福利,"移动互联网,电商",15-50人,测试,广东
测试工程师,https://www.lagou.com/jobs/5276670.html,越秀区,13k-26k,广州市果肉教育科技有限公司,1-3年,本科,前瞻性产品 精英团队,测试工程师 岗位职责1、独立负责公司k12在线课堂直播产品增长线/招生线产品的测试工作（包括但不限于测试方案/用例设计、功能测试、专项测试）；2、协助研发定位问题，帮助提高自测能力与自测效果；3、建立微信（小程序、公众号等）/H5 端相关项目的质量保障体系，通过流程和工具提高研发效率和质量。岗位要求1、2年以上系统测试或者测试开发经验，熟悉产品测试流程和规范，具备自身的测试理念；2、熟悉linux系统和数据库，具体基本编程能力（不限语言）；3、熟悉 H5、微信平台相关（小程序、公众号等）的相关测试体系；4、熟练掌握主流自动化测试工具和方法，具备测试分析设计能力；5、熟悉多种专项测试，如性能测试、兼容性测试、自动化测试等；6、具备较强的逻辑分析与学习能力，良好的沟通能力和团队合作精神。,"移动互联网,教育",500-2000人,测试,广东
测试工程师,https://www.lagou.com/jobs/6672416.html,越秀区,7k-10k,链行天下（广州）区块链研究有限公司,3-5年,本科,"地铁周边,五险一金，年底双薪",职位描述：1.负责系统的测试任务及问题的反馈、跟进；2.根据需求文档和设计文档制定测试计划，编写测试用例，设计测试数据并及时反馈测试进度及测试情况；3.积极配合开发人员，及时跟踪及反馈BUG信息；5.针对产品的性能和压力的测试，提交性能测试的最终分析报告，并协助开发人员找到性能瓶颈点。岗位要求：1.三年以上的工作经验；2.熟悉性能测试的概念，方法和整体流程，具备性能测试的需求分析和整体规划能力；3.熟练操作LoadRunner和JMeter等主流性能测试工具；4.熟练操作Oracle，MySQL等数据库，能熟练运用Linux，Windows等操作系统，熟悉网络协议；5.熟悉Android或IOS手机操作系统及应用程序设计；6.拥有良好的沟通技巧及团队合作精神，较强的责任感及进取精神。,移动互联网,50-150人,测试,广东
测试工程师,https://www.lagou.com/jobs/5193627.html,天河区,10k-15k,广东乐从钢铁世界有限公司,1-3年,大专,"社保齐全,年度体检,员工旅游,绩效奖励",职位描述：1、参与产品项目需求、设计的评审工作，并提出改进意见；2、根据项目实际情况制定项目测试计划并实施；3、根据项目特点，开发合适测试工具或自动化解决方案，提高测试效率；4、设计、编写与执行测试用例，跟踪定位产品中的缺陷或问题。5、熟悉测试基本流程和方法，了解性能测试基本理论、指标，了解基本的编程语法。任职要求：1)   熟悉软件开发测试理论、方法和流程，偏向b/s架构；2)   熟悉常用的设计测试用例的方法，能够独立设计测试用例；3)   熟悉sql语句，熟悉基本的Linux命令及git 常用操作；4)   了解javacript、html和css，熟悉php，了解B/S结构，熟悉WEB测试，会一些基本的web抓包工具，能够写一些测试脚本；5)   思路清晰，善于交流，有良好的团队合作精神和跨部门协调能力，具备高度责任感，有很强的学习能力；有对一切质疑的习惯，对BUG 有灵敏的嗅觉；,"电商,其他",150-500人,测试,广东
测试工程师,https://www.lagou.com/jobs/7090652.html,顺德区,11k-16k,广东乐从钢铁世界有限公司,3-5年,大专,"社保齐全,年度体检,员工旅游,绩效奖励",职位描述：1、参与产品项目需求、设计的评审工作，并提出改进意见；2、根据项目实际情况制定项目测试计划并实施；3、根据项目特点，开发合适测试工具或自动化解决方案，提高测试效率；4、设计、编写与执行测试用例，跟踪定位产品中的缺陷或问题。5、熟悉测试基本流程和方法，了解性能测试基本理论、指标，了解基本的编程语法。任职要求：1)   熟悉软件开发测试理论、方法和流程，偏向b/s架构；2)   熟悉常用的设计测试用例的方法，能够独立设计测试用例；3)   熟悉sql语句，熟悉基本的Linux命令及git 常用操作；4)   了解javacript、html和css，熟悉php，了解B/S结构，熟悉WEB测试，会一些基本的web抓包工具，能够写一些测试脚本；5)   思路清晰，善于交流，有良好的团队合作精神和跨部门协调能力，具备高度责任感，有很强的学习能力；有对一切质疑的习惯，对BUG 有灵敏的嗅觉；,"电商,其他",150-500人,测试,广东
