job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7073969.html,新吴区,10k-20k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补,租房补贴,带薪休假",,文娱丨内容,2000人以上,测试,无锡
测试工程师,https://www.lagou.com/jobs/6558523.html,锡山区,8k-12k,南京帆软软件有限公司,应届毕业生,本科,大牛环绕,工作职责1.实施对FR/BI/简道云等产品的测试，实施数据库关联性测试；2.实现全平台浏览器兼容性测试；创建、实施并维护自动化软件测试；3.测试新技术的探索和研究，推动测试质量和效率的提升，帮助优化产品项目。岗位要求1.2020届毕业生，211及以上，计算机等相关理工科专业背景；2.有较完整的项目经历，做过系统的测试，用例设计，用例执行，跟踪问题与解决，到上线维护发迭代版本；3.了解自动化，了解自动化测试在项目中的一些实际应用，在项目中具体使用或者编写过自动化优先。,数据服务,500-2000人,测试,无锡
资深测试工程师,https://www.lagou.com/jobs/6688534.html,新吴区,15k-30k,北京字节跳动科技有限公司,3-5年,本科,"六险一金,餐补",,文娱丨内容,2000人以上,测试,无锡
测试工程师(J11117),https://www.lagou.com/jobs/6833853.html,新吴区,7k-14k,朗新科技股份有限公司,应届毕业生,本科,六险一金 年终奖丰厚 不打卡 弹性上班,,"移动互联网,企业服务",2000人以上,测试,无锡
自动化测试专家(J11294),https://www.lagou.com/jobs/7049452.html,新吴区,10k-15k,朗新科技股份有限公司,3-5年,本科,技术先进 团队有活力 年终奖丰厚,,"移动互联网,企业服务",2000人以上,测试,无锡
测试工程师,https://www.lagou.com/jobs/4032401.html,新吴区,5k-10k,江苏极熵物联科技有限公司,不限,大专,"自由考勤,零食,年假,旅游","职责描述根据需求，参与制定产品的测试计划与测试方案。维护测试环境，编写与执行测试用例。根据测试结果撰写并提交测试报告，进行分析并提出产品缺陷。协助项目进行系统版本管理和版本发布工作。任职要求计算机相关专业毕业。熟悉软件测试流程与执行。熟悉一种以上下列脚本语言：Shell,      Python, Perl, JavaScript…了解LoadRunner、Jmeter、QTP、selenium等商业或开源性能测试工具。了解Oracle及其他SQL数据库基本操作。对产品质量富有责任心，思考问题周到全面，敢于指出问题而不放过一丝疑点。具有较强的沟通能力，能够与软件研发/产品团队良好协作。","企业服务,数据服务",15-50人,测试,无锡
软件测试工程师,https://www.lagou.com/jobs/6196473.html,无锡新区,7k-13k,上海讯联数据服务有限公司,3-5年,本科,全年十四薪，五险一金，期权鼓励；,如果你想加入（公司介绍）：          亚太地区领先的移动支付Fintech企业；          红杉资本投资企业；          善良、包容、中西合并的企业文化；如果你想拥有（工作环境）：          一群聪明而自信的小伙伴；          全球化业务和出差机会；          国内Go开发者论坛的大牛；          SaaS产品服务全球和国内客户，IT赋能客户成长       快来加入我们！岗位职责：1、根据项目计划制定项目测试策略并实施，保证项目质量和进度；2、设计与执行测试用例，跟踪定位产品的缺陷；3、通过流程、策略、方法和工具等创新，努力提升测试的质量和效率。 岗位要求：1、熟悉数据库读写操作，熟悉SQL语句，熟悉MongoDB，SQL Server、MySQL中任意一种或多种数据库； 2、熟悉Shell脚本，熟悉Linux操作系统及基本操作命令； 3、具有较强的逻辑分析与表达能力； 4、985、211院校毕业优先。  发展前景：明确清晰的晋升路线；表现优异者有机会进入核心团队，晋级研发中心管理层！ 丰厚的福利待遇，让你无后顾之忧，在公司放手一搏，与我们一起实现双赢！,金融,150-500人,测试,无锡
测试工程师 实习生,https://www.lagou.com/jobs/4032471.html,新吴区,3k-6k,江苏极熵物联科技有限公司,应届毕业生,硕士,"自由考勤,免费零食,免费旅游,免费体检","职责描述1.     根据需求，参与制定产品的测试计划与测试方案。2.     维护测试环境，编写与执行测试用例。3.     根据测试结果撰写并提交测试报告，进行分析并提出产品缺陷。4.     协助项目进行系统版本管理和版本发布工作。任职要求1.     本科及硕士学历，计算机相关专业。2.     有一定的测试基础，了解软件测试流程与执行。3.     熟悉一种以上下列脚本语言：Shell,      Python, Perl, JavaScript…4.     了解LoadRunner、Jmeter、QTP、selenium等商业或开源性能测试工具。了解Oracle及其他SQL数据库基本操作。5.     对产品质量富有责任心，思考问题周到全面，敢于指出问题而不放过一丝疑点。6.     具有较强的沟通能力及学习精神，能够与软件研发/产品团队良好协作。","企业服务,数据服务",15-50人,测试,无锡
安全测试工程师,https://www.lagou.com/jobs/6798259.html,新吴区,5k-10k,上海讯联数据服务有限公司,1-3年,本科,奖金，旅游，十四薪，员工期权,岗位职责：1. 负责公司所有产品系统的安全工作，参与需求说明、开发设计，并指出存在的安全问题；2. 定期对产品系统的安全问题进行复查，定期进行漏洞扫描和渗透性测试；3. 负责完善安全技术规范、方法、标准；4. 定期组织开展代码开发安全培训；5. 配合公司完成年度安全审查。,金融,150-500人,测试,无锡
自动化测试工程师,https://www.lagou.com/jobs/7164731.html,新吴区,18k-26k,无锡丽章智能科技有限公司,3-5年,本科,待遇好、正式工、五险一金、补贴,"职位概要根据项目需求和计划，能够独立完成软件功能和接口测试用例的自动化开发。工作职责1. 理解web和app系统需求和设计，参与需求评审、自动化测试计划制定；2. 负责功能、接口、性能等相关的测试用例自动化开发和维护；3. 能够对测试框架等提出一些改进方案，,不断优化测试框架，持续监控系统质量； 4. 完成上级领导交办的其他任务。任职资格1. 全日制大学计算机专业本科及以上学历，至少2年以上自动化测试经验；2. 熟悉至少一种开发语言，如：Java、python等，熟悉SQL Server等数据库中至少一种；3. 熟悉常见自动化测试工具和测试架构，如Selenium、testNG、Jmeter、SoapUI等；   4. 熟悉web知识，如http/https协议、DOM、HTML、Javascript、XML知识、cookie、session等；5. 具有较强分析和解决问题的能力、具有较强逻辑能力及学习能力，能承受工作压力，良好的团队合作意识，有强烈的责任心和积极主动的工作态度；6. CET-4以上，具有良好的英语阅读与写作能力。","电商,企业服务",50-150人,测试,无锡
