job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/6904532.html,五华区,7k-10k,云南翡翠王朝网络科技有限公司,3-5年,大专,晋升空间 氛围好,岗位职责：1. 负责公司产品线的测试，保障产品质量；2. 根据需求文档，撰写测试用例；3. 对于接口测试有多个项目经验；4. 对于测试工具JM或者PM很了解，有一定的性能基础；5. 对于bug/项目/需求等流程规则有自己的认知；6. 引入新技术，提高测试效率；任职要求：1. 统招本科及以上学历，2年以上Web、APP等项目测试经验；2. 思路清晰，有良好的团队合作精神和跨部门协调能力；3. 学习能力强，有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；4. 有较强的团队合作精神，有责任心；5. 有接口测试经验，熟悉Postman、Jmeter等工具.,移动互联网,150-500人,测试,昆明
软件测试工程师,https://www.lagou.com/jobs/7081222.html,盘龙区,6k-8k,信息技术力量（成都）有限公司,3-5年,本科,五险一金 周末双休 过节费,岗位职责：1.负责测试公司产品，参与产品需求评审2.指定测试方案和测试计划并编写测试用例、设计测试数据，执行测试用例、进行缺陷跟踪和出具软件质量报告3.协助开发人员分析BUG和初步定位BUG，处理已经发生并且已经有解决办法的问题4.负责编写测试过程中的相应文档5.编写用户操作手册，有需要时对客户进行培训任职要求 ：1.本科及以上学历2.三年及以上的测试经验，能单独进行完整的测试(会自动化测试优先、搭建过测试环境测试框架优先）3.熟悉测试理论和测试流程4.能进行数据库的简单操作5.熟悉常见的BUG管理工具和接口测试工具以及性能测试工具6.有清晰的逻辑思维、良好的沟通能力、理解能力和总结能力，具有团队合作精神,"移动互联网,数据服务",50-150人,测试,昆明
软件测试工程师,https://www.lagou.com/jobs/7191607.html,五华区,5k-7k,云南开屏信息技术有限责任公司,1-3年,大专,五险一金、中餐补助、绩效、员工体检,1、参与软件产品的需求分析，制定软件产品的测试方案；2、完成软件系统的测试计划和测试用例编写，按计划执行测试并提交测试报告；3、保持与项目管理人员的有效沟通，及时反馈软件中遇到的严重问题和缺陷；4、协助开发管理人员进行测试过程和测试方法的持续改进，监督团队交付质量；5、编写用户手册及培训文档等相关文档。任职要求：1、大学本科及以上学历，计算机/软件等相关专业；有开发相关经验者优先；2、能从需求中提取相应的功能点和测试点；3、熟练使用任意一款工具（Selenium/QTP/LoadRunner等）进行自动化测试；4、熟悉Linux基本使用与配置，熟练掌握常用命令行更佳。,文化娱乐 移动互联网,15-50人,测试,昆明
软件测试工程师,https://www.lagou.com/jobs/6963399.html,西山区,3k-6k,神州数码系统集成服务有限公司,不限,大专,五险一金+餐补+电脑补 薪资待遇优厚,岗位职责：完成公司APP端，web端，PC端相关软件的测试。参与公司项目需求讨论，制定测试计划，设计测试用例，执行测试用例，编写测试报告；跟踪问题缺陷，推动问题处理；按时保质，保量的完成各项分配的工作内容；任职资格：1. 计算机相关专业优先；2. 英语四级或以上；3. 具有WEB系统测试或移动APP测试经验；4. 熟悉软件测试流程，能独立编写测试用例、执行测试用例；5. 熟悉Linux、MySQL数据库、fiddler、Jmeter、postman等；6. 认真仔细，逻辑思维清晰严谨，有良好的学习能力、分析与解决问题的能力；7. 工作积极主动，具有团队意识；8. 熟悉至少一种编程语言Python，Java的优先；9. 熟悉Android测试专项、UI自动化、服务端性能测试、安全测试者优先。,企业服务,2000人以上,测试,昆明
测试工程师,https://www.lagou.com/jobs/7035772.html,盘龙区,4k-8k,昆明贤邦科技有限公司,1-3年,本科,专业培训，绩效奖金，员工旅游，五险,1、参与产品和项目需求分析和评审，对需求的合理性、完备性和可测性提供意见，提升产品和项目的用户体验；2、参与产品系统设计方案评审，对开发的系统设计提出测试方的意见和评估；3、充分理解产品和项目需求定义等文档，编写测试计划和测试用例；4、执行项目和产品的功能测试和性能测试，并对测试过程进行跟踪管理；5、编写与自身工作内容有关的技术文档，及时与团队成员进行沟通交流；6、根据项目总体进度计划合理安排工作计划，完成公司安排的测试任务；7、对测试工作进度与质量负责。任职要求：1、本科以上学历，1年以上测试行业工作经验；2、掌握软件工程、软件测试理论和方法，熟悉相关的测试流程；3、精通软件测试的方法和技巧，高效地完成测试计划、测试用例、测试报告的输出；4、具备有性能测试、自动化测试、安全测试的实践经验者优先；5、掌握基本的数据库知识，精通Sql，能够独立搭建测试环境，熟悉配置管理工具者优先；6、熟悉移动端操作系统；7、熟悉自动化测试工具与框架者优先；8、具有较强的分析能力和表达能力，具有很强的综合协调能力，能有效解决问题；,"移动互联网,电商",50-150人,测试,昆明
测试工程师,https://www.lagou.com/jobs/6226002.html,盘龙区,4k-8k,昆明诺捷经贸有限公司,1-3年,大专,购五险一金，大厂实习机会，行业风口!,"岗位职责:1.主要从事环境监测类物联产品的代码调试，硬件连接。任职要求:1.专科以上学历;2.年龄:22岁+3.专业:物联网及通信工程类;4.熟悉modbus通讯协议及其它通讯协议的操作和对接;熟悉传感器技术，嵌入式的相关技术，应用物理层面的安装调试;熟悉数据库操作，java,linux等相关系统;",企业服务,15-50人,测试,昆明
软件测试工程师,https://www.lagou.com/jobs/6618320.html,呈贡区,6k-8k,云南红岭云科技股份有限公司,1-3年,本科,五险一金、职能晋升、法定节假日。,岗位职责1.根据产品规范编写测试计划、设计测试数据和测试用例；2.实施软件功能测试，创建和执行测试脚本以满足测试需要，完成对产品的集成测试与系统测试，对产品的性能及客户上线和项目验收测试任务，并对软件bug进行跟踪分析和报告；3.测试过程中发现问题，积极沟通，推动缺陷解决并进行回归验证；4.协助开发人员分析bug原因，提交产品功能优化、性能改进的建议。5.能充分理解项目要求、产品特性、设计要点，进行测试方案、测试用例的设计和编写；6.负责测试过程和测试方法的持续改进。    岗位要求1.计算机或相关专业本科以上学历；2年以上软件测试相关工作经验；2.熟悉黑盒和灰盒测试流程和规范，熟练掌握软件测试方法和常用测试工具，有较强的逻辑分析能力和总结能力，善于分析重点，发现关键问题，分享经验；3.优秀的文档能力，能规范编写项目测试方案、测试用例、测试报告、以及其他相关文档；4.能够承受工作压力，善于沟通，富有团队合作精神，责任心强。5.熟悉软件工程和测试流程，掌握软件测试理论和方法；6.掌握接口、自动化、性能、安全测试经验者优先。,"数据服务,移动互联网",50-150人,测试,昆明
app测试,https://www.lagou.com/jobs/7097018.html,官渡区,9k-10k,云南云曦电子科技有限公司,不限,本科,日结专区 多劳多得。真实有效 APP直聘,每天10点后在手机打卡  领取任务。完成任务即可领取工资  长时间合作者可考虑每天200工资外在上面再加一底薪2000。任务轻松  每天动动手指即可,VR丨AR,少于15人,测试,昆明
IT产品经理,https://www.lagou.com/jobs/6640179.html,五华区,10k-15k,云南翡翠王朝网络科技有限公司,3-5年,大专,晋升空间 氛围好,岗位职责1、负责移动互联产品的需求发现和分析，产品功能设计;实施产品的任务流程设计、信息架构设计、页面布局以及原型设计、原有产品功能的客户体验优化；2、持续研究行业，挖掘用户需求进行产品创新，合理规划产品发展与功能规划，推动、控制、协调、跟进产品功能的开发、测试、发布;3、关注运营数据、用户调研与反馈等，持续优化产品;负责与协助产品上线以后的改进，BUG跟踪、收集改进意见、提供改进方案;关注竟争对手的状况，对市场变化反应敏锐;4、负责产品界面和交互全局和细节设计，推动产品交互体验持续提升;对产品运营数据进行分析，并提出功能优化、用户体验升级等方面建议； 任职要求1、5年以上移动互联产品规划岗位工作经验，参与过大型移动互联项目产品规划具备丰富的移动互联客户交互、客户体验设计和优化经验；2、思维敏捷，目标明确，表达清晰、具有亲和力、乐于合作，责任心和上进心强，良好的时间管理能力，抗压能力强;3、熟练运用 axure等设计工具;有开发经历为加分项;4、至少成功规划并推动一个App的上线应用，上线时间在一年以上且目前仍有活跃和用户，更新超过十个版本及以上，下载量10万+及以上。、五年以上互联网产品相关工作经验;2、用户导向，卓越的产品感觉和用户感觉，深刻的用户分析能力。,移动互联网,150-500人,测试,昆明
【实习】技术支持（昆明）,https://www.lagou.com/jobs/7132834.html,五华区,2k-3k,杭州安恒信息技术股份有限公司,应届毕业生,本科,导师一带一,工作内容：1、协助完成安全产品的测试、安装调试、简单产品培训等工作；2、协助完成售后运维、设备巡检、故障处理、问题跟进等工作；3、协助完成项目文档、标书制作、汇报素材、文案编辑等工作；4、完成领导交办的其他工作任务。岗位介绍：1、本科及以上学历，信息安全、计算机网络等相关专业，熟悉网络基础知识，每周实习五天，实习时长五个月及以上；拥有CCNA/CCNP/CCIE、CISP、CISSP、PMP、VMWare、H3C、华为、RHCE等相关证书认证者优先；2、掌握Windows、Linux等主流操作系统，熟练掌握常见的Windows加固方式和常用的Linux命令；3、了解主流安全技术和安全产品的原理和功能；4、具有良好的学习、沟通、理解能力和团队意识；5、希望在网络安全领域长期发展。,"信息安全,数据服务",500-2000人,测试,昆明
