job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7219763.html,余杭区,10k-20k,杭州惠借科技有限公司,3-5年,本科,五险一金、周末双休、管理扁平、年底N薪,岗位职责：1、参与软件项目的需求分析，关注项目需求的合理性，可测性；2、参与重大产品需求和架构设计评审，保证产品设计与架构的合理性；3、设计合理的测试用例，并能参与到具体的测试执行工作中，跟进缺陷的fix、质量复核，能引入比较好的思想和方法，保证产品的质量；4、参与自动化用例的编写，设计&参与产品的性能、安全测试，解决测试过程中的复杂技术问题；5、根据产品研发的实际情况，改进or设计软件质量保证体系，并推动落地实施。任职资格：1、工科、计算机或其他相关专业本科以上学历；2、具有3年以上软件开发和测试经验，有负责带领进行大型项目测试经验；3、掌握or熟悉java编程，熟悉oracle、mysql等db，有互联网行业从业经验；4、有撰写自动化测试工具以及搭建自动化测试平台的实战经验，有自动化测试经验，设计用例并编写代码实现自动化测试；5、有产品性能、安全等测试经验，掌握基本的性能测试及产品安全知识；6、熟练使用linux操作系统，具有基本shell脚本编写能力。,移动互联网,50-150人,测试,杭州
测试工程师,https://www.lagou.com/jobs/5747514.html,滨江区,10k-20k,浙江天垂科技有限公司,3-5年,本科,"技术氛围好,发展空间大,弹性工作","职位描述：
 参与项目需求、研发设计的相关讨论，从测试的角度提出合理建议
 负责测试计划和方案的制定
 编写测试用例，执行测试用例
 撰写测试报告，及时发现并汇报问题，跟踪全程并评估风险，保证项目质量
 协助开发跟踪定位产品中的缺陷或问题， 验收bug修复情况
任职要求：
 熟悉web测试的基本方法、流程，熟悉接口测试、UI测试等
 能够独立编写测试计划、测试用例、执行测试过程并完成测试报告
 具有强烈的工作责任心和主动性，具有细心和耐心的品质
 能熟练使用一些测试工具，例如postman
 了解Jmeter/LoadRunner等性能测试框架
 熟练使用Linux操作系统，熟悉jenkins、teamcity等CI/CD组件的优先
加分项
 有能力独自完成一项复杂产品的测试 OR 有能力领导测试团队完成复杂产品的测试
 熟悉python/nodejs/java等任一门编程语言，熟悉python优先
 熟悉selenium/robotframework等自动化测试框架者优先
 985，211院校毕业生
 特别优异者薪资水平可放宽
除此之外HR想说：
 截至目前，我们的程序员小伙伴都毕业于211/985学校，还有硅谷的技术大牛带队指导，探寻讨论技术设计、技术框架和技术选型，是一个纯技术、重技术、崇尚技术的小团队；
 热烈欢迎各种小姐姐加入；
 想要转型学习使用其他语言的小伙伴，也请快快砸来简历，我们更看重潜力而非目前的技术水平，HR小姐姐期待你们的加入~~","数据服务,企业服务",15-50人,测试,杭州
测试工程师,https://www.lagou.com/jobs/4844823.html,余杭区,10k-20k,杭州观远数据有限公司,3-5年,本科,"行业前景好,成长空间大,领导nic,期权激励",职位描述：1、参与数据平台的业务需求梳理，进行可行性和合理性分析，负责测试计划的制定和执行；2、参与自动化测试平台的更新优化，持续添加新的测试案例，根据业务需求进行框架改造；3、参与测试团队的建设，不断改进测试方法和流程，优化测试工具，提高团队的测试水平。职位要求：1、计算机或相关专业本科及以上学历，2年以上测试工作经验；2、熟悉项目开发流程，能够深入分析需求并合理设计测试案例；3、熟练使用Git，熟悉Linux下各种命令的使用；4、熟练掌握Java语言，能够独立开发测试工具，编写自动化案例；5、熟悉各种数据库（MySQL，SQLServer，Oracle等等），能够熟练编写SQL；6、熟悉docker，K8s，TestNG，Selenium者优先；7、有系统/数据库性能测试经验者优先；8、有大数据或BI领域相关工作经验者优先。,"企业服务,数据服务",150-500人,测试,杭州
测试工程师,https://www.lagou.com/jobs/6174937.html,西湖区,13k-26k,杭州涂鸦信息技术有限公司,3-5年,本科,独角兽公司 扁平化 发展前景好 年轻活力,岗位职责：1、主要负责公司APP、WEB、硬件项目、重点客户项目的测试工作，参与项目测试，保障产品质量；2、完善产品／项目质量保障机制，推进过程改进，提升整体测试效率；3、参与需求评审，编写测试用例，组织项目测试，完成测试计划，并负责缺陷的跟踪和管理；4、系统质量评价和反馈，及问题跟踪、推动解决；5、能独立负责整个项目并对自己的产品质量负责；6、应用新技术到项目中，提高测试效率；岗位要求：1、经验不限，具体看能力；2、掌握软件研发模式、测试理论、测试流程、规范、测试方法；对测试工作有较深刻理解；3、掌握任一常用测试管理工具的使用，如Charles、GIT、JIRA、TestLink等；4、很强的责任心，良好的沟通能力和表达能力，能承受一定的工作压力；5、具备较强的学习能力和逻辑分析能力，对新技术感兴趣，有钻研和开拓精神；6、熟悉C/C++/Java/Python等至少一种编程语言，有Shell或Ruby/PHP/Python等使用经验者优先；7、理解常见的自动化工具，掌握任一常用自动化测试框架或工具，有实际项目测试应用者优先；8、在以下测试领域比如性能、安全、白盒、黑盒、自动化等有很强的专业技能者优先。9、有实际测试项目管理相关经验，能负责整个产品的优先；10、有智能家居产品使用测试经验者优先。,"移动互联网,硬件",500-2000人,测试,杭州
测试工程师,https://www.lagou.com/jobs/7186631.html,西湖区,13k-26k,杭州涂鸦信息技术有限公司,3-5年,本科,福利好、定期团建、环境氛围好,岗位职责：1、负责对产品测试需求进行分析，编写测试计划、测试用例，并对测试结果进行分析、总结，提出优化意见；2、负责重点、难点产品的专项测试工作（如：接口、性能等）；3、定期汇报项目测试进展情况，提交阶段性测试总结和BUG分析报告；4、负责产品测试方法、测试工具的研究与技术问题的解决，对测试方法和测试工具的运用提出改进建议；5、精通各种测试方法，参与部门测试流程、测试模板的优化、完善；6、能独立进行测试环境的部署以及维护。任职要求：1、本科及以上学历，计算机相关专业，3年以上的测试相关工作经验；2、精通Oracle/Mysql数据库相关操作，熟悉存储过程等；3、有接口测试经验，熟悉Linux命令及Http协议等，会使用Jmeter、postman等接口测试工具；4、能独立部署测试环境以及测试环境；5、熟悉APP测试流程，对APP测试有自己理解的优先考虑；6、有独立部署测试环境及维护测试环境的项目经验；7、对性能自动化项目测试有了解感兴趣的优先，善于学习接受新鲜事物；8、责任感强、沟通能力强、善于团队合作、理解和适应变化、有良好的问题分析和解决能力。注：必须有金融项目测试经验。福利待遇：入职购买五险一金、带薪年假、每年体检、培训、节日礼金等。,"移动互联网,硬件",500-2000人,测试,杭州
测试工程师,https://www.lagou.com/jobs/7082769.html,滨江区,12k-18k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,岗位职责：1、建立和完善在研版本的自动化测试体系；2、对产品/特性进行测试，输出质量报告，提出改进建议；3、和架构师、产品Master一起，对产品软件设计提出可测性设计；4、编写测试框架，满足快速迭代开发的测试需求，评估版本质量；5、持续集成/交付软件的维护和开发；任职要求：1、熟悉TCP/IP协议、路由、交换等网络基础知识；2、熟悉HTTP协议，熟悉SSL\TLS以及x509等协议；3、熟练使用Linux操作系统，路由器，交换机；4、 能熟练使用python和bash脚本完成自动化工具开发；5、具备良好的沟通表达能力和学习能力，积极的工作态度，较强的责任心；6、有信息安全、网络攻防、渗透测试经验和基础者优先；7、有代码白盒测试者优先；8、良好的⽂档编写和沟通能⼒；9、 良好的学习能⼒、⼯作态度和责任⼼。,"信息安全,数据服务",500-2000人,测试,杭州
测试工程师,https://www.lagou.com/jobs/6449136.html,滨江区,7k-12k,特抱抱科技（杭州）有限公司,3-5年,本科,五险一金，周末双休，定期体检，年度旅游,"职责描述：1. 负责公司移动端(Android/iOS/H5)，web端产品及接口的自动化测试工作，建立自动化测试体系并持续完善；2. 负责自动化测试框架搭建（包括移动端，web端及API接口）及测试工具开发；3. 负责搭建自动化测试环境，编写自动化测试脚本及调优；4. 对用户提出的自动化测试需求进行评估、实施及支持；5. 对团队成员提供自动化相应的培训；6. 负责编写自动化测试规范及技术文档；7. 持续改进和优化自动化框架及方法等；任职要求：1. 3年以上测试相关工作经验，2年以上移动端自动化，接口自动化，GUI自动化测试经验;2. 熟悉互联网行业测试环境及相关技术(HTTP协议、Web架构、RESTful API等)；3. 熟练进行环境部署（服务器，网络配置，nginx，数据库配置，多种云服务）及 web/Android/IOS产品的自动化测试环境；4. 精通Selenium(web driver), Apprium, Robot framework, unit test等至少一种测试框架及有框架设计经验；5. 熟悉Python，Java等一种或多种脚本语言；6. 熟悉Linux和数据库；7. 熟悉Jenkins进行持续集成；8. 思路清晰，逻辑思维能力强，具有很强的问题细节捕捉、分析和解决能力；9. 有强烈的上进心和求知欲，善于学习新事物;良好的团队合作精神，较强的沟通能力；","移动互联网,电商",50-150人,测试,杭州
测试工程师,https://www.lagou.com/jobs/6375440.html,余杭区,10k-15k,数神科技信息（杭州）有限公司,3-5年,本科,提成高，大数据，福利好,"工作职责：1.  根据产品需求及功能实现模块编测试计划，设计测试数据和测试用例；2.  实施软件功能测试，创建和执行测试脚本以满足测试需要，完成对产品的集成测试与系统测试；3.  对产品的性能及客户上线和项目验收测试任务，并对软件bug进行跟踪分析和报告；4.  协助开发人员分析bug原因，提交产品功能优化、性能改进的建议。5、 主要为前端WEB端、后台Server、移动端等跨平台产品测试。任职资格： 1、 本科，1年以上测试经验； 2、 掌握软件研发模式、测试理论、测试流程、规范、测试方法，对测试工作有较深刻理解； 3、 熟练掌握常用测试管理工具的使用，如JIRA、Charles、GIT、TestLink等； 4、 具备责任心，良好的沟通能力和表达能力，能承受一定的工作压力； 5、 具备较强的学习能力和逻辑分析能力，对新技术感兴趣，有钻研和开拓精神； 6、 有从事接口测试、web自动化测试、性能测试分析实际工作经验者优先；熟悉一门java或python有实际工作经验者优先； 7、 理解常见的自动化工具，掌握任一常用自动化测试框架或工具，有实际项目测试应用者优先； 8、 具有逆向思维能力和缜密的逻辑推理能力，具有文档编写能力，设计用例思路清晰，重点突出基础:  会接口测试 , 功能测试 , web自动化测试, 对业务了解能力强加分:  做过项目   性能测试, 且熟悉java 能跟后端很好的搭配","移动互联网,数据服务",150-500人,测试,杭州
测试工程师,https://www.lagou.com/jobs/3693930.html,余杭区,10k-20k,北京深睿博联科技有限责任公司,3-5年,本科,"大牛,人性化管理,靠谱团队,技术氛围好",职位描述：岗位描述：1． 参与软件产品的需求分析，制订项目测试计划2． 负责建立、维护、管理测试数据，保证测试数据的有效性和一致性3． 利用持续集成的工具以及自动化测试工具进行代码开发、编译、代码上传4． 负责软件产品的测试用例设计，编写测试方案5． 编写测试代码，并撰写测试报告文档 岗位要求：1． 全日制本科及以上学历，3年以上软件测试工作经历2． 掌握主流的持续集成工具的使用，利用Jenkins，GITLAB等开源工具进行集成测试3． 精通selenium2，jmeter，loadrunner等工具进行自动化及性能测试，利用常见的测试框架独立编写测试脚本进行测试4． 独立承担过windows软件的测试工作，有过完整系统测试经验优先5． 熟悉Linux系统，有互联网行业敏捷测试经验、手自动化测试经验者优先6． 性格开朗乐观，责任心强，积极主动，善于沟通，具有团队精神7． 逻辑能力强、思维活跃，接受新事物能力强工作地址,"移动互联网,医疗丨健康",150-500人,测试,杭州
测试工程师,https://www.lagou.com/jobs/6090077.html,滨江区,10k-20k,广州合摩计算机科技有限公司,3-5年,不限,"拟上市公司,共享文化,技术大牛","岗位职责：1、独立负责互联网产品的功能测试、性能测试、安全测试、兼容性测,；2、参与需求评审，编写和维护功能，保证产品质量；3、撰写产品线测试相关的文档工作；4、配合上级进行项目管理等其他支持工作；5、能够及时反馈问题，并推动问题解决。 任职要求：1 、大学本科及以上学历；2 、3年以上软件测试经验；3 、能熟练使用Fiddler, JMeter等工具进行测试；4 、熟练掌握Python/Shell/Java编程语言中的一种，进行测试代码编写；5 、熟练使用Linux系统；6 、有web测试经验者优先。",移动互联网,150-500人,测试,杭州
