job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7216232.html,沈河区,3k-5k,北京利物融通信息技术有限公司,1-3年,本科,五险一金双休法定体检生日礼团建零食咖啡,岗位职责：1、根据项目计划及需求等设计文档，制定测试计划并实施；2、搭建项目测试环境、更新测试软件，部署测试系统；3、编写测试用例，执行测试（包括：功能测试、集成测试、系统测试等），对软件产品进行功能、兼容性、安全性、性能等方面测试；4、分析测试结果，发现提交产品bug并跟踪结果；5、编写用户使用手册，测试总结分析报告；6、主动发现问题，深入了解用户反馈，能主动提出产品优化方案。任职资格：1、计算机或相关专业专科及以上学历；2、具有2年及以上软件测试工作经验；3、熟悉软件开发流程、测试流程、缺陷处理流程；4、熟悉常用测试工具、自动化测试工具、性能测试工具，能够自己编写维护测试脚本优先；5、熟悉软件测试基本理论，掌握常用测试工具、软件测试流程及其各项规范；6、熟悉一种或者多种主流编程语言；熟悉（mysql，sqlserver，oracle其中之一）数据库查询语句；7、工作积极主动，乐于思考，认真细致，执行能力强，具备良好的团队协作精神，良好的沟通能力、极强的责任心和学习能力。,企业服务,500-2000人,测试,沈阳
【实习】渗透测试（沈阳）,https://www.lagou.com/jobs/7132922.html,和平区,2k-3k,杭州安恒信息技术股份有限公司,应届毕业生,本科,导师一带一,工作内容：1、 负责对客户系统进行渗透测试，包括web应用、手机APP。全面发现被测系统存在的安全问题并提供修复建议；2、 客户系统出现安全事件时进行应急处置，协助客户修复安全漏洞；3、 跟踪国内外信息安全动态，进行安全攻防技术研究。岗位介绍：1、 对网络安全攻防感兴趣，熟练掌握渗透测试技巧、熟练运用各类安全软件、安全测试工具；2、 熟练掌握windows、linux平台使用、攻击技术；3、 熟悉常见web安全漏洞的原理、测试方法、加固方法；4、 具有较好的工作习惯及较强的文档、报告、方案编写能力；5、 具备优秀的沟通协调能力、学习能力、抗压能力；6、 开发过相关安全工具、平台、项目，或可独立支撑应急响应者优先；7、 在t00ls、freebuf、Seebug等漏洞平台发布过漏洞者优先；8、 有web开发经验或熟悉PHP/C#/Java/Python任意一种语言者优先；9、 有CTF、攻防比赛获得奖项者优先；10、21届，本科及以上学历，每周工作5天，可实习4个月及以上。,"信息安全,数据服务",500-2000人,测试,沈阳
渗透测试工程师（沈阳）,https://www.lagou.com/jobs/7045826.html,皇姑区,10k-15k,中国信息通信研究院,不限,本科,"发展空间大,工作氛围好,专业培训",岗位职责:1、负责日常例行安全检查、漏洞扫描和渗透测试；2、负责漏洞挖掘，并提出加固建议； 3、负责突发安全事件的应急响应、取证和溯源，并持续优化响应流程； 4、跟踪最新安全动态，研究前沿攻防技术，并进行预警。任职资格:1、熟悉Windows、Linux操作系统、网络设备、数据库、中间件等基本配置及操作； 2、熟悉渗透测试步骤、方法、流程，熟悉漏洞扫描工具、漏洞利用工具、**木马等； 3、具备Java或Python编程开发能力，有安全工具开发经验和漏洞验证poc编写能力优先； 4、具有较好的沟通意识，解决问题能力，文档编写能力；5、思想端正、有较强的组织纪律性，能接受出差,通讯电子,2000人以上,测试,沈阳
软件测试工程师,https://www.lagou.com/jobs/6808594.html,浑南区,6k-8k,北京直真科技股份有限公司,1-3年,本科,个人成长空间大 薪资提升快,职位描述：1、本科及以上学历，2年及以上实际软件测试经验，电信软件产品测试经验者优先；2、负责过模块及以上规模的工作；有带团队经验优先3、熟悉软件开发的过程、软件测试理论和方法，以及功能测试和性能测试的方式方法4、熟悉相关的测试流程、测试文档标准，熟悉熟悉Unix或Linux平台和常用命令；5、熟悉oracle数据库，能熟练编写SQL语句；熟练使用shell或perl脚本，熟悉webservice等传输协议；6、了解常用的接口，性能测试工具;任职要求：1、软件工程、计算机及相关专业，本科及以上学历；2、熟悉软件开发和测试流程，掌握软件测试理论和方法。有相关工作经验，精通性能测试、自动化测试优先；3、热爱软件测试工作，工作细致认真，有耐心，有一定创新能力；工作积极主动，有较强的逻辑分析能力和学习能力；4、善于团队合作，理解和适应变化，以结果和行动为准则，有责任心。,软件开发,500-2000人,测试,沈阳
测试工程师,https://www.lagou.com/jobs/6889613.html,沈河区,6k-12k,北京四轮科技有限公司,3-5年,本科,互联网汽车电商,岗位职责：1，负责公司PC端/移动端前，后端产品的测试工作，主要涉及到产品功能测试、适配测试等，保证产品的质量；2，参与需求分析、需求评审、并从测试角度指出需求中的不足；3，理解需求，提取测试需求，设计功能测试用例，组织用例评审；4，与开发团队进行有效沟通，推动测试中发现的问题及时解决；5，有学习意愿及自我学习能力，逐步掌握移动端功能自动化测试工具并在项目中运用；岗位要求： 1，具备三年以上测试经验，大学本科以上学历；2，熟悉软件测试流程及测试方法，并能够依据产品设计规格设计测试用例，能够独立编写测试计划和测试报告； 3，具有较强的逻辑和测试能力，可以胜任重复性工作，工作细致认真，有耐心； 4，了解手机应用/小程序，熟悉手机终端平台，如Android、IPhone； 5，熟悉移动客户端的自动化测试工具MonkeyRunner、MobileRunner ，有自动化测试经验者优先考虑；,"移动互联网,电商",50-150人,测试,沈阳
开发/技术/设计/测试实习生,https://www.lagou.com/jobs/6950121.html,和平区,3k-4k,沈阳美嘉信息科技有限公司,应届毕业生,本科,提供三餐、拟上市公司,目前公司校招岗位：测试工程师、Web前端开发工程师、后端开发工程师、iOS开发工程师、Android开发工程师、游戏ui设计师、平面设计师等多岗位。任职资格：1、2020届本科及以上学历，技术方向需计算机软件等相关专业，设计师方向需美术设计相关专业2.投递简历必须包含以下内容：技术方向需要提供在校学习与岗位相关的课程、在校实习项目、掌握的技能、其他。设计师方向还需提供作品。福利待遇：月薪3000元，包三餐，至少月工作22天以上。,"移动互联网,游戏",50-150人,测试,沈阳
初级软件测试,https://www.lagou.com/jobs/7131337.html,铁西区,6k-8k,沈阳深航动力企业管理咨询有限公司,1-3年,本科,不加班，双休，保险全,主要负责功能测试要求本科学历，英语6级，口语可沟通2-3年测试经验,移动互联网,150-500人,测试,沈阳
驻场安全服务工程师（沈阳）,https://www.lagou.com/jobs/7090657.html,和平区,8k-15k,杭州安恒信息技术股份有限公司,3-5年,本科,五险一金 带薪年假 国内外旅游,岗位职责：1.负责客户渗透测试、安全加固、漏洞扫描等安全服务实施工作；2.通过WAF、IPS、IDS等各类安全设备进行日常监测分析；任职要求：1.具备良好的职业道德，具备良好的团队合作精神，自学能力；2.熟悉渗透测试的步骤、方法、流程、熟练掌握各种渗透测试工具的使用；3.熟悉常见网络安全设备如WAF、IDS、APT、漏洞扫描器等，能分析安全设备的告警日志，验证告警是否误报，进一步渗透某些高危告警的目标web；4.良好的语言表达能力、文档编写能力。5.；有CISP、CISSP等证书（优先）6.有CTF比赛经验，并获得名次（优先）。,"信息安全,数据服务",500-2000人,测试,沈阳
java,https://www.lagou.com/jobs/7121522.html,浑南区,8k-15k,东华软件股份公司,3-5年,不限,上市公司、五险一金、年终奖、弹性工作制,工作职责:1、根据公司战略发展目标和业务发展需要，负责完成编码、代码检查及优化、BUG修改等工作，确保公司各产品方案的实现和持续优化。2、根据测试与运维的同事的问题反馈，进行线上问题排查与修复，确保公司产品的不断完善。任职资格:1、具有实际项目开发经验，3年以上Java开发经验；2、熟悉分布式项目开发，熟悉软件开发流程，对常见的web业务场景有一定的了解； 3、具备扎实的Java基础，掌握MVC分层架构思想及常用服务端开发框架；4、熟悉Oracle，Mysql等常用关系型数据库，对SQL具有一定的调优意识与能力，熟悉Linux环境及常用命令；5、熟练使用Maven等项目构建工具，熟悉Git、SVN等版本管理工具；6、熟悉Redis等缓存中间件，熟悉常用消息队列（RabbitMQ、Kafka等）；7、具有强烈的工作责任心和Deadline意识，良好的工作积极性和主动性以及沟通、组织、协调和表达能力。8、有征信实施、反洗钱、监管报送、1104项目经验或SpringCloud等相关框架开发经验优先；9、能接受出差。,"企业服务,数据服务",2000人以上,测试,沈阳
大数据开发工程师,https://www.lagou.com/jobs/7102597.html,浑南区,8k-15k,东华软件股份公司,不限,不限,上市公司、五险一金、年终奖、弹性工作制,"任职要求：
 1、精通hadoop 体系技术或CDH大数据计算存储套件技术，有实际项目开发经验；
 
 2、熟悉Java语言；
 
 3、熟悉关系型数据库，如MySQL/Oracle/DB2/PostgreSQL，熟练使用Hive，Hbase，Spark等工具做数据加工处理；
 
 4、熟悉Linux操作系统和开发工具，了解docker，kvm/xen等虚拟环境；
 
 5、熟悉布式存储系统（Ceph、Gluster、HDFS、Moose等开源软件），具有相关实践实施经验；
 
 6、了解分布式系统和计算；
 
 7、接受东三省出差及驻场开发。

 岗位职责：
 1、软件产品研发，能根据需求，设计和开发产品功能，并参加单元、集成测试;
 
 2、具有较强的学习能力，能快速理解业务流程及逻辑;
 
 3、协助团队完成开发任务，协助项目实施工作以及项目的技术支持工作。","企业服务,数据服务",2000人以上,测试,沈阳
