job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
Service By Shopee测试Leader,https://www.lagou.com/jobs/7149888.html,南山区,40k-60k,深圳虾皮信息科技有限公司,5-10年,本科,大牛多，氛围好，外企，福利好,"业务描述：SBS（Service By Shopee）服务于”Shopee自营“和”Shopee代商家运营“两种业务模式，由PMS（采购管理系统，服务于内部运营人员）和SRM（供应商门户，服务于供应商）承载。自2018年起已覆盖供应链供应商管理，商品管理，采购管理，出入库管理等流程，并于2020年搭建结算管理流程以形成一体化综合服务平台，使得供应链得以更好为商家和Shopee电商赋能。SBS产品不仅需要具备供应链的综合性业务知识，更需要对Shopee复合型电商模式的有全面的理解，如何将这两者整合成一个易用的产品，是对这个团队最大的挑战。技术责任描述：
 搭建并完善系统自动化测试平台；
 参与评估系统架构设计，从专业角度给出建议，并构建测试模型；
 持续关注业界技术动态，并结合自身项目特点引入测试新思想、新技术、新工具；
 负责优化和改进测试流程，提高测试效率和质量；
 负责团队培训、相关人员的管理。
任职要求：
 本科及以上学历，计算机或相关专业毕业，5年以上相关工作经验，1年以上带团队经验；
 熟练掌握软件工程理论，测试方法及流程，熟悉各种测试用例的设计方法； 
 精通软件测试常用技术的一或多种（功能测试、自动化、性能测试、安全测试）；
 熟悉常用软件测试工具，如：selenium，jmeter，soupui，robotframework；
 熟练使用java/python等进行编程开发，具备自动化，脚本开发能力;
 熟悉linux系统和常用数据库操作；
 具备较强的责任感和自驱力，学习能力强，工作认真细心，具备较强合作精神；
 有仓储，ERP或者物流系统测试经验优先。",电商,500-2000人,测试,深圳
测试工程师,https://www.lagou.com/jobs/7208159.html,南山区,15k-25k,爱客科技（深圳）有限公司,3-5年,本科,技术极客 自动化 海外产品,"岗位职责1、负责平台产品的测试工作；2、参与产品需求分析，制定测试计划和策略，设计并执行测试用例，分析测试结果并推动问题解决；3、完善相关测试工具，保障系统质量，并优化现有的测试方法以提升效率；4、可以与团队保持积极高效的沟通。岗位要求1、统招全日制本科及以上学历，具备英语读写能力；2、两年及以上测试工作经验，具备良好的测试分析能力；3、熟悉测试理论和方法，熟悉相关的测试流程、测试文档标准、以及测试工具和框架；4、至少掌握一种自动化测试工具，如：Selenium、Jmeter 等; 5、具备良好的沟通表达能力和团队协作能力。加分项1、掌握 Python/Node.js/Java/Go 等任何一门主流编程语言，具备一定编程能力的优先；2、具备自动化测试体系建设经验的优先；3、具备良好的产品意识和项目管理经验的优先。为什么加入我们1、极客氛围: 拥抱开源技术，实践敏捷开发；2、新技术: Kubernetes, Serverless, TensorFlow, Microservice；3、特色福利: 每天下午茶，学习成长基金, 提供 MacBook Pro；4、多元文化: 团队来自全球十几个国家；5、头部企业: 海外驰名企业，细分领域领跑者；6、朝阳行业: B2B 企业级系统，国际性 SaaS 平台。",电商,50-150人,测试,深圳
测试,https://www.lagou.com/jobs/6965086.html,龙岗区,13k-25k,常州泉晋光电有限公司,3-5年,本科,公司可以给你一分体现价值发挥实力的平台,业务技能要求：1、熟悉测试基础理论和测试流程、测试设计方法、业界测试工具； 2、熟练掌握测试用例、缺陷报告、测试报告等文档的编写 3、具备良好的表达和沟通能力及团队协作能力；4、掌握Python编程语言者优先；具备API或者UI自动化测试经验者优先；自动化测试工程师 1、熟悉自动化框架设计和开发，熟悉自动化测试在CI和DevOps中的应用，熟悉使用Linux、数据库； 2、具备良好的表达和沟通能力及团队协作能力； 3、熟练掌握Python、JAVA、GO编程语言者优先； 4、具备性能测试、自动化测试（后端服务接口自动化或者APP自动化）经验者优先； 专业知识要求： 1、熟悉测试基础理论、测试设计方法、业界测试工具； 2、熟悉业界主流的CI、自动化验证工具链和框架； 3、熟练掌握一种编程语言（Java/Python/GO语言等）； 4、熟悉TCP、UDP等网络通讯协议，熟悉RTMP/FLV/HLS/RTP等常用流媒体协议。,"移动互联网,数据服务",2000人以上,测试,深圳
测试工程师,https://www.lagou.com/jobs/7041661.html,宝安区,10k-20k,深圳市天瑞地安网络科技有限公司,3-5年,本科,环境优美,岗位职责：1.按时完成分配的测试用例执行工作，按照规范提交测试bug，输出测试结果；2.承担特性测试用例的设计工作，保证测试设计的完整性。3.能及时输出经验总结文档，研究负责特性的测试方法，测试工具，优化测试用例，提高测试的效率。任职要求：1. 计算机、软件工程、自动化、数学等相关专业本科及以上学历；2. 2年以上软件测试经验，有蓝牙耳机、蓝牙音箱等产品或者APP软件测试或有编程经验者优先；3. 逻辑思维强，熟悉测试设计的常用方法，能使用思维导图设计测试用例点；4. 具备较强责任心和团队精神，承压能力强，工作积极主动；,"移动互联网,电商",50-150人,测试,深圳
测试工程师,https://www.lagou.com/jobs/6938298.html,罗湖区,10k-15k,深圳市阿卡索资讯股份有限公司,1-3年,大专,"五险一金,员工旅游,健身俱乐部,带薪年假",岗位职责：1、需求分析，能发现需求中的问题，制定测试计划。2、设计测试用例，执行测试。3、提交测试缺陷，对缺陷进行分析，协助开发定位问题，跟踪问题，解决问题。4、编写测试报告，发布后，进行验收测试。任职要求:1、大专以上学历，2年以上工作经验。2、熟悉软件测试理论、测试流程与测试步骤。 3、熟悉黑盒测试用例的设计方法并可独立完成用例的设计。 4、具有较强的发现问题、分析定位问题的能力，较强的语言表达、bug描述能力和沟通能力。5、具有良好的逻辑思维、较强的责任感、良好的团队合作精神和积极主动的沟通意识，学习能力强。6、精通接口测试工具，精通SQL。7、有自动化测试工作经验的优先。,"教育,移动互联网",2000人以上,测试,深圳
测试,https://www.lagou.com/jobs/5164535.html,福田区,10k-20k,上海海万信息科技股份有限公司,3-5年,大专,"大平台,高福利,交通便利",岗位一测试：1、大专学历2、2年以上工作经验，具备扎实的计算机基础知识； 3、熟练Python/Shell/Perl等至少一门脚本语言，有丰富实践经历；熟悉Java编程语言优先，有开发经验者优先； 3、精通测试流程和测试用例设计方法，熟练使用jmeter等性能测试工具，能做性能分析以及性能调优优先；有丰富自动化测试用例设计、开发或白盒测试经验者优先； 4、熟悉Linux/Unix操作系统、http网络协议、Mysql、redis、 zookeeper、rabitmq等组件原理，熟悉微服务架构原理优先； 岗位二大数据测试：1、大专以上学历。2年以上毕业年限。2、熟悉SQL语句，熟练表关联，有SQL优化经验优先3、有Jmeter接口测试经验，能看懂存储过程、代码，熟练后台测试优先。有selenium、robot framewrok等自动化测试经验优先，有性能测试经验优先。4、有一定的抗压能力，沟通良好5、有大数据Hadoop、BI报表等大数据测试经验优先。,"移动互联网,金融",500-2000人,测试,深圳
测试工程师,https://www.lagou.com/jobs/6084417.html,南山区,8k-16k,腾讯科技（深圳）有限公司,不限,大专,发展前景好,本科及以上学历，计算机或相关专业；1、能独立执行项目测试，包括需求讨论，方案设计评审，测试策略制定，设计并执行测试用例，进行缺陷跟踪和软件质量分析等等； 2、要求有后端服务测试经验，深入分析前后端实现，有全面的测试分析能力3、有web前端测试经验，对开发实现有了解，并能针对开发实现给出完备的测试方案。4、要求有代码阅读能力（js，html，php，python、java、c++等），能动手编写代码，有白盒/灰盒测试经验者优先5、积极上进，责任心强,社交,2000人以上,测试,深圳
测试工程师,https://www.lagou.com/jobs/7088373.html,南山区,15k-25k,顺丰科技有限公司,3-5年,本科,技术大牛、团队氛围好、职业发展空间大,1、了解公司产品业务需求，并根据开发计划和设计规范，编写测试计划、测试方案、测试用例、测试数据； 2、实施对产品的集成测试、系统测试、用户测试、性能测试，提交测试报告； 3、自动化脚本&测试工具等开发设计，以提升质量和效率为目的的测试技术应用。岗位要求：1、本科以上学历，至少3年以上的业务系统测试经验。2、熟悉linux操作系统，熟练使用基本命令，应用部署。3、有较强的逻辑分析能力和学习能力，可以胜任重复性工作，工作细致认真，有耐心; 4、至少掌握一种自动化测试工具或性能测试工具，如：Selenium、Jmeter等; 5、熟悉mysql/SQL server数据库的使用; 6、能熟练地应用一门语言Python/java等进行工具开发，接口测试; 7、有接口性能测试，系统压力测试经验优先 8、工作勤奋，责任心强，具有良好的沟通能力和团队合作意识，能承受一定的工作压力。,"软件开发,数据服务",2000人以上,测试,深圳
腾讯音乐广告系统测试开发工程师,https://www.lagou.com/jobs/6762090.html,南山区,20k-40k,腾讯科技（深圳）有限公司,3-5年,本科,大平台,岗位职责：1. 负责广告平台服务的测试，包括web测试、接口测试、压测、回归diff测试等2. 开发测试工具和自动化测试脚本，进行自动化测试，负责持续集成建设，提高测试效率岗位要求：1. 计算机相关专业，本科及以上; 熟悉后台服务测试流程和测试用例设计方法，能主动进行技术钻研2. 熟悉linux操作系统，掌握一门以上编程语言：Python/C/C++/Go/JAVA3. 2年以上自动化测试工作经验，了解常用web端、服务端开发/测试工具4. 有持续集成方面经验优先，有docker/k8s实践者优先5. 有较强的逻辑思维能力和独立分析、解决问题的能力，对开源工具/技术有一定的热情和钻研精神,社交,2000人以上,测试,深圳
测试工程师,https://www.lagou.com/jobs/4118606.html,南山区,20k-40k,深圳虾皮信息科技有限公司,3-5年,本科,外企氛围，蓝海市场，大牛多多，15天年假,"岗位描述：根据研发团队提供的产品测试要求，提供完善测试用例，发现产品可能存在的功能缺陷，满足质量、产能需求；与其他职能团队配合，对测试失效产品分析根本原因，制定并实施纠正措施；能独立完成相关产品的功能测试,从用户角度评审需求及最终设计，提高产品的易用性； 在项目中保持和产品经理、开发工程师、项目经理等积极有效的沟通，驱动问题解决。 岗位需求：计算机相关专业，本科及以上学历，至少3年以上产品测试工作经验；熟悉Linux或Unix操作系统；熟悉shell脚本或dos命令；至少熟悉一门面向对象开发语言，Java或Python，了解selenium、appium或其他自动化测试框架，有一定代码功底优先；熟悉任意一种数据库，熟练编写sql；有接口测试（jmeter）、性能测试（Loadrunner）经验优先；学习能力强，有较强分析和解决问题的能力，工作积极主动，有责任心；有大数据处理、分布式系统、数据库测试经验者优先。",电商,500-2000人,测试,深圳
