job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/7216397.html,张家港市,8k-12k,上海高仙自动化科技发展有限公司,3-5年,大专,人工智能 弹性工作 平台好 前景大,岗位职责：1、制定新产品的生产测试计划，并对每一个即将发出去的产品执行严格的测试；2、制定软件和硬件的测试流程，并针对每一个机械部件、板子和软件系统执行测试，分析问题，确保把问题留在发货之前；3、推动跨部门的测试流程制定和review；4、确保机器人产品稳定可靠，包括推动供应商提供稳定、可靠的产品；5、为工厂生产线提供on-site支持。 任职要求：1、大专以上学历，机械工程、电子工程、自动化等相关专业；2、具有Python，LabView，C/C++，SQL，TestStand，XML等相关经验优先。,"企业服务,硬件",150-500人,测试,苏州
测试工程师,https://www.lagou.com/jobs/5734556.html,工业园区,7k-12k,深圳市腾云扣钉科技有限公司,1-3年,本科,平台型产品、腾讯系、福利全面,您将参与：1. 在线 SaaS 类产品的测试工作，负责跟踪定位产品中的缺陷、问题分析，并推动修复； 2. 参与产品需求分析、编写测试用例、制定和实施测试计划； 3. 协同产品人员对产品质量进行把控；4. 使用自动化、通用工具平台、测试工具等提升软件整体质量和测试效率。专业要求： 1. 1 年及以上测试工作经验，逻辑清晰；2. 对于 Web 项目的测试技术与流程有深入理解和实践； 3. 掌握一种或多种自动化测试与压力测试工具。你需要具备：1. 学习能力，能快速掌握和应用未接触过的理论和技术；2. 技术热情，紧跟前端发展趋势，是标准和新技术的学习和践行者；3. 专业精神，掌握前端相关技术，对代码质量有不懈的追求；4. 问题分析解决能力，面对问题能提出合理的解决方案；5. 沟通能力，能与团队顺畅交流协作。能为你加分的项目：1. 具备 Python、Java、Python 等语言和一些开发实践；2. 掌握 MySQL 数据库的基本操作。非996，不用担心ICU！CODING 期待您的加入！！！,数据服务,50-150人,测试,苏州
测试工程师,https://www.lagou.com/jobs/6819017.html,工业园区,17k-33k,东吴证券股份有限公司,3-5年,本科,测试工程师,,"金融,移动互联网",2000人以上,测试,苏州
测试工程师,https://www.lagou.com/jobs/7110224.html,工业园区,10k-15k,苏州奖多多科技有限公司,3-5年,本科,通和能力，有亲和力，待人热情,"岗位职责：  1.       参与产品的需求评审工作；  2.       准备测试环境和测试用例，预估测试工期，按照计划执行测试，提交缺陷，并跟进修复验证；  3.       能够按照上线流程执行上线，做好线上检查，跟进用户反馈情况；   4.       按照部门流程规范完成项目文档更新和保存；     任职要求：  1、  计算机相关专业， 3年以上测试经验；    2、  熟悉软件测试基本理论和技术、软件开发和测试流程；    3、  掌握常用的数据库操作及SQL语句编写；    4、  掌握常用的linux操作命令； 掌握至少一种常用编程语言，如Java、Python、等,较强的分析、解决问题的能力  5、  具备基础的移动测试知识，熟练掌握测试用例设计和APP测试方法；    6、  热爱软件测试工作，有较强的逻辑分析能力，总结能力，文档编写能力，工作细致认真，有耐心，能承受较大的工作压力；    7、  熟悉接口测试，并有相关性能测试工作经验。","移动互联网,消费生活",150-500人,测试,苏州
测试工程师,https://www.lagou.com/jobs/6901781.html,高新区,6k-8k,苏州市软件评测中心有限公司,1-3年,大专,六险一金，免费体检,工作职责：1、两年及以上测试工作经验，熟悉软件测试流程，能根据需求分析规格说明书编写测试用例；2、熟悉测试文档的格式和编写；3、能够了解BUG跟踪工具，TD、CQ、Bugzilla等；4、学习能力强，热爱软件测试工作；5、态度积极，耐心细致，责任感强，有很好的沟通技巧及团队合作精神；岗位要求： 1、大专及以上学历，计算机相关专业；2、熟悉黑盒测试；3、具有2-3年左右计算机软件测试的工作经验，2个以上项目测试经验，熟悉软件开发流程，掌握主流测试管理工具的使用；4、具有良好的人际沟通及语言表达能力，注重团队精神；5、有一定的平台测试经验（基于linux系统，对linux、shell、mysql、wireshark、基础网络等 知识应用较多）；6、了解1种以上的语言如python、java，具有自动化测试、性能及硬件测试背景加分。,"移动互联网,企业服务",500-2000人,测试,苏州
测试工程师,https://www.lagou.com/jobs/6454976.html,虎丘区,5k-8k,上海安硕信息技术股份有限公司,应届毕业生,本科,牛人带队 领先优势 高薪 福利优厚,【基本条件】1、2020年本硕应届毕业生，计算机/软件/通信/电子、信息管理、数理/经济/金融/管理/统计等相关专业，学习成绩良好，毕业能取得相应的学位学历证书；2、品行端正，具有较强的学习能力和进取精神；3、抗压性强，能接受一定程度的出差。【职位要求】 1、熟悉软件测试理论和方法，熟悉测试流程和标准；2、有一定的测试分析设计能力和技术文档撰写能力；3、掌握软件开发开相关知识、有开发能力的优先。,金融,2000人以上,测试,苏州
测试工程师,https://www.lagou.com/jobs/7139924.html,虎丘区,3k-6k,宁波市数维图创科技有限公司,不限,大专,本职位为兼职，在家赚钱,岗位职责1、根据公司产品和项目编写测试计划，测试用例，搭建测试环境，执行测试；2、进行BUG验证，与开发部门沟通，督促开发部门解决问题，修正测试中发现的缺陷，完善软件功能；3、进行测试记录和相应文档编写；4、跟踪问题处理进展，推动问题及时合理地解决。任职要求1、从事软件测试工作1年以上，有软硬件系统融合测试经验者优先；2、热爱测试岗位、有责任、有担当者，擅长沟通，良好的需求理解能力，有组织管理能力；3、有自动化测试经验者优先或曾经从事软件开发，目前正从事软件测试，熟悉测试工具、流程者优先。,移动互联网 电子商务,15-50人,测试,苏州
高级测试工程师,https://www.lagou.com/jobs/6767090.html,吴中区,10k-15k,云学堂信息科技（江苏）有限公司,3-5年,不限,晋升空间大、培训丰富、人性化管理,岗位职责：1.根据产品功能，设计编写测试用例及制定测试计划； 2.执行和维护测试用例，提交Bug缺陷并跟踪，协助完成缺陷的修复； 3.在测试环节过程中主动与相关人员沟通，保障项目质量； 4.思维敏捷，逻辑清晰，能对项目提出合理化建议； 5.持续优化项目流程，保证项目质量和进度达成。6.能否根据需求，进行功能测试、接口测试、性能测试等任职要求：1、计算机或相关专业本科以上学历，3年以上测试经验;2、熟悉java及相关框架，熟悉接口测试，熟悉selenium前端自动化，熟悉Jmeter后端自动化，熟悉压力测试，熟练使用压测工具Jmeter;3、准确理解产品，掌握Web服务的基础框架原理、理解服务端/客户端业务逻辑及特性;4、具备从业务逻辑层面，准确分析、理解程序对象实现方式的能力;5、自我驱动脚本代码的编写，使用各种脚本、工具，不断提升测试效率;6、良好的沟通能力、对技术有浓厚兴趣，有CI/CD经验、自动化框架知识和代码功底优先。,企业服务、教育,500-2000人,测试,苏州
研发测试工程师,https://www.lagou.com/jobs/6722841.html,张家港市,8k-12k,上海高仙自动化科技发展有限公司,3-5年,本科,扁平管理 带薪休假 五险一金 发展空间大,职责描述：1、参与制定洗地、扫地机器人的功能测试方案及性能测试方案；2、参与洗地和扫地机器人的研发项目开发，作为测试代表负责项目内的样机的测试；3、参与公司测试部门的流程建设；4、参与公司测试部门的文档建设和能力建设；5、对测试中发现的问题，负责跟踪解决推进；任职要求：1、本科或以上学历，计算机、电气工程等相关专业； 2、至少3年以上产品技术开发工作经验； 3、至少年3以上的扫地洗地等清洁设备的测试经验；4、具备一定的项目管理实践能力及应用能力；,"企业服务,硬件",150-500人,测试,苏州
测试主管,https://www.lagou.com/jobs/6657117.html,工业园区,15k-25k,苏州奖多多科技有限公司,5-10年,本科,双休 五险一金全额缴纳 餐补,1. 参与软件项目的需求分析，关注项目需求的合理性，可测性；2. 参与项目评审和技术评审，保证产品设计与架构的合理性；3. 参数自动化测试用例的编写，参与产品功能，性能与安全测试，解决测试过程中的复杂技术问题；4. 根据产品研发的实际情况，设计和改进软件质量保证体系，并推动落地实施；5. 通过测试相关流程、策略、方法和工具等创新，提升测试的质量和效率；6. 结合行业发展趋势，制定测试技术发展规划，促进团队质量，保障团队效率和团队技能的提升，指引团队测试技术的发展方向； 职位要求1. 本科以上学历，计算机相关专业；2. 具有5年以上的互联网软件测试经验，具备至少2年以上的团队管理经验，独立承担过中大型互联网平台项目测试负责人；3. 能够熟练应用测试工具或框架，如 Selenium、Jmeter、Appium、Unittest 等4. 熟悉Java，Python等开发语言，能完成测试工具，测试框架开发要求；5. 熟练应用Linux系统下的各种命令、工具及配置；6. 熟悉MySQL数据库，Jenkins持续集成工，了解Hadoop、Redis、Docker、ES 等相关技术；7. 有撰写自动化测试工具以及搭建自动化测试平台的实战经验，有设计用例并编写代码实现自动化测试的经验；8. 性格开朗，责任心强，工作积极主动，具备良好的沟通能力和团队协作能力；,"移动互联网,消费生活",150-500人,测试,苏州
