job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
测试工程师,https://www.lagou.com/jobs/3789082.html,高新技术产业开发区,5k-10k,华扬联众数字技术股份有限公司西安分公司,1-3年,本科,"每年调薪,带薪假期,五险一金,年底双薪","岗位职责：1、互联网软件产品的测试工作（功能测试、性能测试）；编写测试用例、测试计划、测试报告；2、跟踪定位产品软件中的缺陷或问题，评估项目质量风险；3、参与产品需求、系统设计和程序代码的评审工作，并提出改进意见；4、熟悉数据库知识、TCP/IP和HTTP协议，熟悉Linux/Unix及Shell编写；5、熟悉python /dejs/java等任一门编程语言，熟悉python优先；6、熟悉web测试的基本方法、流程，熟悉接口测试、UI测试等；7、熟悉selenium/robotframework等自动化测试框架；8、熟练使用Linux操作系统，熟悉jenkins；9、熟练掌握sql语法、hive语句查询；10、熟悉Hadoop，了解mapreduce,spark等大数据开源工具；11、了解数据流转、清洗、转换,分析过程。任职资格：1、大学本科（含）以上学历，计算机相关专业；2、2年以上软件研发或测试经验，熟悉软件测试理论和方法，掌握相关技能；3、善于学习和运用新知识，具有良好的分析和解决问题能力；4、工作认真、耐心、细心；性格开朗、阳光；5、具有良好的团队合作精神和积极主动的沟通意识；6、具备互联网软件产品测试经验者优先考虑。关于团队：华扬联众西安分公司是集团的技术研发中心，总部在北京；主要研发数字广告等相关的技术产品，产品用户覆盖至全国;您关心的：双休;五险一金、额外的商业保险、年底双薪；每年一次调薪；每年出国旅游、各种节假日+圣诞节放假；十天带薪年假、七天带薪病假；结婚津贴、baby津贴、定时电影票等等；每月两次公司内部分享培训。","数据服务,文娱丨内容",2000人以上,测试,西安
测试工程师,https://www.lagou.com/jobs/6565720.html,雁塔区,7k-12k,深圳市云积分科技有限公司,3-5年,本科,五险一金、周末双休、定期团建、下午茶,"岗位职责：1. 负责项目/产品的测试工作，参与产品需求分析，负责测试计划制定,并能预先评估项目风险，确保测试活动的顺利开展； 2.深入理解系统内部的设计原理，并能从测试的角度提供优化意见； 3.根据产品需求和产品设计, 编写功能测试设计和用例； 4.实施软件测试，完成对产品的功能测试、系统测试、性能压力、接口测试； 5.对软件问题进行跟踪分析和报告，推动测试中发现问题及时合理地解决； 6.汇总测试执行情况，编写相关报告；任职要求：1.本科及以上学历，计算机专业； 测试经验3年以上；2.熟悉软件测试理论、流程和测试方法，熟悉常用的软件性能测试方法；3.熟悉禅道、BugFree等bug管理工具和bug管理流程，并熟悉缺陷报告的规范格式；4.熟悉ORACLE、MySQL等数据库，熟练掌握基本的SQL语句；5.熟悉jmeter、postman工具、SVN工具、loadrunner、QTP等工具；6.优先条件: 有过大型web项目经验、有测试管理经验；7.积极进取、善于思考，具备较强的协调与沟通、分析与表达能力，能够承受一定压力。","企业服务,移动互联网",150-500人,测试,西安
测试工程师,https://www.lagou.com/jobs/5571555.html,高新技术产业开发区,10k-15k,武汉佰钧成技术有限责任公司,1-3年,本科,六险一金，双休,Linux操作系统、网络、交换机、虚拟化平台、云核心网、DC网络等关键字工作地点：环普产业园学历统招本科,移动互联网,2000人以上,测试,西安
测试工程师,https://www.lagou.com/jobs/7213088.html,高新技术产业开发区,13k-18k,北京中合利成电子商务有限公司,3-5年,本科,央企 五险一金,岗位职责：1、负责公司产品和服务的质量保证工作；2、根据产品需求和技术方案，设计测试用例，并组织测试评审工作；3、设计和开发API自动化测试用例，用于项目持续集成；4、开展服务压测，发现性能瓶颈，评估系统容量；5、落实执行所有测试用例，提交跟踪bug，撰写测试报告，分析测试结果，并对测试结果负责；6、从用户的角度审查产品功能、用户体验，并且提出改进意见。岗位要求：1、全日制本科及以上学历计算机相关专业，三年以上测试工作经验，能独立主导产品质量控制；2、擅长自动化测试，熟练掌握python、Java两种编程语言中的至少一种；3、熟悉charles、fiddler、jmeter等测试工具的使用；4、具有良好的产品意识，对于细节及质量有非常敏锐的感觉；5、优秀的沟通协调能力，能很好的理解并表达工作内容及重点；6、有大型移动互联网项目经验者优先考虑。,电商,150-500人,测试,西安
测试开发工程师,https://www.lagou.com/jobs/7120180.html,高新技术产业开发区,15k-25k,海尔集团,5-10年,本科,六险一金 员工活动 多种激励 带薪假期,"岗位职责：1、负责自动化测试工具研发；2、负责一体化测试平台研发；3、构建研发体系的持续集成测试环境，提供自动化测试服务，构建产品线特色化的测试框架、测试工具，提升代码交付的质量和效率；4、研究行业测试领域新工具和测试技术，并应用到测试项目中，提升测试效率和质量。岗位要求：1、5年以上自动化测试或者软件开发经验,具有在实际大型项目中的自动化应用与开发实践；2、精通JAVA/Python开发语言；3、有Python开发web项目经验，熟悉Django Web开发框架；4、熟悉开源的微服务框架如Spring、mybatis、spring boot、spring cloud等；5、熟悉使用大数据存储（redis、 kafka、MySQL），熟练编写Sql；6、熟悉常见的自动化测试工具Selenium、Appium、RobotFramework等，熟悉Junit,TestNG工具；7、了解 html、css、ajax、js、JQuery、 React、VUE等web前端技术；8、熟悉DevOps中自动化测试流程及原理；","物联网,电商",2000人以上,测试,西安
自动化测试,https://www.lagou.com/jobs/7077875.html,雁塔区,10k-15k,上海中软华腾软件系统有限公司,3-5年,本科,带薪年假,1.测试基础和测试理论掌握；2.能熟练运用java编写自动测试脚本；3.2年及以上测试经验，要有自动化测试和性能测试经验；,"企业服务,金融",2000人以上,测试,西安
云办公协同测试开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6915533.html,高新技术产业开发区,10k-20k,腾讯科技（深圳）有限公司,3-5年,本科,大牛团队,岗位要求：    1. 计算机相关专业本科以上学历，熟悉软件测试理论和方法；2. 了解音频、视频、网络相关知识并具有相关测试经验，掌握以下全部或部分领域者优先：音质、画质、时延、卡顿、CPU、内存、流畅度 、网络流量等等；3. 具备自动化测试经验，对质量体系、流程、测试风险把握，测试范畴的定义有很好的理解和应用；4. 熟练掌握至少一种编程语言者优先，包括但不限于C/C++、Python、Shell、Web等；5. 有丰富的手机端产品测试经验者优先。岗位职责：    1. 负责音视频及相关产品的质量及专项技术测试，包括用例设计评审，制定测试方案并评估风险、缺陷跟踪和质量分析等；并结合项目特征，挖掘业务相关的各种专项测试需求；2. 推动建设自动化测试体系，同时引入业界测试方案，协助团队提升测试的质量和效率；3. 能独立执行项目测试，包括但不限于功能、性能、稳定性、兼容性，音质，画质，网络策略等方面；并在过程中保持与产品经理、开发的积极有效沟通，快速推动问题解决。注：此岗位为腾讯集团旗下全资子公司编制岗位。,社交,2000人以上,测试,西安
云产品测试开发工程师（腾讯云全资子公司）,https://www.lagou.com/jobs/6763120.html,高新技术产业开发区,13k-25k,腾讯科技（深圳）有限公司,不限,本科,互联网氛围、大牛团队,1、计算机或软件相关专业，本科及以上学历，具备扎实的计算机和软件技术基础；2、两年以上软件开发经验，能熟悉掌握和运用C/C++/Python等任何一门主流编程语言，有后台开发经验者优先；3、在测试自动化、持续集成、静态分析、开发调试工具、框架设计和分布式系统等领域中，有涉及到一项或多项相关的实践经验；4、在项目管理、配置管理、CI/CD、devops、EP度量等一到多个领域有实践及推动经验者优先；5、 热爱学习，具有自我持续优化的驱动力，熟悉docker、K8s、cloudnative、微服务并有实践者更佳。   岗位职责：    1、负责腾讯云及公司业务的项目管理、研发支撑、CI/CD服务相关系统和工具的建设和研发，应用行业前沿的优秀的工程实践经验，提升研发和工程生产力和效率；2、设计、构建并落地各产品自动化构建、测试和发布的工程基础设施；3、驱动研发团队落实优秀的代码规范、代码设计原则和高质量的测试；4、基于产品视角，完善内部系统的产品形态、系统能力、体验交互、性能等各方面能力，配合腾讯云完成产品化对外输出。注：此岗位为腾讯集团旗下全资子公司编制岗位,社交,2000人以上,测试,西安
测试工程师,https://www.lagou.com/jobs/6658780.html,高新技术产业开发区,5k-8k,北京翼辉信息技术有限公司,不限,本科,温馨团队、零食无限、办公环境宽敞明亮,工作职责：1.负责公司web、移动端产品与系统软件测试工作； 2.根据项目需求，设计测试用例，分析测试结果，跟踪验证缺陷； 3.维护测试相关工作文档，编写用户手册等。任职资格：1.计算机及相关专业，本科或以上学历； 2.计算机专业基础良好，有 C 与 javascript 语言基础； 3.了解一般的测试理论； 4.具有良好的英语阅读能力； 5.有移动端产品测试经验者优先； 6.良好的团队协作能力，高度责任心。,移动互联网,50-150人,测试,西安
测试工程师,https://www.lagou.com/jobs/4830878.html,高新技术产业开发区,8k-15k,西安华讯科技有限责任公司,不限,本科,"五险一金,补助,带薪假,晋升空间",岗位职责：1. 根据需求分析说明书和其他相关文档设计测试用例；2. 执行测试用例以发现产品缺陷；3. 提交缺陷报告，并在缺陷的整个生命周期中依照要求进行相应的操作；4. 在执行测试用例的过程中，发现测试用例的不足，更新测试用例；5. 对测试结果进行分析，为解决缺陷提供帮助；6. 严格执行测试流程，并对流程的改进提出建设性的意见。任职要求：1. 计算机及相关专业本科以上学历，有扎实的计算机基础知识；2. 熟悉软件测试理论及实践，熟悉网络知识；3. 良好的解决问题能力、语言表达能力和综合协调能力；4. 工作认真细致、积极主动，学习能力强，善于思考和总结；5. 有单元测试、压力测试、自动化测试或.NET/JAVA/PHP开发经验者优先。,"电商,移动互联网",150-500人,测试,西安
